time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,台州,66.88,1.12,47.12,12.82,81.53,39.95,10.11
2017-01-02,台州,79.68,1.09,46.27,22.6,98.65,54.2,11.6
2017-01-03,台州,102.6,1.19,45.04,40.44,125.86,72.89,11.65
2017-01-04,台州,78.78,1.11,46.57,42.46,98.67,52.38,15.62
2017-01-05,台州,78.44,1.13,39.53,47.57,98.74,51.68,9.29
2017-01-06,台州,38.15,1.05,35.92,24.99,39.58,18.93,5.21
2017-01-07,台州,41.49,1.16,38.3,23.84,41.25,25.91,10.29
2017-01-08,台州,32.32,1.24,30.96,28.44,30.68,16.64,7.4
2017-01-09,台州,74.04,1.07,18.35,68.46,75.2,53.26,9.28
2017-01-10,台州,112.12,1.27,29.28,55.25,114.82,84.42,14.51
2017-01-11,台州,53.16,0.82,26.65,43.41,51.77,36.93,4.39
2017-01-12,台州,34.7,0.75,28.05,28.25,27.47,22.9,3.2
2017-01-13,台州,67.97,1.05,26.36,65.33,68.2,45.89,12.31
2017-01-14,台州,77.44,0.75,28.12,67.29,89.88,52.86,14.51
2017-01-15,台州,31.89,0.45,16.61,58.55,31.82,14.02,5.47
2017-01-16,台州,40.85,0.58,20.35,56.01,42.37,21.36,6.35
2017-01-17,台州,49.57,0.74,39.08,25.15,52.0,27.6,9.35
2017-01-18,台州,33.6,0.86,28.81,34.25,31.92,21.68,3.79
2017-01-19,台州,23.92,0.94,23.33,45.5,20.77,14.94,2.88
2017-01-20,台州,50.62,0.96,16.88,69.08,47.93,31.97,7.74
2017-01-21,台州,50.99,0.94,22.35,56.69,59.48,24.14,7.18
2017-01-22,台州,71.6,1.09,28.58,54.97,86.03,45.38,14.89
2017-01-23,台州,68.78,0.77,22.54,61.56,79.17,44.76,10.97
2017-01-24,台州,49.51,0.64,15.22,67.89,50.36,26.36,8.31
2017-01-25,台州,60.33,0.68,20.28,59.19,63.86,39.74,7.43
2017-01-26,台州,71.8,0.78,22.06,47.84,73.0,49.94,6.08
2017-01-27,台州,84.75,0.54,15.65,72.72,84.69,61.04,6.06
2017-01-28,台州,165.13,0.71,18.84,65.12,168.72,127.46,9.06
2017-01-29,台州,84.19,0.57,16.88,49.1,87.62,58.3,6.26
2017-01-30,台州,55.35,0.67,10.54,51.25,58.18,38.1,2.86
2017-01-31,台州,32.0,0.38,6.43,73.62,30.03,16.0,3.11
2017-02-01,台州,35.46,0.74,8.57,61.86,33.74,21.42,2.44
2017-02-02,台州,43.43,0.78,7.76,83.32,41.12,27.32,4.9
2017-02-03,台州,36.32,0.42,17.49,52.72,36.62,17.51,4.56
