time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宁波,95.36,1.13,62.23,18.91,111.29,69.24,13.03
2017-01-02,宁波,94.62,1.14,67.28,21.93,109.22,69.49,18.96
2017-01-03,宁波,91.01,0.92,58.86,43.99,102.97,67.14,12.37
2017-01-04,宁波,83.81,1.01,64.18,36.07,98.73,60.11,13.29
2017-01-05,宁波,50.28,0.83,51.76,51.72,51.23,32.43,8.71
2017-01-06,宁波,44.43,0.96,53.64,22.39,44.41,28.51,8.43
2017-01-07,宁波,46.58,1.2,61.58,5.02,41.22,30.7,9.27
2017-01-08,宁波,66.0,1.17,33.74,26.03,59.07,47.43,12.07
2017-01-09,宁波,91.91,1.21,39.07,42.83,84.34,68.25,16.26
2017-01-10,宁波,112.37,1.26,51.87,33.36,107.99,84.34,15.97
2017-01-11,宁波,46.89,0.69,41.61,48.58,44.42,31.77,8.58
2017-01-12,宁波,45.86,0.71,45.25,41.21,41.54,31.95,8.98
2017-01-13,宁波,83.62,0.96,58.78,37.52,84.53,61.59,21.94
2017-01-14,宁波,60.12,0.79,40.78,49.23,65.75,40.53,12.12
2017-01-15,宁波,25.45,0.51,25.53,52.93,23.77,11.6,7.74
2017-01-16,宁波,37.27,0.54,36.15,42.85,37.95,20.53,8.15
2017-01-17,宁波,84.43,0.97,69.24,6.07,93.39,60.9,12.89
2017-01-18,宁波,78.23,0.98,66.66,13.89,75.45,55.95,9.56
2017-01-19,宁波,78.81,0.84,46.07,44.6,69.63,57.56,9.44
2017-01-20,宁波,74.68,0.79,31.42,54.96,71.87,49.73,12.99
2017-01-21,宁波,60.41,0.76,52.73,38.78,64.87,39.65,9.58
2017-01-22,宁波,82.15,0.89,55.94,39.52,91.39,60.24,15.58
2017-01-23,宁波,51.17,0.75,42.08,46.08,54.06,33.43,10.05
2017-01-24,宁波,48.05,0.71,42.96,45.47,48.62,32.02,10.85
2017-01-25,宁波,65.23,0.73,42.26,51.14,64.82,46.82,10.62
2017-01-26,宁波,61.74,0.69,32.17,52.54,58.71,44.28,7.18
2017-01-27,宁波,71.92,0.64,23.87,72.1,69.36,50.38,8.55
2017-01-28,宁波,65.29,0.56,18.92,63.26,77.35,44.12,9.06
2017-01-29,宁波,57.02,0.61,20.9,67.55,54.06,38.7,7.84
2017-01-30,宁波,43.17,0.71,12.82,57.18,39.62,28.18,5.7
2017-01-31,宁波,24.14,0.5,11.67,71.42,17.57,9.61,6.54
2017-02-01,宁波,36.75,0.56,13.51,68.86,34.19,24.14,7.28
2017-02-02,宁波,55.64,0.7,20.52,71.94,49.52,36.2,9.88
2017-02-03,宁波,27.95,0.5,27.54,47.76,25.82,14.32,6.88
2017-02-04,宁波,83.24,0.76,45.23,23.53,79.21,60.25,7.07
2017-02-05,宁波,108.7,1.26,40.95,25.94,95.71,81.44,8.63
2017-02-06,宁波,98.96,1.07,31.98,62.41,91.06,70.92,8.63
2017-02-07,宁波,27.15,0.46,26.26,69.34,22.38,10.54,8.16
2017-02-08,宁波,30.13,0.5,32.79,50.97,26.35,16.41,7.07
2017-02-09,宁波,90.61,0.95,26.64,66.27,77.31,67.18,12.59
2017-02-10,宁波,73.74,0.82,31.88,69.31,71.01,52.05,16.99
2017-02-11,宁波,61.53,0.81,44.88,51.4,65.14,42.38,18.76
2017-02-12,宁波,71.32,0.88,52.39,51.35,70.08,51.61,15.88
2017-02-13,宁波,67.93,0.83,65.33,52.74,68.46,48.74,14.79
