time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,富阳,180.89,1.54,60.11,18.21,201.16,137.26,9.21
2017-01-02,富阳,185.05,1.6,67.2,18.0,212.55,141.0,16.9
2017-01-03,富阳,180.38,1.3,62.83,23.79,195.92,137.62,13.08
2017-01-04,富阳,170.96,1.31,74.12,13.04,202.54,130.12,9.17
2017-01-05,富阳,115.58,1.1,58.71,13.0,147.17,86.08,8.71
2017-01-06,富阳,27.08,0.68,33.88,17.62,24.04,18.12,2.17
2017-01-07,富阳,35.48,1.09,38.61,9.13,29.96,24.17,2.48
2017-01-08,富阳,44.12,0.87,21.5,26.25,36.67,31.5,2.67
2017-01-09,富阳,100.87,1.01,26.09,39.65,88.87,75.3,10.35
2017-01-10,富阳,146.29,1.27,50.46,12.5,139.62,111.04,11.88
2017-01-11,富阳,91.87,1.0,43.0,22.13,87.87,68.22,7.35
2017-01-12,富阳,,,,,,,
2017-01-13,富阳,,,,,,,
2017-01-14,富阳,,,,,,,
2017-01-15,富阳,,,,,,,
2017-01-16,富阳,,,,,,,
2017-01-17,富阳,99.92,0.89,58.0,11.25,107.33,74.75,5.33
2017-01-18,富阳,61.0,0.9,47.12,18.0,55.17,43.92,3.67
2017-01-19,富阳,74.21,0.87,34.83,22.67,60.46,54.12,3.62
2017-01-20,富阳,65.33,0.65,20.88,41.79,61.5,46.08,7.62
2017-01-21,富阳,62.46,0.69,34.0,24.12,70.75,42.5,6.29
2017-01-22,富阳,90.62,0.84,36.67,25.25,97.42,67.21,7.92
2017-01-23,富阳,83.5,0.86,33.33,34.12,88.21,61.46,9.83
2017-01-24,富阳,64.08,0.7,24.04,40.25,63.08,46.08,6.33
2017-01-25,富阳,76.11,0.72,20.61,33.56,74.06,55.61,4.39
2017-01-26,富阳,,,,,,,
2017-01-27,富阳,,,,,,,
2017-01-28,富阳,,,,,,,
2017-01-29,富阳,,,,,,,
2017-01-30,富阳,,,,,,,
2017-01-31,富阳,41.22,0.54,12.33,53.44,38.0,28.67,2.56
2017-02-01,富阳,60.08,0.63,14.71,41.54,53.42,42.79,1.71
2017-02-02,富阳,74.79,0.85,11.46,58.0,63.67,54.88,4.42
2017-02-03,富阳,56.96,0.78,25.83,31.08,55.79,40.88,3.04
2017-02-04,富阳,96.83,1.0,35.04,13.17,92.7,72.13,1.78
2017-02-05,富阳,78.54,1.32,31.67,16.17,71.0,57.54,2.88
2017-02-06,富阳,99.83,1.23,23.08,39.67,98.21,74.54,4.0
2017-02-07,富阳,26.13,0.48,15.65,48.35,25.43,17.22,2.61
2017-02-08,富阳,25.88,0.51,21.21,37.0,23.21,17.58,1.62
2017-02-09,富阳,79.88,0.74,15.88,48.67,63.86,58.62,5.58
2017-02-10,富阳,61.89,0.65,21.37,46.63,55.42,44.74,8.63
2017-02-11,富阳,56.58,0.66,27.58,37.79,55.67,40.25,8.62
2017-02-12,富阳,74.75,0.75,32.67,35.17,71.38,54.58,8.71
2017-02-13,富阳,80.42,0.8,37.25,33.5,80.46,59.29,7.21
2017-02-14,富阳,101.88,0.85,38.88,46.54,103.0,76.33,8.79
2017-02-15,富阳,91.75,0.9,40.67,43.92,91.29,68.12,8.17
2017-02-16,富阳,78.79,0.97,32.58,43.54,78.17,57.79,6.75
2017-02-17,富阳,127.28,1.04,41.0,17.88,139.48,97.88,4.8
2017-02-18,富阳,80.86,0.74,35.39,25.96,87.14,56.93,3.86
2017-02-19,富阳,79.39,1.01,24.07,37.18,82.32,58.18,4.64
2017-02-20,富阳,93.03,1.07,28.53,31.97,92.5,67.4,6.83
2017-02-21,富阳,57.06,0.54,20.75,50.11,63.58,34.39,7.64
2017-02-22,富阳,48.17,0.71,18.04,35.21,49.0,34.12,10.21
2017-02-23,富阳,90.21,0.74,7.62,65.69,77.31,66.88,13.96
2017-02-24,富阳,125.75,0.92,24.27,57.0,122.83,95.17,18.04
2017-02-25,富阳,143.96,0.96,24.02,69.08,141.04,109.12,18.44
2017-02-26,富阳,148.71,0.97,25.12,77.35,143.62,112.67,21.48
2017-02-27,富阳,151.35,0.95,26.5,76.38,150.94,114.56,24.96
2017-02-28,富阳,100.19,0.76,25.77,67.15,103.12,74.88,18.9
2017-03-01,富阳,83.04,0.74,19.12,57.54,91.44,58.44,16.19
2017-03-02,富阳,55.74,0.52,9.04,67.54,64.67,33.07,13.54
2017-03-03,富阳,77.4,0.76,33.85,46.19,95.0,56.02,18.69
2017-03-04,富阳,91.5,0.95,40.53,30.89,111.58,67.64,16.17
2017-03-05,富阳,88.17,0.8,24.17,45.04,98.25,65.21,8.83
2017-03-06,富阳,72.18,0.69,18.72,59.56,71.03,51.95,13.49
2017-03-07,富阳,81.79,0.61,33.77,43.73,89.19,59.46,18.52
2017-03-08,富阳,109.76,0.64,29.48,51.93,119.76,82.33,18.63
2017-03-09,富阳,94.42,0.66,28.19,54.65,103.15,70.02,22.29
2017-03-10,富阳,77.1,0.7,30.19,45.12,84.04,55.88,16.67
2017-03-11,富阳,40.17,0.53,15.48,55.83,38.21,27.25,10.02
2017-03-12,富阳,76.33,0.74,41.35,21.73,83.96,55.85,9.25
2017-03-13,富阳,27.73,0.45,10.83,72.1,18.1,14.29,8.83
2017-03-14,富阳,46.04,0.44,11.15,64.25,42.4,31.33,14.1
2017-03-15,富阳,67.67,0.54,23.35,61.0,73.7,48.33,18.54
2017-03-16,富阳,85.09,0.56,23.71,36.29,82.6,62.74,11.43
2017-03-17,富阳,66.44,0.55,25.56,50.58,68.69,47.72,16.83
2017-03-18,富阳,113.21,0.8,38.65,19.58,123.15,85.31,13.46
2017-03-19,富阳,70.38,0.87,30.4,35.4,73.46,51.52,11.6
2017-03-20,富阳,27.88,0.94,21.4,28.46,25.35,19.23,10.4
2017-03-21,富阳,62.49,0.68,9.91,71.81,54.21,44.88,11.16
2017-03-22,富阳,108.94,0.69,9.69,73.23,74.97,60.97,218.74
2017-03-23,富阳,88.23,0.77,11.54,38.96,54.19,41.6,233.56
2017-03-24,富阳,44.73,0.61,10.77,49.54,39.23,31.25,10.38
2017-03-25,富阳,56.58,0.7,7.23,52.98,56.17,38.69,11.67
2017-03-26,富阳,62.54,0.77,9.98,52.56,74.12,40.75,16.48
2017-03-27,富阳,66.59,0.71,16.26,58.91,79.7,43.98,18.33
2017-03-28,富阳,67.0,0.65,21.83,57.15,77.12,44.25,16.27
2017-03-29,富阳,136.96,0.88,24.0,64.25,170.83,102.6,18.02
2017-03-30,富阳,86.19,0.73,26.54,45.67,92.0,62.44,11.17
2017-03-31,富阳,33.83,0.6,14.27,73.58,27.9,19.54,10.02
2017-04-01,富阳,82.98,0.81,18.91,58.96,80.93,61.04,13.37
2017-04-02,富阳,68.98,0.75,25.85,56.33,69.55,49.38,14.54
2017-04-03,富阳,69.46,0.7,25.8,61.87,74.49,49.24,18.39
2017-04-04,富阳,61.52,0.71,25.02,66.09,68.31,43.52,14.91
2017-04-05,富阳,58.85,0.65,19.4,63.33,66.66,41.27,13.9
2017-04-06,富阳,152.93,1.02,43.72,41.74,176.46,116.43,17.26
2017-04-07,富阳,68.54,0.81,33.29,28.98,67.21,49.62,8.48
2017-04-08,富阳,117.02,0.97,24.56,66.42,120.71,88.29,11.33
2017-04-09,富阳,37.21,0.72,19.17,51.88,33.33,24.53,8.83
2017-04-10,富阳,25.79,0.71,17.33,51.52,20.79,15.35,8.81
2017-04-11,富阳,34.46,0.67,14.46,39.88,30.77,23.73,9.44
2017-04-12,富阳,63.33,0.68,21.17,56.27,62.31,43.69,14.1
2017-04-13,富阳,59.5,0.61,26.52,64.5,65.6,39.81,15.6
2017-04-14,富阳,62.96,0.75,27.94,53.31,68.81,44.17,15.69
2017-04-15,富阳,72.25,0.8,27.56,60.02,81.9,51.21,18.5
2017-04-16,富阳,74.98,0.81,26.94,44.71,86.0,53.79,16.98
2017-04-17,富阳,35.88,0.77,17.65,42.23,34.71,21.83,11.56
2017-04-18,富阳,63.17,0.65,17.04,46.07,77.09,34.22,11.89
2017-04-19,富阳,82.4,0.71,24.44,60.54,114.35,48.73,17.35
2017-04-20,富阳,70.81,0.81,13.02,65.19,75.25,50.83,9.83
2017-04-21,富阳,87.42,0.99,19.02,49.83,93.17,64.15,12.02
2017-04-22,富阳,50.73,0.71,14.88,66.88,53.21,27.5,13.85
2017-04-23,富阳,71.54,0.8,20.12,67.75,79.31,51.21,15.65
2017-04-24,富阳,78.5,0.82,21.98,67.83,87.15,56.9,17.19
2017-04-25,富阳,96.02,0.91,32.73,46.08,106.46,70.92,16.73
2017-04-26,富阳,34.58,0.55,12.96,62.79,31.66,22.09,9.31
2017-04-27,富阳,42.08,0.63,14.4,67.73,41.88,25.31,13.75
2017-04-28,富阳,56.44,0.79,23.15,62.23,59.96,37.33,15.5
2017-04-29,富阳,58.43,0.77,24.89,62.41,62.0,38.39,16.28
2017-04-30,富阳,61.48,0.7,28.83,51.96,65.42,41.69,18.02
2017-05-01,富阳,87.72,0.94,34.3,36.46,101.61,64.74,16.87
2017-05-02,富阳,52.7,0.64,17.83,47.89,50.63,36.59,8.54
2017-05-03,富阳,47.44,0.62,18.85,43.65,43.56,32.88,11.56
2017-05-04,富阳,57.33,0.91,31.02,15.8,57.94,39.54,11.42
2017-05-05,富阳,41.89,0.8,19.17,35.53,39.09,26.98,10.96
2017-05-06,富阳,76.79,0.88,26.79,55.09,74.21,56.15,11.19
2017-05-07,富阳,93.9,0.96,28.75,59.62,109.5,67.88,14.21
2017-05-08,富阳,91.28,1.04,36.97,25.18,114.38,67.72,9.41
2017-05-09,富阳,37.96,0.59,19.67,60.29,37.08,24.5,9.71
2017-05-10,富阳,53.62,0.65,33.67,53.42,57.83,36.0,12.33
2017-05-11,富阳,62.33,0.72,30.12,67.08,67.12,44.54,14.29
2017-05-12,富阳,60.04,0.62,25.71,66.75,60.92,42.29,8.46
2017-05-13,富阳,42.0,0.55,19.33,56.62,37.42,24.58,9.17
2017-05-14,富阳,67.62,0.74,20.92,83.58,70.46,47.96,13.17
2017-05-15,富阳,69.73,0.5,14.73,85.45,64.09,50.73,10.41
2017-05-16,富阳,50.42,0.64,30.83,42.29,52.0,33.29,9.58
2017-05-17,富阳,52.52,0.63,26.35,62.26,49.74,34.3,11.39
2017-05-18,富阳,62.46,0.71,25.71,82.92,63.92,44.25,13.79
2017-05-19,富阳,72.79,0.77,27.29,74.88,77.08,53.0,15.96
2017-05-20,富阳,76.23,0.8,26.58,60.74,79.95,55.82,13.37
2017-05-21,富阳,58.55,0.7,15.45,87.0,56.55,41.41,10.18
2017-05-22,富阳,68.11,0.64,21.39,60.61,66.94,49.39,10.72
2017-05-23,富阳,92.29,0.89,37.43,46.07,89.36,67.79,7.64
2017-05-24,富阳,46.46,0.64,12.79,55.62,35.46,31.54,7.33
2017-05-25,富阳,42.42,0.67,25.12,61.29,33.92,25.62,11.42
2017-05-26,富阳,78.96,0.82,28.17,90.74,81.7,57.43,14.48
2017-05-27,富阳,92.71,0.88,27.96,94.79,96.0,67.54,13.67
2017-05-28,富阳,72.0,0.8,30.04,85.54,71.88,50.67,13.29
2017-05-29,富阳,64.38,0.7,27.71,72.46,65.54,44.38,13.96
2017-05-30,富阳,62.29,0.72,30.5,61.62,64.38,44.75,12.38
2017-05-31,富阳,80.0,0.8,31.88,56.29,81.33,58.62,13.5
2017-06-01,富阳,99.18,0.93,27.14,53.32,95.77,74.09,13.14
2017-06-02,富阳,82.58,0.8,17.54,73.79,74.25,60.79,11.92
2017-06-03,富阳,67.29,0.7,17.62,76.08,63.46,48.62,11.5
2017-06-04,富阳,36.33,0.55,15.88,76.88,34.58,22.46,13.21
2017-06-05,富阳,40.25,0.54,20.38,52.75,39.12,27.29,9.08
2017-06-06,富阳,44.29,0.78,23.38,39.0,44.21,30.75,9.92
2017-06-07,富阳,42.42,0.72,22.04,52.25,38.67,29.42,8.21
2017-06-08,富阳,80.29,0.78,23.0,84.88,74.83,59.12,11.96
2017-06-09,富阳,84.08,1.03,35.54,43.21,80.54,62.58,12.58
2017-06-10,富阳,35.04,0.6,17.42,37.0,31.88,23.83,11.5
2017-06-11,富阳,33.88,0.42,19.67,39.46,31.04,23.33,8.25
2017-06-12,富阳,25.46,0.4,18.62,51.33,23.94,13.79,7.33
