time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,杭州,184.67,1.65,86.73,18.73,207.46,142.37,18.77
2017-01-02,杭州,198.19,1.68,86.49,19.78,216.23,154.36,28.84
2017-01-03,杭州,176.06,1.39,79.88,26.21,183.7,134.95,23.3
2017-01-04,杭州,164.48,1.31,81.2,10.8,183.27,126.16,18.57
2017-01-05,杭州,89.49,1.05,61.03,19.93,101.11,64.59,11.42
2017-01-06,杭州,35.21,0.89,46.18,18.71,30.6,22.43,9.02
2017-01-07,杭州,35.52,1.22,48.33,6.0,29.86,23.54,9.5
2017-01-08,杭州,51.02,1.06,29.63,39.15,47.65,36.31,8.95
2017-01-09,杭州,95.64,1.2,34.79,56.11,91.47,71.15,18.74
2017-01-10,杭州,146.41,1.43,59.55,20.02,138.74,111.0,22.92
2017-01-11,杭州,81.36,1.1,55.04,26.98,77.12,59.67,14.6
2017-01-12,杭州,47.01,1.0,55.06,9.84,41.63,32.68,8.94
2017-01-13,杭州,66.71,1.12,47.74,28.45,68.99,48.28,14.04
2017-01-14,杭州,88.51,1.17,53.47,38.38,96.59,64.31,18.42
2017-01-15,杭州,40.42,0.72,43.38,34.97,41.49,23.35,12.59
2017-01-16,杭州,58.79,0.79,53.13,28.38,62.59,39.73,12.03
2017-01-17,杭州,82.05,0.98,65.5,9.47,92.77,59.67,12.72
2017-01-18,杭州,62.14,1.05,54.76,17.23,57.35,44.09,9.84
2017-01-19,杭州,87.37,0.99,44.94,32.42,80.19,64.65,10.85
2017-01-20,杭州,72.28,0.83,30.34,55.32,71.85,47.55,15.02
2017-01-21,杭州,59.16,0.87,51.33,29.78,67.77,36.14,12.63
2017-01-22,杭州,82.93,1.07,49.82,35.68,96.7,60.51,18.23
2017-01-23,杭州,70.45,1.06,50.69,38.92,76.79,50.11,17.63
2017-01-24,杭州,49.26,0.75,27.49,63.83,50.16,32.88,13.88
2017-01-25,杭州,64.93,0.79,32.54,52.51,64.8,46.46,12.4
2017-01-26,杭州,77.94,0.86,32.58,30.17,75.81,57.1,8.25
2017-01-27,杭州,126.77,1.08,29.18,43.25,123.87,96.96,10.52
2017-01-28,杭州,98.43,0.81,28.56,59.17,106.67,73.23,10.72
2017-01-29,杭州,98.43,0.85,25.9,42.98,95.29,73.16,10.0
2017-01-30,杭州,52.41,0.83,17.42,48.75,49.31,35.87,8.42
2017-01-31,杭州,32.05,0.55,14.53,64.15,31.89,19.39,9.01
2017-02-01,杭州,58.0,0.69,16.79,56.61,53.25,40.81,8.89
2017-02-02,杭州,65.9,0.83,17.69,72.88,60.87,47.19,11.01
2017-02-03,杭州,56.11,0.78,35.72,32.73,57.22,38.79,10.11
2017-02-04,杭州,90.65,0.96,40.3,10.95,84.55,67.22,9.41
2017-02-05,杭州,91.76,1.26,36.95,23.34,81.17,67.94,10.77
2017-02-06,杭州,119.92,1.23,36.95,55.55,113.46,88.84,12.79
2017-02-07,杭州,31.34,0.55,25.68,63.72,30.55,17.23,10.23
2017-02-08,杭州,33.45,0.67,28.69,44.26,30.44,21.29,7.98
2017-02-09,杭州,86.01,0.92,22.85,68.57,74.37,63.55,12.77
2017-02-10,杭州,76.02,0.81,25.98,72.87,72.34,54.62,16.64
2017-02-11,杭州,53.36,0.7,39.8,54.85,53.64,36.34,14.88
2017-02-12,杭州,73.43,0.82,52.29,47.02,75.19,53.28,15.68
2017-02-13,杭州,99.76,0.94,70.24,40.83,103.65,74.37,15.66
2017-02-14,杭州,112.11,0.94,65.4,56.72,115.91,84.02,18.63
2017-02-15,杭州,101.85,0.89,70.35,75.34,105.2,76.01,16.9
2017-02-16,杭州,79.41,0.95,74.53,36.56,85.43,57.48,12.94
2017-02-17,杭州,112.14,0.94,56.36,23.9,120.73,83.95,9.94
2017-02-18,杭州,70.61,0.71,51.09,30.14,76.93,47.66,11.17
2017-02-19,杭州,80.54,0.97,43.85,44.37,86.43,58.34,10.09
2017-02-20,杭州,87.58,0.97,45.35,34.15,91.7,59.93,10.17
2017-02-21,杭州,58.53,0.7,37.77,53.43,67.3,32.43,11.09
2017-02-22,杭州,50.86,0.88,41.05,24.17,54.97,35.16,8.7
2017-02-23,杭州,100.84,0.95,31.89,52.35,97.46,75.42,14.21
2017-02-24,杭州,123.96,1.03,57.55,47.53,122.69,93.67,19.69
2017-02-25,杭州,154.27,1.17,69.2,56.49,151.87,116.91,17.99
2017-02-26,杭州,164.06,1.2,85.37,66.35,164.19,124.45,20.61
2017-02-27,杭州,165.85,1.12,80.56,65.76,174.37,128.1,26.27
2017-02-28,杭州,96.08,0.83,68.19,62.41,105.47,70.67,20.65
2017-03-01,杭州,83.28,0.72,46.97,59.82,101.46,54.78,15.07
2017-03-02,杭州,72.07,0.63,35.89,64.66,89.79,43.26,14.04
2017-03-03,杭州,81.82,0.78,69.52,48.98,99.37,58.59,17.22
2017-03-04,杭州,107.92,0.95,82.08,43.65,129.59,80.13,16.57
2017-03-05,杭州,91.45,0.8,56.06,50.47,100.95,66.78,11.81
2017-03-06,杭州,77.91,0.82,40.59,66.66,79.78,55.64,12.17
2017-03-07,杭州,84.58,0.9,69.45,45.54,97.92,61.48,16.84
2017-03-08,杭州,105.45,0.9,54.03,56.71,118.92,78.75,15.25
2017-03-09,杭州,111.31,1.01,72.27,54.31,125.42,82.7,18.53
2017-03-10,杭州,93.18,0.92,65.32,49.41,102.93,67.28,14.34
2017-03-11,杭州,46.59,0.75,40.84,61.0,46.31,29.88,8.75
2017-03-12,杭州,66.36,0.9,58.42,28.08,71.9,46.1,10.19
2017-03-13,杭州,37.62,0.74,31.99,69.42,32.56,23.44,8.0
2017-03-14,杭州,55.28,0.74,38.86,66.71,59.54,36.36,15.48
2017-03-15,杭州,65.74,0.79,53.71,68.01,74.79,45.06,16.08
2017-03-16,杭州,75.18,0.76,48.47,59.04,78.26,54.12,11.27
2017-03-17,杭州,66.93,0.69,49.38,60.53,68.97,46.78,14.09
2017-03-18,杭州,100.66,0.86,68.35,16.97,114.59,74.36,17.09
2017-03-19,杭州,64.95,0.77,49.5,43.8,71.65,42.48,10.09
2017-03-20,杭州,39.11,0.95,40.61,34.53,34.29,22.96,7.55
2017-03-21,杭州,80.94,0.92,35.83,89.73,80.27,57.86,10.59
2017-03-22,杭州,81.12,0.86,44.39,70.04,83.3,58.94,10.96
2017-03-23,杭州,58.11,0.82,47.4,36.84,59.3,40.61,11.27
2017-03-24,杭州,45.93,0.7,47.63,47.31,42.03,30.04,8.59
