time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,温州,67.16,0.72,55.37,19.29,79.72,38.74,11.16
2017-01-02,温州,73.4,0.79,59.59,23.35,95.12,47.51,14.88
2017-01-03,温州,113.96,1.06,77.94,36.69,150.35,84.07,22.8
2017-01-04,温州,104.39,1.0,74.17,35.24,133.81,74.02,21.38
2017-01-05,温州,84.1,1.07,76.71,32.58,111.52,56.04,19.2
2017-01-06,温州,65.68,0.91,61.9,18.59,81.43,36.91,12.61
2017-01-07,温州,57.55,0.84,68.27,18.52,63.4,33.6,14.21
2017-01-08,温州,31.57,0.78,36.12,30.12,31.41,11.86,6.66
2017-01-09,温州,141.25,0.84,34.0,91.0,99.14,110.62,12.81
2017-01-10,温州,132.64,1.05,44.24,47.29,131.01,102.11,16.77
2017-01-11,温州,71.29,0.89,31.73,44.81,77.98,46.43,6.68
2017-01-12,温州,28.42,0.86,36.9,16.28,26.12,14.73,4.89
2017-01-13,温州,44.82,0.86,45.19,31.3,47.68,30.88,8.17
2017-01-14,温州,76.0,0.73,37.3,70.64,88.17,52.73,14.51
2017-01-15,温州,46.44,0.48,31.14,54.71,47.51,22.42,6.69
2017-01-16,温州,47.44,0.48,34.04,43.79,48.95,23.41,5.96
2017-01-17,温州,52.76,0.56,46.72,25.82,55.4,30.16,5.78
2017-01-18,温州,36.55,0.55,46.76,14.29,35.03,22.8,2.21
2017-01-19,温州,23.33,0.58,38.03,26.83,18.98,12.25,1.75
2017-01-20,温州,45.71,0.58,25.75,56.54,45.09,30.03,5.16
2017-01-21,温州,51.38,0.49,31.6,54.07,53.79,27.49,6.22
2017-01-22,温州,63.56,0.64,32.32,58.39,71.58,41.54,6.54
2017-01-23,温州,72.46,0.69,29.54,70.07,85.02,49.6,9.3
2017-01-24,温州,46.43,0.51,20.58,70.03,47.54,25.25,6.03
2017-01-25,温州,51.6,0.54,31.92,44.65,50.89,32.36,4.24
2017-01-26,温州,58.82,0.58,29.25,35.35,56.9,40.62,2.49
2017-01-27,温州,59.29,0.51,20.57,66.11,57.16,40.23,3.66
2017-01-28,温州,137.55,0.67,23.79,59.18,131.82,103.69,7.32
2017-01-29,温州,65.09,0.61,25.81,51.0,61.63,46.14,3.12
2017-01-30,温州,47.67,0.8,14.87,49.23,46.61,31.65,2.51
2017-01-31,温州,56.27,0.63,12.4,70.05,57.33,37.49,2.86
2017-02-01,温州,42.31,0.58,18.01,49.28,40.06,25.94,2.64
2017-02-02,温州,48.78,0.72,13.74,71.91,45.35,32.01,2.46
2017-02-03,温州,49.08,0.67,27.84,49.43,47.56,30.55,3.41
2017-02-04,温州,43.12,0.59,29.89,43.1,42.64,24.35,4.5
2017-02-05,温州,59.03,0.97,34.49,22.53,57.83,39.81,2.79
2017-02-06,温州,87.91,1.12,21.82,73.05,87.22,64.48,5.38
2017-02-07,温州,66.55,0.77,16.37,87.73,70.02,43.96,3.99
2017-02-08,温州,34.14,0.64,28.73,42.0,33.03,17.97,2.64
2017-02-09,温州,38.34,0.78,15.16,65.3,33.9,24.83,2.95
2017-02-10,温州,75.06,0.94,28.6,81.34,75.56,54.06,9.42
2017-02-11,温州,64.46,0.87,36.69,67.04,68.26,43.6,13.3
2017-02-12,温州,70.65,0.87,48.99,55.04,78.03,48.28,13.93
2017-02-13,温州,64.8,0.85,56.46,54.48,72.17,43.11,13.9
2017-02-14,温州,68.43,0.67,53.86,61.5,74.25,47.48,14.04
2017-02-15,温州,71.23,0.71,58.43,58.23,79.08,49.04,15.76
2017-02-16,温州,68.76,0.73,59.28,40.41,78.02,46.1,15.75
2017-02-17,温州,100.07,0.98,59.21,56.78,115.84,72.77,16.14
2017-02-18,温州,83.12,0.75,36.28,44.79,100.34,57.83,11.82
2017-02-19,温州,81.88,0.89,61.4,41.71,101.97,56.76,19.78
2017-02-20,温州,99.44,1.12,61.93,44.37,126.77,71.74,16.31
2017-02-21,温州,56.74,0.59,26.92,63.29,63.68,25.85,5.69
2017-02-22,温州,60.92,0.82,50.99,32.82,64.0,40.88,8.32
2017-02-23,温州,30.71,0.62,29.65,32.1,27.56,17.84,4.77
2017-02-24,温州,85.59,0.86,38.19,35.22,79.31,63.17,6.81
2017-02-25,温州,100.33,0.91,47.71,25.47,98.6,74.97,12.07
2017-02-26,温州,105.73,0.89,52.33,65.76,112.86,79.15,17.24
2017-02-27,温州,141.54,0.94,63.32,82.31,157.26,107.54,19.6
2017-02-28,温州,99.88,0.77,59.14,60.29,111.31,69.56,17.25
2017-03-01,温州,78.96,0.72,59.28,60.43,94.71,52.81,16.06
2017-03-02,温州,71.92,0.53,40.02,82.54,87.39,42.34,10.82
2017-03-03,温州,86.26,0.79,49.25,70.24,98.83,58.56,16.03
2017-03-04,温州,83.91,0.84,71.88,40.94,103.22,56.76,21.77
2017-03-05,温州,70.34,0.85,52.91,42.55,74.93,47.95,11.09
2017-03-06,温州,71.75,0.73,38.22,66.88,50.34,51.7,9.0
2017-03-07,温州,58.9,0.59,37.45,77.38,66.08,33.77,14.29
