time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,湖州,154.37,1.45,84.04,34.27,140.44,116.1,24.87
2017-01-02,湖州,174.8,1.54,82.04,32.09,151.22,133.32,30.4
2017-01-03,湖州,149.85,1.37,69.88,39.79,132.18,112.69,22.88
2017-01-04,湖州,138.93,1.35,76.24,27.88,125.79,104.12,25.05
2017-01-05,湖州,71.45,0.99,49.84,56.88,80.75,51.69,13.92
2017-01-06,湖州,65.92,0.99,52.52,42.26,64.12,47.26,13.43
2017-01-07,湖州,67.24,1.06,55.24,30.64,75.14,48.02,16.19
2017-01-08,湖州,99.51,1.25,48.28,42.25,88.85,73.39,18.51
2017-01-09,湖州,106.17,1.2,51.47,54.86,93.17,78.68,21.42
2017-01-10,湖州,124.42,1.26,56.82,46.35,109.14,93.21,19.8
2017-01-11,湖州,91.42,0.98,53.42,52.73,84.44,66.84,18.25
2017-01-12,湖州,82.68,0.97,58.12,34.03,81.8,59.96,18.23
2017-01-13,湖州,95.0,1.12,58.33,44.49,89.71,69.72,24.8
2017-01-14,湖州,90.08,1.09,50.85,59.02,87.95,65.56,18.48
2017-01-15,湖州,64.55,0.81,43.66,60.54,62.82,44.88,14.19
2017-01-16,湖州,73.15,0.85,52.67,50.65,70.14,51.44,15.29
2017-01-17,湖州,89.3,1.02,73.81,29.9,82.19,65.17,18.19
2017-01-18,湖州,81.25,0.98,63.3,38.77,87.04,58.83,14.08
2017-01-19,湖州,107.58,1.15,58.45,45.39,97.04,79.42,16.14
2017-01-20,湖州,84.58,0.97,48.92,60.83,84.74,58.45,17.33
2017-01-21,湖州,78.63,1.0,60.0,45.28,76.29,53.46,18.03
2017-01-22,湖州,95.52,1.21,62.68,45.82,95.33,70.03,21.07
2017-01-23,湖州,79.32,1.01,53.22,55.58,76.49,56.67,17.41
2017-01-24,湖州,73.29,0.89,46.33,62.37,71.94,52.02,18.88
2017-01-25,湖州,93.68,1.0,44.08,74.36,85.05,68.67,18.61
2017-01-26,湖州,98.82,1.03,47.81,57.69,89.16,72.78,20.32
2017-01-27,湖州,109.64,0.97,42.46,61.51,102.91,79.7,15.47
2017-01-28,湖州,98.75,0.85,42.25,66.08,102.85,69.85,17.33
2017-01-29,湖州,107.82,1.03,44.93,48.5,102.14,79.73,15.05
