time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,绍兴,161.05,1.34,77.96,31.57,191.52,104.85,17.17
2017-01-02,绍兴,176.03,1.47,85.84,42.93,213.03,117.18,24.38
2017-01-03,绍兴,147.61,1.05,64.68,42.65,178.88,95.29,20.64
2017-01-04,绍兴,156.14,1.1,72.06,31.88,186.34,102.1,21.39
2017-01-05,绍兴,105.04,0.95,52.67,38.24,138.82,60.54,12.69
2017-01-06,绍兴,77.58,0.96,49.96,32.22,104.31,33.47,10.01
2017-01-07,绍兴,73.1,1.25,55.32,25.35,95.09,35.4,9.43
2017-01-08,绍兴,83.29,1.09,38.49,43.21,107.25,40.33,11.07
2017-01-09,绍兴,106.86,1.1,34.36,60.92,125.05,62.18,16.18
2017-01-10,绍兴,132.91,1.15,56.24,39.22,149.96,83.05,16.33
2017-01-11,绍兴,95.22,0.84,46.53,47.49,115.06,52.65,12.05
2017-01-12,绍兴,73.86,0.71,42.83,44.59,90.54,36.2,10.11
2017-01-13,绍兴,86.66,0.91,55.32,43.78,109.95,46.12,14.54
2017-01-14,绍兴,90.53,0.89,49.44,49.45,121.17,48.41,12.41
2017-01-15,绍兴,62.88,0.67,35.82,54.0,84.16,24.45,10.16
2017-01-16,绍兴,71.38,0.63,40.22,51.56,94.61,31.42,10.8
2017-01-17,绍兴,88.8,0.76,65.76,27.06,119.14,47.07,12.03
2017-01-18,绍兴,88.04,0.88,55.04,37.81,106.27,47.43,10.17
2017-01-19,绍兴,108.16,0.85,42.67,52.19,122.72,63.39,9.83
2017-01-20,绍兴,80.1,0.72,28.91,65.32,104.47,37.51,12.02
2017-01-21,绍兴,81.87,0.73,41.17,51.06,114.27,33.23,11.19
2017-01-22,绍兴,104.01,0.92,49.46,52.74,144.06,56.25,16.32
2017-01-23,绍兴,85.57,0.73,39.62,59.39,114.27,41.13,13.4
2017-01-24,绍兴,72.45,0.58,23.68,66.99,95.72,31.6,10.63
2017-01-25,绍兴,83.22,0.66,29.78,58.15,108.19,42.1,10.24
2017-01-26,绍兴,87.56,0.71,27.2,44.62,111.05,45.46,7.4
2017-01-27,绍兴,123.54,0.87,23.58,65.81,147.02,72.05,10.18
2017-01-28,绍兴,115.01,0.71,20.87,63.0,145.51,65.08,8.59
2017-01-29,绍兴,99.98,0.74,19.03,59.75,128.3,56.08,8.5
2017-01-30,绍兴,73.69,0.77,13.91,57.26,94.94,35.24,6.56
2017-01-31,绍兴,54.08,0.52,9.97,70.46,74.95,19.78,7.75
2017-02-01,绍兴,70.02,0.6,12.77,64.6,93.45,30.39,7.92
2017-02-02,绍兴,78.49,0.74,14.16,73.6,102.04,37.13,9.11
2017-02-03,绍兴,69.34,0.67,28.25,49.2,93.07,31.64,9.42
2017-02-04,绍兴,107.61,0.88,38.05,36.89,130.45,62.49,9.56
2017-02-05,绍兴,106.99,1.22,39.93,38.38,123.49,62.23,9.71
2017-02-06,绍兴,99.55,1.11,30.1,58.04,118.75,53.53,8.56
2017-02-07,绍兴,57.36,0.62,16.95,72.63,80.12,19.2,8.26
2017-02-08,绍兴,68.36,0.73,28.04,58.22,95.46,24.5,8.21
2017-02-09,绍兴,103.11,0.92,26.15,74.66,130.74,53.0,11.39
2017-02-10,绍兴,89.62,0.85,29.43,73.44,110.67,48.12,14.68
2017-02-11,绍兴,75.66,0.82,42.22,57.06,99.8,37.06,14.77
2017-02-12,绍兴,84.24,0.85,41.6,60.97,107.29,44.19,14.15
2017-02-13,绍兴,106.09,0.96,58.49,57.73,129.03,61.6,14.25
2017-02-14,绍兴,117.44,0.94,59.28,65.02,141.42,70.45,15.45
2017-02-15,绍兴,101.59,0.81,59.18,74.04,127.31,58.08,13.75
