time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,舟山,31.41,0.64,30.77,33.13,31.55,18.42,10.32
2017-01-02,舟山,52.43,0.74,30.33,49.6,57.57,34.22,12.3
2017-01-03,舟山,56.72,0.72,24.64,69.11,63.08,37.88,9.4
2017-01-04,舟山,46.29,0.74,27.31,61.87,48.61,30.6,9.68
2017-01-05,舟山,32.26,0.69,14.69,93.54,25.67,17.08,7.78
2017-01-06,舟山,28.06,0.64,12.79,76.06,20.88,10.54,7.89
2017-01-07,舟山,25.18,0.78,31.66,42.52,19.81,10.65,8.16
2017-01-08,舟山,72.35,1.39,28.35,21.93,82.08,51.72,9.54
2017-01-09,舟山,63.33,1.21,22.04,60.29,62.25,45.49,12.83
2017-01-10,舟山,71.35,1.18,19.04,66.69,71.68,51.51,11.04
2017-01-11,舟山,28.14,0.79,10.71,76.96,24.51,16.74,9.03
2017-01-12,舟山,41.93,0.91,17.03,69.69,45.61,26.31,9.93
2017-01-13,舟山,92.81,1.25,40.14,55.08,102.61,68.94,21.07
2017-01-14,舟山,44.43,0.84,11.42,83.49,46.56,26.06,10.64
2017-01-15,舟山,23.42,0.64,8.67,72.35,18.36,8.47,7.42
2017-01-16,舟山,24.64,0.65,10.31,70.19,22.12,10.35,7.88
2017-01-17,舟山,39.78,0.77,24.26,59.03,41.4,23.11,8.51
2017-01-18,舟山,31.38,0.61,12.17,78.47,29.12,18.26,8.04
2017-01-19,舟山,67.72,0.9,15.5,83.42,71.35,48.51,11.38
2017-01-20,舟山,80.75,1.02,20.21,68.19,87.97,57.24,14.0
2017-01-21,舟山,38.47,0.72,18.19,72.42,37.17,19.75,8.62
2017-01-22,舟山,60.18,0.96,27.88,62.06,72.08,39.85,15.29
2017-01-23,舟山,32.81,0.78,10.11,83.58,30.53,15.89,11.0
2017-01-24,舟山,35.12,0.78,12.18,78.06,34.14,17.76,11.28
2017-01-25,舟山,56.77,0.88,16.17,86.04,60.35,38.06,11.03
