time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,金华,176.0,1.37,84.14,18.78,161.31,133.98,26.19
2017-01-02,金华,172.67,1.52,76.33,31.18,175.83,131.52,31.5
2017-01-03,金华,220.3,1.49,83.46,34.61,202.19,170.9,27.01
2017-01-04,金华,192.17,1.26,78.42,18.97,179.22,146.51,25.0
2017-01-05,金华,171.43,1.27,89.88,12.13,185.08,129.51,24.69
2017-01-06,金华,29.04,0.79,40.99,15.42,28.58,19.01,8.49
2017-01-07,金华,47.28,1.2,39.67,3.7,47.33,30.42,16.58
2017-01-08,金华,43.22,1.26,34.83,11.62,41.26,27.6,19.17
2017-01-09,金华,86.99,1.08,30.25,47.39,76.22,63.83,14.25
2017-01-10,金华,139.89,1.25,46.97,23.49,116.21,106.1,16.69
2017-01-11,金华,65.69,0.96,43.31,20.28,47.76,48.7,7.08
2017-01-12,金华,34.68,0.76,49.42,7.41,25.61,22.97,6.81
2017-01-13,金华,57.28,0.94,46.69,30.89,61.67,40.35,14.81
2017-01-14,金华,89.92,0.92,49.69,42.45,87.39,66.5,16.36
2017-01-15,金华,40.39,0.57,31.31,38.25,39.79,23.39,9.31
2017-01-16,金华,48.35,0.47,30.36,42.46,45.08,32.36,8.29
2017-01-17,金华,52.53,0.53,46.17,19.63,45.37,36.29,8.07
2017-01-18,金华,54.74,0.9,56.85,2.75,42.06,37.97,6.94
2017-01-19,金华,36.67,0.77,38.61,20.94,27.61,25.4,6.11
2017-01-20,金华,69.76,0.69,24.79,48.35,76.07,45.0,9.28
2017-01-21,金华,61.78,0.67,38.68,33.94,66.15,37.25,11.89
2017-01-22,金华,74.43,0.79,39.01,34.86,75.96,54.18,10.44
2017-01-23,金华,75.58,0.82,31.12,49.26,74.69,54.17,14.56
2017-01-24,金华,52.36,0.65,25.88,52.89,49.64,34.82,10.44
2017-01-25,金华,52.69,0.65,26.15,35.61,43.83,36.94,6.26
2017-01-26,金华,59.25,0.73,20.55,20.8,60.67,42.06,3.73
2017-01-27,金华,89.77,0.78,18.03,43.57,55.27,66.97,7.18
2017-01-28,金华,131.6,0.78,19.52,50.08,124.07,99.16,7.62
2017-01-29,金华,85.36,0.66,18.35,41.57,69.22,62.39,6.96
2017-01-30,金华,65.11,0.78,13.57,46.06,66.13,46.4,3.29
2017-01-31,金华,44.83,0.53,8.6,51.58,43.41,29.82,3.07
2017-02-01,金华,53.44,0.52,12.53,42.57,30.38,38.07,2.82
2017-02-02,金华,72.29,0.72,11.51,52.58,60.61,52.49,4.0
2017-02-03,金华,91.17,0.94,29.38,32.93,76.55,67.67,6.42
2017-02-04,金华,96.49,0.95,34.62,17.93,90.82,71.87,6.16
2017-02-05,金华,61.74,1.01,31.61,11.06,52.96,44.26,4.25
2017-02-06,金华,99.21,0.98,20.57,56.71,73.77,74.08,5.76
2017-02-07,金华,48.65,0.54,14.93,62.36,42.59,32.8,4.94
2017-02-08,金华,21.92,0.52,22.49,32.29,20.74,13.26,3.24
2017-02-09,金华,66.11,0.71,18.01,45.58,68.64,48.25,5.6
2017-02-10,金华,80.51,0.76,31.88,43.65,68.11,59.11,13.89
2017-02-11,金华,69.26,0.7,35.67,42.22,67.52,48.8,13.09
2017-02-12,金华,65.62,0.67,37.92,41.0,66.7,45.25,12.21
2017-02-13,金华,63.81,0.69,47.83,38.96,56.04,45.88,11.68
2017-02-14,金华,73.78,0.66,39.93,59.09,57.71,53.71,14.58
2017-02-15,金华,75.44,0.72,49.69,54.97,67.21,53.94,13.5
2017-02-16,金华,72.0,0.82,61.33,37.59,74.03,51.6,14.89
2017-02-17,金华,111.07,0.96,57.35,31.8,94.59,84.29,11.82
2017-02-18,金华,73.54,0.62,34.89,25.7,60.92,53.44,6.04
2017-02-19,金华,95.85,1.13,56.67,25.81,99.03,71.31,15.64
2017-02-20,金华,97.62,1.08,51.29,28.86,104.39,70.15,18.64
2017-02-21,金华,49.9,0.5,25.68,46.56,52.4,20.9,6.68
2017-02-22,金华,48.75,0.8,44.97,16.6,45.6,33.36,10.21
2017-02-23,金华,62.21,0.7,28.38,27.5,40.4,44.85,4.78
2017-02-24,金华,116.07,0.81,34.22,37.36,100.8,87.35,9.17
2017-02-25,金华,145.44,0.97,47.86,47.21,120.58,110.69,13.04
2017-02-26,金华,142.03,0.98,62.1,65.41,116.83,108.12,17.6
2017-02-27,金华,139.18,0.92,62.24,69.25,107.72,105.0,20.01
2017-02-28,金华,122.6,0.9,60.03,69.76,103.23,92.12,18.65
2017-03-01,金华,95.04,0.86,56.11,52.94,97.23,65.68,22.73
2017-03-02,金华,53.71,0.5,27.06,68.0,56.29,27.74,9.57
