time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,三亚,26.21,0.45,8.0,74.95,19.73,11.66,1.82
2017-01-02,三亚,26.75,0.44,12.12,55.05,24.88,11.97,2.12
2017-01-03,三亚,36.6,0.5,18.08,59.81,35.5,17.88,2.38
2017-01-04,三亚,32.17,0.46,9.6,74.73,31.74,16.83,2.04
2017-01-05,三亚,32.89,0.48,11.81,69.74,32.79,17.09,2.38
2017-01-06,三亚,33.17,0.49,12.64,60.74,32.77,17.51,2.62
2017-01-07,三亚,32.63,0.53,18.98,38.09,32.33,15.24,3.26
2017-01-08,三亚,27.27,0.51,12.06,49.08,27.04,13.12,2.52
2017-01-09,三亚,36.96,0.55,10.59,64.22,37.43,23.13,2.74
2017-01-10,三亚,39.76,0.67,8.24,86.35,39.52,22.76,2.26
2017-01-11,三亚,39.38,0.68,7.12,82.33,39.57,21.0,1.98
2017-01-12,三亚,39.33,0.64,8.44,67.56,39.4,19.79,2.04
2017-01-13,三亚,33.83,0.88,16.42,70.38,29.47,15.73,2.02
2017-01-14,三亚,22.9,1.1,21.52,54.35,17.23,7.46,4.96
2017-01-15,三亚,21.79,0.86,12.43,63.68,12.22,4.85,1.89
2017-01-16,三亚,25.65,0.71,9.71,67.08,18.0,8.11,1.98
2017-01-17,三亚,32.09,0.6,8.47,66.36,32.09,11.81,2.11
2017-01-18,三亚,28.42,0.56,9.19,67.96,27.81,11.42,2.04
2017-01-19,三亚,33.98,0.62,14.25,55.77,33.33,16.23,2.08
2017-01-20,三亚,30.9,0.62,9.5,69.71,29.98,17.08,2.23
2017-01-21,三亚,28.4,0.76,8.25,78.79,23.48,15.31,2.15
2017-01-22,三亚,40.79,0.8,8.98,95.33,38.07,27.54,2.19
2017-01-23,三亚,42.98,0.73,9.29,102.08,40.4,28.67,1.88
2017-01-24,三亚,33.31,0.66,11.4,83.38,29.34,18.12,1.54
2017-01-25,三亚,28.25,0.45,5.31,78.62,20.85,10.4,1.17
2017-01-26,三亚,35.38,0.44,5.32,94.79,29.94,18.24,2.03
2017-01-27,三亚,43.06,0.46,5.1,101.38,43.19,25.85,4.08
2017-01-28,三亚,48.65,0.45,8.95,88.26,49.79,31.51,8.67
2017-01-29,三亚,39.78,0.5,12.2,58.0,37.6,26.0,3.28
2017-01-30,三亚,33.5,0.51,14.02,53.58,32.25,20.92,2.75
2017-01-31,三亚,31.08,0.58,12.75,46.48,29.8,18.12,6.19
2017-02-01,三亚,22.38,0.52,4.65,68.58,11.96,5.81,1.79
2017-02-02,三亚,25.73,0.52,4.38,74.02,21.87,12.69,1.44
2017-02-03,三亚,25.42,0.58,5.1,74.56,15.3,8.98,1.31
2017-02-04,三亚,26.63,0.58,7.59,67.09,23.64,12.26,1.13
2017-02-05,三亚,24.83,0.6,10.56,65.88,19.87,10.1,1.27
2017-02-06,三亚,33.1,0.63,10.27,75.67,29.49,17.29,1.9
2017-02-07,三亚,30.09,0.68,6.72,66.02,30.21,15.52,1.65
2017-02-08,三亚,44.25,0.68,8.28,64.21,44.2,23.85,1.76
2017-02-09,三亚,23.79,0.87,8.54,61.6,17.8,11.06,2.0
2017-02-10,三亚,38.21,0.88,8.79,79.31,32.41,25.5,2.29
2017-02-11,三亚,51.17,0.94,9.52,88.83,45.43,35.9,4.33
2017-02-12,三亚,62.56,0.85,10.54,105.75,53.02,44.6,3.1
2017-02-13,三亚,52.12,0.75,9.38,118.58,50.44,34.9,3.12
2017-02-14,三亚,36.62,0.57,7.35,102.31,35.0,18.17,7.31
2017-02-15,三亚,33.65,0.52,6.98,91.88,33.02,16.44,2.27
2017-02-16,三亚,30.62,0.44,6.69,85.31,29.22,13.0,2.02
2017-02-17,三亚,30.71,0.45,9.0,75.27,28.81,13.35,2.0
2017-02-18,三亚,30.08,0.46,10.52,69.38,29.04,15.23,1.92
2017-02-19,三亚,35.25,0.55,13.54,61.62,34.56,18.58,2.48
2017-02-20,三亚,36.17,0.54,13.44,45.92,35.49,21.15,2.0
2017-02-21,三亚,24.71,0.46,10.0,34.15,25.41,12.77,1.73
2017-02-22,三亚,16.52,0.43,8.88,34.67,15.89,8.25,1.53
2017-02-23,三亚,21.76,0.44,9.09,26.82,21.64,11.48,1.7
2017-02-24,三亚,24.62,0.64,12.06,52.67,21.22,11.81,1.83
2017-02-25,三亚,22.75,0.75,14.06,59.38,17.31,8.79,1.77
2017-02-26,三亚,20.02,0.76,12.38,59.69,14.28,7.31,1.9
2017-02-27,三亚,27.79,0.68,12.73,77.75,19.91,9.19,1.96
2017-02-28,三亚,36.42,0.59,9.38,94.83,31.56,18.85,11.21
2017-03-01,三亚,46.15,0.62,14.92,93.04,45.44,28.23,2.23
2017-03-02,三亚,64.11,0.69,15.02,122.17,62.53,45.54,3.37
2017-03-03,三亚,61.42,0.64,11.69,135.75,69.17,41.69,3.02
2017-03-04,三亚,51.65,0.6,12.31,102.4,53.94,32.42,2.27
2017-03-05,三亚,47.69,0.61,18.06,52.33,52.1,26.98,2.12
2017-03-06,三亚,39.17,0.61,20.45,29.33,43.22,19.44,3.1
2017-03-07,三亚,34.65,0.55,13.88,43.02,34.48,18.65,2.04
2017-03-08,三亚,36.35,0.55,11.85,64.24,36.56,20.41,1.96
2017-03-09,三亚,31.57,0.55,9.81,80.72,28.28,15.57,2.13
2017-03-10,三亚,43.4,0.55,13.6,67.38,43.58,24.6,2.19
2017-03-11,三亚,41.4,0.54,18.5,32.98,43.98,22.73,2.73
2017-03-12,三亚,35.27,0.46,8.1,50.56,34.74,21.25,1.94
2017-03-13,三亚,38.54,0.54,9.4,49.19,38.3,22.11,1.98
2017-03-14,三亚,41.76,0.62,15.11,37.22,42.13,23.8,2.67
2017-03-15,三亚,32.39,0.52,5.43,58.72,32.42,17.54,1.91
2017-03-16,三亚,35.31,0.57,5.0,85.25,34.83,15.27,2.11
2017-03-17,三亚,39.37,0.57,6.33,68.77,39.57,18.47,2.02
2017-03-18,三亚,36.77,0.61,7.62,57.1,36.85,19.92,2.02
2017-03-19,三亚,37.73,0.61,7.42,61.17,37.73,20.69,2.02
2017-03-20,三亚,34.27,0.56,7.6,60.9,34.21,18.02,2.09
2017-03-21,三亚,31.12,0.51,7.12,55.27,31.23,16.52,2.1
2017-03-22,三亚,27.42,0.46,6.1,55.1,27.25,13.56,2.21
2017-03-23,三亚,30.38,0.48,10.25,40.47,30.25,14.75,2.27
2017-03-24,三亚,26.23,0.47,6.84,43.32,26.19,14.0,2.2
2017-03-25,三亚,28.54,0.49,8.02,30.81,28.0,15.75,1.94
2017-03-26,三亚,22.0,0.7,9.02,55.08,17.09,7.45,2.1
2017-03-27,三亚,27.15,0.71,9.38,83.46,14.2,7.21,2.37
2017-03-28,三亚,42.85,0.71,9.6,95.77,41.71,21.83,2.34
2017-03-29,三亚,45.31,0.67,11.23,61.6,46.06,18.11,2.23
2017-03-30,三亚,30.81,0.54,9.81,40.4,31.44,14.32,2.09
2017-03-31,三亚,27.69,0.55,13.79,33.02,27.35,12.55,2.46
2017-04-01,三亚,26.96,0.7,10.24,83.09,17.39,8.5,2.48
2017-04-02,三亚,44.5,0.58,7.94,126.92,40.98,20.33,3.33
2017-04-03,三亚,47.98,0.5,5.13,127.37,48.28,24.04,2.76
2017-04-04,三亚,42.35,0.45,5.46,101.78,42.26,16.59,2.67
2017-04-05,三亚,35.37,0.46,7.87,74.5,35.35,13.76,2.69
2017-04-06,三亚,28.74,0.5,9.76,47.91,27.74,11.8,2.72
2017-04-07,三亚,23.69,0.5,7.29,37.85,24.14,11.33,2.6
2017-04-08,三亚,24.08,0.51,7.44,37.33,23.73,11.67,2.6
2017-04-09,三亚,25.5,0.52,8.04,33.38,25.33,13.58,2.69
2017-04-10,三亚,27.15,0.51,6.35,41.96,27.15,12.04,2.1
2017-04-11,三亚,32.4,0.55,11.71,43.02,32.42,15.04,1.69
2017-04-12,三亚,32.9,0.52,10.67,37.51,32.62,15.62,1.23
2017-04-13,三亚,27.25,0.67,15.71,76.6,21.32,8.54,1.5
2017-04-14,三亚,29.23,0.71,13.9,83.85,20.35,10.96,1.54
2017-04-15,三亚,21.0,0.55,11.15,45.08,19.44,8.33,1.54
2017-04-16,三亚,20.83,0.49,8.96,39.21,18.87,9.81,1.94
2017-04-17,三亚,19.94,0.5,11.62,40.7,17.48,10.0,2.09
2017-04-18,三亚,26.74,0.55,13.39,29.82,26.78,12.5,2.59
2017-04-19,三亚,33.32,0.55,13.11,39.23,33.21,17.05,2.0
2017-04-20,三亚,32.1,0.56,10.73,59.17,31.57,17.48,1.04
2017-04-21,三亚,37.6,0.54,8.67,74.33,37.33,22.25,1.06
2017-04-22,三亚,36.12,0.61,10.85,75.33,33.35,20.52,1.25
2017-04-23,三亚,31.48,0.63,10.1,89.27,25.44,14.5,1.73
2017-04-24,三亚,31.9,0.59,14.65,77.12,31.95,15.31,1.94
2017-04-25,三亚,29.67,0.58,11.27,56.15,27.51,12.42,9.9
2017-04-26,三亚,26.98,0.49,7.31,51.04,26.62,13.81,1.77
2017-04-27,三亚,28.65,0.49,11.0,47.44,27.52,14.48,1.96
2017-04-28,三亚,29.75,0.73,12.12,84.83,26.43,16.54,2.0
2017-04-29,三亚,36.35,0.71,15.3,79.22,31.4,20.79,6.47
2017-04-30,三亚,35.46,0.63,12.78,92.35,32.43,19.12,2.08
2017-05-01,三亚,29.91,0.58,8.72,71.65,27.48,16.43,2.35
2017-05-02,三亚,27.74,0.5,12.6,36.37,27.75,14.04,2.69
2017-05-03,三亚,23.79,0.43,8.06,31.92,22.93,12.56,2.31
2017-05-04,三亚,21.98,0.39,6.15,35.44,21.65,11.71,1.94
2017-05-05,三亚,24.71,0.42,12.23,34.94,23.35,14.69,2.62
2017-05-06,三亚,26.92,0.59,12.25,21.79,26.58,13.1,2.46
2017-05-07,三亚,24.19,0.52,8.19,24.19,25.09,12.19,2.35
2017-05-08,三亚,24.33,0.51,8.5,31.54,24.23,12.15,2.46
2017-05-09,三亚,21.19,0.5,9.24,30.56,20.38,9.81,2.43
2017-05-10,三亚,17.89,0.48,8.8,37.5,15.86,8.04,1.65
2017-05-11,三亚,19.31,0.46,7.07,39.02,18.71,8.5,1.96
2017-05-12,三亚,23.0,0.48,9.85,36.02,21.89,11.23,1.87
2017-05-13,三亚,24.26,0.48,13.46,30.41,23.24,10.43,1.91
2017-05-14,三亚,21.77,0.5,10.0,37.71,20.54,10.75,1.77
2017-05-15,三亚,19.76,0.51,12.46,25.65,17.41,6.05,4.98
2017-05-16,三亚,17.98,0.49,11.04,48.81,13.16,5.96,1.71
2017-05-17,三亚,30.73,0.57,14.09,65.68,24.44,13.02,1.98
2017-05-18,三亚,35.87,0.61,12.76,77.98,33.39,17.13,2.59
2017-05-19,三亚,28.91,0.54,8.98,63.7,28.53,13.68,1.85
2017-05-20,三亚,17.52,0.49,8.74,46.74,14.51,5.4,4.71
2017-05-21,三亚,21.23,0.53,10.75,38.11,18.7,7.98,1.82
2017-05-22,三亚,22.41,0.53,9.75,41.91,20.28,10.56,1.25
2017-05-23,三亚,19.32,0.53,6.86,54.96,17.04,9.07,1.5
2017-05-24,三亚,28.71,0.56,12.71,50.38,27.5,12.15,1.51
2017-05-25,三亚,25.4,0.58,10.9,66.58,20.69,10.38,2.02
2017-05-26,三亚,23.85,0.79,16.52,70.0,20.44,12.04,1.74
2017-05-27,三亚,36.27,0.88,17.58,69.88,32.09,15.79,2.23
2017-05-28,三亚,38.42,0.66,12.79,102.73,27.62,14.92,2.27
2017-05-29,三亚,32.81,0.64,11.75,70.98,28.62,14.65,2.52
2017-05-30,三亚,26.48,0.61,11.9,44.23,24.6,11.06,1.83
2017-05-31,三亚,20.96,0.59,10.5,35.56,18.21,7.48,1.73
2017-06-01,三亚,20.28,0.48,5.76,57.14,16.73,7.69,1.12
2017-06-02,三亚,22.9,0.48,6.52,62.69,18.93,9.42,1.02
2017-06-03,三亚,24.85,0.45,7.02,64.98,21.34,9.77,1.15
2017-06-04,三亚,24.17,0.45,11.96,54.71,20.63,9.19,1.15
2017-06-05,三亚,26.92,0.49,17.42,42.9,26.16,9.71,1.58
2017-06-06,三亚,26.52,0.51,15.6,43.28,26.07,10.67,1.88
2017-06-07,三亚,14.96,0.45,10.32,40.29,12.74,6.56,1.23
2017-06-08,三亚,18.88,0.5,11.0,31.5,18.38,7.73,1.23
2017-06-09,三亚,20.44,0.51,10.75,35.15,19.92,9.42,1.15
2017-06-10,三亚,18.67,0.47,10.62,38.98,15.15,6.15,1.33
2017-06-11,三亚,20.23,0.49,10.75,38.13,17.81,6.83,1.29
2017-06-12,三亚,18.1,0.49,9.27,40.76,15.22,6.25,1.06
2017-06-13,三亚,23.5,0.55,11.36,51.58,20.31,8.79,7.15
2017-06-14,三亚,33.87,0.55,6.52,63.8,33.76,16.63,1.17
2017-06-15,三亚,24.62,0.55,7.68,59.59,24.15,9.65,1.21
2017-06-16,三亚,25.15,0.57,8.27,63.31,24.09,10.73,1.29
2017-06-17,三亚,35.05,0.65,14.81,56.58,38.17,17.74,1.37
2017-06-18,三亚,26.21,0.8,20.72,30.57,25.58,12.92,1.4
2017-06-19,三亚,27.12,0.8,21.75,28.0,27.13,11.48,1.1
2017-06-20,三亚,31.41,0.8,25.52,24.88,30.86,14.57,1.75
2017-06-21,三亚,28.9,0.64,17.12,40.4,27.67,11.52,1.67
2017-06-22,三亚,25.96,0.45,8.09,63.38,25.17,12.92,1.48
2017-06-23,三亚,18.04,0.41,6.45,43.04,17.09,7.33,1.46
2017-06-24,三亚,19.75,0.45,8.44,48.3,18.21,8.75,1.57
2017-06-25,三亚,19.23,0.46,6.56,51.88,18.64,7.58,1.27
2017-06-26,三亚,17.5,0.41,5.33,46.5,16.35,7.24,1.33
2017-06-27,三亚,19.46,0.41,6.76,42.54,18.73,8.78,1.89
2017-06-28,三亚,16.0,0.39,6.55,34.29,15.46,6.48,1.5
2017-06-29,三亚,16.93,0.48,8.91,28.26,15.8,8.53,1.26
2017-06-30,三亚,19.15,0.5,11.27,26.62,18.4,8.23,1.4
2017-07-01,三亚,21.74,0.5,10.17,42.54,17.8,7.5,1.63
2017-07-02,三亚,23.6,0.51,11.6,45.31,21.26,10.4,1.62
2017-07-03,三亚,20.96,0.5,11.19,40.02,18.88,8.4,1.65
2017-07-04,三亚,23.35,0.49,13.71,31.5,21.6,9.46,1.85
2017-07-05,三亚,20.73,0.46,13.21,39.0,17.93,8.48,2.4
2017-07-06,三亚,17.17,0.46,11.71,34.94,14.74,7.96,1.88
2017-07-07,三亚,17.34,0.58,16.48,23.93,16.05,7.32,1.68
2017-07-08,三亚,23.74,0.57,13.76,30.88,23.41,10.39,2.2
2017-07-09,三亚,19.88,0.48,9.23,36.69,18.31,7.54,1.83
2017-07-10,三亚,19.76,0.46,5.89,53.48,17.11,9.37,1.41
2017-07-11,三亚,19.34,0.52,6.75,37.95,18.21,9.7,2.09
2017-07-12,三亚,12.98,0.54,7.32,22.88,12.3,5.48,1.83
2017-07-13,三亚,13.67,0.58,8.77,22.17,12.54,5.94,2.06
2017-07-14,三亚,18.31,0.66,16.21,24.58,16.47,7.9,2.17
2017-07-15,三亚,20.8,0.66,12.72,24.0,19.47,6.57,2.61
2017-07-16,三亚,15.14,0.56,4.81,38.91,12.78,4.72,2.14
2017-07-17,三亚,25.02,0.41,5.24,45.13,25.11,11.26,2.02
2017-07-18,三亚,18.36,0.42,10.24,37.05,16.95,6.25,2.18
2017-07-19,三亚,20.21,0.43,13.0,29.5,19.02,8.9,2.21
2017-07-20,三亚,19.75,0.42,9.1,31.79,19.46,8.79,2.33
2017-07-21,三亚,17.85,0.43,9.77,30.21,16.42,8.48,2.46
2017-07-22,三亚,22.98,0.5,15.0,25.62,21.6,9.69,2.6
2017-07-23,三亚,22.02,0.65,18.73,17.94,21.19,9.02,2.35
2017-07-24,三亚,27.1,0.61,16.15,29.29,26.13,12.29,2.54
2017-07-25,三亚,21.17,0.5,5.62,53.42,14.54,7.85,11.19
2017-07-26,三亚,16.65,0.49,11.21,31.62,15.06,8.27,2.77
2017-07-27,三亚,24.35,0.53,13.88,32.73,22.65,8.21,3.79
2017-07-28,三亚,22.42,0.57,17.12,27.71,21.8,8.6,2.83
2017-07-29,三亚,21.5,0.53,13.6,39.82,18.31,7.33,2.86
2017-07-30,三亚,19.52,0.46,7.43,56.13,16.63,7.39,2.89
2017-07-31,三亚,23.46,0.49,6.79,61.42,21.62,11.27,2.69
2017-08-01,三亚,27.93,0.44,6.7,56.84,27.84,12.98,2.86
2017-08-02,三亚,35.81,0.4,7.85,55.19,35.94,15.67,2.83
2017-08-03,三亚,29.93,0.42,9.22,59.22,29.37,14.83,2.87
2017-08-04,三亚,28.62,0.48,15.0,40.19,27.98,13.96,3.33
2017-08-05,三亚,26.38,0.5,14.29,35.42,24.94,11.75,4.25
2017-08-06,三亚,21.19,0.45,12.31,35.87,18.94,7.81,4.81
2017-08-07,三亚,21.94,0.5,16.5,23.91,20.82,9.9,3.17
2017-08-08,三亚,19.98,0.53,16.48,27.18,18.44,8.82,2.75
2017-08-09,三亚,22.73,0.48,14.33,40.23,20.53,8.27,2.19
2017-08-10,三亚,20.87,0.41,7.46,54.28,18.63,8.35,2.02
2017-08-11,三亚,25.04,0.49,12.1,44.27,24.56,11.98,2.17
2017-08-12,三亚,25.02,0.41,5.75,55.33,24.83,11.48,2.0
2017-08-13,三亚,21.12,0.42,5.83,47.69,21.1,10.23,2.08
2017-08-14,三亚,18.41,0.42,7.7,34.49,18.44,8.3,1.8
2017-08-15,三亚,17.58,0.38,7.44,34.93,17.21,8.65,2.06
2017-08-16,三亚,18.1,0.42,10.78,23.85,17.69,7.29,2.75
2017-08-17,三亚,14.83,0.43,9.46,23.64,14.73,6.95,2.08
2017-08-18,三亚,16.27,0.46,10.72,19.84,15.95,7.84,2.07
2017-08-19,三亚,16.69,0.44,7.88,21.67,16.3,8.0,2.0
2017-08-20,三亚,15.41,0.45,9.14,20.82,14.3,4.27,2.0
2017-08-21,三亚,16.98,0.46,11.1,26.33,14.64,5.05,2.67
2017-08-22,三亚,12.93,0.35,8.5,31.26,12.06,4.28,2.08
2017-08-23,三亚,38.75,0.63,27.7,27.56,42.94,16.15,3.85
2017-08-24,三亚,28.42,0.55,11.52,40.91,28.49,10.77,2.6
2017-08-25,三亚,23.42,0.53,11.0,32.33,23.34,8.53,3.05
2017-08-26,三亚,13.54,0.48,8.11,27.48,13.0,4.81,2.82
2017-08-27,三亚,14.1,0.5,10.21,28.35,12.28,5.52,2.23
2017-08-28,三亚,17.08,0.61,15.33,17.65,16.66,8.08,2.46
2017-08-29,三亚,16.2,0.57,12.41,21.59,15.6,7.76,2.04
2017-08-30,三亚,16.63,0.5,10.44,23.56,15.3,7.22,5.05
2017-08-31,三亚,20.35,0.49,12.56,24.33,19.0,7.35,3.62
2017-09-01,三亚,23.82,0.52,16.31,25.77,24.06,9.0,2.54
2017-09-02,三亚,20.31,0.51,12.04,40.82,19.23,7.54,2.46
2017-09-03,三亚,23.23,0.53,15.0,30.89,22.29,11.65,2.46
2017-09-04,三亚,21.96,0.49,10.15,38.65,20.91,10.31,2.06
2017-09-05,三亚,21.91,0.45,8.18,49.53,21.29,10.28,2.24
2017-09-06,三亚,25.4,0.51,14.25,34.12,24.0,12.0,2.45
2017-09-07,三亚,17.92,0.49,15.03,33.29,14.56,5.94,2.55
2017-09-08,三亚,30.5,0.63,21.17,6.69,26.44,17.28,4.17
2017-09-09,三亚,20.79,0.47,10.0,23.79,20.31,9.29,1.71
2017-09-10,三亚,20.45,0.5,11.23,15.21,21.18,8.82,3.39
2017-09-11,三亚,20.67,0.49,11.79,17.05,20.25,7.23,3.46
2017-09-12,三亚,24.58,0.51,14.27,26.66,23.82,10.88,2.89
2017-09-13,三亚,33.43,0.62,22.63,34.29,32.27,16.63,4.31
2017-09-14,三亚,27.44,0.59,17.68,28.06,26.4,12.81,2.21
2017-09-15,三亚,31.88,0.54,3.88,60.0,29.81,13.76,1.76
2017-09-16,三亚,29.56,0.53,6.85,36.29,29.56,13.77,1.85
2017-09-17,三亚,31.08,0.58,14.38,26.15,30.8,15.06,2.48
2017-09-18,三亚,29.58,0.59,14.67,34.04,28.68,13.62,2.62
2017-09-19,三亚,27.14,0.6,13.77,20.05,27.82,13.81,2.95
2017-09-20,三亚,30.25,0.54,14.28,29.08,29.81,16.48,5.3
2017-09-21,三亚,30.4,0.64,19.4,31.4,30.67,15.52,3.08
2017-09-22,三亚,26.27,0.58,14.06,26.81,25.0,15.08,2.46
2017-09-23,三亚,28.88,0.54,10.56,27.5,26.49,19.17,2.79
2017-09-24,三亚,35.57,0.61,19.29,13.02,35.59,19.05,2.21
2017-09-25,三亚,16.12,0.45,6.17,40.87,13.38,5.54,2.04
2017-09-26,三亚,19.11,0.48,7.98,33.26,18.72,7.85,4.36
2017-09-27,三亚,17.91,0.44,10.28,30.86,16.37,8.2,2.68
2017-09-28,三亚,19.02,0.49,14.64,23.0,19.15,8.09,2.64
2017-09-29,三亚,13.35,0.43,10.79,18.85,12.07,5.33,2.46
2017-09-30,三亚,17.65,0.45,11.46,19.27,17.0,7.15,3.0
2017-10-01,三亚,20.7,0.45,12.46,24.3,19.07,8.2,3.2
2017-10-02,三亚,15.54,0.43,8.42,19.53,14.79,8.57,2.26
2017-10-03,三亚,14.76,0.43,5.74,23.53,14.55,5.72,2.27
2017-10-04,三亚,13.71,0.45,5.21,26.77,12.76,6.42,2.46
2017-10-05,三亚,16.04,0.48,9.85,37.15,13.42,6.74,2.61
2017-10-06,三亚,17.67,0.49,9.73,38.48,14.27,5.38,2.75
2017-10-07,三亚,14.25,0.51,7.98,30.79,12.94,5.9,2.46
2017-10-08,三亚,24.79,0.56,6.94,48.58,24.83,13.27,2.79
2017-10-09,三亚,23.4,0.61,16.12,31.98,24.51,10.35,3.17
2017-10-10,三亚,15.52,0.54,8.67,32.22,12.98,5.52,2.91
2017-10-11,三亚,15.37,0.47,8.16,24.73,15.4,6.52,2.31
2017-10-12,三亚,24.52,0.52,12.7,44.65,24.26,10.74,2.11
2017-10-13,三亚,39.85,0.69,22.33,62.91,39.15,22.85,2.91
2017-10-14,三亚,41.08,0.73,15.73,72.35,40.46,25.73,2.9
2017-10-15,三亚,24.09,0.68,12.68,59.38,22.09,13.62,2.09
2017-10-16,三亚,21.5,0.67,12.92,58.15,11.04,3.66,2.44
2017-10-17,三亚,25.7,0.8,19.64,42.02,22.93,9.47,4.67
2017-10-18,三亚,26.45,0.63,12.0,41.16,26.0,12.91,2.19
2017-10-19,三亚,35.93,0.63,14.09,83.27,32.6,19.41,2.8
2017-10-20,三亚,35.94,0.66,15.96,67.81,33.35,19.42,3.6
2017-10-21,三亚,34.58,0.67,15.08,68.65,32.29,19.29,3.33
2017-10-22,三亚,35.5,0.7,11.21,69.74,33.05,23.26,2.81
2017-10-23,三亚,53.33,0.74,8.94,81.78,51.11,36.94,3.78
2017-10-24,三亚,52.59,0.7,9.41,125.11,52.35,34.54,3.96
2017-10-25,三亚,50.65,0.6,8.87,125.17,52.04,31.0,4.02
2017-10-26,三亚,63.02,0.66,17.54,126.44,60.58,39.67,6.04
2017-10-27,三亚,80.96,0.85,25.19,120.92,76.39,58.81,7.35
2017-10-28,三亚,94.58,0.93,27.85,122.0,89.89,65.97,9.47
2017-10-29,三亚,82.4,0.9,22.74,120.04,84.19,60.56,8.58
2017-10-30,三亚,63.48,0.67,12.17,145.38,62.44,41.75,6.31
2017-10-31,三亚,55.74,0.62,11.72,126.16,59.49,37.04,4.8
2017-11-01,三亚,45.48,0.54,9.86,103.67,46.3,25.73,2.56
2017-11-02,三亚,49.65,0.57,22.86,104.19,46.98,27.19,2.54
2017-11-03,三亚,65.69,0.76,32.76,104.62,66.33,44.71,5.6
2017-11-04,三亚,54.5,0.64,10.5,138.54,43.64,30.88,2.98
2017-11-05,三亚,49.5,0.73,10.17,117.92,43.23,26.88,1.96
2017-11-06,三亚,40.38,0.8,14.04,109.5,31.05,22.83,2.21
2017-11-07,三亚,21.52,0.74,17.09,52.87,13.66,5.74,1.48
2017-11-08,三亚,23.39,0.63,12.63,47.69,21.64,11.95,1.43
2017-11-09,三亚,24.74,0.48,8.59,53.33,24.26,11.34,1.52
2017-11-10,三亚,36.71,0.63,8.89,75.95,36.79,21.32,1.27
2017-11-11,三亚,29.27,0.61,16.91,63.19,28.1,16.25,2.23
2017-11-12,三亚,38.62,0.65,27.23,39.23,38.86,22.58,3.08
2017-11-13,三亚,22.38,0.63,19.25,26.97,22.0,11.42,2.24
2017-11-14,三亚,15.3,0.52,8.72,31.46,14.21,6.73,2.11
2017-11-15,三亚,22.15,0.51,10.53,28.93,21.93,10.48,1.96
2017-11-16,三亚,26.18,0.53,9.72,32.7,26.34,12.0,1.68
2017-11-17,三亚,25.73,0.57,14.06,24.38,25.28,11.0,2.15
2017-11-18,三亚,26.44,0.61,15.15,28.94,26.21,12.15,2.58
2017-11-19,三亚,29.88,0.61,7.61,47.02,29.44,15.31,2.02
2017-11-20,三亚,15.33,0.62,10.77,41.38,13.06,5.47,1.73
2017-11-21,三亚,13.2,0.71,10.77,38.6,9.49,4.57,1.79
2017-11-22,三亚,20.98,0.73,8.74,55.69,15.88,9.26,2.29
2017-11-23,三亚,20.98,0.73,6.88,48.98,18.93,11.66,2.71
2017-11-24,三亚,33.96,0.8,9.79,74.21,31.02,21.5,3.79
2017-11-25,三亚,27.9,0.83,15.79,66.67,24.11,14.85,3.27
2017-11-26,三亚,27.1,0.79,17.53,57.96,23.39,13.89,2.94
2017-11-27,三亚,29.67,0.76,18.88,56.69,27.94,16.65,3.19
2017-11-28,三亚,28.91,0.66,10.86,57.86,27.47,12.64,2.56
2017-11-29,三亚,31.86,0.56,10.5,60.51,31.73,16.0,2.5
2017-11-30,三亚,33.62,0.53,12.65,43.4,33.17,15.94,2.83
2017-12-01,三亚,34.57,0.63,10.83,72.2,33.67,20.26,5.39
2017-12-02,三亚,22.29,0.74,13.17,59.98,17.23,9.73,2.98
2017-12-03,三亚,22.46,0.66,13.75,57.54,19.46,10.5,3.06
2017-12-04,三亚,32.94,0.68,10.98,70.7,31.25,20.4,3.25
2017-12-05,三亚,45.65,0.7,11.64,90.38,43.28,29.72,3.44
2017-12-06,三亚,47.59,0.67,10.89,97.51,46.98,27.63,2.0
2017-12-07,三亚,45.54,0.64,9.96,89.21,45.44,24.83,2.23
2017-12-08,三亚,57.31,0.72,11.6,97.12,55.28,39.02,3.02
2017-12-09,三亚,67.65,0.84,16.19,121.5,67.85,47.98,4.42
2017-12-10,三亚,66.02,0.9,23.73,105.5,70.65,46.48,3.19
2017-12-11,三亚,72.48,0.99,23.08,107.1,76.49,51.56,4.03
2017-12-12,三亚,57.76,0.9,15.78,109.1,58.79,36.83,2.34
2017-12-13,三亚,28.78,0.68,11.09,75.44,26.93,10.7,1.48
2017-12-14,三亚,26.17,0.53,12.11,50.02,25.46,12.0,1.91
