time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,十堰,193.75,1.88,42.36,30.14,184.25,149.87,20.26
2017-01-01,咸宁,112.63,1.19,33.74,43.34,116.84,84.07,11.07
2017-01-01,孝感,138.05,2.79,82.08,13.84,163.55,104.39,23.79
2017-01-01,宜昌,290.8,2.51,58.54,16.13,298.64,241.07,13.91
2017-01-01,恩施州,221.08,1.56,51.5,6.03,224.76,170.74,17.71
2017-01-01,武汉,147.72,1.82,91.51,14.63,164.94,111.93,24.76
2017-01-01,荆州,209.89,2.08,75.91,19.58,224.89,160.47,49.09
2017-01-01,荆门,144.01,1.67,70.6,36.41,150.94,110.21,20.86
2017-01-01,襄阳,286.75,1.88,57.36,26.64,254.38,236.75,25.14
2017-01-01,鄂州,135.86,1.66,77.56,25.67,157.31,102.67,38.89
2017-01-01,随州,160.68,1.49,47.16,32.96,174.7,121.54,14.42
2017-01-01,黄冈,112.69,1.35,47.5,48.58,130.83,84.86,29.03
2017-01-01,黄石,113.22,1.4,58.24,34.65,127.58,84.99,28.78
2017-01-02,十堰,92.56,1.49,32.01,37.46,87.58,68.66,13.8
2017-01-02,咸宁,173.17,1.39,43.32,40.9,171.49,131.46,12.73
2017-01-02,孝感,158.18,2.33,41.8,47.27,170.0,119.62,16.02
2017-01-02,宜昌,275.32,2.49,62.64,15.77,284.62,225.42,15.65
2017-01-02,恩施州,209.53,1.53,50.95,5.5,209.4,161.75,15.1
2017-01-02,武汉,169.31,1.38,69.82,34.4,163.5,128.74,16.17
2017-01-02,荆州,219.13,2.2,63.75,37.05,230.85,170.89,37.04
2017-01-02,荆门,136.33,1.65,73.92,30.41,148.6,102.54,20.83
2017-01-02,襄阳,200.62,1.86,61.33,30.47,188.66,156.83,19.15
2017-01-02,鄂州,148.27,1.85,71.38,33.2,151.55,112.68,29.85
2017-01-02,随州,192.63,1.47,44.48,51.78,200.72,149.08,15.77
2017-01-02,黄冈,128.44,1.47,44.08,50.53,148.38,95.89,16.39
2017-01-02,黄石,136.66,1.54,56.59,34.73,156.09,103.53,32.74
2017-01-03,十堰,75.88,1.39,30.96,23.79,73.06,55.38,17.54
2017-01-03,咸宁,184.31,1.7,45.75,24.01,200.16,142.1,10.06
2017-01-03,孝感,167.31,2.41,53.65,39.46,184.73,126.9,15.94
2017-01-03,宜昌,259.25,2.39,63.94,18.89,261.59,209.27,21.31
2017-01-03,恩施州,277.96,2.14,69.98,5.12,281.91,226.77,33.52
2017-01-03,武汉,207.93,1.82,95.12,14.95,214.28,159.82,18.57
2017-01-03,荆州,223.25,2.12,75.1,20.01,246.38,173.76,45.18
2017-01-03,荆门,151.53,1.57,80.32,28.99,165.5,116.52,22.53
2017-01-03,襄阳,186.99,1.96,60.51,8.54,179.74,144.18,17.97
2017-01-03,鄂州,194.92,1.72,84.56,20.68,195.71,149.25,31.5
2017-01-03,随州,198.54,1.84,60.12,18.6,216.83,152.89,16.14
