time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,十堰,193.75,1.88,42.36,30.14,184.25,149.87,20.26
2017-01-02,十堰,92.56,1.49,32.01,37.46,87.58,68.66,13.8
2017-01-03,十堰,75.88,1.39,30.96,23.79,73.06,55.38,17.54
2017-01-04,十堰,122.65,1.62,36.31,17.21,122.14,92.38,19.76
2017-01-05,十堰,101.73,1.96,36.58,31.14,96.89,75.0,12.24
2017-01-06,十堰,29.38,2.27,35.88,20.51,23.29,18.08,10.69
2017-01-07,十堰,28.44,1.66,27.65,32.14,26.12,17.03,13.1
2017-01-08,十堰,48.0,1.46,27.35,32.67,45.87,33.08,14.56
2017-01-09,十堰,62.16,1.33,28.61,35.15,60.72,44.54,14.04
2017-01-10,十堰,64.91,1.2,25.91,39.33,58.68,46.47,14.83
2017-01-11,十堰,52.54,1.09,23.71,32.51,50.17,35.67,12.89
2017-01-12,十堰,49.6,1.2,25.68,40.47,49.99,31.58,13.07
2017-01-13,十堰,46.5,1.16,29.54,40.05,47.48,30.2,12.7
2017-01-14,十堰,89.68,1.54,37.77,33.9,92.24,65.72,20.21
2017-01-15,十堰,111.83,1.57,34.7,41.55,108.53,83.08,16.29
2017-01-16,十堰,76.71,1.45,37.03,33.73,75.74,55.99,16.51
2017-01-17,十堰,101.4,1.43,37.07,40.33,96.21,75.82,18.48
2017-01-18,十堰,119.07,1.26,31.49,42.72,113.38,89.96,15.57
2017-01-19,十堰,114.73,1.19,33.58,45.15,110.96,85.52,15.66
2017-01-20,十堰,64.76,0.96,28.51,42.76,68.92,42.69,14.41
2017-01-21,十堰,53.49,0.99,30.76,44.91,53.97,34.41,15.95
2017-01-22,十堰,84.7,1.14,35.99,42.36,85.43,62.49,19.41
2017-01-23,十堰,139.89,1.38,38.77,46.57,135.03,106.1,17.93
2017-01-24,十堰,172.09,1.53,38.51,38.14,158.36,130.14,15.83
2017-01-25,十堰,157.48,1.57,36.05,35.23,140.95,119.09,17.27
2017-01-26,十堰,138.04,1.56,27.22,27.4,147.49,100.56,11.01
2017-01-27,十堰,149.33,1.58,22.21,38.11,184.79,101.9,16.64
