time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,咸宁,112.63,1.19,33.74,43.34,116.84,84.07,11.07
2017-01-02,咸宁,173.17,1.39,43.32,40.9,171.49,131.46,12.73
2017-01-03,咸宁,184.31,1.7,45.75,24.01,200.16,142.1,10.06
2017-01-04,咸宁,242.72,2.0,50.03,12.92,232.3,192.43,16.23
2017-01-05,咸宁,96.66,1.91,33.35,7.39,56.67,71.9,5.4
2017-01-06,咸宁,44.96,1.27,23.04,20.06,26.0,31.46,3.28
2017-01-07,咸宁,50.84,1.27,29.87,9.24,49.83,36.21,3.73
2017-01-08,咸宁,85.53,1.5,26.59,36.96,89.45,63.09,7.15
2017-01-09,咸宁,127.28,1.89,26.49,30.43,119.4,95.76,8.87
2017-01-10,咸宁,136.3,1.63,22.0,46.23,115.1,103.47,8.21
2017-01-11,咸宁,112.8,1.43,18.41,33.61,87.27,84.94,6.49
2017-01-12,咸宁,93.56,1.41,18.34,43.77,87.45,69.54,5.72
2017-01-13,咸宁,84.59,1.38,20.34,46.91,90.58,61.76,6.73
2017-01-14,咸宁,104.61,1.2,23.67,59.98,95.38,78.31,10.89
2017-01-15,咸宁,78.72,1.4,22.78,53.39,76.98,57.4,10.6
2017-01-16,咸宁,98.16,1.36,24.95,44.55,93.26,72.97,10.15
2017-01-17,咸宁,105.86,1.42,38.84,30.51,105.84,79.29,8.58
2017-01-18,咸宁,132.99,1.36,37.24,9.95,118.46,100.85,10.17
2017-01-19,咸宁,161.58,1.32,35.79,12.51,142.25,123.35,8.43
2017-01-20,咸宁,119.93,0.95,19.13,67.39,129.33,88.15,14.48
2017-01-21,咸宁,114.12,1.12,20.98,61.77,122.12,85.64,11.4
2017-01-22,咸宁,112.34,1.09,19.34,61.92,114.06,83.44,10.36
2017-01-23,咸宁,100.15,0.89,13.48,85.19,91.75,74.81,14.76
2017-01-24,咸宁,90.18,0.94,12.9,84.25,92.16,66.39,12.59
2017-01-25,咸宁,110.46,1.11,18.26,47.28,105.22,82.94,7.43
2017-01-26,咸宁,80.07,1.06,11.96,49.78,71.74,57.68,5.26
2017-01-27,咸宁,124.01,1.22,11.78,52.91,162.3,90.79,10.33
2017-01-28,咸宁,196.61,1.35,10.07,72.28,219.11,149.91,19.49
2017-01-29,咸宁,175.77,1.47,14.11,35.08,172.77,134.36,9.64
2017-01-30,咸宁,176.79,1.66,11.14,48.07,157.14,133.72,11.9
2017-01-31,咸宁,99.71,1.12,7.73,65.6,82.37,74.19,10.17
2017-02-01,咸宁,103.67,1.25,10.81,27.33,82.8,77.62,4.97
2017-02-02,咸宁,93.24,1.2,7.6,36.14,75.83,69.31,5.09
2017-02-03,咸宁,78.48,1.38,12.32,22.41,71.25,57.56,5.01
2017-02-04,咸宁,60.63,1.22,11.98,17.8,54.37,43.15,7.0
2017-02-05,咸宁,59.04,1.2,6.81,37.89,63.43,41.96,5.96
2017-02-06,咸宁,100.48,1.48,14.17,37.61,90.11,74.98,8.66
2017-02-07,咸宁,90.3,1.05,12.5,57.59,72.75,66.99,10.87
2017-02-08,咸宁,61.49,0.99,13.49,51.61,72.82,44.07,6.11
2017-02-09,咸宁,123.23,1.41,18.88,54.9,98.52,93.26,13.12
2017-02-10,咸宁,88.39,1.19,13.76,63.15,75.22,65.4,13.45
2017-02-11,咸宁,66.44,0.98,14.39,62.7,58.94,47.77,10.74
2017-02-12,咸宁,76.12,0.99,17.38,76.94,73.8,55.4,12.31
2017-02-13,咸宁,73.66,0.87,16.89,83.11,70.09,52.59,12.2
2017-02-14,咸宁,64.03,0.74,19.9,79.95,66.18,44.75,12.34
2017-02-15,咸宁,74.03,0.84,25.25,66.17,81.07,52.85,11.34
2017-02-16,咸宁,94.86,0.98,23.78,80.45,98.95,70.15,13.66
2017-02-17,咸宁,191.4,1.52,33.88,41.23,222.1,149.75,13.14
2017-02-18,咸宁,151.67,1.22,27.98,28.65,143.42,115.09,11.27
2017-02-19,咸宁,139.73,1.27,23.28,52.9,127.71,105.92,11.95
2017-02-20,咸宁,114.69,1.1,16.44,70.04,114.68,84.95,10.58
2017-02-21,咸宁,54.52,0.74,17.09,41.03,71.07,33.3,10.23
2017-02-22,咸宁,75.41,1.05,17.99,40.01,66.83,55.32,8.46
2017-02-23,咸宁,83.5,1.05,16.61,62.35,66.11,61.47,11.97
2017-02-24,咸宁,79.0,1.08,20.07,57.52,72.86,57.79,11.74
2017-02-25,咸宁,84.29,1.08,19.44,68.88,82.23,61.72,12.64
2017-02-26,咸宁,81.67,0.95,22.31,75.77,85.81,59.28,11.41
2017-02-27,咸宁,80.24,0.87,23.47,75.44,83.69,57.8,14.7
2017-02-28,咸宁,78.03,0.79,23.47,91.47,89.75,56.08,15.73
2017-03-01,咸宁,86.72,0.65,14.97,77.46,102.37,52.81,9.75
2017-03-02,咸宁,63.6,0.57,14.86,70.66,76.87,24.92,11.3
2017-03-03,咸宁,72.62,0.75,20.21,73.51,93.07,39.81,10.83
2017-03-04,咸宁,80.62,0.87,23.62,45.2,90.18,55.28,11.22
2017-03-05,咸宁,94.51,1.07,20.44,36.34,76.05,70.25,9.68
2017-03-06,咸宁,206.66,1.63,27.69,49.01,235.9,160.68,9.25
2017-03-07,咸宁,194.35,1.62,30.15,57.04,209.57,149.47,11.77
2017-03-08,咸宁,124.76,1.09,20.47,77.89,108.51,93.71,12.83
2017-03-09,咸宁,86.88,1.08,22.67,88.05,98.55,61.76,15.24
2017-03-10,咸宁,74.04,1.06,13.1,76.15,64.52,53.8,7.44
2017-03-11,咸宁,72.25,1.2,20.31,37.93,75.9,51.05,8.49
2017-03-12,咸宁,67.56,1.23,18.47,40.26,61.49,48.59,8.68
2017-03-13,咸宁,42.24,1.09,13.48,67.89,20.83,29.22,6.72
2017-03-14,咸宁,51.94,1.01,13.37,69.52,53.26,35.53,7.45
2017-03-15,咸宁,55.33,1.06,19.41,60.89,46.82,38.57,8.2
2017-03-16,咸宁,69.99,1.08,17.8,67.03,74.81,50.17,5.45
2017-03-17,咸宁,84.26,1.05,23.15,49.92,73.31,62.09,5.91
2017-03-18,咸宁,100.33,1.2,22.19,38.41,74.5,74.96,6.0
2017-03-19,咸宁,78.1,1.24,21.17,32.98,74.0,57.3,4.85
2017-03-20,咸宁,60.15,1.01,23.83,43.56,55.27,42.45,4.56
2017-03-21,咸宁,52.12,0.83,11.94,62.31,46.55,35.99,4.81
2017-03-22,咸宁,39.26,1.14,13.42,68.85,25.71,27.15,3.24
2017-03-23,咸宁,51.06,1.12,11.41,57.39,41.14,35.7,3.53
2017-03-24,咸宁,50.81,0.95,19.14,45.54,44.29,35.69,2.99
2017-03-25,咸宁,64.96,1.01,14.69,52.1,91.59,37.28,6.15
2017-03-26,咸宁,91.12,0.9,17.65,73.71,131.67,40.86,5.08
2017-03-27,咸宁,79.59,0.82,19.16,84.11,108.51,37.35,6.28
2017-03-28,咸宁,74.77,0.91,22.76,78.55,98.28,41.67,9.69
2017-03-29,咸宁,77.52,0.97,18.94,58.32,88.34,54.68,10.21
2017-03-30,咸宁,52.88,1.15,13.24,66.83,44.69,37.2,3.85
2017-03-31,咸宁,66.02,0.99,12.76,101.93,61.55,46.98,5.57
2017-04-01,咸宁,65.67,1.0,14.59,95.84,67.08,45.9,7.02
2017-04-02,咸宁,62.84,0.85,14.23,97.94,60.43,39.88,5.53
2017-04-03,咸宁,64.16,0.88,11.52,115.4,70.5,43.46,11.33
2017-04-04,咸宁,93.43,1.14,22.79,80.57,100.41,68.08,11.8
2017-04-05,咸宁,106.28,1.47,31.39,34.26,109.63,79.64,8.74
2017-04-06,咸宁,60.21,1.44,21.18,42.66,49.42,43.18,5.74
2017-04-07,咸宁,43.07,1.35,8.88,70.24,39.79,28.2,5.54
2017-04-08,咸宁,56.96,1.34,7.86,77.23,51.73,39.11,5.6
2017-04-09,咸宁,29.2,1.37,8.69,78.64,17.36,17.57,3.77
2017-04-10,咸宁,27.79,0.92,13.01,65.26,21.06,18.59,3.14
2017-04-11,咸宁,54.48,1.08,12.19,79.95,46.52,37.85,4.3
2017-04-12,咸宁,63.51,1.08,13.62,86.56,59.96,44.73,5.1
2017-04-13,咸宁,69.01,1.05,14.49,99.38,69.78,45.08,5.86
2017-04-14,咸宁,60.14,1.03,16.85,94.18,65.3,37.15,5.29
2017-04-15,咸宁,66.25,1.14,10.03,104.01,73.94,43.62,8.47
2017-04-16,咸宁,60.84,1.21,10.28,67.82,62.14,41.22,5.51
2017-04-17,咸宁,54.28,0.79,5.93,101.82,76.81,25.08,5.52
2017-04-18,咸宁,79.75,0.88,7.71,107.3,109.97,31.06,5.76
2017-04-19,咸宁,73.96,1.0,10.28,76.31,97.91,37.71,6.67
2017-04-20,咸宁,62.76,0.9,17.01,74.03,75.95,31.22,7.18
2017-04-21,咸宁,60.08,0.8,16.55,43.65,70.35,29.32,4.41
2017-04-22,咸宁,60.2,0.8,12.65,86.6,70.51,28.27,7.16
2017-04-23,咸宁,57.02,0.79,12.92,101.91,62.14,30.3,4.8
2017-04-24,咸宁,65.34,0.76,13.07,113.79,75.9,37.98,9.76
2017-04-25,咸宁,72.21,0.95,19.02,82.54,84.72,51.4,10.47
2017-04-26,咸宁,83.2,1.16,21.17,70.72,84.25,60.74,7.18
2017-04-27,咸宁,73.34,0.82,14.49,106.69,65.57,50.54,8.81
2017-04-28,咸宁,72.72,0.74,14.29,134.81,63.71,37.93,12.21
2017-04-29,咸宁,63.02,0.74,16.93,120.25,60.69,34.73,11.28
2017-04-30,咸宁,57.78,0.73,11.96,123.26,59.49,33.36,10.69
2017-05-01,咸宁,65.23,0.86,9.17,98.88,60.55,45.84,7.89
2017-05-02,咸宁,53.87,0.84,5.13,116.45,46.13,36.8,5.71
2017-05-03,咸宁,48.06,0.97,6.82,89.54,44.81,31.28,6.55
2017-05-04,咸宁,37.81,0.95,11.3,82.58,39.12,24.25,6.21
2017-05-05,咸宁,59.99,1.02,14.67,102.48,67.95,33.16,8.91
2017-05-06,咸宁,181.94,1.12,17.3,76.31,268.1,76.93,11.54
2017-05-07,咸宁,161.37,1.42,19.07,34.61,259.17,93.96,8.38
2017-05-08,咸宁,52.76,0.81,12.02,76.46,55.08,34.54,5.42
2017-05-09,咸宁,56.49,0.82,13.82,99.51,58.84,32.41,9.69
2017-05-10,咸宁,57.08,0.87,12.66,91.77,57.21,34.87,6.17
2017-05-11,咸宁,71.51,1.2,19.1,77.9,73.33,49.93,6.67
2017-05-12,咸宁,44.33,0.94,11.77,97.61,38.47,25.67,7.9
2017-05-13,咸宁,53.09,0.96,14.58,95.6,53.97,25.96,8.74
2017-05-14,咸宁,73.19,1.05,14.6,119.1,79.28,39.17,9.68
2017-05-15,咸宁,76.94,1.17,15.14,138.18,81.47,54.62,10.14
2017-05-16,咸宁,74.0,1.1,12.96,110.45,86.71,49.39,7.48
2017-05-17,咸宁,78.01,1.12,13.57,126.34,71.73,46.85,7.15
2017-05-18,咸宁,65.73,1.07,15.57,116.47,69.76,42.03,8.43
2017-05-19,咸宁,80.34,1.22,14.8,109.33,82.59,57.97,9.42
2017-05-20,咸宁,69.91,1.21,13.23,87.61,70.82,49.31,8.07
2017-05-21,咸宁,75.67,1.19,8.85,91.82,70.45,54.07,7.34
2017-05-22,咸宁,50.24,1.08,5.04,64.99,35.22,35.22,5.31
2017-05-23,咸宁,28.82,1.18,14.21,60.75,21.12,18.57,4.45
2017-05-24,咸宁,55.31,1.15,14.18,112.5,48.76,32.9,6.69
2017-05-25,咸宁,62.68,1.06,14.39,115.4,53.03,34.91,7.82
2017-05-26,咸宁,73.91,1.1,16.99,140.49,58.28,33.99,9.6
2017-05-27,咸宁,67.53,1.09,15.01,130.99,56.66,31.61,8.84
2017-05-28,咸宁,60.76,0.99,14.3,116.8,53.46,29.45,10.91
2017-05-29,咸宁,59.66,0.96,9.95,134.77,59.18,32.78,10.53
2017-05-30,咸宁,65.33,1.13,7.72,127.51,69.22,44.36,8.06
