time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,孝感,138.05,2.79,82.08,13.84,163.55,104.39,23.79
2017-01-02,孝感,158.18,2.33,41.8,47.27,170.0,119.62,16.02
2017-01-03,孝感,167.31,2.41,53.65,39.46,184.73,126.9,15.94
2017-01-04,孝感,173.04,1.92,60.79,11.93,195.98,131.26,12.0
2017-01-05,孝感,46.85,2.08,34.48,14.1,48.29,30.1,4.04
2017-01-06,孝感,32.04,1.01,20.31,28.94,31.0,18.5,3.33
2017-01-07,孝感,40.57,1.33,24.63,24.72,40.97,23.89,4.04
2017-01-08,孝感,67.56,1.61,28.85,38.77,72.75,46.42,10.4
2017-01-09,孝感,105.85,2.06,39.46,45.17,123.26,79.37,17.43
2017-01-10,孝感,100.02,1.65,24.5,57.27,107.64,74.65,12.56
2017-01-11,孝感,106.31,1.96,26.0,42.06,119.38,79.75,11.65
2017-01-12,孝感,99.17,1.99,22.62,52.38,116.31,73.9,11.83
2017-01-13,孝感,87.17,2.25,49.23,23.92,106.02,63.0,10.6
2017-01-14,孝感,91.4,1.66,39.21,39.46,109.54,66.96,16.17
2017-01-15,孝感,60.12,1.39,33.06,40.21,66.5,38.35,12.17
2017-01-16,孝感,74.02,1.58,37.4,37.54,85.92,52.98,10.52
2017-01-17,孝感,74.65,1.5,29.56,47.56,82.69,54.04,11.04
2017-01-18,孝感,99.79,1.72,40.12,20.6,113.02,74.54,9.88
2017-01-19,孝感,126.71,1.75,25.79,44.21,141.85,96.02,11.5
2017-01-20,孝感,67.52,1.18,25.46,51.6,84.75,35.98,13.46
2017-01-21,孝感,76.58,2.22,46.9,35.77,95.04,50.94,14.02
2017-01-22,孝感,132.0,3.03,58.9,34.04,158.29,99.35,17.29
2017-01-23,孝感,116.29,2.18,52.38,47.67,135.21,87.48,16.9
2017-01-24,孝感,102.04,1.96,34.85,56.23,113.21,76.38,16.27
2017-01-25,孝感,120.46,2.25,31.54,55.6,125.88,90.79,12.58
2017-01-26,孝感,115.59,2.71,51.91,34.76,123.32,86.82,10.06
2017-01-27,孝感,168.02,2.6,30.25,51.77,212.62,125.92,17.75
2017-01-28,孝感,201.8,3.34,40.2,34.84,214.22,154.62,25.53
2017-01-29,孝感,126.54,2.65,18.78,37.46,129.38,95.65,8.57
2017-01-30,孝感,113.98,2.31,18.67,53.33,129.5,85.02,14.52
2017-01-31,孝感,83.4,1.93,15.15,42.25,93.38,59.85,6.15
2017-02-01,孝感,68.08,1.85,13.88,42.42,69.17,48.98,4.58
2017-02-02,孝感,106.48,2.1,17.88,35.83,105.67,79.83,4.25
2017-02-03,孝感,103.1,2.51,19.67,25.5,104.06,77.15,4.15
2017-02-04,孝感,67.59,2.45,16.57,29.63,69.13,48.57,8.15
2017-02-05,孝感,65.92,2.97,28.21,35.58,67.17,46.6,8.81
2017-02-06,孝感,112.73,3.26,33.42,29.73,116.62,84.92,10.46
2017-02-07,孝感,66.33,2.14,19.72,43.85,67.66,46.7,7.43
2017-02-08,孝感,63.65,2.16,16.25,53.79,63.77,43.56,6.85
2017-02-09,孝感,94.67,2.53,28.21,48.15,93.42,70.35,11.98
2017-02-10,孝感,74.56,2.34,31.79,51.5,77.54,52.67,15.83
2017-02-11,孝感,74.73,2.54,38.21,48.33,78.48,54.25,19.0
2017-02-12,孝感,127.19,2.94,55.52,47.5,133.1,97.04,21.46
2017-02-13,孝感,96.4,3.37,67.06,41.53,104.56,71.38,23.69
2017-02-14,孝感,80.52,3.33,51.6,47.81,86.53,58.33,18.73
2017-02-15,孝感,106.12,3.7,64.69,39.75,121.17,78.94,22.52
2017-02-16,孝感,108.23,3.21,34.69,70.62,114.47,81.19,16.29
2017-02-17,孝感,150.79,3.35,38.33,38.31,185.08,116.08,11.19
2017-02-18,孝感,79.46,2.85,36.25,37.67,92.58,55.52,10.69
2017-02-19,孝感,144.48,3.98,52.1,42.1,166.59,109.96,16.69
2017-02-20,孝感,123.4,6.4,39.21,34.23,144.31,90.88,11.98
2017-02-21,孝感,45.31,2.04,16.58,38.81,48.69,21.69,6.79
2017-02-22,孝感,68.79,2.5,21.67,37.54,68.49,49.75,8.06
2017-02-23,孝感,68.54,2.38,36.38,39.62,73.23,48.79,12.88
2017-02-24,孝感,70.42,2.57,43.4,48.96,77.52,50.48,15.21
2017-02-25,孝感,66.62,2.27,27.31,65.92,74.69,46.92,14.94
2017-02-26,孝感,74.69,2.73,43.6,54.44,85.79,53.48,14.92
2017-02-27,孝感,77.69,3.16,57.48,55.46,89.29,56.58,23.33
2017-02-28,孝感,89.44,3.13,67.56,44.69,110.96,66.08,23.15
2017-03-01,孝感,76.23,1.5,24.58,61.52,87.94,44.08,11.79
2017-03-02,孝感,57.11,1.62,36.41,49.37,64.93,24.09,14.54
2017-03-03,孝感,70.54,2.52,57.02,38.31,89.83,45.54,24.19
2017-03-04,孝感,80.71,2.55,52.96,23.56,98.73,57.58,11.67
2017-03-05,孝感,72.32,2.24,21.14,49.77,84.43,46.73,8.75
2017-03-06,孝感,178.52,3.34,33.42,64.5,213.08,134.98,13.17
2017-03-07,孝感,180.38,3.42,48.05,53.03,221.66,131.65,16.81
2017-03-08,孝感,86.57,2.98,51.17,52.63,105.43,62.7,16.13
2017-03-09,孝感,94.62,3.25,68.06,57.42,113.42,70.35,22.9
2017-03-10,孝感,85.38,3.2,40.83,53.08,99.75,61.65,12.83
2017-03-11,孝感,94.31,3.61,48.33,37.65,105.52,70.02,14.42
2017-03-12,孝感,90.31,3.71,29.56,57.67,99.37,66.56,9.65
2017-03-13,孝感,72.56,1.86,15.06,61.5,51.74,51.11,6.61
2017-03-14,孝感,52.12,1.55,20.15,60.27,55.91,29.62,11.04
2017-03-15,孝感,61.8,1.85,53.74,50.41,72.59,39.65,12.91
2017-03-16,孝感,60.42,1.78,34.42,74.5,64.0,40.6,9.21
2017-03-17,孝感,95.24,2.19,83.52,30.0,110.83,70.8,8.09
