time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,武汉,147.72,1.82,91.51,14.63,164.94,111.93,24.76
2017-01-02,武汉,169.31,1.38,69.82,34.4,163.5,128.74,16.17
2017-01-03,武汉,207.93,1.82,95.12,14.95,214.28,159.82,18.57
2017-01-04,武汉,230.56,2.2,96.45,5.0,262.52,182.54,15.04
2017-01-05,武汉,45.12,1.69,40.67,13.08,26.38,31.18,5.0
2017-01-06,武汉,26.12,0.83,33.67,25.35,17.28,16.85,4.5
2017-01-07,武汉,38.25,0.96,34.62,17.11,33.9,26.06,4.9
2017-01-08,武汉,82.0,1.27,43.84,37.21,77.9,60.23,10.21
2017-01-09,武汉,140.94,1.76,59.35,38.07,122.01,107.27,17.73
2017-01-10,武汉,120.41,1.36,42.0,53.09,98.08,90.86,10.75
2017-01-11,武汉,150.0,1.49,46.26,24.89,121.68,114.0,10.82
2017-01-12,武汉,127.54,1.29,47.07,36.21,104.03,96.66,9.65
2017-01-13,武汉,109.67,1.44,72.77,15.75,112.46,81.62,10.02
2017-01-14,武汉,96.47,1.2,57.79,33.56,101.57,71.6,19.76
2017-01-15,武汉,69.66,0.95,48.18,33.41,76.82,47.88,13.0
2017-01-16,武汉,95.07,1.17,57.97,29.95,97.47,70.66,14.41
2017-01-17,武汉,91.83,1.0,57.14,29.32,96.23,68.08,11.02
2017-01-18,武汉,124.05,1.04,50.95,16.94,106.58,94.1,9.98
2017-01-19,武汉,150.31,1.05,34.32,44.27,141.14,113.58,10.97
2017-01-20,武汉,93.74,0.79,36.63,52.02,120.07,56.87,15.11
2017-01-21,武汉,89.02,1.1,61.17,32.17,118.6,59.9,16.7
2017-01-22,武汉,133.03,1.49,77.04,29.45,155.76,100.48,17.18
2017-01-23,武汉,116.78,1.28,67.81,37.83,124.98,87.91,21.1
2017-01-24,武汉,90.27,1.19,51.72,50.58,91.27,66.5,19.83
2017-01-25,武汉,109.04,1.17,43.12,45.7,92.3,81.98,10.82
2017-01-26,武汉,95.6,1.2,56.92,28.18,84.37,70.91,10.37
2017-01-27,武汉,173.03,1.34,35.59,53.65,233.89,122.42,15.34
2017-01-28,武汉,200.58,1.63,36.14,48.03,195.83,154.3,21.18
2017-01-29,武汉,153.82,1.38,17.86,41.11,138.54,116.58,10.84
2017-01-30,武汉,145.73,1.48,18.39,55.65,121.41,110.19,13.08
2017-01-31,武汉,93.32,1.22,22.58,44.48,82.73,69.35,10.32
2017-02-01,武汉,80.45,1.0,16.82,36.86,64.83,59.04,5.22
2017-02-02,武汉,88.79,1.08,25.45,29.15,69.38,65.72,5.3
2017-02-03,武汉,86.29,1.28,30.27,14.97,63.0,63.71,5.52
2017-02-04,武汉,61.23,1.23,26.63,16.92,42.78,43.84,7.28
2017-02-05,武汉,79.97,1.48,34.83,24.88,78.94,58.74,7.98
2017-02-06,武汉,115.67,1.66,44.22,22.87,96.94,87.59,10.0
2017-02-07,武汉,74.63,1.02,28.26,43.37,68.21,54.75,8.03
2017-02-08,武汉,63.46,0.85,18.55,58.83,56.92,46.15,5.6
2017-02-09,武汉,112.65,1.2,36.6,50.48,92.16,84.77,10.75
2017-02-10,武汉,85.88,1.05,50.75,48.38,79.08,62.8,15.7
2017-02-11,武汉,67.73,1.05,54.1,45.65,71.67,47.56,21.73
2017-02-12,武汉,96.22,1.16,74.06,42.47,104.03,70.33,14.66
2017-02-13,武汉,97.21,1.42,90.52,34.69,109.57,70.5,26.55
2017-02-14,武汉,79.4,1.18,80.98,39.08,98.93,53.99,20.46
2017-02-15,武汉,115.25,1.51,99.8,36.1,146.56,83.1,24.34
2017-02-16,武汉,122.27,1.28,76.21,59.91,145.09,91.37,21.35
2017-02-17,武汉,207.75,1.64,54.15,33.33,222.19,165.34,14.23
2017-02-18,武汉,132.69,1.39,59.82,23.15,135.64,100.0,14.29
2017-02-19,武汉,176.38,1.54,63.5,29.38,170.98,134.15,14.35
2017-02-20,武汉,138.33,1.46,47.18,31.42,150.18,104.1,12.41
2017-02-21,武汉,45.82,0.91,30.52,32.02,61.56,24.21,7.63
2017-02-22,武汉,84.25,1.0,30.17,40.21,70.27,62.32,8.28
2017-02-23,武汉,84.12,1.09,48.48,41.07,73.4,61.88,14.18
2017-02-24,武汉,79.83,1.02,64.45,39.97,84.54,58.1,13.62
2017-02-25,武汉,87.13,0.97,67.12,50.21,93.61,63.47,15.2
2017-02-26,武汉,96.15,1.12,80.2,44.88,117.66,69.67,14.05
2017-02-27,武汉,103.07,1.31,89.03,42.22,135.91,71.75,24.62
2017-02-28,武汉,100.83,1.17,81.12,54.62,122.63,73.34,26.44
2017-03-01,武汉,101.01,0.85,54.04,55.29,128.25,55.05,11.63
2017-03-02,武汉,81.22,0.79,53.79,47.97,111.77,29.03,15.9
2017-03-03,武汉,80.25,0.97,64.45,47.24,109.02,44.65,26.79
2017-03-04,武汉,107.13,1.31,84.6,13.1,132.21,74.97,18.51
2017-03-05,武汉,82.3,1.02,49.24,34.12,77.31,60.06,9.4
2017-03-06,武汉,276.62,2.06,119.26,31.6,265.93,226.62,11.58
2017-03-07,武汉,169.82,1.45,65.29,69.92,157.95,133.04,15.8
2017-03-08,武汉,114.03,1.09,66.19,65.64,124.18,85.05,18.96
2017-03-09,武汉,111.05,1.27,84.85,56.16,141.5,81.72,27.02
2017-03-10,武汉,81.89,1.05,52.63,59.1,87.84,59.16,15.76
2017-03-11,武汉,102.35,1.29,73.35,21.08,119.5,76.12,14.76
2017-03-12,武汉,79.36,1.1,53.74,42.21,79.21,58.11,8.73
2017-03-13,武汉,40.13,0.87,22.65,67.24,26.45,27.74,5.63
2017-03-14,武汉,57.17,0.99,36.47,60.85,63.85,31.76,12.24
2017-03-15,武汉,65.36,0.96,54.6,46.22,67.28,44.59,13.76
2017-03-16,武汉,89.24,1.09,59.92,43.37,92.04,66.02,11.64
2017-03-17,武汉,100.87,1.2,84.61,21.22,97.81,75.33,9.72
2017-03-18,武汉,120.3,1.14,62.76,23.01,103.11,90.88,8.24
2017-03-19,武汉,105.44,1.27,62.04,12.93,80.32,79.02,7.86
2017-03-20,武汉,60.23,0.81,31.39,50.23,36.71,42.89,4.76
2017-03-21,武汉,70.84,0.96,49.36,42.14,59.67,51.31,7.54
2017-03-22,武汉,49.1,0.98,49.65,42.1,46.32,34.3,5.12
2017-03-23,武汉,61.87,1.18,43.96,31.29,52.58,44.01,6.82
2017-03-24,武汉,49.08,0.78,34.83,35.88,50.43,34.32,4.87
2017-03-25,武汉,75.2,0.87,48.1,35.29,89.2,43.37,9.15
2017-03-26,武汉,97.28,0.87,58.82,47.55,144.29,34.71,10.96
2017-03-27,武汉,99.03,0.94,67.43,54.36,147.81,43.35,12.65
2017-03-28,武汉,86.37,0.88,49.21,62.68,119.79,45.76,16.07
2017-03-29,武汉,103.33,1.09,41.25,65.0,129.99,74.76,14.42
2017-03-30,武汉,84.99,1.19,35.85,52.72,92.39,62.51,8.58
2017-03-31,武汉,58.43,0.75,28.19,89.17,55.95,39.24,7.52
2017-04-01,武汉,88.27,1.0,56.79,63.83,93.65,64.44,9.66
2017-04-02,武汉,79.62,0.95,63.52,70.28,92.93,49.41,13.37
2017-04-03,武汉,87.54,1.19,63.88,59.24,122.92,56.53,29.94
2017-04-04,武汉,86.89,1.21,68.95,32.06,112.07,59.41,20.59
2017-04-05,武汉,102.58,1.49,58.31,16.48,97.65,77.32,7.72
2017-04-06,武汉,51.79,1.18,37.49,27.12,53.81,35.63,5.97
2017-04-07,武汉,66.19,1.41,49.31,34.7,73.74,45.26,7.08
2017-04-08,武汉,61.08,1.67,40.57,50.64,76.29,41.07,8.8
2017-04-09,武汉,25.02,1.0,18.77,74.37,11.92,7.95,5.96
2017-04-10,武汉,24.89,0.69,22.17,65.25,15.8,9.78,5.65
2017-04-11,武汉,57.51,1.01,34.44,59.95,54.29,39.04,7.32
2017-04-12,武汉,74.29,1.22,62.06,48.99,85.39,48.8,9.97
2017-04-13,武汉,78.73,1.21,65.53,64.46,94.9,49.57,11.07
2017-04-14,武汉,78.89,1.02,59.7,63.85,102.5,43.55,9.65
2017-04-15,武汉,91.52,1.35,60.68,63.5,127.9,54.71,14.22
2017-04-16,武汉,81.71,1.38,52.09,30.73,116.29,54.99,7.6
2017-04-17,武汉,50.79,0.64,21.8,70.06,62.24,18.33,6.71
2017-04-18,武汉,87.53,0.9,41.64,62.42,122.76,31.84,9.42
2017-04-19,武汉,103.4,1.22,62.8,35.41,154.18,52.39,9.93
2017-04-20,武汉,68.58,0.78,32.89,52.7,86.47,28.38,7.02
2017-04-21,武汉,78.78,0.78,43.11,33.52,107.71,31.41,9.19
