time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,荆门,144.01,1.67,70.6,36.41,150.94,110.21,20.86
2017-01-02,荆门,136.33,1.65,73.92,30.41,148.6,102.54,20.83
2017-01-03,荆门,151.53,1.57,80.32,28.99,165.5,116.52,22.53
2017-01-04,荆门,171.86,1.88,91.89,18.82,184.17,131.49,22.45
2017-01-05,荆门,72.82,1.71,63.88,16.57,103.89,51.63,10.74
2017-01-06,荆门,48.17,2.22,58.83,13.87,85.26,31.13,10.29
2017-01-07,荆门,51.02,1.04,41.86,25.23,70.09,33.03,12.04
2017-01-08,荆门,80.3,1.21,52.79,27.48,99.06,56.54,20.54
2017-01-09,荆门,100.97,1.18,50.03,32.52,118.03,74.97,22.05
2017-01-10,荆门,94.42,0.9,37.94,43.65,95.29,70.23,18.68
2017-01-11,荆门,159.77,1.63,48.63,28.66,165.18,123.14,18.7
2017-01-12,荆门,113.26,1.15,41.47,37.01,117.83,83.9,15.22
2017-01-13,荆门,84.34,1.02,49.61,37.82,106.02,60.52,17.02
2017-01-14,荆门,102.44,1.04,51.27,32.96,114.42,76.52,19.17
2017-01-15,荆门,100.62,1.02,47.06,43.59,98.59,74.27,16.54
2017-01-16,荆门,91.91,1.01,40.8,45.88,101.55,68.18,20.99
2017-01-17,荆门,111.14,0.97,34.15,58.42,108.96,83.54,16.86
2017-01-18,荆门,131.16,1.03,37.88,44.98,116.69,99.2,15.88
2017-01-19,荆门,150.17,1.14,41.1,45.77,139.22,113.77,17.17
2017-01-20,荆门,79.47,0.74,34.14,53.43,97.25,46.11,17.43
2017-01-21,荆门,107.22,1.01,48.25,46.05,126.37,79.32,19.57
2017-01-22,荆门,144.68,1.32,59.92,45.48,147.28,110.47,22.86
2017-01-23,荆门,137.41,1.31,55.64,54.68,134.6,104.5,31.34
2017-01-24,荆门,167.11,1.37,47.41,45.45,143.92,128.03,23.49
2017-01-25,荆门,141.35,1.2,39.4,67.71,125.07,107.2,16.48
2017-01-26,荆门,157.12,1.31,45.77,59.84,141.69,119.64,14.72
2017-01-27,荆门,173.7,1.32,32.1,53.3,212.96,131.53,20.59
2017-01-28,荆门,207.94,1.5,42.73,38.1,222.44,163.51,23.35
2017-01-29,荆门,143.28,1.13,30.05,45.16,147.25,108.92,13.86
2017-01-30,荆门,118.03,0.98,20.67,53.08,118.89,88.38,13.85
2017-01-31,荆门,86.72,0.9,17.68,53.22,91.61,63.32,10.54
