time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,襄阳,286.75,1.88,57.36,26.64,254.38,236.75,25.14
2017-01-02,襄阳,200.62,1.86,61.33,30.47,188.66,156.83,19.15
2017-01-03,襄阳,186.99,1.96,60.51,8.54,179.74,144.18,17.97
2017-01-04,襄阳,254.22,2.17,60.21,5.11,223.67,205.12,20.42
2017-01-05,襄阳,94.66,3.05,46.38,14.78,73.67,70.38,10.6
2017-01-06,襄阳,70.79,3.61,55.2,7.38,53.28,51.34,11.02
2017-01-07,襄阳,42.1,1.52,32.87,35.27,45.14,28.48,10.13
2017-01-08,襄阳,103.19,1.89,53.83,27.79,94.9,77.02,20.6
2017-01-09,襄阳,132.41,1.96,61.39,21.0,124.9,100.13,17.41
2017-01-10,襄阳,108.09,1.47,38.19,40.38,77.17,81.02,17.84
2017-01-11,襄阳,241.49,2.58,49.92,26.82,230.77,193.76,24.73
2017-01-12,襄阳,119.94,1.39,49.1,27.99,115.37,89.71,25.53
2017-01-13,襄阳,114.84,1.33,53.62,30.77,117.2,85.55,28.6
2017-01-14,襄阳,145.94,1.46,42.26,31.15,125.21,111.0,23.01
2017-01-15,襄阳,108.12,1.41,39.88,34.45,95.31,79.86,14.83
2017-01-16,襄阳,115.6,1.44,48.42,28.7,104.89,87.15,18.57
2017-01-17,襄阳,141.66,1.37,46.75,32.21,133.56,106.67,16.15
2017-01-18,襄阳,172.88,1.52,42.45,25.0,142.02,131.05,16.18
2017-01-19,襄阳,171.7,1.51,40.62,46.58,160.71,128.01,19.37
2017-01-20,襄阳,65.0,1.03,35.22,47.45,77.51,28.98,13.84
2017-01-21,襄阳,112.48,1.26,49.54,31.83,125.64,84.14,25.42
2017-01-22,襄阳,186.18,1.6,60.46,27.68,169.67,142.14,33.03
2017-01-23,襄阳,261.75,1.96,69.26,23.41,243.8,211.75,22.52
2017-01-24,襄阳,235.02,1.97,46.52,31.7,204.22,185.34,18.04
2017-01-25,襄阳,205.48,1.66,36.09,75.2,185.37,160.46,24.18
2017-01-26,襄阳,224.22,1.79,47.86,52.75,212.38,175.22,20.25
2017-01-27,襄阳,248.46,1.88,30.58,37.72,249.85,198.93,20.96
