time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,随州,160.68,1.49,47.16,32.96,174.7,121.54,14.42
2017-01-02,随州,192.63,1.47,44.48,51.78,200.72,149.08,15.77
2017-01-03,随州,198.54,1.84,60.12,18.6,216.83,152.89,16.14
2017-01-04,随州,240.78,2.14,61.12,7.32,268.16,191.65,14.46
2017-01-05,随州,55.82,2.24,40.89,18.6,49.07,39.11,7.65
2017-01-06,随州,40.17,1.53,39.39,21.49,35.21,27.42,7.01
2017-01-07,随州,39.13,1.26,35.93,29.03,38.54,26.33,7.99
2017-01-08,随州,77.4,1.42,35.71,35.64,78.39,55.75,14.14
2017-01-09,随州,109.52,1.67,38.55,44.73,120.11,82.01,14.45
2017-01-10,随州,131.25,1.37,32.0,69.79,129.18,99.56,18.82
2017-01-11,随州,152.51,1.59,30.88,52.35,163.99,116.04,16.64
2017-01-12,随州,124.18,1.22,34.83,35.54,139.42,92.56,13.96
2017-01-13,随州,95.06,1.12,36.22,28.68,110.81,70.04,9.99
2017-01-14,随州,112.81,1.13,34.33,52.76,120.79,84.93,17.07
2017-01-15,随州,62.75,0.73,25.61,54.78,64.01,43.33,12.29
2017-01-16,随州,81.46,0.9,31.12,46.03,85.06,59.83,9.92
2017-01-17,随州,76.96,0.85,22.14,58.97,78.7,56.25,10.8
2017-01-18,随州,109.71,1.12,32.57,38.57,108.38,82.49,11.54
2017-01-19,随州,156.31,1.14,27.6,49.35,155.44,118.26,12.19
2017-01-20,随州,59.97,0.67,19.38,65.96,69.93,26.76,13.24
2017-01-21,随州,90.83,1.16,39.33,42.0,112.1,64.76,12.65
2017-01-22,随州,140.1,1.41,41.5,49.39,157.17,106.18,13.62
2017-01-23,随州,144.58,1.49,42.75,57.46,157.88,109.51,13.99
2017-01-24,随州,161.04,1.65,36.5,47.88,161.01,122.33,12.69
2017-01-25,随州,151.17,1.44,24.35,67.61,147.18,115.03,10.72
2017-01-26,随州,151.2,1.57,34.24,64.06,148.73,114.61,10.88
2017-01-27,随州,155.61,1.46,24.44,74.22,188.44,115.35,18.19
2017-01-28,随州,218.11,1.84,28.52,50.37,234.67,171.06,19.44
2017-01-29,随州,165.01,1.7,20.8,49.96,163.03,124.78,13.13
2017-01-30,随州,124.68,1.32,17.89,68.29,135.46,91.22,12.03
2017-01-31,随州,88.12,1.19,17.28,55.92,90.67,65.15,6.94
2017-02-01,随州,88.26,1.26,17.9,53.12,82.19,65.31,5.86
2017-02-02,随州,131.01,1.51,18.75,58.49,120.51,99.31,6.49
