time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,娄底,120.07,2.23,52.08,28.07,150.84,89.47,41.6
2017-01-01,岳阳,133.29,1.27,44.74,23.03,140.87,101.12,28.41
2017-01-01,常德,204.93,1.85,43.94,36.95,204.45,158.8,24.99
2017-01-01,张家界,178.67,2.28,36.64,47.52,198.52,139.03,8.88
2017-01-01,怀化,158.77,1.41,39.96,36.54,192.83,120.34,51.35
2017-01-01,株洲,157.8,1.42,70.06,23.51,186.69,120.09,32.4
2017-01-01,永州,151.67,1.12,50.02,40.03,167.32,115.43,27.86
2017-01-01,湘潭,137.37,1.49,78.75,24.88,181.26,102.35,38.32
2017-01-01,湘西州,115.36,0.82,27.47,13.55,139.51,86.84,7.18
2017-01-01,益阳,131.37,1.69,50.37,37.06,190.74,97.64,29.02
2017-01-01,衡阳,153.26,2.02,65.17,28.67,170.16,116.84,33.64
2017-01-01,邵阳,176.77,1.51,50.38,31.12,175.28,135.74,55.02
2017-01-01,郴州,132.17,1.85,58.91,25.74,158.6,99.34,29.41
2017-01-01,长沙,141.62,1.54,88.27,16.92,149.18,107.35,33.9
2017-01-02,娄底,147.08,1.73,38.54,38.28,168.63,111.38,32.46
2017-01-02,岳阳,158.88,1.38,38.82,44.01,168.78,120.41,25.54
2017-01-02,常德,239.33,1.84,39.42,43.58,243.32,189.64,27.0
2017-01-02,张家界,187.07,2.44,37.1,49.96,210.69,144.35,10.14
2017-01-02,怀化,187.36,1.41,26.86,41.7,218.31,142.15,42.09
2017-01-02,株洲,233.76,1.14,60.71,21.11,238.73,184.7,44.73
2017-01-02,永州,191.51,1.18,48.28,37.63,194.96,144.95,28.11
2017-01-02,湘潭,202.68,1.35,43.74,50.04,222.57,154.22,27.3
2017-01-02,湘西州,131.68,0.71,24.48,21.58,147.05,99.5,9.23
2017-01-02,益阳,169.8,1.59,36.64,55.92,222.83,128.62,29.93
2017-01-02,衡阳,192.13,1.75,42.89,39.29,175.43,146.2,27.75
2017-01-02,邵阳,220.08,1.78,49.4,17.6,208.38,171.74,63.27
2017-01-02,郴州,162.01,2.06,44.07,43.17,182.74,122.68,54.49
2017-01-02,长沙,220.96,1.34,47.69,36.05,175.68,171.19,20.09
2017-01-03,娄底,157.63,2.01,43.41,36.95,177.36,119.58,40.77
2017-01-03,岳阳,184.57,1.57,56.13,17.8,202.23,139.63,43.92
2017-01-03,常德,243.49,2.12,52.12,24.64,255.1,191.87,26.37
2017-01-03,张家界,206.76,2.67,49.45,37.61,239.6,166.33,10.36
2017-01-03,怀化,174.3,1.34,34.15,23.1,202.03,131.94,35.75
2017-01-03,株洲,259.72,1.37,73.12,18.25,281.27,210.15,56.83
2017-01-03,永州,191.22,1.13,41.51,46.86,200.06,143.41,20.05
2017-01-03,湘潭,208.64,1.5,53.3,50.38,242.11,160.23,31.95
2017-01-03,湘西州,123.31,0.77,29.58,9.58,149.6,92.96,9.53
2017-01-03,益阳,174.64,1.73,47.62,42.73,233.14,132.15,40.11
2017-01-03,衡阳,219.17,1.81,41.17,45.19,207.66,170.08,34.02
2017-01-03,邵阳,208.61,1.48,46.98,30.81,209.94,160.8,62.6
2017-01-03,郴州,194.82,2.12,46.28,39.37,212.98,148.12,50.64
2017-01-03,长沙,,,,,,,
2017-01-04,娄底,169.32,2.0,46.25,36.92,202.18,127.21,37.06
2017-01-04,岳阳,208.18,1.79,57.17,8.1,216.25,159.4,29.57
2017-01-04,常德,222.93,1.83,36.51,27.62,224.56,172.97,20.02
2017-01-04,张家界,202.24,2.3,50.55,30.8,226.02,162.96,8.14
2017-01-04,怀化,162.43,1.36,26.4,19.9,195.13,121.74,31.25
2017-01-04,株洲,280.89,1.9,92.62,17.94,323.71,230.37,39.23
2017-01-04,永州,213.55,1.54,49.32,36.93,228.13,165.12,26.85
2017-01-04,湘潭,252.46,1.93,92.09,25.57,309.59,197.2,67.14
2017-01-04,湘西州,147.83,1.26,31.44,9.87,161.35,111.74,7.28
2017-01-04,益阳,171.47,1.67,51.07,49.44,236.42,129.26,41.86
2017-01-04,衡阳,259.99,2.51,70.81,37.32,274.73,208.1,37.78
2017-01-04,邵阳,241.1,1.89,52.58,33.5,252.68,192.16,60.75
2017-01-04,郴州,195.3,2.75,61.89,32.48,224.83,148.7,40.83
2017-01-04,长沙,277.4,2.31,134.1,20.9,267.33,227.4,41.0
2017-01-05,娄底,149.31,1.58,29.19,26.76,163.34,112.7,19.19
2017-01-05,岳阳,88.01,1.86,38.29,8.43,95.08,64.6,12.22
2017-01-05,常德,121.35,1.88,25.96,30.26,121.42,89.6,7.74
2017-01-05,张家界,104.08,1.73,30.83,45.85,101.66,75.38,6.4
2017-01-05,怀化,134.76,1.34,14.31,24.51,155.07,101.77,18.44
2017-01-05,株洲,189.4,1.59,59.86,4.8,215.16,149.16,22.6
2017-01-05,永州,243.45,1.56,44.92,19.48,256.37,194.65,27.57
2017-01-05,湘潭,147.95,1.8,46.61,14.81,179.36,113.29,18.18
2017-01-05,湘西州,117.19,1.04,20.58,15.62,122.12,88.08,2.51
