time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,娄底,120.07,2.23,52.08,28.07,150.84,89.47,41.6
2017-01-02,娄底,147.08,1.73,38.54,38.28,168.63,111.38,32.46
2017-01-03,娄底,157.63,2.01,43.41,36.95,177.36,119.58,40.77
2017-01-04,娄底,169.32,2.0,46.25,36.92,202.18,127.21,37.06
2017-01-05,娄底,149.31,1.58,29.19,26.76,163.34,112.7,19.19
2017-01-06,娄底,31.34,2.21,26.37,16.93,28.8,18.23,12.36
2017-01-07,娄底,27.37,2.01,25.11,20.12,22.9,15.64,11.3
2017-01-08,娄底,31.42,1.24,17.06,46.19,27.99,20.78,13.85
2017-01-09,娄底,63.43,1.62,20.5,49.06,63.94,44.57,19.61
2017-01-10,娄底,75.93,1.82,15.6,59.26,75.13,53.62,17.62
2017-01-11,娄底,49.63,1.52,12.82,56.97,44.14,33.43,11.68
2017-01-12,娄底,43.04,1.76,16.69,48.6,38.27,29.75,14.87
2017-01-13,娄底,62.7,1.36,20.95,44.42,62.09,42.95,23.32
2017-01-14,娄底,71.98,1.39,21.51,45.2,74.19,51.02,22.29
2017-01-15,娄底,89.45,1.49,20.48,47.17,98.31,65.01,25.71
2017-01-16,娄底,81.03,1.68,22.57,35.96,90.33,57.52,19.86
2017-01-17,娄底,94.42,1.5,27.09,42.46,102.83,68.99,18.52
2017-01-18,娄底,84.12,1.39,26.51,35.85,85.96,60.51,13.43
2017-01-19,娄底,84.05,1.35,25.02,42.29,86.47,61.33,14.65
2017-01-20,娄底,95.66,1.73,21.9,69.54,105.2,67.82,23.21
2017-01-21,娄底,67.05,1.81,32.15,57.75,75.08,41.23,34.46
2017-01-22,娄底,100.1,1.83,34.17,53.76,109.68,72.28,24.76
2017-01-23,娄底,100.55,1.96,36.14,54.94,114.16,73.58,23.3
2017-01-24,娄底,88.36,1.71,30.94,56.74,99.31,63.73,21.23
2017-01-25,娄底,92.25,1.59,23.42,65.93,94.43,67.75,18.54
2017-01-26,娄底,98.94,1.78,28.86,36.42,106.77,73.39,14.64
