time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,岳阳,133.29,1.27,44.74,23.03,140.87,101.12,28.41
2017-01-02,岳阳,158.88,1.38,38.82,44.01,168.78,120.41,25.54
2017-01-03,岳阳,184.57,1.57,56.13,17.8,202.23,139.63,43.92
2017-01-04,岳阳,208.18,1.79,57.17,8.1,216.25,159.4,29.57
2017-01-05,岳阳,88.01,1.86,38.29,8.43,95.08,64.6,12.22
2017-01-06,岳阳,32.6,1.67,22.93,19.06,29.62,20.66,8.27
2017-01-07,岳阳,34.93,1.64,26.34,18.43,31.45,22.27,9.11
2017-01-08,岳阳,50.53,0.91,21.86,44.22,49.56,34.28,12.69
2017-01-09,岳阳,95.33,1.43,33.19,46.05,95.82,70.89,18.52
2017-01-10,岳阳,101.06,1.27,25.34,47.52,101.56,74.92,13.56
2017-01-11,岳阳,91.25,1.18,21.96,35.63,91.93,67.06,11.64
2017-01-12,岳阳,84.31,1.35,24.22,50.71,85.77,60.84,14.61
2017-01-13,岳阳,82.76,1.27,29.5,39.68,86.38,59.83,16.42
2017-01-14,岳阳,89.93,1.01,35.17,43.38,95.42,65.7,20.03
2017-01-15,岳阳,80.13,0.94,34.31,32.44,85.72,56.66,18.95
2017-01-16,岳阳,84.19,0.92,37.86,33.88,92.63,62.07,18.74
2017-01-17,岳阳,79.64,0.79,32.72,39.08,86.91,57.73,15.24
2017-01-18,岳阳,91.63,0.91,34.9,26.42,96.93,67.12,16.79
2017-01-19,岳阳,115.53,0.97,25.12,31.35,119.35,87.09,12.81
2017-01-20,岳阳,94.87,0.77,23.15,53.62,112.81,64.85,14.67
2017-01-21,岳阳,97.28,1.01,34.8,53.51,118.25,71.94,12.87
2017-01-22,岳阳,100.74,1.07,38.34,49.07,113.69,74.99,13.83
2017-01-23,岳阳,104.82,1.18,39.58,47.63,114.6,78.49,16.13
2017-01-24,岳阳,113.37,1.19,35.7,33.07,117.94,84.85,16.19
2017-01-25,岳阳,133.98,1.33,28.15,43.24,131.38,100.76,13.67
2017-01-26,岳阳,84.15,1.0,22.28,42.08,81.58,61.84,9.05
2017-01-27,岳阳,146.01,1.17,20.51,52.82,181.85,110.01,18.64
2017-01-28,岳阳,410.0,1.79,24.7,22.11,582.3,448.61,36.23
2017-01-29,岳阳,186.05,1.54,12.86,36.8,184.22,144.99,12.96
2017-01-30,岳阳,145.98,1.63,11.54,50.35,145.69,110.28,14.63
2017-01-31,岳阳,104.24,1.2,12.12,39.94,107.29,78.08,11.16
2017-02-01,岳阳,78.82,1.02,8.27,35.48,73.26,57.73,6.43
2017-02-02,岳阳,76.96,0.98,10.67,28.94,74.6,55.35,5.88
2017-02-03,岳阳,60.89,1.14,15.32,14.66,57.21,42.57,5.21
2017-02-04,岳阳,47.92,1.05,11.78,25.11,43.06,32.74,5.15
2017-02-05,岳阳,54.79,1.12,15.17,28.61,49.25,38.21,6.59
2017-02-06,岳阳,95.97,1.44,25.07,17.74,94.17,71.44,12.53
2017-02-07,岳阳,86.27,0.93,15.71,37.71,86.34,61.98,8.61
2017-02-08,岳阳,53.67,0.64,11.16,54.06,52.87,34.63,7.11
2017-02-09,岳阳,99.46,1.01,19.61,52.45,93.76,73.97,14.72
2017-02-10,岳阳,81.93,0.9,24.92,56.06,78.33,59.72,16.58
2017-02-11,岳阳,65.26,0.75,26.9,65.59,65.73,45.63,19.04
2017-02-12,岳阳,92.13,0.86,32.0,55.56,90.51,67.87,17.83
2017-02-13,岳阳,67.08,0.73,32.94,64.72,68.68,47.18,17.78
2017-02-14,岳阳,77.55,0.88,45.58,54.76,81.81,56.23,20.07
2017-02-15,岳阳,101.49,0.99,48.63,57.01,110.68,75.5,21.01
2017-02-16,岳阳,105.03,0.94,29.75,84.68,112.12,78.66,22.86
2017-02-17,岳阳,139.55,1.29,33.65,56.31,181.65,105.11,17.26
2017-02-18,岳阳,103.42,1.0,33.56,24.43,131.69,72.87,17.74
2017-02-19,岳阳,132.94,1.26,32.21,56.62,156.11,100.82,25.53
2017-02-20,岳阳,105.99,1.11,26.94,65.94,131.25,75.22,18.03
2017-02-21,岳阳,48.35,0.72,15.22,41.16,54.98,26.5,8.4
2017-02-22,岳阳,55.73,0.87,14.3,50.53,54.5,38.69,14.06
2017-02-23,岳阳,63.28,0.8,14.73,72.17,64.91,42.85,17.12
2017-02-24,岳阳,59.75,0.77,16.34,78.02,61.68,39.92,17.02
2017-02-25,岳阳,78.24,0.84,30.26,63.25,83.76,56.62,20.29
2017-02-26,岳阳,78.59,0.92,34.19,73.69,86.61,55.6,20.35
2017-02-27,岳阳,75.48,0.92,42.78,75.05,85.57,54.13,21.8
2017-02-28,岳阳,95.07,1.05,54.01,56.93,114.59,67.9,35.63
2017-03-01,岳阳,94.8,0.85,38.81,58.46,117.28,59.91,17.12
2017-03-02,岳阳,60.74,0.68,27.03,73.97,71.27,22.46,16.53
2017-03-03,岳阳,69.83,0.89,42.59,44.18,87.72,42.82,28.08
2017-03-04,岳阳,81.12,1.17,55.5,15.46,95.22,59.21,17.3
2017-03-05,岳阳,84.17,1.23,33.11,28.36,87.19,61.37,9.74
2017-03-06,岳阳,158.37,1.58,36.24,49.74,173.75,120.65,13.15
2017-03-07,岳阳,213.74,1.81,48.38,56.95,242.59,160.72,16.49
2017-03-08,岳阳,140.1,1.29,45.2,70.65,162.36,104.98,24.08
2017-03-09,岳阳,87.14,0.94,38.83,73.93,104.21,63.6,27.01
2017-03-10,岳阳,74.97,0.96,25.17,68.28,74.1,54.43,13.61
2017-03-11,岳阳,65.77,1.04,30.13,46.22,68.3,46.07,12.23
2017-03-12,岳阳,59.43,1.1,32.28,47.08,59.51,41.13,11.89
2017-03-13,岳阳,35.74,0.93,14.27,73.69,30.64,21.41,7.95
2017-03-14,岳阳,46.51,0.91,17.47,63.23,47.3,26.28,15.01
2017-03-15,岳阳,51.85,0.91,30.01,50.16,51.38,33.04,16.49
2017-03-16,岳阳,57.46,0.95,25.45,63.16,60.35,37.25,17.96
2017-03-17,岳阳,70.89,0.97,34.78,36.72,70.74,51.04,15.31
2017-03-18,岳阳,70.08,0.95,26.16,50.7,65.12,50.43,16.25
2017-03-19,岳阳,63.63,1.13,30.67,24.8,60.61,45.31,16.29
2017-03-20,岳阳,53.09,1.04,24.37,47.53,52.48,36.83,10.24
2017-03-21,岳阳,58.21,0.84,24.1,59.9,54.94,40.34,16.96
2017-03-22,岳阳,36.33,0.77,20.05,52.14,33.64,23.55,15.37
2017-03-23,岳阳,48.14,0.83,25.76,47.15,45.38,30.66,16.42
2017-03-24,岳阳,37.98,0.6,16.13,49.58,33.09,23.79,8.98
2017-03-25,岳阳,65.68,0.74,32.14,39.12,76.48,35.9,15.84
2017-03-26,岳阳,82.69,0.69,32.13,50.88,114.81,39.47,16.67
2017-03-27,岳阳,76.46,0.59,26.04,75.83,102.7,37.7,17.98
2017-03-28,岳阳,65.22,0.61,22.38,66.25,78.85,37.64,19.03
2017-03-29,岳阳,78.53,0.86,35.19,53.08,96.7,55.35,20.94
2017-03-30,岳阳,67.35,0.94,25.53,55.55,69.31,48.17,12.52
2017-03-31,岳阳,61.6,0.68,14.45,94.83,56.82,42.68,9.26
2017-04-01,岳阳,68.14,0.84,24.61,67.76,68.19,48.51,18.66
2017-04-02,岳阳,72.1,0.81,26.29,90.16,68.85,49.13,18.15
2017-04-03,岳阳,71.39,0.85,32.01,73.93,72.59,49.89,26.12
2017-04-04,岳阳,82.09,0.93,23.12,85.49,84.06,59.96,21.93
2017-04-05,岳阳,112.46,1.08,29.03,27.57,104.02,84.67,21.51
2017-04-06,岳阳,51.3,0.81,14.79,50.4,46.62,35.59,11.62
2017-04-07,岳阳,50.71,1.0,16.98,59.35,45.59,33.31,19.15
2017-04-08,岳阳,66.1,1.05,19.52,47.74,62.38,46.72,15.41
2017-04-09,岳阳,28.27,0.88,8.68,75.04,21.31,11.71,6.33
2017-04-10,岳阳,30.2,0.53,7.54,76.14,24.09,13.46,7.11
