time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,张家界,178.67,2.28,36.64,47.52,198.52,139.03,8.88
2017-01-02,张家界,187.07,2.44,37.1,49.96,210.69,144.35,10.14
2017-01-03,张家界,206.76,2.67,49.45,37.61,239.6,166.33,10.36
2017-01-04,张家界,202.24,2.3,50.55,30.8,226.02,162.96,8.14
2017-01-05,张家界,104.08,1.73,30.83,45.85,101.66,75.38,6.4
2017-01-06,张家界,40.31,1.83,24.08,58.49,40.87,24.65,5.74
2017-01-07,张家界,38.03,1.65,23.73,58.92,38.28,23.1,5.51
2017-01-08,张家界,56.56,1.45,23.26,67.51,53.79,38.49,6.46
2017-01-09,张家界,87.57,1.51,24.0,74.61,88.49,64.43,8.71
2017-01-10,张家界,99.24,1.31,20.85,87.71,99.48,73.1,10.1
2017-01-11,张家界,100.56,1.51,21.54,74.27,98.42,75.06,12.01
2017-01-12,张家界,75.62,1.5,18.26,69.5,77.75,52.96,7.44
2017-01-13,张家界,77.29,1.3,25.33,53.07,91.17,54.59,5.92
2017-01-14,张家界,95.06,1.38,22.17,71.83,102.2,68.61,9.54
2017-01-15,张家界,109.53,1.49,22.0,95.52,130.75,80.36,11.37
2017-01-16,张家界,144.28,1.51,27.17,75.8,162.4,108.48,7.69
2017-01-17,张家界,114.51,1.45,24.46,91.97,122.09,83.5,9.86
2017-01-18,张家界,123.55,1.57,23.5,102.4,142.21,91.45,9.15
2017-01-19,张家界,159.79,1.57,21.97,91.93,178.02,121.4,8.54
2017-01-20,张家界,126.92,1.3,19.91,99.35,152.86,86.96,10.62
2017-01-21,张家界,93.02,1.26,21.65,87.53,118.79,62.26,8.26
2017-01-22,张家界,93.55,1.41,21.9,87.41,103.53,64.53,6.94
2017-01-23,张家界,95.17,1.65,19.83,92.45,102.8,68.48,9.25
2017-01-24,张家界,99.58,1.8,22.03,62.03,110.7,71.99,8.51
2017-01-25,张家界,88.75,1.46,16.58,48.22,89.77,63.18,6.46
2017-01-26,张家界,95.26,1.3,17.87,34.69,100.75,68.81,6.16
2017-01-27,张家界,183.07,1.18,17.57,62.12,268.37,117.97,18.05
2017-01-28,张家界,275.0,1.44,19.51,44.67,376.98,212.73,21.71
2017-01-29,张家界,190.69,1.68,17.48,42.4,265.2,150.43,8.82
2017-01-30,张家界,131.6,1.6,14.46,64.2,177.15,115.14,12.42
2017-01-31,张家界,97.94,1.1,13.81,71.55,113.7,71.06,10.78
2017-02-01,张家界,97.3,1.21,13.92,53.61,99.76,70.92,6.51
2017-02-02,张家界,95.47,1.37,12.92,62.09,92.34,69.87,6.18
2017-02-03,张家界,41.73,1.2,12.09,40.96,37.17,25.62,5.43
2017-02-04,张家界,43.22,1.41,15.05,32.05,42.92,31.51,6.6
2017-02-05,张家界,52.42,1.32,13.72,48.21,54.25,33.97,6.02
2017-02-06,张家界,54.96,1.54,12.2,46.33,50.55,34.73,5.19
2017-02-07,张家界,54.15,1.59,12.5,58.62,55.75,34.45,5.86
2017-02-08,张家界,58.54,1.34,13.32,57.39,51.07,40.51,7.04
2017-02-09,张家界,84.01,1.24,15.27,44.04,81.1,59.53,8.83
2017-02-10,张家界,83.66,1.05,19.39,39.86,87.17,59.4,9.04
2017-02-11,张家界,78.23,1.27,19.14,51.49,77.84,56.1,8.8
2017-02-12,张家界,55.8,1.46,19.98,55.47,59.15,35.95,9.08
2017-02-13,张家界,53.82,1.67,20.78,66.95,58.07,34.05,10.8
2017-02-14,张家界,80.2,2.12,30.52,73.32,90.96,57.42,13.55
2017-02-15,张家界,81.58,1.81,30.79,48.44,85.64,59.04,10.61
2017-02-16,张家界,84.29,1.42,25.72,58.02,85.38,61.54,10.47
2017-02-17,张家界,136.3,1.57,31.76,75.79,162.03,102.16,11.88
2017-02-18,张家界,169.28,1.66,24.56,85.39,196.86,128.32,14.76
2017-02-19,张家界,147.69,1.91,31.83,54.71,166.88,111.03,12.32
2017-02-20,张家界,128.47,2.11,29.64,33.51,154.33,96.03,10.1
2017-02-21,张家界,54.61,1.6,16.46,72.39,62.29,35.27,8.96
2017-02-22,张家界,37.36,1.52,18.55,75.49,32.98,20.77,9.58
2017-02-23,张家界,43.08,1.49,17.36,70.14,42.33,24.24,9.07
2017-02-24,张家界,50.12,1.44,16.11,64.56,49.4,32.68,8.88
2017-02-25,张家界,50.29,1.82,20.02,43.93,57.94,29.5,9.59
2017-02-26,张家界,53.75,2.01,19.26,58.83,60.42,29.94,9.74
2017-02-27,张家界,69.38,2.35,22.75,81.61,82.09,42.09,12.06
2017-02-28,张家界,67.05,2.19,22.67,78.55,80.64,41.13,11.32
2017-03-01,张家界,69.56,1.6,21.86,70.21,86.06,44.3,10.77
2017-03-02,张家界,60.9,1.26,19.46,75.67,73.21,26.31,11.2
2017-03-03,张家界,72.53,1.29,29.36,52.38,94.97,41.75,13.06
2017-03-04,张家界,71.99,1.42,25.42,37.79,81.35,51.51,8.75
2017-03-05,张家界,73.22,1.59,25.14,36.42,70.09,52.69,7.48
2017-03-06,张家界,114.93,1.56,22.04,76.79,140.28,85.34,12.07
2017-03-07,张家界,141.96,1.46,23.83,88.89,159.0,107.58,10.78
2017-03-08,张家界,103.43,1.3,24.49,84.79,115.36,76.46,9.16
2017-03-09,张家界,75.14,1.23,28.04,61.11,88.55,52.04,7.71
2017-03-10,张家界,79.22,1.22,21.66,73.69,79.94,57.29,6.05
2017-03-11,张家界,69.1,1.06,20.52,59.17,69.49,49.46,6.36
2017-03-12,张家界,58.54,1.11,19.11,78.83,63.93,38.6,4.61
2017-03-13,张家界,32.18,0.99,14.53,97.81,21.38,13.59,4.04
2017-03-14,张家界,43.64,0.77,11.65,94.87,39.96,21.67,6.63
2017-03-15,张家界,60.53,1.07,16.42,76.34,62.3,40.12,5.93
2017-03-16,张家界,66.89,1.09,14.75,66.94,69.69,46.68,7.06
2017-03-17,张家界,65.52,0.99,19.51,74.3,63.15,46.39,5.6
2017-03-18,张家界,72.23,1.22,17.02,74.62,67.32,51.64,6.09
2017-03-19,张家界,91.31,1.32,25.1,67.86,91.59,66.03,5.69
2017-03-20,张家界,70.24,1.13,22.0,49.43,70.65,49.72,6.37
2017-03-21,张家界,84.9,1.16,19.7,65.98,85.64,61.41,6.49
2017-03-22,张家界,44.17,1.17,15.88,85.07,39.73,27.5,5.73
2017-03-23,张家界,40.28,1.06,14.28,76.57,36.91,23.52,18.59
2017-03-24,张家界,31.6,0.94,16.1,62.72,29.2,16.02,20.63
2017-03-25,张家界,46.26,1.02,15.58,49.59,53.44,21.8,9.24
2017-03-26,张家界,57.94,1.07,17.85,60.57,69.48,22.66,9.45
2017-03-27,张家界,69.8,1.18,26.97,68.71,89.41,24.18,11.29
2017-03-28,张家界,75.43,1.42,36.21,44.93,98.51,41.58,13.4
2017-03-29,张家界,82.53,1.37,24.53,51.58,100.74,57.42,12.02
2017-03-30,张家界,56.4,1.45,22.73,71.96,55.17,36.92,8.43
2017-03-31,张家界,61.44,1.29,19.02,75.43,63.7,42.16,11.47
2017-04-01,张家界,62.75,1.34,20.84,84.11,65.32,42.92,12.86
2017-04-02,张家界,56.47,1.3,23.74,88.26,64.08,33.92,13.29
2017-04-03,张家界,73.13,1.54,35.36,56.62,84.22,51.36,14.48
2017-04-04,张家界,80.58,1.7,30.29,40.61,91.48,58.87,13.63
2017-04-05,张家界,55.6,1.52,21.33,43.16,65.08,37.69,9.39
2017-04-06,张家界,34.5,0.92,19.05,65.45,29.66,16.72,7.88
2017-04-07,张家界,47.54,0.99,17.23,54.44,49.59,27.76,9.21
2017-04-08,张家界,48.6,1.21,22.22,53.58,54.04,30.01,9.35
2017-04-09,张家界,26.18,1.07,13.7,74.68,19.1,12.09,8.36
2017-04-10,张家界,28.54,0.76,13.28,78.17,19.73,12.93,6.93
2017-04-11,张家界,42.05,0.99,17.79,68.61,39.66,24.21,7.35
2017-04-12,张家界,46.7,1.35,19.03,82.8,48.9,25.49,10.29
2017-04-13,张家界,58.24,1.12,21.88,91.81,63.15,31.52,9.27
2017-04-14,张家界,62.21,1.25,28.05,95.47,71.11,30.96,11.76
2017-04-15,张家界,64.45,1.38,23.18,84.15,75.67,41.59,10.07
2017-04-16,张家界,63.57,1.46,24.94,46.69,82.15,36.74,8.53
2017-04-17,张家界,45.16,1.04,13.58,83.6,55.33,17.07,6.38
2017-04-18,张家界,71.38,1.07,17.67,91.91,94.04,26.0,7.71
2017-04-19,张家界,62.2,1.2,20.73,75.38,75.7,27.25,7.05
2017-04-20,张家界,62.31,0.98,17.28,83.92,78.85,29.42,6.32
2017-04-21,张家界,47.75,0.71,19.3,74.8,54.27,19.08,5.08
2017-04-22,张家界,55.0,0.8,17.34,79.6,62.11,19.61,5.95
2017-04-23,张家界,53.15,1.33,23.18,79.67,60.27,19.1,6.54
2017-04-24,张家界,54.77,1.63,20.88,89.26,61.76,22.66,7.45
2017-04-25,张家界,40.63,1.85,15.94,87.49,31.81,18.83,4.29
2017-04-26,张家界,57.0,1.75,15.77,110.67,53.74,32.82,5.72
2017-04-27,张家界,61.14,1.67,18.21,105.28,64.97,38.72,7.19
2017-04-28,张家界,52.29,1.31,17.59,95.96,55.61,29.48,7.46
2017-04-29,张家界,58.33,1.13,18.41,102.08,58.96,32.39,7.59
2017-04-30,张家界,57.97,1.25,21.58,93.41,59.25,30.91,8.41
2017-05-01,张家界,66.29,1.95,11.66,95.58,71.32,46.33,7.89
2017-05-02,张家界,64.17,1.6,10.79,124.11,64.61,43.2,7.03
2017-05-03,张家界,44.29,1.08,12.35,98.18,37.57,22.77,5.17
2017-05-04,张家界,42.64,0.72,11.24,87.05,48.85,16.82,6.0
2017-05-05,张家界,64.83,0.74,13.48,99.6,80.15,31.71,7.42
2017-05-06,张家界,135.26,0.81,20.2,79.85,214.06,64.92,7.36
2017-05-07,张家界,86.96,0.9,17.88,62.62,140.82,47.5,5.52
2017-05-08,张家界,34.38,1.04,14.33,63.52,32.58,14.6,6.49
2017-05-09,张家界,40.95,0.97,15.28,68.4,42.36,19.56,7.27
2017-05-10,张家界,52.57,1.04,22.32,60.72,59.86,32.4,9.72
2017-05-11,张家界,42.91,1.03,22.14,58.15,46.34,21.89,6.22
2017-05-12,张家界,40.22,0.88,17.28,79.71,39.72,14.0,6.6
2017-05-13,张家界,52.17,0.84,17.74,100.79,48.11,19.37,8.2
2017-05-14,张家界,57.27,1.04,17.98,111.63,54.65,30.48,8.46
2017-05-15,张家界,51.49,1.24,12.98,118.94,48.42,28.47,7.34
2017-05-16,张家界,50.42,1.18,13.79,106.0,47.58,29.17,9.45
2017-05-17,张家界,46.27,0.91,18.4,82.81,43.96,23.1,9.31
2017-05-18,张家界,51.23,0.92,22.25,88.9,53.85,24.77,9.15
2017-05-19,张家界,52.49,0.97,16.35,83.91,56.87,32.34,8.2
2017-05-20,张家界,53.74,1.09,14.95,70.07,56.94,33.09,8.2
2017-05-21,张家界,67.86,1.32,18.09,76.43,67.24,46.0,7.74
2017-05-22,张家界,25.88,1.32,12.9,70.01,17.72,11.43,7.28
2017-05-23,张家界,27.16,1.03,10.67,80.21,18.21,10.0,7.48
2017-05-24,张家界,40.85,1.05,17.17,62.74,42.38,20.16,6.93
2017-05-25,张家界,42.95,1.01,19.31,65.52,44.58,21.22,9.05
2017-05-26,张家界,51.11,0.9,15.67,104.07,42.75,19.56,9.72
2017-05-27,张家界,55.79,1.09,19.19,114.52,53.7,24.48,10.09
2017-05-28,张家界,54.41,1.14,19.11,109.02,52.92,23.46,10.66
2017-05-29,张家界,55.64,1.18,18.76,107.88,59.09,28.73,10.88
2017-05-30,张家界,57.07,1.22,17.89,91.81,64.09,36.15,11.29
2017-05-31,张家界,52.2,1.11,14.79,72.85,52.23,34.27,11.25
2017-06-01,张家界,39.09,0.85,12.16,79.97,40.01,19.34,8.23
2017-06-02,张家界,51.56,1.0,12.53,80.91,55.83,27.95,8.11
2017-06-03,张家界,58.93,1.18,13.57,90.27,60.65,36.14,8.47
2017-06-04,张家界,56.69,1.36,12.27,110.29,61.51,37.17,7.29
