time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,怀化,158.77,1.41,39.96,36.54,192.83,120.34,51.35
2017-01-02,怀化,187.36,1.41,26.86,41.7,218.31,142.15,42.09
2017-01-03,怀化,174.3,1.34,34.15,23.1,202.03,131.94,35.75
2017-01-04,怀化,162.43,1.36,26.4,19.9,195.13,121.74,31.25
2017-01-05,怀化,134.76,1.34,14.31,24.51,155.07,101.77,18.44
2017-01-06,怀化,46.58,1.87,11.62,19.88,46.54,23.17,7.53
2017-01-07,怀化,29.02,1.69,10.81,22.85,28.44,11.32,8.96
2017-01-08,怀化,47.91,1.03,11.57,37.5,50.57,26.5,12.64
2017-01-09,怀化,64.49,1.01,10.32,45.9,70.55,42.03,14.81
2017-01-10,怀化,64.78,1.04,9.76,56.36,67.34,42.6,8.03
2017-01-11,怀化,56.75,1.05,10.43,56.6,56.43,35.04,8.62
2017-01-12,怀化,65.42,1.02,14.64,50.26,69.65,43.03,14.03
2017-01-13,怀化,83.88,1.15,20.6,27.29,98.35,58.64,24.47
2017-01-14,怀化,72.12,0.93,14.1,44.53,86.79,47.4,16.44
2017-01-15,怀化,106.53,1.13,22.86,52.25,133.86,78.52,18.37
2017-01-16,怀化,117.65,1.28,20.27,47.34,140.08,88.36,15.67
2017-01-17,怀化,100.12,0.8,20.12,47.66,122.78,74.06,19.07
2017-01-18,怀化,106.24,0.84,24.11,46.16,123.81,78.65,15.63
2017-01-19,怀化,115.85,0.92,21.22,49.52,138.12,86.66,13.1
2017-01-20,怀化,117.57,0.86,18.98,63.85,145.19,86.78,17.66
2017-01-21,怀化,87.88,0.72,22.84,64.66,117.59,52.38,16.52
2017-01-22,怀化,106.78,1.12,32.83,45.08,131.53,77.39,20.89
2017-01-23,怀化,101.71,1.08,25.13,64.84,128.87,73.67,21.91
2017-01-24,怀化,116.53,1.24,22.73,57.85,139.7,87.2,21.33
2017-01-25,怀化,86.2,0.96,13.42,70.74,99.28,61.32,9.15
2017-01-26,怀化,90.53,0.89,18.92,37.52,103.71,65.67,13.01
2017-01-27,怀化,124.73,0.99,10.97,68.0,169.15,90.47,15.93
2017-01-28,怀化,190.41,1.16,10.6,43.26,284.87,137.78,25.99
2017-01-29,怀化,209.43,1.38,10.97,37.42,249.28,163.66,13.39
2017-01-30,怀化,123.04,1.2,7.86,61.77,149.97,89.25,15.22
2017-01-31,怀化,128.16,1.21,7.9,61.73,149.92,95.74,8.93
2017-02-01,怀化,57.64,0.9,7.22,45.87,61.57,37.66,2.92
2017-02-02,怀化,52.37,0.92,6.69,43.72,54.12,30.82,2.87
2017-02-03,怀化,39.13,0.87,7.63,31.3,38.37,18.14,6.19
2017-02-04,怀化,45.23,1.08,12.35,30.35,46.84,23.22,7.57
2017-02-05,怀化,62.17,1.39,19.8,26.8,71.69,39.33,10.16
2017-02-06,怀化,54.39,1.22,9.05,29.07,54.9,31.85,8.4
2017-02-07,怀化,37.8,1.21,8.17,33.26,36.24,19.06,6.49
2017-02-08,怀化,49.53,0.96,7.31,57.75,55.14,29.87,6.72
2017-02-09,怀化,84.57,0.82,8.53,59.18,86.73,60.94,9.57
2017-02-10,怀化,81.64,0.77,9.78,56.84,89.9,58.74,14.09
2017-02-11,怀化,80.73,0.8,12.83,65.72,91.84,56.77,18.01
2017-02-12,怀化,81.61,0.96,23.07,49.5,95.54,53.96,14.15
2017-02-13,怀化,83.88,1.04,26.97,49.22,111.07,49.79,21.29
2017-02-14,怀化,103.39,1.33,39.78,39.17,137.34,72.83,38.48
2017-02-15,怀化,140.1,1.44,41.42,31.22,170.23,106.09,41.06
2017-02-16,怀化,107.78,0.95,27.62,51.62,133.04,78.12,26.02
2017-02-17,怀化,108.57,1.15,24.12,49.71,136.84,78.03,25.78
2017-02-18,怀化,175.32,1.12,17.66,85.99,215.93,132.8,17.58
2017-02-19,怀化,125.88,0.96,27.28,66.37,162.22,93.03,21.48
2017-02-20,怀化,110.77,1.34,41.29,38.24,150.18,73.82,28.3
2017-02-21,怀化,62.12,0.79,11.29,39.42,80.39,41.01,4.31
2017-02-22,怀化,36.76,0.59,7.9,48.87,35.92,17.59,5.73
2017-02-23,怀化,50.51,0.55,5.27,58.19,50.85,25.09,8.82
2017-02-24,怀化,45.33,0.53,6.67,67.14,45.02,22.93,8.84
2017-02-25,怀化,57.71,0.62,16.77,42.09,64.98,31.59,10.93
2017-02-26,怀化,70.78,0.87,24.78,39.88,86.88,39.39,17.76
2017-02-27,怀化,91.98,1.08,41.24,28.68,122.38,57.89,27.12
2017-02-28,怀化,84.33,1.04,29.3,37.23,109.02,53.91,18.19
2017-03-01,怀化,82.07,1.01,28.93,42.48,107.61,48.4,18.07
2017-03-02,怀化,76.97,0.68,16.77,62.97,100.38,34.04,20.15
2017-03-03,怀化,67.08,0.56,21.37,48.64,84.85,33.39,30.3
2017-03-04,怀化,84.56,0.72,25.24,23.52,104.62,54.96,32.97
2017-03-05,怀化,49.21,0.71,10.65,41.17,47.76,29.0,8.12
2017-03-06,怀化,74.01,0.81,16.2,45.97,89.81,47.21,14.58
2017-03-07,怀化,101.28,0.84,12.74,78.72,113.95,74.02,11.87
2017-03-08,怀化,77.39,0.77,19.74,77.17,88.84,52.31,13.27
2017-03-09,怀化,89.77,0.97,30.17,34.59,105.44,62.11,18.28
2017-03-10,怀化,70.32,0.85,11.54,61.96,74.47,46.65,10.82
2017-03-11,怀化,71.58,0.84,14.57,65.86,83.04,45.76,17.88
2017-03-12,怀化,45.07,0.78,11.35,63.57,47.14,21.88,8.9
2017-03-13,怀化,26.82,0.67,8.42,73.66,20.33,7.59,4.97
2017-03-14,怀化,43.98,0.46,9.07,74.19,47.25,18.67,9.39
2017-03-15,怀化,42.01,0.63,11.43,62.63,45.0,18.97,6.05
2017-03-16,怀化,74.14,0.77,16.6,57.06,85.23,49.15,10.06
2017-03-17,怀化,56.15,0.76,14.68,53.9,61.86,33.04,7.2
2017-03-18,怀化,38.34,0.71,10.75,56.0,38.35,18.59,7.79
2017-03-19,怀化,43.33,0.77,9.4,65.91,44.3,22.15,6.5
2017-03-20,怀化,37.25,0.92,13.44,48.33,38.58,14.26,11.03
2017-03-21,怀化,59.64,0.77,8.82,65.5,65.4,35.33,7.72
2017-03-22,怀化,36.59,0.7,9.05,75.3,36.27,14.55,8.35
2017-03-23,怀化,36.74,0.82,9.56,52.78,37.02,14.23,12.88
