time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,湘潭,137.37,1.49,78.75,24.88,181.26,102.35,38.32
2017-01-02,湘潭,202.68,1.35,43.74,50.04,222.57,154.22,27.3
2017-01-03,湘潭,208.64,1.5,53.3,50.38,242.11,160.23,31.95
2017-01-04,湘潭,252.46,1.93,92.09,25.57,309.59,197.2,67.14
2017-01-05,湘潭,147.95,1.8,46.61,14.81,179.36,113.29,18.18
2017-01-06,湘潭,38.36,2.35,37.25,15.12,36.61,20.47,14.11
2017-01-07,湘潭,36.7,1.95,41.24,13.91,31.13,18.98,14.58
2017-01-08,湘潭,49.22,0.88,35.25,36.88,50.65,28.48,15.81
2017-01-09,湘潭,80.59,1.15,44.26,37.91,98.85,56.5,22.78
2017-01-10,湘潭,99.82,1.26,36.51,49.58,116.74,73.75,19.93
2017-01-11,湘潭,70.64,1.0,32.28,41.17,77.05,49.64,13.01
2017-01-12,湘潭,57.71,1.09,30.39,55.01,59.24,39.04,14.4
2017-01-13,湘潭,83.13,1.05,49.67,43.85,94.86,58.83,19.86
2017-01-14,湘潭,91.27,0.95,52.01,32.17,110.35,65.86,19.75
2017-01-15,湘潭,101.75,0.9,39.12,43.62,128.44,73.41,19.69
2017-01-16,湘潭,94.51,0.92,47.82,26.35,120.37,66.78,19.33
2017-01-17,湘潭,136.42,1.04,46.58,24.01,156.77,103.75,20.45
2017-01-18,湘潭,108.65,1.01,43.49,26.88,127.75,81.49,14.76
2017-01-19,湘潭,130.99,1.18,39.26,26.89,153.72,99.36,15.44
2017-01-20,湘潭,105.77,1.09,34.69,58.08,129.51,69.32,17.17
2017-01-21,湘潭,102.55,1.1,45.39,61.43,141.96,70.91,27.46
2017-01-22,湘潭,124.05,1.25,57.65,47.83,159.81,90.76,39.23
2017-01-23,湘潭,103.49,1.1,57.88,50.79,132.78,74.12,21.01
2017-01-24,湘潭,104.02,1.03,45.07,54.19,123.02,74.74,34.72
2017-01-25,湘潭,141.51,1.15,31.58,67.65,146.96,107.16,18.55
2017-01-26,湘潭,113.02,1.31,47.38,33.82,128.92,83.35,19.93
2017-01-27,湘潭,126.65,1.15,31.68,58.66,145.96,95.15,20.2
2017-01-28,湘潭,233.02,1.26,25.22,51.29,296.47,178.74,38.21
2017-01-29,湘潭,251.52,1.37,18.43,40.59,247.57,209.42,18.87
2017-01-30,湘潭,169.63,1.44,18.08,54.26,178.21,128.68,20.7
2017-01-31,湘潭,120.24,1.19,18.41,52.83,138.34,90.76,17.11
2017-02-01,湘潭,68.69,1.01,16.49,38.05,66.6,48.93,11.89
2017-02-02,湘潭,50.78,0.99,16.73,36.05,46.83,34.46,10.8
2017-02-03,湘潭,38.9,1.11,18.85,19.77,36.36,24.67,10.93
2017-02-04,湘潭,46.75,1.29,25.89,13.57,45.03,30.46,14.98
2017-02-05,湘潭,68.56,1.8,34.1,15.12,72.91,47.08,28.83
2017-02-06,湘潭,57.66,1.23,32.88,17.74,56.6,38.95,12.74
2017-02-07,湘潭,80.14,1.15,26.61,27.75,90.22,57.17,12.93
2017-02-08,湘潭,43.14,0.69,19.37,58.53,40.35,28.82,12.82
2017-02-09,湘潭,106.48,0.97,27.77,73.23,100.74,79.86,24.48
2017-02-10,湘潭,84.1,0.77,29.99,78.96,81.71,61.43,22.02
2017-02-11,湘潭,75.99,0.85,37.64,64.88,78.86,53.64,26.2
2017-02-12,湘潭,101.3,1.16,50.49,48.22,106.05,73.46,37.19
2017-02-13,湘潭,94.01,1.07,60.4,50.48,109.79,67.66,45.27
2017-02-14,湘潭,103.39,1.09,70.86,48.86,122.95,75.63,50.75
2017-02-15,湘潭,116.93,1.17,71.98,54.22,136.97,86.73,45.44
2017-02-16,湘潭,106.04,1.14,50.87,71.18,129.23,76.39,35.53
2017-02-17,湘潭,155.2,1.28,40.09,66.22,187.21,117.31,27.04
2017-02-18,湘潭,156.43,0.89,40.59,38.9,199.18,117.2,19.73
2017-02-19,湘潭,159.68,1.4,52.31,55.83,202.64,118.89,33.76
2017-02-20,湘潭,97.73,0.89,32.98,69.38,118.37,66.8,24.26
2017-02-21,湘潭,69.13,0.7,23.02,36.93,91.18,43.98,14.51
2017-02-22,湘潭,48.49,0.57,19.35,51.5,42.45,33.44,14.04
2017-02-23,湘潭,67.62,0.67,28.23,56.34,61.7,47.97,15.32
2017-02-24,湘潭,52.99,0.56,28.47,69.55,52.05,36.46,16.22
2017-02-25,湘潭,73.37,0.76,35.89,64.95,75.4,52.95,22.81
2017-02-26,湘潭,85.58,0.74,44.49,62.14,93.1,61.65,22.67
2017-02-27,湘潭,100.97,0.78,50.84,74.09,119.65,74.17,30.07
