time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,湘西州,115.36,0.82,27.47,13.55,139.51,86.84,7.18
2017-01-02,湘西州,131.68,0.71,24.48,21.58,147.05,99.5,9.23
2017-01-03,湘西州,123.31,0.77,29.58,9.58,149.6,92.96,9.53
2017-01-04,湘西州,147.83,1.26,31.44,9.87,161.35,111.74,7.28
2017-01-05,湘西州,117.19,1.04,20.58,15.62,122.12,88.08,2.51
2017-01-06,湘西州,32.1,1.28,14.38,21.33,29.0,21.4,1.74
2017-01-07,湘西州,26.3,1.09,14.38,19.48,23.97,17.03,1.94
2017-01-08,湘西州,40.5,0.75,13.36,31.79,37.49,27.54,2.61
2017-01-09,湘西州,63.91,0.84,17.13,43.03,59.97,46.12,3.64
2017-01-10,湘西州,78.32,0.55,10.44,67.81,74.56,57.35,3.71
2017-01-11,湘西州,75.1,0.59,13.97,45.51,71.11,54.76,5.44
2017-01-12,湘西州,63.38,0.62,14.19,30.85,57.56,43.99,11.86
2017-01-13,湘西州,96.47,0.72,22.19,9.89,99.44,71.81,11.88
2017-01-14,湘西州,79.01,0.49,15.03,36.07,83.47,57.99,5.32
2017-01-15,湘西州,89.51,0.6,18.74,56.57,102.47,65.69,7.6
2017-01-16,湘西州,107.54,0.61,23.85,29.27,119.8,80.61,5.87
2017-01-17,湘西州,92.4,0.78,21.19,45.93,99.94,68.62,6.86
2017-01-18,湘西州,76.69,0.95,15.94,63.9,82.4,56.06,6.97
2017-01-19,湘西州,103.01,0.97,17.57,58.58,109.71,77.11,4.81
2017-01-20,湘西州,105.9,0.91,15.15,57.51,122.29,78.88,5.58
2017-01-21,湘西州,82.54,0.74,20.76,61.39,106.32,57.1,10.4
2017-01-22,湘西州,98.85,0.72,18.6,43.58,119.99,71.17,3.93
2017-01-23,湘西州,86.65,0.75,19.42,46.64,104.18,63.04,3.85
2017-01-24,湘西州,92.4,0.99,17.03,34.17,103.33,68.5,3.07
2017-01-25,湘西州,80.25,0.77,10.88,48.11,79.46,58.79,2.14
2017-01-26,湘西州,84.78,0.84,10.06,22.63,86.67,62.37,1.96
2017-01-27,湘西州,121.88,0.65,9.18,51.86,167.43,88.72,5.14
2017-01-28,湘西州,216.29,0.86,11.86,34.15,284.69,166.39,12.39
2017-01-29,湘西州,171.3,1.13,7.67,40.29,184.15,131.67,2.23
2017-01-30,湘西州,103.42,0.91,5.94,65.94,115.88,76.99,5.79
2017-01-31,湘西州,113.89,0.89,6.74,73.65,117.97,85.33,3.56
2017-02-01,湘西州,68.01,0.81,5.74,49.64,59.08,49.15,1.65
2017-02-02,湘西州,62.78,0.74,5.54,49.25,56.62,44.94,1.49
2017-02-03,湘西州,37.24,0.7,7.62,28.41,31.7,25.69,1.76
2017-02-04,湘西州,48.03,0.72,10.2,30.07,44.26,33.26,2.04
2017-02-05,湘西州,53.76,0.66,9.46,32.24,51.33,37.78,1.83
2017-02-06,湘西州,39.92,0.74,7.97,26.31,37.07,27.35,1.76
2017-02-07,湘西州,37.54,0.86,9.0,36.67,32.66,25.39,1.67
2017-02-08,湘西州,43.47,0.76,8.42,48.51,37.36,30.1,1.75
2017-02-09,湘西州,69.69,0.94,10.82,33.14,64.24,50.57,2.75
2017-02-10,湘西州,78.31,0.99,14.54,24.9,77.78,56.08,10.35
2017-02-11,湘西州,62.12,0.59,12.61,34.57,61.49,44.43,30.51
2017-02-12,湘西州,59.48,0.42,13.29,42.39,62.57,39.41,25.63
2017-02-13,湘西州,59.94,0.43,14.44,42.36,67.06,41.78,17.24
2017-02-14,湘西州,86.17,0.69,31.86,11.38,110.92,59.64,11.18
2017-02-15,湘西州,115.33,0.72,29.12,8.08,122.35,86.44,4.99
2017-02-16,湘西州,97.47,0.55,17.78,40.1,98.44,72.0,4.38
2017-02-17,湘西州,120.49,0.86,22.81,31.04,127.4,90.4,6.97
2017-02-18,湘西州,163.36,0.71,18.65,68.07,174.5,123.76,6.08
2017-02-19,湘西州,131.6,0.75,24.03,42.3,150.58,99.38,8.31
2017-02-20,湘西州,115.5,1.0,19.28,20.2,135.34,86.36,5.26
2017-02-21,湘西州,70.56,0.62,11.31,40.08,77.45,47.9,1.9
2017-02-22,湘西州,42.49,0.63,15.15,29.27,43.38,28.29,2.42
2017-02-23,湘西州,47.51,0.62,9.43,53.62,46.21,30.82,2.72
2017-02-24,湘西州,42.15,0.71,12.76,53.61,40.84,28.21,3.17
2017-02-25,湘西州,51.18,0.66,14.71,33.67,54.71,31.79,3.64
2017-02-26,湘西州,54.66,0.66,15.16,46.33,62.69,33.01,2.74
2017-02-27,湘西州,58.44,0.71,21.71,39.78,71.74,35.58,5.17
2017-02-28,湘西州,60.86,0.72,17.61,41.35,72.66,41.59,3.96
2017-03-01,湘西州,67.54,0.69,17.47,45.56,86.4,43.08,3.51
2017-03-02,湘西州,60.39,0.6,15.28,46.56,74.68,29.51,3.77
2017-03-03,湘西州,62.33,0.77,27.26,15.29,77.39,38.03,6.15
2017-03-04,湘西州,68.83,0.65,20.68,17.0,75.01,48.75,3.85
2017-03-05,湘西州,47.61,0.53,18.64,15.27,43.23,33.15,3.12
2017-03-06,湘西州,83.94,0.65,17.39,49.4,89.68,61.78,4.62
2017-03-07,湘西州,85.62,0.51,11.89,82.26,83.43,63.07,3.68
2017-03-08,湘西州,58.42,0.5,12.23,75.42,58.07,41.35,4.35
2017-03-09,湘西州,66.79,0.79,22.35,25.69,75.68,47.75,5.64
2017-03-10,湘西州,60.25,0.93,15.42,26.96,56.19,42.82,3.78
2017-03-11,湘西州,52.64,0.75,14.06,39.79,55.83,35.78,3.47
2017-03-12,湘西州,45.29,0.65,15.4,38.29,44.61,29.6,3.33
2017-03-13,湘西州,26.26,0.53,10.0,74.26,15.32,11.33,2.53
2017-03-14,湘西州,34.81,0.35,7.36,72.65,32.25,20.18,2.74
2017-03-15,湘西州,42.58,0.52,13.2,55.23,39.65,27.8,2.64
2017-03-16,湘西州,51.85,0.53,12.31,49.78,53.76,35.0,3.07
2017-03-17,湘西州,43.78,0.62,14.32,34.01,43.52,28.32,2.59
2017-03-18,湘西州,40.14,0.79,13.89,37.73,38.35,27.49,2.61
2017-03-19,湘西州,49.94,0.91,17.19,43.78,46.17,34.93,2.71
2017-03-20,湘西州,44.6,0.99,16.82,35.12,42.57,30.78,3.24
2017-03-21,湘西州,61.78,0.84,15.18,42.83,57.68,44.29,2.9
2017-03-22,湘西州,33.08,0.64,11.97,57.14,29.09,19.7,2.63
2017-03-23,湘西州,32.93,0.72,13.47,36.94,31.54,17.83,3.11
2017-03-24,湘西州,24.03,0.7,12.31,43.79,19.92,12.62,2.6
2017-03-25,湘西州,40.32,0.62,19.21,28.26,45.1,21.35,3.21
2017-03-26,湘西州,56.1,0.42,13.47,47.21,68.4,26.9,3.61
2017-03-27,湘西州,73.51,0.43,19.25,43.65,99.81,32.91,6.35
2017-03-28,湘西州,70.35,0.64,20.25,27.25,92.69,40.26,6.5
2017-03-29,湘西州,69.03,0.67,13.24,39.28,82.79,45.28,3.78
2017-03-30,湘西州,39.64,1.04,15.13,25.65,37.77,25.13,6.56
2017-03-31,湘西州,52.41,0.92,10.56,61.23,52.25,37.02,6.1
2017-04-01,湘西州,61.78,0.92,15.03,59.23,70.2,41.01,5.38
2017-04-02,湘西州,68.65,0.94,17.83,55.38,87.06,42.93,6.13
2017-04-03,湘西州,78.07,0.87,19.88,41.52,103.32,52.3,6.84
2017-04-04,湘西州,81.23,0.93,22.23,22.5,99.67,58.61,6.17
2017-04-05,湘西州,70.07,0.87,13.11,28.4,76.9,50.72,5.0
2017-04-06,湘西州,44.39,0.68,10.26,34.64,40.64,28.68,3.51
2017-04-07,湘西州,37.4,0.75,12.76,21.61,38.43,19.59,3.94
2017-04-08,湘西州,57.14,1.0,14.29,24.14,67.08,38.15,4.64
2017-04-09,湘西州,21.82,0.91,8.4,43.93,18.23,12.14,3.44
2017-04-10,湘西州,19.46,0.59,7.47,50.03,15.62,8.57,3.14
2017-04-11,湘西州,36.32,0.59,11.03,45.24,35.54,20.36,4.54
2017-04-12,湘西州,45.28,0.59,12.93,48.95,50.33,22.07,5.47
2017-04-13,湘西州,53.56,0.62,15.46,58.76,63.26,29.74,6.1
2017-04-14,湘西州,66.51,0.73,18.96,42.28,86.31,39.08,5.01
2017-04-15,湘西州,82.65,0.97,24.89,14.66,111.11,54.62,4.07
2017-04-16,湘西州,78.36,1.01,20.6,22.67,104.51,53.9,6.85
2017-04-17,湘西州,35.29,0.4,11.47,48.39,35.87,17.54,2.67
2017-04-18,湘西州,49.54,0.6,14.94,31.0,55.94,24.01,4.58
2017-04-19,湘西州,54.62,0.59,13.33,31.75,66.18,29.56,4.85
2017-04-20,湘西州,57.72,0.53,7.11,59.58,69.83,29.06,2.58
2017-04-21,湘西州,33.86,0.53,13.06,40.9,34.24,16.26,1.76
2017-04-22,湘西州,50.58,0.49,13.36,49.16,58.61,20.35,3.21
2017-04-23,湘西州,57.39,0.51,14.21,56.71,69.58,24.08,5.07
2017-04-24,湘西州,62.9,0.63,18.5,26.78,79.54,34.08,3.24
2017-04-25,湘西州,36.53,0.71,14.24,29.69,32.93,23.15,1.99
2017-04-26,湘西州,32.96,0.68,11.89,50.07,29.07,19.16,1.89
2017-04-27,湘西州,55.01,0.7,13.38,60.83,59.07,37.06,1.9
2017-04-28,湘西州,58.22,0.67,16.33,37.75,67.24,36.57,2.48
2017-04-29,湘西州,52.65,0.45,14.17,55.11,59.87,28.9,1.95
2017-04-30,湘西州,70.85,0.47,20.21,16.85,94.57,35.32,2.26
2017-05-01,湘西州,67.57,0.71,14.45,41.04,82.23,43.26,3.58
2017-05-02,湘西州,59.01,0.65,10.67,33.73,65.57,39.0,1.77
2017-05-03,湘西州,42.39,0.62,9.81,24.5,42.85,25.75,1.81
2017-05-04,湘西州,29.88,0.39,7.25,62.42,26.39,11.06,1.89
2017-05-05,湘西州,50.44,0.61,7.51,67.99,57.13,19.25,2.31
2017-05-06,湘西州,94.22,0.6,8.46,61.83,138.92,44.17,2.5
2017-05-07,湘西州,101.71,0.5,10.31,44.12,152.88,51.1,2.11
2017-05-08,湘西州,51.71,0.51,14.28,39.44,57.96,21.33,2.54
2017-05-09,湘西州,50.08,0.46,9.53,59.63,57.56,20.03,2.42
2017-05-10,湘西州,58.53,0.65,14.15,42.95,71.76,23.62,3.06
2017-05-11,湘西州,52.42,0.75,12.92,24.74,63.4,23.92,2.75
2017-05-12,湘西州,35.11,0.62,12.38,50.81,37.92,13.63,3.64
2017-05-13,湘西州,50.2,0.53,13.02,62.19,55.77,17.72,4.36
2017-05-14,湘西州,59.07,0.49,16.24,41.86,72.4,25.22,4.25
2017-05-15,湘西州,40.86,0.52,8.14,71.56,41.79,19.24,2.0
2017-05-16,湘西州,46.35,0.56,8.62,66.53,45.92,21.28,1.99
2017-05-17,湘西州,43.51,0.59,12.46,51.51,44.62,19.41,2.35
2017-05-18,湘西州,56.53,0.74,16.73,45.81,69.09,25.33,3.38
2017-05-19,湘西州,56.21,0.92,10.57,47.66,65.26,29.79,2.08
2017-05-20,湘西州,46.39,0.8,11.58,34.76,47.17,24.42,1.91
2017-05-21,湘西州,21.42,0.72,10.14,24.08,20.23,11.14,2.03
2017-05-22,湘西州,25.78,0.87,10.81,17.19,25.37,11.08,2.0
2017-05-23,湘西州,24.4,0.61,4.95,53.45,21.38,9.64,1.9
2017-05-24,湘西州,30.99,0.58,7.39,35.83,30.38,13.8,2.0
2017-05-25,湘西州,50.72,0.63,22.56,20.83,55.69,24.22,8.44
2017-05-26,湘西州,46.09,0.55,13.67,67.25,47.28,20.3,3.61
2017-05-27,湘西州,53.51,0.53,17.33,63.96,59.1,21.12,4.21
2017-05-28,湘西州,50.78,0.94,15.86,66.21,55.01,21.96,3.83
2017-05-29,湘西州,54.1,1.05,16.32,60.08,62.36,24.88,3.44
2017-05-30,湘西州,62.24,1.14,18.78,19.9,69.89,32.81,1.71
2017-05-31,湘西州,60.56,1.23,14.57,6.63,64.17,36.32,2.25
2017-06-01,湘西州,32.68,0.87,7.12,55.14,30.22,15.94,1.82
2017-06-02,湘西州,45.56,0.99,11.47,45.43,51.04,21.78,2.46
2017-06-03,湘西州,59.93,1.01,12.72,44.33,65.23,34.26,6.35
2017-06-04,湘西州,49.22,1.12,9.53,39.56,50.15,26.15,2.06
2017-06-05,湘西州,26.29,1.06,8.06,45.79,24.21,12.42,2.17
2017-06-06,湘西州,28.6,0.89,8.49,62.99,26.14,10.53,2.93
2017-06-07,湘西州,37.33,1.01,12.29,53.22,36.92,16.64,3.86
2017-06-08,湘西州,40.6,0.98,11.36,34.71,42.82,16.68,2.53
2017-06-09,湘西州,34.07,0.94,9.22,23.07,34.71,13.58,2.36
2017-06-10,湘西州,41.22,0.92,12.99,17.49,44.43,14.9,3.01
2017-06-11,湘西州,32.61,0.92,6.38,66.08,29.06,12.51,2.07
2017-06-12,湘西州,30.65,1.09,9.56,35.22,30.03,13.39,2.0
2017-06-13,湘西州,19.16,1.11,9.16,50.39,13.95,6.0,2.07
2017-06-14,湘西州,35.12,1.05,9.61,49.08,35.51,16.28,2.47
2017-06-15,湘西州,26.92,1.03,8.55,65.08,22.84,11.64,2.39
2017-06-16,湘西州,21.92,1.03,10.39,47.07,18.76,8.2,2.56
2017-06-17,湘西州,38.28,0.99,10.77,63.69,36.48,13.35,2.83
2017-06-18,湘西州,49.71,1.02,12.25,55.3,55.14,20.24,3.14
2017-06-19,湘西州,53.08,1.17,18.79,37.29,60.1,22.32,5.26
2017-06-20,湘西州,42.53,0.99,16.97,33.76,46.06,16.14,5.76
2017-06-21,湘西州,48.61,1.14,12.58,59.27,53.69,19.64,3.32
2017-06-22,湘西州,49.14,1.12,17.35,10.64,57.14,20.46,2.61
2017-06-23,湘西州,19.01,1.13,11.49,16.13,18.37,7.27,2.49
2017-06-24,湘西州,23.03,1.25,9.2,32.13,21.06,8.72,3.54
2017-06-25,湘西州,26.94,1.33,17.92,23.61,26.25,11.85,3.85
2017-06-26,湘西州,35.64,1.43,15.17,22.32,35.89,17.38,2.44
2017-06-27,湘西州,32.65,1.22,10.15,34.72,34.3,14.28,2.48
2017-06-28,湘西州,34.11,0.96,10.81,58.6,30.75,13.48,2.59
2017-06-29,湘西州,36.13,1.34,16.48,18.08,38.61,15.43,2.65
2017-06-30,湘西州,17.4,1.39,14.1,20.11,14.35,7.82,2.49
2017-07-01,湘西州,26.31,1.24,10.63,30.93,24.23,10.31,4.42
2017-07-02,湘西州,39.49,1.21,11.98,52.49,39.43,17.79,2.52
2017-07-03,湘西州,48.94,1.41,13.11,63.38,52.35,26.18,2.14
2017-07-04,湘西州,56.83,1.26,15.57,59.77,66.59,31.49,4.13
2017-07-05,湘西州,46.5,1.19,13.31,25.57,52.12,24.82,4.61
2017-07-06,湘西州,39.92,1.27,12.14,25.05,42.94,17.22,2.93
2017-07-07,湘西州,43.77,1.45,12.3,29.02,50.42,19.15,4.35
2017-07-08,湘西州,45.41,1.41,14.0,28.14,52.74,20.2,3.61
2017-07-09,湘西州,37.81,1.7,13.24,37.09,39.12,15.35,3.82
2017-07-10,湘西州,39.92,1.82,12.33,51.54,39.97,15.96,4.74
2017-07-11,湘西州,39.61,1.7,11.64,28.23,41.67,14.54,5.48
2017-07-12,湘西州,29.33,2.05,10.62,16.37,28.21,11.42,5.25
2017-07-13,湘西州,39.34,1.57,10.1,31.94,42.95,15.79,5.37
2017-07-14,湘西州,45.65,1.57,11.25,25.18,53.65,17.44,3.9
2017-07-15,湘西州,47.95,1.56,12.58,25.6,56.6,18.48,2.6
2017-07-16,湘西州,41.05,1.18,10.65,41.77,44.27,17.67,1.8
2017-07-17,湘西州,46.4,1.18,11.21,37.1,54.33,19.99,1.72
2017-07-18,湘西州,41.82,1.11,8.94,39.39,46.85,18.69,2.26
2017-07-19,湘西州,43.19,1.2,9.58,28.75,47.9,18.89,1.88
2017-07-20,湘西州,40.04,1.27,8.76,24.79,44.01,16.51,1.88
2017-07-21,湘西州,36.86,1.62,10.17,31.0,37.75,12.81,2.14
2017-07-22,湘西州,38.11,1.96,9.99,38.46,38.38,15.49,1.69
2017-07-23,湘西州,41.75,1.68,10.74,46.0,43.78,18.53,1.88
2017-07-24,湘西州,47.14,1.67,10.74,49.92,51.99,24.12,2.24
2017-07-25,湘西州,44.76,1.89,11.03,46.65,50.27,21.57,2.19
2017-07-26,湘西州,41.89,1.95,10.62,46.8,42.39,18.66,1.94
2017-07-27,湘西州,44.53,1.88,12.64,51.64,48.24,21.22,2.01
2017-07-28,湘西州,52.68,1.57,11.32,66.89,59.07,29.22,1.85
2017-07-29,湘西州,61.54,1.82,8.48,87.68,66.13,41.51,1.65
2017-07-30,湘西州,71.63,1.95,8.15,82.69,75.74,50.44,2.13
2017-07-31,湘西州,54.29,1.74,5.96,84.32,55.91,35.78,1.71
2017-08-01,湘西州,47.66,1.53,6.31,60.42,49.87,27.03,3.45
2017-08-02,湘西州,39.76,1.48,8.83,47.79,39.19,19.21,1.79
2017-08-03,湘西州,46.54,1.46,9.52,64.19,49.13,24.65,1.76
2017-08-04,湘西州,44.76,1.28,6.39,63.1,45.14,25.72,2.07
2017-08-05,湘西州,40.53,1.14,5.35,48.26,40.43,22.24,1.76
2017-08-06,湘西州,45.29,1.07,14.07,41.88,48.32,19.38,2.11
2017-08-07,湘西州,41.96,0.99,11.74,42.55,44.17,18.26,1.61
2017-08-08,湘西州,45.03,1.02,10.01,46.21,50.24,20.65,1.99
2017-08-09,湘西州,31.27,1.11,11.44,51.07,29.12,14.17,1.85
2017-08-10,湘西州,42.29,1.19,13.58,40.29,44.22,21.24,1.78
2017-08-11,湘西州,43.97,1.06,9.29,33.57,48.9,22.39,1.81
2017-08-12,湘西州,18.64,1.15,9.69,22.46,16.46,8.17,1.68
2017-08-13,湘西州,29.02,1.06,11.06,18.62,30.35,11.25,2.97
2017-08-14,湘西州,32.82,0.94,7.08,40.82,32.38,13.19,1.6
2017-08-15,湘西州,41.5,1.03,11.96,34.59,40.77,21.88,2.07
2017-08-16,湘西州,39.61,1.15,10.97,19.12,43.94,15.58,2.64
2017-08-17,湘西州,35.67,1.01,13.79,28.0,37.91,12.41,3.55
2017-08-18,湘西州,43.96,1.07,15.32,27.33,45.08,20.31,3.71
2017-08-19,湘西州,43.35,0.93,16.0,29.95,49.1,17.41,3.29
2017-08-20,湘西州,42.42,0.99,15.01,36.47,45.6,20.06,3.0
2017-08-21,湘西州,42.6,1.24,12.92,36.49,45.63,24.06,3.04
2017-08-22,湘西州,53.0,1.41,9.58,50.21,54.97,34.75,2.42
2017-08-23,湘西州,50.61,1.15,4.58,68.97,51.24,34.15,2.36
2017-08-24,湘西州,46.19,1.02,7.71,38.74,47.2,29.53,2.8
2017-08-25,湘西州,30.13,0.89,7.68,47.53,29.43,14.72,4.19
2017-08-26,湘西州,43.56,0.94,7.1,76.54,43.78,25.78,4.04
2017-08-27,湘西州,54.11,0.96,7.44,73.51,57.15,36.78,4.24
2017-08-28,湘西州,41.76,0.79,10.49,33.58,43.17,24.01,4.35
2017-08-29,湘西州,34.65,0.87,9.01,42.91,34.62,17.27,3.76
