time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,益阳,131.37,1.69,50.37,37.06,190.74,97.64,29.02
2017-01-02,益阳,169.8,1.59,36.64,55.92,222.83,128.62,29.93
2017-01-03,益阳,174.64,1.73,47.62,42.73,233.14,132.15,40.11
2017-01-04,益阳,171.47,1.67,51.07,49.44,236.42,129.26,41.86
2017-01-05,益阳,125.06,1.89,39.4,18.41,162.78,89.56,18.1
2017-01-06,益阳,43.26,2.62,38.3,16.89,43.2,22.9,12.22
2017-01-07,益阳,37.67,1.94,40.79,24.03,36.4,19.42,13.85
2017-01-08,益阳,51.67,1.14,35.16,48.36,55.29,29.72,18.56
2017-01-09,益阳,86.38,1.39,38.61,58.89,100.24,62.35,25.4
2017-01-10,益阳,92.86,1.25,27.57,68.84,121.66,64.92,18.29
2017-01-11,益阳,82.24,1.06,26.54,57.96,105.5,57.8,15.18
2017-01-12,益阳,74.51,1.43,30.91,66.28,90.32,50.49,19.82
2017-01-13,益阳,76.25,1.33,42.04,46.96,96.58,50.89,19.95
2017-01-14,益阳,86.85,1.1,41.84,38.81,116.59,60.88,20.26
2017-01-15,益阳,91.08,1.1,36.44,44.07,123.53,63.61,22.65
2017-01-16,益阳,100.62,1.19,39.88,26.55,137.7,74.12,19.88
2017-01-17,益阳,117.06,1.24,40.83,30.91,154.4,87.98,22.32
2017-01-18,益阳,107.12,1.31,41.09,39.69,141.95,79.9,19.77
2017-01-19,益阳,121.71,1.26,35.16,35.42,163.2,91.84,20.67
2017-01-20,益阳,94.48,1.08,31.46,60.02,128.72,61.1,20.0
2017-01-21,益阳,85.17,1.18,39.11,72.67,116.33,51.24,30.2
2017-01-22,益阳,117.28,1.73,51.86,72.86,165.58,84.48,24.52
2017-01-23,益阳,113.16,1.68,48.58,70.81,162.12,83.49,22.77
2017-01-24,益阳,139.18,1.87,53.58,33.98,192.47,104.48,21.98
2017-01-25,益阳,116.73,1.58,35.32,65.98,153.08,87.68,13.2
2017-01-26,益阳,107.94,1.8,44.41,53.39,145.42,79.85,11.56
2017-01-27,益阳,135.31,1.41,27.6,61.27,200.37,94.75,19.97
2017-01-28,益阳,274.97,1.78,31.68,45.04,387.25,204.39,74.0
2017-01-29,益阳,166.85,1.53,20.34,47.37,224.48,125.66,12.5
2017-01-30,益阳,126.6,1.57,17.84,68.91,171.72,95.37,13.73
2017-01-31,益阳,87.92,1.23,17.36,57.59,118.91,60.58,8.05
