time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,衡阳,153.26,2.02,65.17,28.67,170.16,116.84,33.64
2017-01-02,衡阳,192.13,1.75,42.89,39.29,175.43,146.2,27.75
2017-01-03,衡阳,219.17,1.81,41.17,45.19,207.66,170.08,34.02
2017-01-04,衡阳,259.99,2.51,70.81,37.32,274.73,208.1,37.78
2017-01-05,衡阳,221.29,2.43,54.19,9.1,241.37,180.15,32.04
2017-01-06,衡阳,57.6,2.48,28.35,3.86,54.53,40.22,13.97
2017-01-07,衡阳,33.47,2.43,31.8,3.88,27.42,20.43,11.07
2017-01-08,衡阳,55.33,1.43,25.07,26.09,43.4,39.15,9.78
2017-01-09,衡阳,82.48,1.46,30.09,20.54,72.98,60.65,18.51
2017-01-10,衡阳,94.19,1.74,29.39,35.13,93.29,70.05,18.94
2017-01-11,衡阳,44.48,1.46,24.32,38.71,33.86,31.1,7.87
2017-01-12,衡阳,35.98,1.48,24.78,35.85,23.06,24.85,7.06
2017-01-13,衡阳,88.42,1.4,30.13,34.56,72.4,65.44,20.52
2017-01-14,衡阳,80.88,1.23,34.67,35.05,77.01,59.22,21.36
2017-01-15,衡阳,121.39,1.25,31.06,34.13,110.09,91.78,20.12
2017-01-16,衡阳,98.08,1.25,35.14,32.75,95.8,73.15,27.16
2017-01-17,衡阳,137.58,1.28,35.2,24.08,115.52,104.53,14.0
2017-01-18,衡阳,117.79,1.33,35.28,16.22,98.49,88.91,10.39
2017-01-19,衡阳,129.21,1.33,35.08,22.12,110.17,97.92,9.69
2017-01-20,衡阳,118.59,1.21,27.43,56.1,114.07,87.99,17.62
2017-01-21,衡阳,97.21,1.23,36.1,45.67,106.83,69.17,20.68
2017-01-22,衡阳,135.56,1.75,45.62,47.61,139.31,102.8,23.91
2017-01-23,衡阳,111.51,1.6,49.42,53.05,119.97,83.4,24.32
2017-01-24,衡阳,97.24,1.46,36.74,57.56,101.46,72.32,25.76
2017-01-25,衡阳,128.53,1.38,27.08,64.03,112.91,97.36,20.34
2017-01-26,衡阳,126.84,1.75,39.22,34.77,118.43,96.0,21.39
2017-01-27,衡阳,114.31,1.57,24.84,63.51,110.7,85.82,18.76
2017-01-28,衡阳,178.94,1.43,17.92,59.25,198.18,141.81,31.44
2017-01-29,衡阳,186.96,1.55,14.62,42.61,152.03,150.04,14.61
2017-01-30,衡阳,161.1,1.62,13.51,49.95,144.85,121.94,12.45
2017-01-31,衡阳,145.22,1.71,15.81,52.58,141.53,110.3,14.31
2017-02-01,衡阳,75.47,1.39,14.06,32.31,71.05,55.06,6.44
2017-02-02,衡阳,49.26,1.35,14.23,23.77,39.48,34.58,6.47
2017-02-03,衡阳,53.6,1.43,16.14,12.15,44.21,37.63,12.97
2017-02-04,衡阳,55.75,1.62,19.36,6.85,44.95,39.43,13.38
2017-02-05,衡阳,51.49,1.79,19.38,20.14,42.8,35.76,14.43
