time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,邵阳,176.77,1.51,50.38,31.12,175.28,135.74,55.02
2017-01-02,邵阳,220.08,1.78,49.4,17.6,208.38,171.74,63.27
2017-01-03,邵阳,208.61,1.48,46.98,30.81,209.94,160.8,62.6
2017-01-04,邵阳,241.1,1.89,52.58,33.5,252.68,192.16,60.75
2017-01-05,邵阳,234.03,1.94,39.62,11.95,238.75,188.09,41.88
2017-01-06,邵阳,58.78,2.09,25.64,4.6,52.42,41.03,19.28
2017-01-07,邵阳,35.3,2.14,23.32,10.31,29.08,23.24,22.4
2017-01-08,邵阳,47.66,1.1,18.25,30.06,38.34,33.2,24.11
2017-01-09,邵阳,75.15,1.24,23.38,30.78,73.26,54.55,33.24
2017-01-10,邵阳,76.34,1.4,18.73,47.17,74.63,56.01,22.07
2017-01-11,邵阳,43.71,1.09,11.52,60.2,35.04,30.21,14.44
2017-01-12,邵阳,54.07,1.35,16.96,46.99,49.73,37.8,24.76
2017-01-13,邵阳,80.31,1.15,26.03,27.46,75.71,58.81,38.08
2017-01-14,邵阳,86.52,1.03,24.24,46.68,80.97,63.95,31.07
2017-01-15,邵阳,115.92,1.16,21.57,49.28,110.57,87.4,31.62
2017-01-16,邵阳,113.44,1.25,27.6,38.56,112.26,85.5,30.68
2017-01-17,邵阳,108.82,1.14,22.61,40.08,99.35,81.72,21.81
2017-01-18,邵阳,122.46,1.27,26.66,27.79,109.91,95.43,23.44
2017-01-19,邵阳,106.96,1.16,20.86,40.09,91.56,80.28,23.04
2017-01-20,邵阳,114.62,1.1,20.27,69.85,109.9,84.33,23.27
2017-01-21,邵阳,80.32,1.0,29.86,53.67,94.18,55.09,23.48
2017-01-22,邵阳,122.48,1.29,33.27,56.42,129.41,92.46,20.64
2017-01-23,邵阳,123.75,1.35,37.27,56.0,125.68,93.5,19.8
2017-01-24,邵阳,121.4,1.41,30.4,58.01,122.74,91.22,20.77
2017-01-25,邵阳,121.46,1.11,18.18,73.31,110.91,91.86,21.53
2017-01-26,邵阳,130.31,1.07,23.19,38.27,124.74,98.68,14.02
2017-01-27,邵阳,160.55,1.18,20.27,61.76,164.15,122.28,23.49
2017-01-28,邵阳,323.05,1.12,18.03,52.06,380.68,282.9,39.32
2017-01-29,邵阳,233.94,1.3,12.69,41.58,229.07,189.88,18.44
2017-01-30,邵阳,163.1,1.17,7.44,75.39,162.34,125.14,24.92
2017-01-31,邵阳,183.76,1.43,10.72,55.12,189.77,140.32,17.07
2017-02-01,邵阳,84.53,1.14,10.02,38.07,94.4,62.25,10.89
2017-02-02,邵阳,54.02,1.14,8.09,34.78,46.48,38.02,8.05
2017-02-03,邵阳,53.91,1.27,12.3,17.16,48.64,37.85,9.3
2017-02-04,邵阳,78.37,1.64,20.75,6.42,75.9,57.34,13.51
2017-02-05,邵阳,62.19,1.36,14.49,28.64,52.37,44.32,13.6
2017-02-06,邵阳,44.78,1.31,11.7,30.62,36.9,31.0,9.53
2017-02-07,邵阳,43.52,1.45,16.11,18.39,36.34,30.31,12.63
2017-02-08,邵阳,53.02,1.03,8.21,61.71,45.86,37.65,13.5
2017-02-09,邵阳,87.42,1.08,12.94,57.23,74.15,64.67,17.54
2017-02-10,邵阳,78.8,1.01,16.58,67.28,69.87,57.71,19.44
2017-02-11,邵阳,88.38,1.08,22.36,55.77,87.53,65.16,25.03
2017-02-12,邵阳,102.89,1.08,29.22,52.11,105.14,76.82,25.68
2017-02-13,邵阳,111.6,1.15,34.89,62.05,115.0,82.93,27.89
2017-02-14,邵阳,117.74,1.34,44.29,55.27,117.61,88.78,29.23
2017-02-15,邵阳,154.47,1.63,50.83,54.46,161.32,116.93,44.48
2017-02-16,邵阳,139.33,1.42,40.0,59.03,142.11,104.22,30.9
2017-02-17,邵阳,116.04,1.44,27.49,54.85,110.11,87.97,27.75
2017-02-18,邵阳,194.57,1.84,27.89,67.42,221.97,151.18,29.33
2017-02-19,邵阳,139.73,1.58,31.81,59.98,157.74,102.14,29.62
2017-02-20,邵阳,104.33,1.52,33.02,47.68,108.51,75.9,34.07
2017-02-21,邵阳,89.56,1.45,16.64,24.21,88.43,65.95,14.43
2017-02-22,邵阳,31.64,1.1,7.73,56.39,29.31,20.18,11.17
2017-02-23,邵阳,45.38,1.13,8.2,69.42,38.53,30.44,13.78
2017-02-24,邵阳,47.25,1.12,8.89,76.77,41.1,32.88,15.23
2017-02-25,邵阳,66.99,1.17,13.68,71.51,60.35,48.02,24.03
2017-02-26,邵阳,81.29,1.33,26.57,56.19,80.09,59.21,36.31
2017-02-27,邵阳,93.55,1.54,40.15,55.6,100.95,68.59,41.73
2017-02-28,邵阳,106.89,1.46,34.07,47.08,108.39,80.15,58.13
2017-03-01,邵阳,95.33,1.33,26.03,66.39,102.76,66.69,49.82
2017-03-02,邵阳,68.09,0.92,26.0,70.47,85.1,35.7,26.55
2017-03-03,邵阳,83.53,0.62,37.0,35.46,94.73,59.03,42.86
2017-03-04,邵阳,100.44,1.02,35.62,20.72,104.13,74.34,46.84
2017-03-05,邵阳,61.58,0.93,21.68,31.49,58.71,44.75,26.27
2017-03-06,邵阳,76.31,0.78,27.06,39.03,67.0,55.52,43.32
2017-03-07,邵阳,76.67,0.77,17.66,79.09,72.21,55.58,25.54
2017-03-08,邵阳,72.03,0.75,20.12,77.94,70.23,51.75,26.42
2017-03-09,邵阳,105.07,0.95,35.98,31.79,111.42,77.87,57.16
2017-03-10,邵阳,58.43,1.03,18.1,57.7,48.63,41.23,22.27
2017-03-11,邵阳,80.42,1.0,20.19,48.98,74.14,58.96,39.3
2017-03-12,邵阳,55.16,1.03,21.58,32.75,54.4,39.04,30.07
2017-03-13,邵阳,20.38,0.76,11.98,59.47,11.59,7.59,12.22
2017-03-14,邵阳,39.35,0.62,11.03,62.25,34.01,25.16,18.98
2017-03-15,邵阳,62.53,0.87,19.08,38.25,59.27,43.35,29.69
2017-03-16,邵阳,57.53,0.77,16.96,43.67,51.83,40.29,21.25
2017-03-17,邵阳,53.41,0.9,20.12,31.57,48.7,37.27,28.1
2017-03-18,邵阳,41.2,0.95,21.15,38.17,33.98,27.98,30.92
2017-03-19,邵阳,54.85,1.0,17.41,35.01,46.46,37.76,29.94
2017-03-20,邵阳,32.1,1.16,23.51,23.5,27.35,20.82,23.57
2017-03-21,邵阳,57.99,1.04,20.59,50.85,48.43,40.82,20.28
2017-03-22,邵阳,36.02,1.0,19.47,52.0,30.37,23.13,30.17
2017-03-23,邵阳,47.54,0.95,14.35,51.59,42.73,32.13,27.26
2017-03-24,邵阳,20.32,0.99,12.76,50.43,14.83,9.63,15.64
2017-03-25,邵阳,49.33,0.88,21.29,48.01,57.72,28.81,32.95
2017-03-26,邵阳,78.48,0.82,22.37,55.36,101.01,48.77,39.53
2017-03-27,邵阳,84.37,0.85,26.3,61.04,106.56,55.03,43.23
2017-03-28,邵阳,84.49,1.05,37.4,26.45,96.59,59.81,48.56
