time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,郴州,132.17,1.85,58.91,25.74,158.6,99.34,29.41
2017-01-02,郴州,162.01,2.06,44.07,43.17,182.74,122.68,54.49
2017-01-03,郴州,194.82,2.12,46.28,39.37,212.98,148.12,50.64
2017-01-04,郴州,195.3,2.75,61.89,32.48,224.83,148.7,40.83
2017-01-05,郴州,174.09,2.63,50.78,31.69,196.62,133.8,31.48
2017-01-06,郴州,79.55,2.26,32.42,16.09,84.92,53.44,19.45
2017-01-07,郴州,35.37,2.3,28.78,12.44,35.01,18.11,17.54
2017-01-08,郴州,42.84,1.54,27.43,18.3,40.6,25.3,14.43
2017-01-09,郴州,56.43,1.32,27.17,15.31,58.02,36.25,17.8
2017-01-10,郴州,91.66,1.7,34.23,15.4,112.33,63.83,21.75
2017-01-11,郴州,34.07,1.44,26.22,26.17,32.97,18.77,11.56
2017-01-12,郴州,20.68,1.32,26.41,21.97,18.64,8.69,9.43
2017-01-13,郴州,50.48,1.31,22.52,34.12,50.14,31.82,15.13
2017-01-14,郴州,66.92,1.43,28.48,25.0,71.98,44.77,17.44
2017-01-15,郴州,98.38,1.48,34.57,23.73,109.34,72.26,21.18
2017-01-16,郴州,108.14,1.54,38.11,18.83,122.13,80.59,24.32
2017-01-17,郴州,81.4,1.36,35.01,21.09,81.46,58.59,16.59
2017-01-18,郴州,64.42,1.23,32.83,13.56,61.47,44.58,15.41
2017-01-19,郴州,66.05,1.24,29.71,17.95,64.29,45.23,13.24
2017-01-20,郴州,111.84,1.44,33.91,17.14,123.55,84.12,16.72
2017-01-21,郴州,88.65,1.33,31.53,27.42,104.68,61.44,31.75
2017-01-22,郴州,95.31,1.65,31.97,34.42,116.0,65.34,26.03
2017-01-23,郴州,89.73,1.41,32.51,45.36,101.94,64.09,18.98
2017-01-24,郴州,81.74,1.41,34.42,52.56,93.38,58.85,33.96
2017-01-25,郴州,100.06,1.27,23.32,60.35,113.16,73.95,22.8
2017-01-26,郴州,90.82,1.13,27.32,25.02,97.36,67.12,11.13
2017-01-27,郴州,75.45,1.16,19.3,49.41,79.18,53.14,21.19
2017-01-28,郴州,175.88,1.03,8.89,60.45,207.16,145.82,39.9
2017-01-29,郴州,92.44,1.23,14.45,56.5,105.34,64.8,16.46
2017-01-30,郴州,140.48,1.59,9.01,36.17,147.63,106.51,12.3
2017-01-31,郴州,172.15,1.62,13.07,31.77,188.81,130.62,23.25
2017-02-01,郴州,111.54,1.39,11.38,25.31,124.25,82.96,12.32
2017-02-02,郴州,47.0,1.39,9.82,18.81,48.5,26.34,8.9
2017-02-03,郴州,62.96,1.59,13.14,15.93,68.54,40.52,18.69
2017-02-04,郴州,57.51,1.56,16.68,10.88,59.08,37.58,17.7
2017-02-05,郴州,40.6,1.28,18.97,15.88,39.44,20.95,20.11
2017-02-06,郴州,36.9,1.33,16.01,18.57,38.03,16.77,14.4
2017-02-07,郴州,43.63,1.54,18.8,13.17,43.86,23.22,11.54
2017-02-08,郴州,26.25,1.14,14.13,34.4,27.0,11.4,6.67
2017-02-09,郴州,81.17,1.29,18.87,55.74,82.11,57.62,17.11
2017-02-10,郴州,102.36,1.44,23.3,45.34,102.72,76.09,18.73
2017-02-11,郴州,90.55,1.09,22.33,47.75,95.62,64.47,31.77
2017-02-12,郴州,89.19,1.14,32.06,49.06,97.03,64.04,22.16
2017-02-13,郴州,68.27,1.38,37.57,45.0,69.5,46.18,18.86
2017-02-14,郴州,67.23,1.42,38.94,57.52,72.66,44.98,18.86
2017-02-15,郴州,85.98,1.72,51.24,53.35,101.08,60.27,18.07
2017-02-16,郴州,76.12,1.3,31.88,87.84,85.67,51.83,13.25
2017-02-17,郴州,74.92,1.11,35.75,89.83,85.93,49.24,19.58
2017-02-18,郴州,200.85,1.84,26.68,87.86,248.07,154.65,30.78
