time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,长沙,141.62,1.54,88.27,16.92,149.18,107.35,33.9
2017-01-02,长沙,220.96,1.34,47.69,36.05,175.68,171.19,20.09
2017-01-03,长沙,,,,,,,
2017-01-04,长沙,277.4,2.31,134.1,20.9,267.33,227.4,41.0
2017-01-05,长沙,73.67,1.93,43.84,6.54,32.17,54.01,8.23
2017-01-06,长沙,31.46,2.18,34.83,11.77,19.81,19.75,7.03
2017-01-07,长沙,34.25,1.93,39.0,10.16,18.43,20.67,7.17
2017-01-08,长沙,44.08,1.0,36.96,28.97,43.05,30.63,10.62
2017-01-09,长沙,85.7,1.4,49.68,27.21,77.54,63.25,17.48
2017-01-10,长沙,107.8,1.62,40.65,36.87,88.25,80.79,14.18
2017-01-11,长沙,73.3,1.21,35.29,30.15,53.59,53.35,8.4
2017-01-12,长沙,57.1,1.16,32.66,49.64,57.74,40.79,10.14
2017-01-13,长沙,88.07,1.17,51.04,39.21,76.73,65.17,13.87
2017-01-14,长沙,101.54,1.11,56.26,20.83,91.82,75.96,14.58
2017-01-15,长沙,95.66,0.99,43.08,29.97,81.73,71.11,13.76
2017-01-16,长沙,92.08,1.06,51.77,16.24,87.77,68.33,13.31
2017-01-17,长沙,147.48,1.1,47.79,14.87,116.19,112.05,12.56
2017-01-18,长沙,116.93,1.03,45.03,18.79,94.42,88.25,9.74
2017-01-19,长沙,143.25,1.01,39.65,20.45,109.27,108.88,10.74
2017-01-20,长沙,92.85,0.74,32.5,55.03,79.23,62.47,13.06
2017-01-21,长沙,94.26,0.91,49.81,50.59,113.17,69.25,16.54
2017-01-22,长沙,128.6,1.19,59.44,45.97,132.94,97.15,15.47
2017-01-23,长沙,116.93,1.13,60.83,49.85,112.86,87.97,12.64
2017-01-24,长沙,120.52,1.04,48.64,42.8,105.27,90.62,11.56
2017-01-25,长沙,159.41,1.11,33.24,56.51,120.16,120.79,12.62
2017-01-26,长沙,101.23,1.04,44.76,40.84,92.12,75.29,13.2
2017-01-27,长沙,140.53,1.03,29.65,52.98,154.47,105.78,14.76
2017-01-28,长沙,292.79,1.2,26.95,47.97,399.36,270.03,40.54
2017-01-29,长沙,253.15,1.31,15.31,38.11,220.66,214.41,10.85
2017-01-30,长沙,164.36,1.3,15.68,56.14,143.36,124.85,13.42
2017-01-31,长沙,122.89,1.11,17.43,46.06,103.38,92.93,10.05
2017-02-01,长沙,68.47,0.91,15.3,34.8,48.53,49.66,5.38
2017-02-02,长沙,52.89,0.83,16.41,32.63,38.68,37.18,5.07
2017-02-03,长沙,33.84,0.98,19.52,15.25,22.45,22.91,6.81
2017-02-04,长沙,43.79,1.16,26.6,12.38,43.07,30.38,8.67
2017-02-05,长沙,50.67,1.37,36.25,11.77,43.01,35.37,19.22
2017-02-06,长沙,67.48,1.24,31.42,13.01,61.95,48.72,6.94
2017-02-07,长沙,89.23,1.11,27.33,22.68,91.65,66.69,6.6
2017-02-08,长沙,40.04,0.63,18.07,57.3,28.97,28.49,6.3
2017-02-09,长沙,109.08,0.99,26.68,73.12,83.74,81.97,15.36
2017-02-10,长沙,79.09,0.75,29.58,79.64,56.89,57.91,15.28
2017-02-11,长沙,74.62,0.9,49.27,50.72,74.79,54.23,19.7
2017-02-12,长沙,128.57,1.28,59.83,40.97,126.86,97.15,30.51
2017-02-13,长沙,89.83,1.07,68.35,47.07,97.2,65.98,18.52
2017-02-14,长沙,86.65,0.94,71.51,49.77,93.12,63.48,19.07
2017-02-15,长沙,118.33,1.34,91.52,44.52,137.88,88.12,27.4
2017-02-16,长沙,114.56,1.26,73.51,61.3,132.82,84.24,26.12
2017-02-17,长沙,149.18,1.18,49.55,52.7,154.36,114.42,15.93
2017-02-18,长沙,146.09,0.92,44.8,28.59,140.61,110.46,11.78
2017-02-19,长沙,160.56,1.42,64.34,48.17,168.22,121.69,25.81
2017-02-20,长沙,92.73,0.99,52.41,55.84,104.31,66.5,20.83
2017-02-21,长沙,53.39,0.65,26.35,34.39,58.57,36.6,6.63
2017-02-22,长沙,50.42,0.62,25.22,48.09,37.69,35.7,7.4
2017-02-23,长沙,66.26,0.72,31.41,58.28,52.0,47.67,10.6
2017-02-24,长沙,54.66,0.69,34.81,66.62,53.32,38.62,9.27
2017-02-25,长沙,83.67,0.89,49.04,52.04,77.25,61.53,11.97
2017-02-26,长沙,90.27,0.91,61.33,61.6,90.07,66.67,16.27
2017-02-27,长沙,94.85,0.91,74.2,60.92,104.1,70.22,20.76
2017-02-28,长沙,115.33,1.18,82.85,51.68,137.45,86.29,31.22
2017-03-01,长沙,99.16,0.8,53.15,53.11,115.65,61.37,17.35
2017-03-02,长沙,64.33,0.49,42.55,64.08,78.5,24.9,13.03
2017-03-03,长沙,90.6,0.99,73.78,30.45,126.12,56.64,33.42
2017-03-04,长沙,107.75,1.22,71.45,9.86,131.58,80.51,19.88
2017-03-05,长沙,69.21,0.97,38.02,22.08,50.36,50.26,8.62
2017-03-06,长沙,93.37,0.84,28.51,44.51,81.67,69.35,10.42
2017-03-07,长沙,160.46,1.14,51.84,72.59,126.4,121.78,16.24
2017-03-08,长沙,130.81,1.07,56.41,82.76,125.9,98.75,21.57
2017-03-09,长沙,125.97,1.27,76.82,43.16,129.08,94.94,20.61
2017-03-10,长沙,60.66,0.83,39.73,59.58,47.61,43.17,7.22
2017-03-11,长沙,72.52,0.95,49.57,37.95,69.1,51.01,9.55
2017-03-12,长沙,44.81,0.98,52.02,16.59,45.2,30.36,7.67
2017-03-13,长沙,21.93,0.68,25.09,56.13,10.18,10.2,5.67
2017-03-14,长沙,44.01,0.61,25.99,52.75,43.16,28.48,8.66
2017-03-15,长沙,56.9,0.76,41.06,34.74,51.81,39.7,10.24
2017-03-16,长沙,60.78,0.8,40.4,41.68,59.09,43.07,9.33
2017-03-17,长沙,44.14,0.92,52.52,23.51,33.37,29.55,5.99
2017-03-18,长沙,60.62,0.93,39.68,33.9,42.33,43.33,6.61
2017-03-19,长沙,45.17,1.03,44.57,18.54,34.09,30.19,6.38
2017-03-20,长沙,56.34,1.03,36.67,40.73,40.86,39.39,6.65
2017-03-21,长沙,57.23,0.88,45.33,45.31,45.81,40.5,8.27
2017-03-22,长沙,27.38,0.93,36.36,40.81,20.43,16.06,5.65
2017-03-23,长沙,43.68,1.07,45.79,19.59,43.05,28.23,8.99
2017-03-24,长沙,23.32,0.79,26.16,43.5,19.32,14.57,5.65
2017-03-25,长沙,62.08,0.88,40.26,36.81,78.46,32.98,10.03
2017-03-26,长沙,92.78,1.21,56.47,45.97,135.06,44.82,12.54
2017-03-27,长沙,90.95,1.16,60.71,48.67,129.51,51.33,20.77
2017-03-28,长沙,74.63,1.05,61.02,26.52,96.36,47.74,16.69
2017-03-29,长沙,42.04,0.96,39.35,40.16,38.13,28.08,6.99
2017-03-30,长沙,47.82,1.04,36.94,39.56,43.0,32.97,7.6
2017-03-31,长沙,60.32,0.7,24.36,95.64,51.55,42.98,8.15
2017-04-01,长沙,72.51,0.97,60.52,61.08,78.73,49.21,12.1
2017-04-02,长沙,75.47,1.07,63.24,69.22,91.45,48.94,17.95
2017-04-03,长沙,71.13,0.82,53.68,76.33,86.09,46.85,23.21
2017-04-04,长沙,72.78,0.69,30.04,103.31,86.41,49.57,15.3
2017-04-05,长沙,85.69,0.89,44.61,58.12,96.23,60.85,16.95
2017-04-06,长沙,68.24,0.93,26.5,35.3,51.85,49.2,6.44
2017-04-07,长沙,64.03,1.02,39.87,57.03,68.32,43.26,9.47
2017-04-08,长沙,85.18,1.01,39.17,41.94,77.8,61.57,11.99
2017-04-09,长沙,30.27,0.99,19.19,53.54,22.18,17.0,5.27
2017-04-10,长沙,23.66,0.54,17.93,70.63,13.23,8.0,5.03
2017-04-11,长沙,40.45,0.66,25.05,68.04,36.38,26.74,7.24
2017-04-12,长沙,64.39,0.92,45.54,58.01,62.57,45.41,13.08
2017-04-13,长沙,75.06,1.14,52.0,70.42,87.16,49.96,13.1
2017-04-14,长沙,65.77,1.04,53.71,70.87,77.86,39.97,17.04
2017-04-15,长沙,76.72,1.15,52.07,48.65,91.54,51.9,19.23
2017-04-16,长沙,70.86,1.1,37.86,46.86,79.85,47.72,15.44
2017-04-17,长沙,37.18,0.69,20.79,77.78,37.3,17.55,8.64
2017-04-18,长沙,60.56,0.93,37.9,57.93,73.02,31.26,17.75
2017-04-19,长沙,72.41,0.92,43.6,58.52,94.16,40.58,18.38
2017-04-20,长沙,57.1,0.66,16.9,83.39,67.65,27.15,9.28
2017-04-21,长沙,48.59,0.57,22.0,66.37,55.61,20.6,6.2
2017-04-22,长沙,66.32,0.67,33.98,67.31,81.89,30.61,9.36
2017-04-23,长沙,79.53,0.97,52.94,74.08,104.64,44.6,17.4
2017-04-24,长沙,74.91,0.91,45.09,92.06,95.16,46.06,16.55
2017-04-25,长沙,55.42,0.93,31.5,52.16,46.98,38.78,6.5
2017-04-26,长沙,63.6,0.94,18.0,71.24,57.01,45.44,6.17
2017-04-27,长沙,66.38,0.84,24.32,103.11,64.42,42.56,10.43
2017-04-28,长沙,68.86,0.83,50.08,95.28,75.06,37.44,14.74
2017-04-29,长沙,79.26,1.01,58.02,84.56,91.47,48.61,18.85
2017-04-30,长沙,78.62,0.93,53.12,86.0,98.22,49.8,20.15
2017-05-01,长沙,90.35,1.02,31.02,68.22,87.66,66.9,10.49
2017-05-02,长沙,81.31,0.89,21.95,68.92,74.51,59.39,7.67
2017-05-03,长沙,66.64,0.86,19.1,75.25,70.41,45.08,8.8
2017-05-04,长沙,31.19,0.64,13.16,90.14,26.19,13.24,6.57
2017-05-05,长沙,49.26,0.78,30.86,87.44,48.04,27.8,7.69
2017-05-06,长沙,175.03,0.76,25.92,95.68,248.5,75.38,11.63
2017-05-07,长沙,131.1,0.69,21.72,56.53,217.82,82.19,7.97
2017-05-08,长沙,43.14,0.69,20.18,65.15,47.39,26.66,6.24
2017-05-09,长沙,55.7,0.97,38.61,68.17,57.4,29.48,10.83
2017-05-10,长沙,72.74,1.02,54.48,70.52,88.61,43.56,13.67
2017-05-11,长沙,61.2,0.9,34.61,60.06,76.96,39.33,10.01
2017-05-12,长沙,43.16,0.61,19.85,88.05,41.72,22.98,6.49
2017-05-13,长沙,70.04,0.93,42.9,89.88,70.55,32.79,13.1
2017-05-14,长沙,69.86,0.8,46.51,91.69,77.52,33.49,12.08
2017-05-15,长沙,91.79,0.9,31.8,80.13,101.05,64.29,9.32
2017-05-16,长沙,65.57,0.75,21.57,108.44,59.59,39.69,7.93
2017-05-17,长沙,78.6,0.94,54.98,110.77,79.3,41.67,13.56
2017-05-18,长沙,73.37,0.86,48.72,96.82,75.96,44.7,12.82
2017-05-19,长沙,73.33,0.88,46.49,54.88,83.17,51.37,12.23
2017-05-20,长沙,68.5,0.92,30.56,75.5,67.46,48.91,15.3
2017-05-21,长沙,66.59,0.91,38.29,48.41,68.64,47.34,8.34
2017-05-22,长沙,49.22,0.82,28.47,46.94,47.46,31.63,8.54
2017-05-23,长沙,30.06,0.62,15.17,82.17,16.35,9.8,4.24
2017-05-24,长沙,40.05,0.59,15.68,110.26,34.94,21.91,6.25
2017-05-25,长沙,51.88,0.65,25.14,121.1,50.41,28.67,10.01
2017-05-26,长沙,65.5,0.77,46.79,98.49,60.75,34.83,9.63
2017-05-27,长沙,84.3,0.88,54.74,109.0,80.64,40.9,14.03
2017-05-28,长沙,95.82,0.97,61.56,115.23,98.27,50.53,18.48
2017-05-29,长沙,78.35,0.83,45.92,112.75,85.1,46.61,14.46
2017-05-30,长沙,85.47,1.03,42.39,79.11,98.13,61.26,16.78
2017-05-31,长沙,103.77,1.18,40.46,57.44,106.69,77.7,11.39
2017-06-01,长沙,34.04,0.69,17.6,80.49,24.06,17.77,4.83
2017-06-02,长沙,50.35,0.78,22.8,95.27,48.72,30.31,7.94
2017-06-03,长沙,59.77,0.99,31.08,73.05,61.63,39.77,11.08
2017-06-04,长沙,57.13,0.94,28.81,53.28,59.02,38.35,7.53
2017-06-05,长沙,33.15,0.84,19.0,53.67,26.34,19.14,4.39
