time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临夏州,97.39,4.21,74.37,40.21,125.19,70.92,50.26
2017-01-01,兰州,90.68,2.17,73.3,23.71,122.23,66.44,44.11
2017-01-01,嘉峪关,55.78,0.73,43.0,46.38,66.61,26.33,15.51
2017-01-01,天水,152.02,2.1,57.17,17.4,174.2,115.93,53.29
2017-01-01,定西,118.65,2.02,46.44,16.88,134.67,91.21,75.62
2017-01-01,平凉,90.68,1.85,62.46,19.61,116.92,65.65,38.0
2017-01-01,庆阳,130.02,1.64,47.31,65.08,125.63,97.76,108.08
2017-01-01,张掖,70.46,0.85,26.27,38.7,67.83,49.44,29.19
2017-01-01,武威,69.84,1.58,39.87,27.16,84.63,42.66,38.74
2017-01-01,甘南州,77.47,0.94,29.41,30.41,90.35,55.76,24.59
2017-01-01,白银,56.58,0.87,38.69,40.03,60.19,33.58,34.86
2017-01-01,酒泉,69.42,0.88,50.53,38.92,90.97,42.78,23.68
2017-01-01,金昌,71.11,1.43,27.96,45.98,83.44,44.91,31.64
2017-01-01,陇南,92.53,1.81,55.84,13.33,107.92,68.55,39.5
2017-01-02,临夏州,139.62,1.98,70.42,39.77,188.07,103.62,56.92
2017-01-02,兰州,129.95,2.6,87.06,31.09,157.61,95.62,46.17
2017-01-02,嘉峪关,52.0,0.66,32.33,63.15,56.87,20.9,19.75
2017-01-02,天水,144.35,1.53,42.29,21.0,156.45,110.07,46.82
2017-01-02,定西,127.55,2.04,43.92,24.27,137.95,96.55,83.9
2017-01-02,平凉,94.92,1.65,62.28,25.97,120.97,61.95,42.69
2017-01-02,庆阳,121.58,1.59,48.25,63.25,127.22,91.45,128.23
2017-01-02,张掖,63.38,1.0,26.7,43.23,65.79,40.77,28.23
2017-01-02,武威,77.0,1.88,43.15,28.05,84.79,50.05,53.75
2017-01-02,甘南州,62.1,0.84,20.85,46.05,68.05,43.7,25.3
2017-01-02,白银,85.35,1.32,54.75,38.77,94.05,61.08,59.4
2017-01-02,酒泉,66.9,0.76,46.33,48.75,84.03,33.67,21.3
2017-01-02,金昌,81.25,1.18,32.08,52.0,95.02,50.3,58.9
2017-01-02,陇南,94.65,1.86,58.6,18.62,112.42,69.92,45.88
2017-01-03,临夏州,210.06,2.52,79.62,40.69,231.56,168.88,58.71
2017-01-03,兰州,146.1,3.06,101.59,30.83,177.43,107.04,53.06
2017-01-03,嘉峪关,58.02,0.94,42.39,42.37,69.13,23.22,29.98
2017-01-03,天水,167.29,1.64,51.26,23.79,220.98,131.18,55.53
2017-01-03,定西,116.73,2.01,43.81,20.19,132.4,87.88,73.06
2017-01-03,平凉,85.81,1.46,59.08,29.81,102.87,50.71,31.21
2017-01-03,庆阳,121.31,1.61,42.29,86.04,121.44,91.61,92.68
2017-01-03,张掖,54.78,1.03,26.07,41.72,59.93,32.85,29.02
2017-01-03,武威,98.73,2.43,49.0,23.12,118.42,65.71,46.65
2017-01-03,甘南州,88.04,1.2,30.71,36.33,101.38,63.5,23.96
2017-01-03,白银,94.29,1.5,52.1,47.02,104.79,67.57,102.36
2017-01-03,酒泉,66.15,0.85,44.62,39.9,80.52,37.92,30.04
2017-01-03,金昌,69.51,1.25,27.53,48.29,87.12,35.86,31.64
2017-01-03,陇南,77.83,1.69,43.1,21.77,85.6,56.48,38.96
2017-01-04,临夏州,225.23,2.92,90.58,36.33,254.54,181.73,57.85
2017-01-04,兰州,173.88,3.47,116.86,27.99,203.92,133.26,56.76
2017-01-04,嘉峪关,56.31,0.8,39.98,49.04,65.67,26.64,15.85
2017-01-04,天水,144.29,1.44,53.01,28.4,189.8,110.99,62.83
2017-01-04,定西,106.38,1.6,39.15,29.19,105.96,79.27,54.69
2017-01-04,平凉,117.44,1.68,61.04,25.92,136.09,85.5,29.58
2017-01-04,庆阳,119.68,1.27,37.92,96.13,109.51,90.25,69.24
2017-01-04,张掖,78.45,1.12,36.36,39.97,86.69,53.7,40.79
2017-01-04,武威,106.44,1.9,45.31,24.58,123.17,76.81,52.38
2017-01-04,甘南州,80.83,1.33,29.58,36.25,101.32,57.71,23.29
2017-01-04,白银,115.67,1.71,57.23,44.21,116.41,87.21,92.15
2017-01-04,酒泉,81.19,1.02,57.35,32.4,109.64,51.45,24.21
2017-01-04,金昌,77.72,1.28,31.26,47.85,102.1,46.48,38.35
2017-01-04,陇南,86.65,1.9,52.27,17.35,95.96,63.85,40.1
2017-01-05,临夏州,172.38,2.64,79.85,40.25,200.38,134.08,67.17
2017-01-05,兰州,165.63,3.13,105.94,31.82,198.05,126.35,48.09
2017-01-05,嘉峪关,55.0,0.8,37.87,55.07,62.2,25.8,23.11
2017-01-05,天水,131.12,1.16,40.29,29.03,144.61,99.58,40.54
2017-01-05,定西,129.73,1.99,40.73,19.08,144.67,94.83,65.23
2017-01-05,平凉,181.69,2.05,50.25,41.42,211.43,143.1,28.98
2017-01-05,庆阳,217.54,2.0,42.57,81.89,202.68,171.88,87.53
2017-01-05,张掖,66.56,0.85,25.88,46.69,67.83,43.44,17.17
2017-01-05,武威,94.51,1.47,38.02,30.32,114.5,64.15,36.43
2017-01-05,甘南州,85.0,1.14,33.75,33.38,100.83,59.54,30.96
2017-01-05,白银,112.04,1.6,49.02,55.04,122.04,80.71,81.0
2017-01-05,酒泉,71.42,0.74,44.29,45.42,88.19,43.4,18.06
2017-01-05,金昌,69.08,1.18,18.64,54.56,85.83,35.7,15.45
2017-01-05,陇南,92.48,1.96,51.04,19.48,104.9,67.23,47.48
2017-01-06,临夏州,159.69,5.3,49.6,48.08,186.48,120.1,46.17
2017-01-06,兰州,85.46,1.26,54.23,46.19,117.42,51.7,33.44
2017-01-06,嘉峪关,63.5,1.07,43.9,53.25,77.06,36.23,39.85
2017-01-06,天水,113.0,1.93,49.99,38.44,115.21,85.81,34.85
2017-01-06,定西,75.23,1.14,30.3,51.46,86.29,53.62,46.06
2017-01-06,平凉,95.69,1.09,20.85,65.08,114.49,63.75,23.29
2017-01-06,庆阳,85.28,1.82,28.89,49.21,73.0,62.92,42.26
2017-01-06,张掖,74.29,0.97,25.85,45.06,77.38,51.9,24.46
2017-01-06,武威,73.42,1.15,35.88,34.5,79.0,48.96,29.35
2017-01-06,甘南州,87.75,1.04,25.29,48.58,102.58,63.33,18.12
2017-01-06,白银,48.94,0.72,18.62,92.67,50.67,26.31,30.56
2017-01-06,酒泉,77.08,0.85,48.46,43.25,90.79,54.15,16.08
2017-01-06,金昌,54.79,1.15,22.42,53.19,61.48,27.96,29.04
2017-01-06,陇南,74.04,1.62,51.5,8.56,78.5,53.17,34.52
2017-01-07,临夏州,137.2,2.02,41.26,48.37,158.87,104.54,51.85
2017-01-07,兰州,74.59,1.61,65.89,35.07,91.6,47.53,31.08
2017-01-07,嘉峪关,67.74,1.11,45.26,43.72,84.48,30.87,40.83
2017-01-07,天水,84.87,1.06,40.86,42.49,92.16,61.74,36.93
2017-01-07,定西,92.65,1.53,36.39,33.02,107.83,67.91,52.22
2017-01-07,平凉,71.17,0.77,31.11,59.57,78.16,42.72,33.46
2017-01-07,庆阳,59.89,1.16,30.12,63.8,62.78,37.21,85.8
2017-01-07,张掖,62.5,0.94,25.26,49.52,62.28,41.8,25.7
2017-01-07,武威,82.93,1.39,40.28,28.67,84.36,55.54,33.74
2017-01-07,甘南州,99.09,0.79,18.83,76.35,112.83,72.74,15.83
2017-01-07,白银,48.67,0.84,27.52,66.88,50.17,27.38,67.0
2017-01-07,酒泉,70.98,0.76,39.63,43.98,90.52,43.28,20.39
2017-01-07,金昌,64.29,1.09,26.88,48.67,74.79,38.42,39.0
2017-01-07,陇南,68.93,1.93,40.46,44.37,71.0,49.65,33.76
2017-01-08,临夏州,168.62,2.07,47.23,41.5,186.31,130.42,40.33
2017-01-08,兰州,69.54,1.32,52.51,42.46,84.5,44.77,32.32
2017-01-08,嘉峪关,51.48,0.59,29.52,59.75,55.87,22.19,10.98
2017-01-08,天水,91.26,0.75,40.46,48.36,104.32,67.14,37.72
2017-01-08,定西,93.75,1.65,31.58,34.81,104.38,68.0,57.48
2017-01-08,平凉,56.65,0.66,36.73,46.33,62.09,27.0,17.08
2017-01-08,庆阳,60.24,1.2,30.78,70.07,60.9,39.06,106.43
2017-01-08,张掖,74.12,1.15,25.98,43.33,71.45,53.12,25.19
2017-01-08,武威,74.42,1.37,36.98,32.46,76.67,50.1,30.19
2017-01-08,甘南州,98.42,0.95,23.92,51.88,111.33,71.58,20.71
2017-01-08,白银,37.27,0.72,18.85,75.88,33.13,19.79,40.92
