time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临夏州,97.39,4.21,74.37,40.21,125.19,70.92,50.26
2017-01-02,临夏州,139.62,1.98,70.42,39.77,188.07,103.62,56.92
2017-01-03,临夏州,210.06,2.52,79.62,40.69,231.56,168.88,58.71
2017-01-04,临夏州,225.23,2.92,90.58,36.33,254.54,181.73,57.85
2017-01-05,临夏州,172.38,2.64,79.85,40.25,200.38,134.08,67.17
2017-01-06,临夏州,159.69,5.3,49.6,48.08,186.48,120.1,46.17
2017-01-07,临夏州,137.2,2.02,41.26,48.37,158.87,104.54,51.85
2017-01-08,临夏州,168.62,2.07,47.23,41.5,186.31,130.42,40.33
2017-01-09,临夏州,88.52,1.18,25.8,53.26,99.78,63.74,40.15
2017-01-10,临夏州,67.15,0.91,25.62,57.71,69.52,45.85,42.06
2017-01-11,临夏州,158.73,1.88,41.9,43.65,157.58,122.02,29.73
2017-01-12,临夏州,172.02,2.25,52.42,58.62,183.04,135.73,40.46
2017-01-13,临夏州,177.65,2.58,67.02,50.44,199.65,139.02,57.56
2017-01-14,临夏州,182.62,2.36,60.69,59.67,201.62,142.69,53.35
2017-01-15,临夏州,159.29,2.12,44.19,68.21,188.17,119.75,57.44
2017-01-16,临夏州,140.61,3.58,40.61,49.43,191.97,95.16,54.27
2017-01-17,临夏州,138.46,1.96,38.65,53.52,161.36,103.56,38.21
2017-01-18,临夏州,108.29,1.95,44.83,57.62,126.7,81.02,49.67
2017-01-19,临夏州,218.31,1.35,19.1,70.67,317.83,83.58,41.9
2017-01-20,临夏州,208.62,1.99,47.96,51.38,324.94,146.02,78.42
2017-01-21,临夏州,175.21,2.08,55.56,52.48,245.58,135.04,82.27
2017-01-22,临夏州,170.46,2.93,61.88,50.29,228.9,131.29,69.87
2017-01-23,临夏州,193.93,2.73,75.11,47.3,230.87,154.37,53.87
2017-01-24,临夏州,197.0,2.84,77.19,41.47,228.62,158.9,71.88
2017-01-25,临夏州,164.81,2.81,74.67,36.04,188.75,127.42,64.69
2017-01-26,临夏州,427.44,1.92,22.56,34.53,1000.53,282.44,46.09
2017-01-27,临夏州,285.2,2.13,48.2,32.4,369.95,161.12,55.15
2017-01-28,临夏州,269.76,2.02,46.85,35.32,364.37,169.9,55.98
