time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,兰州,90.68,2.17,73.3,23.71,122.23,66.44,44.11
2017-01-02,兰州,129.95,2.6,87.06,31.09,157.61,95.62,46.17
2017-01-03,兰州,146.1,3.06,101.59,30.83,177.43,107.04,53.06
2017-01-04,兰州,173.88,3.47,116.86,27.99,203.92,133.26,56.76
2017-01-05,兰州,165.63,3.13,105.94,31.82,198.05,126.35,48.09
2017-01-06,兰州,85.46,1.26,54.23,46.19,117.42,51.7,33.44
2017-01-07,兰州,74.59,1.61,65.89,35.07,91.6,47.53,31.08
2017-01-08,兰州,69.54,1.32,52.51,42.46,84.5,44.77,32.32
2017-01-09,兰州,53.14,0.97,42.31,50.77,56.71,32.12,28.74
2017-01-10,兰州,48.73,0.74,29.38,66.17,47.55,25.82,21.3
2017-01-11,兰州,78.72,1.56,62.18,28.5,92.75,52.91,31.96
2017-01-12,兰州,117.89,2.16,78.17,31.57,142.67,87.04,36.96
2017-01-13,兰州,131.62,2.19,85.33,34.01,165.28,97.52,42.02
2017-01-14,兰州,119.28,1.89,74.7,44.28,149.39,87.88,47.48
2017-01-15,兰州,89.43,1.27,56.92,53.7,120.31,56.09,40.12
2017-01-16,兰州,79.16,0.98,51.06,50.39,107.51,39.61,35.32
2017-01-17,兰州,68.03,1.0,45.77,52.75,83.4,39.37,31.32
2017-01-18,兰州,90.58,1.32,55.85,50.29,113.76,60.03,36.9
2017-01-19,兰州,263.81,0.89,41.03,65.71,396.07,75.1,23.57
2017-01-20,兰州,138.18,1.67,64.09,35.57,224.81,71.71,39.0
2017-01-21,兰州,100.85,1.97,70.53,38.63,145.55,61.24,44.2
2017-01-22,兰州,88.17,1.94,70.55,38.96,119.54,54.37,44.39
2017-01-23,兰州,111.73,2.51,83.52,37.88,147.53,78.42,48.19
2017-01-24,兰州,128.11,2.84,92.15,32.81,167.64,92.9,54.58
2017-01-25,兰州,173.9,2.38,76.97,45.97,431.25,123.23,37.85
2017-01-26,兰州,392.72,0.75,32.12,51.28,1789.54,273.02,16.22
2017-01-27,兰州,170.08,1.4,49.77,43.9,272.77,63.25,27.79
2017-01-28,兰州,162.53,0.95,31.65,53.45,264.16,60.33,30.49
2017-01-29,兰州,102.99,0.8,27.08,67.12,155.1,36.44,18.03
2017-01-30,兰州,92.29,1.04,31.9,56.46,134.14,38.17,28.91
2017-01-31,兰州,85.56,1.11,38.3,53.11,120.44,39.96,27.93
2017-02-01,兰州,80.58,1.42,46.79,46.42,107.77,44.77,34.18
2017-02-02,兰州,92.94,1.66,46.32,51.35,115.94,64.22,20.14
2017-02-03,兰州,96.01,1.66,51.67,46.74,121.6,67.35,28.12
2017-02-04,兰州,92.59,1.84,69.95,51.3,122.62,60.9,30.26
2017-02-05,兰州,117.63,2.31,85.37,51.66,151.28,83.68,36.8
2017-02-06,兰州,103.76,1.43,40.14,45.66,144.45,62.99,30.81
2017-02-07,兰州,86.1,0.6,20.15,76.71,121.77,30.6,14.59
2017-02-08,兰州,64.49,0.76,29.77,68.45,71.54,34.32,14.68
2017-02-09,兰州,87.87,1.23,46.6,55.69,100.71,61.68,16.32
2017-02-10,兰州,57.96,0.84,35.44,70.07,59.75,30.62,24.8
2017-02-11,兰州,83.63,1.58,62.75,56.63,98.9,54.42,26.99
2017-02-12,兰州,125.25,2.12,80.34,45.89,149.3,91.62,27.43
2017-02-13,兰州,112.72,1.91,72.2,65.5,140.15,81.78,32.65
2017-02-14,兰州,92.44,1.96,73.96,45.39,116.07,62.07,26.12
2017-02-15,兰州,108.43,1.93,65.05,61.76,146.33,61.14,25.83
2017-02-16,兰州,131.5,1.41,43.7,53.36,211.08,50.77,24.46
2017-02-17,兰州,115.12,1.35,49.82,54.31,179.7,51.06,22.48
2017-02-18,兰州,118.46,2.08,73.17,53.55,182.28,66.85,31.93
2017-02-19,兰州,122.28,2.24,75.98,53.7,187.0,76.83,34.79
2017-02-20,兰州,155.72,1.4,42.03,66.18,252.95,62.42,22.19
2017-02-21,兰州,171.12,0.73,25.66,63.95,276.48,70.42,22.66
2017-02-22,兰州,117.5,0.78,33.11,66.66,184.47,53.04,23.67
2017-02-23,兰州,91.58,1.21,49.95,62.68,124.48,53.38,17.41
2017-02-24,兰州,93.8,1.29,50.95,71.22,122.15,64.9,16.5
2017-02-25,兰州,67.32,1.01,43.63,76.18,74.76,37.87,19.94
2017-02-26,兰州,75.03,1.22,50.96,77.97,90.45,46.88,24.77
2017-02-27,兰州,84.06,1.33,53.83,79.28,106.27,54.23,26.04
2017-02-28,兰州,92.55,0.81,33.92,90.8,126.11,35.07,16.87
2017-03-01,兰州,173.64,0.82,43.12,78.47,259.38,50.96,12.04
2017-03-02,兰州,99.74,1.25,56.56,64.02,148.18,42.4,23.4
2017-03-03,兰州,101.52,1.28,59.01,65.93,152.29,46.95,24.4
2017-03-04,兰州,80.41,1.12,52.74,62.39,105.46,44.76,20.79
2017-03-05,兰州,56.42,0.74,35.44,81.77,62.48,30.57,12.87
2017-03-06,兰州,69.78,1.09,48.31,75.08,82.87,39.93,16.69
2017-03-07,兰州,60.75,0.8,41.23,87.99,64.48,31.21,18.03
2017-03-08,兰州,74.6,1.16,58.95,72.47,91.36,44.15,21.39
2017-03-09,兰州,73.72,1.09,51.27,66.64,88.72,43.88,26.07
2017-03-10,兰州,68.01,1.08,42.29,57.83,77.94,44.73,14.48
2017-03-11,兰州,68.02,0.82,35.84,89.03,72.5,46.02,16.22
2017-03-12,兰州,67.91,0.83,33.97,76.83,64.75,43.66,12.67
2017-03-13,兰州,68.36,0.82,33.35,81.58,66.91,43.44,15.88
2017-03-14,兰州,69.96,1.04,45.17,74.03,68.29,48.92,11.91
2017-03-15,兰州,83.6,1.23,53.46,80.13,89.4,57.05,12.55
2017-03-16,兰州,111.08,1.41,60.31,86.43,131.62,79.62,16.24
2017-03-17,兰州,70.74,0.93,34.83,77.33,82.77,46.06,11.34
2017-03-18,兰州,91.22,1.44,55.97,62.71,107.09,59.18,14.56
2017-03-19,兰州,69.84,1.27,39.92,77.01,72.52,46.53,8.78
2017-03-20,兰州,85.13,1.3,52.27,65.7,114.28,48.59,14.57
2017-03-21,兰州,73.42,1.18,48.23,64.23,92.61,41.32,12.2
2017-03-22,兰州,74.37,1.29,51.13,47.99,91.81,46.64,12.78
2017-03-23,兰州,69.16,0.68,30.06,71.3,84.13,40.6,9.37
2017-03-24,兰州,90.08,0.71,34.24,64.83,129.42,46.27,11.68
2017-03-25,兰州,90.31,0.58,25.73,84.21,130.12,32.94,9.42
2017-03-26,兰州,106.07,0.94,54.61,67.15,161.02,44.07,13.83
2017-03-27,兰州,124.73,1.18,55.95,67.8,183.36,55.32,18.17
2017-03-28,兰州,198.14,0.82,41.1,65.54,312.33,85.15,12.44
2017-03-29,兰州,126.03,0.98,47.87,61.26,200.36,59.16,17.26
2017-03-30,兰州,58.97,0.65,29.97,83.71,67.66,28.76,9.72
2017-03-31,兰州,59.26,0.71,34.34,83.85,67.97,28.5,16.02
2017-04-01,兰州,76.77,0.86,55.39,68.17,102.17,35.1,13.8
2017-04-02,兰州,78.6,0.9,50.53,62.67,106.41,41.12,12.16
2017-04-03,兰州,70.56,0.94,47.18,54.54,84.13,46.22,8.89
2017-04-04,兰州,88.68,1.08,48.23,69.75,103.71,60.96,11.29
2017-04-05,兰州,95.81,1.04,65.88,72.72,136.42,54.72,13.98
2017-04-06,兰州,98.17,0.8,39.12,75.89,144.11,49.06,9.23
2017-04-07,兰州,129.88,0.71,31.9,70.55,208.96,66.66,12.66
2017-04-08,兰州,51.47,0.62,24.26,56.62,51.56,33.05,7.38
2017-04-09,兰州,60.17,0.68,31.52,50.27,58.35,40.17,6.91
2017-04-10,兰州,58.62,0.58,31.1,61.92,55.01,39.68,7.82
2017-04-11,兰州,61.59,0.78,47.37,54.85,68.48,37.16,8.61
2017-04-12,兰州,84.36,0.92,46.79,55.56,115.33,44.52,11.29
2017-04-13,兰州,85.93,0.83,55.62,67.18,119.89,47.28,13.63
2017-04-14,兰州,107.71,0.87,51.71,71.42,163.9,49.61,14.68
2017-04-15,兰州,62.56,0.58,34.62,80.88,71.95,34.67,6.02
2017-04-16,兰州,82.47,0.62,41.05,57.38,111.92,45.73,9.76
2017-04-17,兰州,176.03,0.71,44.35,70.18,523.4,118.03,11.4
2017-04-18,兰州,451.22,0.65,41.04,71.57,682.15,157.36,8.08
2017-04-19,兰州,64.74,0.45,25.06,92.38,80.0,29.71,5.44
2017-04-20,兰州,93.78,0.62,38.22,64.9,135.3,45.0,9.06
2017-04-21,兰州,141.96,0.67,47.93,67.56,229.1,58.25,8.91
2017-04-22,兰州,105.86,0.75,51.56,77.62,155.28,42.98,11.88
2017-04-23,兰州,89.43,0.81,59.58,80.19,124.69,37.01,14.18
2017-04-24,兰州,99.13,0.67,51.39,82.65,144.95,40.69,12.2
2017-04-25,兰州,58.91,0.49,20.18,106.52,68.6,30.48,6.59
2017-04-26,兰州,56.7,0.52,35.03,72.78,62.37,28.81,5.7
2017-04-27,兰州,73.02,0.67,49.15,70.37,90.4,37.91,8.42
2017-04-28,兰州,82.24,0.76,53.1,77.35,111.24,39.4,13.64
2017-04-29,兰州,84.66,0.8,56.74,85.31,113.15,42.79,16.9
2017-04-30,兰州,72.2,0.6,29.79,111.41,88.15,38.9,10.43
2017-05-01,兰州,91.23,0.81,53.23,95.23,121.26,42.46,14.84
2017-05-02,兰州,82.46,0.58,27.1,92.57,106.9,52.77,6.15
2017-05-03,兰州,195.75,0.44,28.64,78.76,289.51,70.39,5.34
2017-05-04,兰州,365.01,0.55,37.32,76.99,561.79,101.71,9.33
2017-05-05,兰州,414.18,0.37,28.9,81.55,759.83,192.36,7.65
2017-05-06,兰州,201.7,0.66,46.14,69.71,284.06,86.1,10.08
2017-05-07,兰州,87.18,0.57,33.43,80.91,112.08,48.04,6.02
