time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,嘉峪关,55.78,0.73,43.0,46.38,66.61,26.33,15.51
2017-01-02,嘉峪关,52.0,0.66,32.33,63.15,56.87,20.9,19.75
2017-01-03,嘉峪关,58.02,0.94,42.39,42.37,69.13,23.22,29.98
2017-01-04,嘉峪关,56.31,0.8,39.98,49.04,65.67,26.64,15.85
2017-01-05,嘉峪关,55.0,0.8,37.87,55.07,62.2,25.8,23.11
2017-01-06,嘉峪关,63.5,1.07,43.9,53.25,77.06,36.23,39.85
2017-01-07,嘉峪关,67.74,1.11,45.26,43.72,84.48,30.87,40.83
2017-01-08,嘉峪关,51.48,0.59,29.52,59.75,55.87,22.19,10.98
2017-01-09,嘉峪关,49.17,0.6,28.43,55.96,53.85,23.02,15.8
2017-01-10,嘉峪关,34.17,0.38,10.23,69.06,31.88,11.36,5.48
2017-01-11,嘉峪关,46.02,0.68,24.79,55.17,51.19,22.27,13.04
2017-01-12,嘉峪关,36.69,0.53,30.56,66.75,35.88,15.58,11.5
2017-01-13,嘉峪关,45.94,0.64,26.23,65.4,53.23,15.13,25.44
2017-01-14,嘉峪关,54.91,0.95,40.09,50.22,63.91,28.43,30.39
2017-01-15,嘉峪关,50.2,0.74,33.57,68.46,55.78,25.31,23.17
2017-01-16,嘉峪关,37.85,0.39,16.17,87.72,33.43,12.21,10.2
2017-01-17,嘉峪关,42.71,0.64,28.27,66.94,47.31,13.78,26.02
2017-01-18,嘉峪关,61.43,0.6,22.33,76.07,73.11,15.81,21.11
2017-01-19,嘉峪关,49.4,0.5,19.85,75.17,54.67,18.09,9.67
2017-01-20,嘉峪关,58.73,0.64,23.44,73.38,68.73,22.44,21.25
2017-01-21,嘉峪关,59.46,0.87,32.96,63.48,73.12,22.67,34.52
2017-01-22,嘉峪关,35.04,0.58,27.48,68.43,34.93,13.33,9.83
2017-01-23,嘉峪关,48.56,0.75,26.96,56.21,54.5,16.98,22.06
2017-01-24,嘉峪关,49.85,0.68,29.96,58.85,56.73,17.57,10.44
2017-01-25,嘉峪关,352.25,0.38,9.12,81.17,767.65,108.6,7.17
2017-01-26,嘉峪关,110.47,0.57,15.85,77.03,169.0,24.68,12.82
2017-01-27,嘉峪关,100.5,0.81,21.1,68.52,150.62,30.35,32.48
2017-01-28,嘉峪关,121.85,0.44,8.63,89.34,193.24,33.66,10.44
2017-01-29,嘉峪关,163.43,0.37,10.78,76.8,249.7,31.31,9.91
2017-01-30,嘉峪关,109.42,1.11,26.77,50.46,168.23,42.65,43.44
2017-01-31,嘉峪关,86.19,0.66,21.94,51.52,121.81,32.27,14.12
2017-02-01,嘉峪关,81.69,0.88,24.15,57.04,112.98,31.21,32.44
2017-02-02,嘉峪关,77.46,1.02,29.06,52.33,103.75,29.83,35.88
2017-02-03,嘉峪关,65.31,0.6,20.02,78.08,80.15,21.46,14.67
2017-02-04,嘉峪关,70.07,0.68,32.3,61.0,89.8,26.77,19.11
2017-02-05,嘉峪关,94.6,1.13,34.27,60.04,138.62,29.31,49.56
2017-02-06,嘉峪关,64.75,0.53,16.94,78.46,84.04,18.85,19.21
2017-02-07,嘉峪关,53.3,0.72,23.09,78.11,59.07,14.24,20.72
2017-02-08,嘉峪关,47.29,0.56,20.96,72.71,49.42,16.17,10.02
2017-02-09,嘉峪关,47.96,0.54,22.56,67.33,50.62,15.5,11.77
2017-02-10,嘉峪关,54.73,0.57,22.65,68.29,62.5,18.81,13.85
2017-02-11,嘉峪关,59.94,0.55,28.9,64.21,69.85,26.29,15.17
2017-02-12,嘉峪关,67.96,1.1,39.4,53.31,89.1,27.08,51.56
2017-02-13,嘉峪关,86.1,0.67,25.08,69.94,121.73,27.48,18.71
2017-02-14,嘉峪关,228.06,0.75,35.0,52.96,303.54,35.25,24.02
2017-02-15,嘉峪关,160.76,1.2,33.46,60.78,250.98,41.26,57.85
2017-02-16,嘉峪关,120.52,1.0,30.58,67.83,190.6,40.83,42.48
2017-02-17,嘉峪关,70.57,0.54,28.0,77.85,90.57,24.09,7.74
2017-02-18,嘉峪关,68.0,0.49,19.12,92.58,86.21,19.71,10.4
2017-02-19,嘉峪关,149.9,0.67,24.9,82.4,336.46,60.17,16.52
2017-02-20,嘉峪关,355.48,0.81,18.05,73.61,615.32,124.23,32.23
2017-02-21,嘉峪关,114.92,0.47,11.15,88.96,176.65,47.94,13.25
2017-02-22,嘉峪关,46.98,0.57,22.96,78.98,48.62,15.96,13.27
2017-02-23,嘉峪关,51.35,0.74,26.96,77.94,57.29,22.15,23.42
2017-02-24,嘉峪关,52.5,0.46,17.1,86.31,55.83,16.88,10.83
2017-02-25,嘉峪关,62.79,0.6,23.31,74.1,75.4,18.5,19.5
2017-02-26,嘉峪关,54.76,0.63,30.93,70.07,62.14,16.05,20.57
2017-02-27,嘉峪关,56.21,0.68,26.77,72.15,64.02,16.08,26.43
2017-02-28,嘉峪关,86.25,0.5,20.48,76.88,121.77,18.9,16.61
2017-03-01,嘉峪关,64.15,0.6,29.88,72.71,78.12,17.29,11.58
2017-03-02,嘉峪关,59.3,0.46,16.02,94.61,68.52,13.61,13.26
2017-03-03,嘉峪关,50.15,0.61,18.15,94.29,52.38,11.6,23.75
