time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,天水,152.02,2.1,57.17,17.4,174.2,115.93,53.29
2017-01-02,天水,144.35,1.53,42.29,21.0,156.45,110.07,46.82
2017-01-03,天水,167.29,1.64,51.26,23.79,220.98,131.18,55.53
2017-01-04,天水,144.29,1.44,53.01,28.4,189.8,110.99,62.83
2017-01-05,天水,131.12,1.16,40.29,29.03,144.61,99.58,40.54
2017-01-06,天水,113.0,1.93,49.99,38.44,115.21,85.81,34.85
2017-01-07,天水,84.87,1.06,40.86,42.49,92.16,61.74,36.93
2017-01-08,天水,91.26,0.75,40.46,48.36,104.32,67.14,37.72
2017-01-09,天水,60.17,0.37,37.12,61.83,69.66,40.61,34.24
2017-01-10,天水,59.03,0.69,27.47,59.57,60.85,40.51,36.57
2017-01-11,天水,61.82,0.97,30.52,51.6,67.36,42.57,34.18
2017-01-12,天水,80.36,1.22,40.76,45.06,96.24,57.53,38.22
2017-01-13,天水,93.0,1.36,46.79,46.1,121.56,68.4,56.67
2017-01-14,天水,69.97,1.34,40.88,51.46,84.19,49.53,50.4
2017-01-15,天水,87.21,1.07,40.44,53.86,101.28,64.19,41.86
2017-01-16,天水,97.33,1.24,39.44,47.19,114.39,72.22,38.79
2017-01-17,天水,72.25,1.04,38.25,55.74,85.94,50.26,39.75
2017-01-18,天水,73.81,1.03,36.99,62.18,81.79,52.96,38.67
2017-01-19,天水,102.36,0.82,23.54,72.18,145.44,49.64,25.12
2017-01-20,天水,81.84,0.93,33.42,51.25,110.49,51.19,38.99
2017-01-21,天水,107.74,1.41,44.62,43.67,138.19,79.33,51.97
2017-01-22,天水,99.4,1.46,45.08,46.97,119.97,73.06,52.56
2017-01-23,天水,106.29,1.56,42.36,52.75,125.18,78.96,49.82
2017-01-24,天水,117.32,1.62,43.53,49.9,127.1,88.1,43.14
2017-01-25,天水,126.92,1.44,36.54,64.17,135.37,95.4,44.62
2017-01-26,天水,206.79,1.14,26.58,51.15,296.22,92.38,24.65
2017-01-27,天水,128.22,0.94,17.13,67.78,200.36,54.22,29.9
2017-01-28,天水,115.65,1.09,27.23,51.84,170.67,82.35,56.3
2017-01-29,天水,75.33,0.77,17.58,70.14,97.09,39.48,31.48
