time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,定西,118.65,2.02,46.44,16.88,134.67,91.21,75.62
2017-01-02,定西,127.55,2.04,43.92,24.27,137.95,96.55,83.9
2017-01-03,定西,116.73,2.01,43.81,20.19,132.4,87.88,73.06
2017-01-04,定西,106.38,1.6,39.15,29.19,105.96,79.27,54.69
2017-01-05,定西,129.73,1.99,40.73,19.08,144.67,94.83,65.23
2017-01-06,定西,75.23,1.14,30.3,51.46,86.29,53.62,46.06
2017-01-07,定西,92.65,1.53,36.39,33.02,107.83,67.91,52.22
2017-01-08,定西,93.75,1.65,31.58,34.81,104.38,68.0,57.48
2017-01-09,定西,42.48,0.76,13.63,61.33,43.15,24.89,24.3
2017-01-10,定西,50.69,0.85,23.77,53.17,55.69,28.17,35.54
2017-01-11,定西,82.71,1.37,43.25,29.81,84.45,60.35,55.69
2017-01-12,定西,113.71,2.01,49.85,21.79,129.29,84.42,68.96
2017-01-13,定西,109.44,1.94,47.29,23.56,126.94,81.25,78.04
2017-01-14,定西,102.77,1.92,45.25,26.4,118.04,75.31,62.17
2017-01-15,定西,104.38,1.63,41.38,41.38,120.54,77.52,55.08
2017-01-16,定西,62.08,0.82,25.29,63.4,73.67,34.75,31.23
2017-01-17,定西,74.21,1.31,43.73,36.52,91.44,46.42,69.79
2017-01-18,定西,92.33,1.34,31.08,41.69,99.92,68.33,37.27
2017-01-19,定西,136.52,1.06,27.02,57.69,215.6,55.6,34.27
2017-01-20,定西,104.75,1.51,42.5,27.75,157.9,64.85,81.25
2017-01-21,定西,87.4,1.51,40.85,30.54,118.29,54.88,57.12
2017-01-22,定西,98.27,1.87,42.92,28.44,132.44,68.77,72.6
2017-01-23,定西,106.3,2.01,44.37,25.11,132.67,77.85,76.02
2017-01-24,定西,127.94,2.06,43.1,31.06,146.02,95.4,64.35
2017-01-25,定西,126.78,1.82,33.26,35.35,131.93,95.76,59.04
2017-01-26,定西,415.47,0.96,23.97,46.21,1356.91,237.29,51.24
2017-01-27,定西,135.23,1.48,25.04,40.04,217.33,81.87,64.34
2017-01-28,定西,118.81,1.24,31.88,46.98,157.31,81.38,62.12
2017-01-29,定西,66.5,0.99,17.59,57.63,80.53,37.87,36.37
2017-01-30,定西,82.69,1.3,22.31,39.96,94.83,59.06,63.12
2017-01-31,定西,75.92,1.23,24.81,37.44,84.17,54.65,56.67
2017-02-01,定西,83.42,1.47,21.19,33.0,78.83,61.42,38.5
2017-02-02,定西,73.29,1.25,14.25,45.88,69.51,53.02,26.81
2017-02-03,定西,99.1,1.35,23.4,37.79,84.54,73.77,29.92
2017-02-04,定西,118.59,1.5,33.11,37.11,109.18,89.13,50.89
2017-02-05,定西,93.83,1.26,28.79,32.65,84.53,65.83,56.75
2017-02-06,定西,56.96,0.86,25.1,34.94,54.09,33.94,35.9
2017-02-07,定西,52.39,0.38,19.96,60.13,56.65,23.74,40.11
