time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,平凉,90.68,1.85,62.46,19.61,116.92,65.65,38.0
2017-01-02,平凉,94.92,1.65,62.28,25.97,120.97,61.95,42.69
2017-01-03,平凉,85.81,1.46,59.08,29.81,102.87,50.71,31.21
2017-01-04,平凉,117.44,1.68,61.04,25.92,136.09,85.5,29.58
2017-01-05,平凉,181.69,2.05,50.25,41.42,211.43,143.1,28.98
2017-01-06,平凉,95.69,1.09,20.85,65.08,114.49,63.75,23.29
2017-01-07,平凉,71.17,0.77,31.11,59.57,78.16,42.72,33.46
2017-01-08,平凉,56.65,0.66,36.73,46.33,62.09,27.0,17.08
2017-01-09,平凉,53.46,0.5,18.22,60.93,56.37,27.74,28.26
2017-01-10,平凉,46.8,0.56,12.11,63.17,48.25,25.35,17.93
2017-01-11,平凉,51.5,0.94,38.23,42.88,54.83,24.08,15.29
2017-01-12,平凉,64.11,1.43,52.46,34.8,70.95,33.7,23.67
2017-01-13,平凉,63.85,1.29,50.85,37.48,74.27,36.73,29.96
2017-01-14,平凉,90.75,1.67,62.42,33.81,110.53,63.38,37.96
2017-01-15,平凉,164.42,2.05,74.85,17.08,190.81,123.5,41.5
2017-01-16,平凉,72.4,1.19,44.67,51.38,80.26,38.94,31.42
2017-01-17,平凉,52.96,1.13,46.73,40.96,59.17,24.46,25.38
2017-01-18,平凉,100.52,1.55,58.23,33.08,121.64,67.02,36.88
2017-01-19,平凉,88.02,0.48,16.28,71.0,123.8,34.04,17.78
2017-01-20,平凉,79.58,1.21,46.65,27.35,101.31,43.15,34.44
2017-01-21,平凉,78.15,1.32,47.11,31.65,95.72,43.07,38.0
2017-01-22,平凉,72.54,1.29,46.1,37.75,86.78,40.73,36.02
2017-01-23,平凉,92.98,1.61,54.38,40.9,115.79,62.04,45.02
2017-01-24,平凉,138.69,1.95,62.46,47.31,165.75,103.75,53.46
2017-01-25,平凉,191.71,2.2,55.52,54.92,212.96,146.69,36.71
2017-01-26,平凉,333.94,0.5,17.5,64.09,849.72,133.09,16.09
2017-01-27,平凉,109.48,0.91,20.29,55.31,168.08,46.85,19.69
