time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,庆阳,130.02,1.64,47.31,65.08,125.63,97.76,108.08
2017-01-02,庆阳,121.58,1.59,48.25,63.25,127.22,91.45,128.23
2017-01-03,庆阳,121.31,1.61,42.29,86.04,121.44,91.61,92.68
2017-01-04,庆阳,119.68,1.27,37.92,96.13,109.51,90.25,69.24
2017-01-05,庆阳,217.54,2.0,42.57,81.89,202.68,171.88,87.53
2017-01-06,庆阳,85.28,1.82,28.89,49.21,73.0,62.92,42.26
2017-01-07,庆阳,59.89,1.16,30.12,63.8,62.78,37.21,85.8
2017-01-08,庆阳,60.24,1.2,30.78,70.07,60.9,39.06,106.43
2017-01-09,庆阳,43.27,0.88,21.41,64.45,41.67,23.65,60.88
2017-01-10,庆阳,44.33,0.86,20.33,69.43,44.24,23.61,68.11
2017-01-11,庆阳,52.78,0.85,19.82,69.69,57.89,25.24,48.03
2017-01-12,庆阳,68.41,0.9,24.39,72.46,84.39,33.04,70.28
2017-01-13,庆阳,69.74,1.16,30.64,74.09,73.84,45.55,95.39
2017-01-14,庆阳,79.4,0.95,31.99,71.44,88.42,57.42,64.83
2017-01-15,庆阳,170.01,1.6,41.48,50.72,161.33,129.64,91.26
2017-01-16,庆阳,92.83,1.17,33.42,66.09,98.94,60.58,92.96
2017-01-17,庆阳,54.55,1.02,27.7,78.26,58.29,31.39,69.47
2017-01-18,庆阳,107.35,1.33,36.08,78.47,112.55,80.39,72.23
2017-01-19,庆阳,78.11,0.61,15.62,86.1,104.4,22.6,54.35
2017-01-20,庆阳,71.83,0.86,24.94,68.12,87.62,41.76,73.62
2017-01-21,庆阳,78.92,0.92,25.6,76.39,102.4,42.38,68.81
2017-01-22,庆阳,68.7,0.91,26.68,82.72,83.26,42.23,76.7
2017-01-23,庆阳,85.74,1.15,32.76,90.59,95.35,62.68,67.64
2017-01-24,庆阳,149.14,1.62,40.83,97.48,146.06,113.64,82.07
2017-01-25,庆阳,193.12,1.62,34.76,95.86,174.39,150.89,72.24
2017-01-26,庆阳,351.51,0.65,18.1,76.2,601.75,93.71,57.75
2017-01-27,庆阳,128.41,0.64,14.54,83.03,202.26,60.07,53.58
2017-01-28,庆阳,152.08,0.86,19.32,74.63,230.88,91.03,67.8
2017-01-29,庆阳,76.71,0.36,9.91,79.86,101.62,29.29,47.91
2017-01-30,庆阳,61.6,0.44,13.5,65.79,72.51,27.76,46.65
2017-01-31,庆阳,80.96,0.81,22.77,55.9,109.75,50.19,85.52
2017-02-01,庆阳,95.4,1.03,23.4,72.82,126.32,64.07,81.01
