time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,张掖,70.46,0.85,26.27,38.7,67.83,49.44,29.19
2017-01-02,张掖,63.38,1.0,26.7,43.23,65.79,40.77,28.23
2017-01-03,张掖,54.78,1.03,26.07,41.72,59.93,32.85,29.02
2017-01-04,张掖,78.45,1.12,36.36,39.97,86.69,53.7,40.79
2017-01-05,张掖,66.56,0.85,25.88,46.69,67.83,43.44,17.17
2017-01-06,张掖,74.29,0.97,25.85,45.06,77.38,51.9,24.46
2017-01-07,张掖,62.5,0.94,25.26,49.52,62.28,41.8,25.7
2017-01-08,张掖,74.12,1.15,25.98,43.33,71.45,53.12,25.19
2017-01-09,张掖,48.2,0.97,22.46,51.17,47.39,31.72,22.09
2017-01-10,张掖,63.96,1.0,24.15,55.81,57.98,44.81,15.12
2017-01-11,张掖,81.55,0.95,34.79,37.76,82.49,58.5,21.38
2017-01-12,张掖,57.61,0.71,26.95,46.48,57.86,35.84,21.2
2017-01-13,张掖,67.5,1.03,35.0,42.52,68.74,46.52,28.85
2017-01-14,张掖,68.17,1.12,34.81,47.52,74.83,47.67,29.71
2017-01-15,张掖,72.92,1.09,33.58,52.48,79.56,50.83,17.35
2017-01-16,张掖,90.12,1.45,41.85,42.1,87.65,65.25,25.02
2017-01-17,张掖,58.46,0.97,31.15,46.96,57.85,38.67,29.98
2017-01-18,张掖,87.5,1.35,30.21,46.98,98.71,55.4,30.35
2017-01-19,张掖,70.54,1.03,33.1,49.62,90.73,37.46,28.19
2017-01-20,张掖,86.4,1.38,35.56,43.58,99.4,60.56,26.67
2017-01-21,张掖,76.17,1.56,30.85,44.83,78.53,53.29,37.21
2017-01-22,张掖,54.23,0.86,25.25,54.44,50.92,32.48,29.23
2017-01-23,张掖,51.77,0.81,20.75,51.73,54.3,26.38,22.5
2017-01-24,张掖,54.75,0.7,21.0,55.71,62.89,25.71,25.75
2017-01-25,张掖,369.96,0.64,14.15,66.46,642.69,131.48,12.38
2017-01-26,张掖,297.21,1.38,29.65,39.24,439.91,120.09,32.21
2017-01-27,张掖,90.04,0.99,18.38,64.33,126.56,46.17,25.38
2017-01-28,张掖,148.46,1.16,17.88,64.15,213.52,91.0,35.04
2017-01-29,张掖,104.5,0.7,22.63,68.93,158.83,30.76,8.98
2017-01-30,张掖,96.75,0.82,13.94,62.52,145.66,35.9,18.19
2017-01-31,张掖,79.44,1.42,19.04,52.0,104.46,48.06,27.71
2017-02-01,张掖,66.77,1.1,16.54,67.81,80.65,37.42,26.81
2017-02-02,张掖,74.02,1.39,22.88,58.9,88.9,50.98,29.21
2017-02-03,张掖,66.75,1.09,22.62,61.71,73.76,39.58,26.27
2017-02-04,张掖,70.35,1.05,21.63,57.65,88.39,34.96,25.35
2017-02-05,张掖,111.62,0.68,17.58,71.35,172.19,45.06,13.46
2017-02-06,张掖,56.46,0.7,16.58,72.31,63.62,29.58,7.6
2017-02-07,张掖,46.41,0.79,16.85,78.46,47.48,23.35,10.24
2017-02-08,张掖,44.04,0.85,21.29,67.4,40.56,23.35,17.77
2017-02-09,张掖,56.71,1.15,23.27,52.48,56.21,36.33,20.1
2017-02-10,张掖,59.42,1.16,26.52,54.19,59.45,40.06,22.79
2017-02-11,张掖,52.89,0.8,20.73,65.95,50.78,28.52,17.48
2017-02-12,张掖,55.6,0.83,20.77,62.5,59.27,30.94,21.19
2017-02-13,张掖,87.94,1.4,33.08,56.5,110.69,54.5,28.12
2017-02-14,张掖,217.54,0.99,24.02,57.42,317.96,80.85,24.4
2017-02-15,张掖,237.38,0.76,19.65,78.54,357.44,74.9,18.12
2017-02-16,张掖,150.44,1.13,33.46,56.15,237.65,78.46,23.83
2017-02-17,张掖,96.69,1.23,38.92,59.85,126.77,62.48,31.88
2017-02-18,张掖,59.07,0.8,34.24,68.5,62.3,31.52,31.98
2017-02-19,张掖,151.13,0.88,32.84,70.84,201.42,71.47,20.33
2017-02-20,张掖,318.79,0.45,13.88,89.21,489.08,125.04,14.52
2017-02-21,张掖,93.42,0.74,17.46,83.52,134.9,43.27,14.04
2017-02-22,张掖,48.65,0.63,20.54,83.58,53.29,24.44,12.15
2017-02-23,张掖,58.56,0.95,23.5,65.23,61.81,35.4,21.35
2017-02-24,张掖,66.06,1.05,22.48,68.0,72.71,40.4,22.69
2017-02-25,张掖,67.07,1.34,29.45,65.02,82.43,37.57,20.88
2017-02-26,张掖,72.48,2.95,26.06,66.19,70.44,38.29,18.67
2017-02-27,张掖,81.04,1.08,28.33,59.82,92.37,50.72,27.59
2017-02-28,张掖,101.1,1.28,25.85,69.4,138.48,43.94,11.65
2017-03-01,张掖,67.19,0.47,20.33,81.79,82.62,28.15,14.5
2017-03-02,张掖,87.59,0.87,29.04,69.5,121.02,47.57,21.2
2017-03-03,张掖,76.08,0.69,26.5,75.21,90.62,43.31,23.92
2017-03-04,张掖,68.12,0.7,23.83,75.77,74.33,42.83,19.19
2017-03-05,张掖,41.27,0.57,20.04,92.83,40.04,17.54,13.85
2017-03-06,张掖,40.27,0.42,16.73,94.48,39.79,13.6,14.12
2017-03-07,张掖,47.27,0.58,22.7,74.33,44.36,24.85,18.52
2017-03-08,张掖,50.36,0.59,21.45,76.95,52.83,24.59,13.95
2017-03-09,张掖,55.98,0.64,24.29,74.08,61.62,28.79,19.0
2017-03-10,张掖,55.21,0.71,27.33,82.0,59.66,31.81,21.35
2017-03-11,张掖,48.19,0.47,16.31,101.35,49.42,22.25,14.1
2017-03-12,张掖,113.35,0.39,14.35,96.08,160.25,29.65,19.5
