time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,武威,69.84,1.58,39.87,27.16,84.63,42.66,38.74
2017-01-02,武威,77.0,1.88,43.15,28.05,84.79,50.05,53.75
2017-01-03,武威,98.73,2.43,49.0,23.12,118.42,65.71,46.65
2017-01-04,武威,106.44,1.9,45.31,24.58,123.17,76.81,52.38
2017-01-05,武威,94.51,1.47,38.02,30.32,114.5,64.15,36.43
2017-01-06,武威,73.42,1.15,35.88,34.5,79.0,48.96,29.35
2017-01-07,武威,82.93,1.39,40.28,28.67,84.36,55.54,33.74
2017-01-08,武威,74.42,1.37,36.98,32.46,76.67,50.1,30.19
2017-01-09,武威,82.17,1.42,36.65,27.02,90.73,55.52,35.48
2017-01-10,武威,57.5,0.8,24.79,41.46,59.34,35.21,22.54
2017-01-11,武威,74.96,1.31,42.4,27.52,84.93,50.08,42.67
2017-01-12,武威,78.42,1.71,47.46,31.23,93.3,48.81,49.4
2017-01-13,武威,87.22,1.94,44.04,28.78,96.64,53.74,35.65
2017-01-14,武威,76.23,1.63,42.98,29.58,81.74,49.79,40.33
2017-01-15,武威,85.69,1.2,32.96,39.62,89.89,48.69,36.15
2017-01-16,武威,72.77,1.17,35.52,42.42,89.66,39.92,32.02
2017-01-17,武威,113.31,1.55,42.44,31.62,162.38,67.5,27.67
2017-01-18,武威,174.23,1.75,41.38,31.33,252.57,66.71,27.6
2017-01-19,武威,78.35,0.64,23.88,45.4,95.69,39.27,28.73
2017-01-20,武威,100.15,1.37,45.4,22.44,123.15,68.75,51.83
2017-01-21,武威,96.67,1.84,47.94,25.12,106.76,63.88,50.69
2017-01-22,武威,96.06,2.19,56.31,26.21,113.13,63.19,54.08
2017-01-23,武威,118.46,2.52,57.8,21.85,128.07,81.41,49.5
2017-01-24,武威,96.67,2.01,46.42,30.88,115.11,66.79,52.19
2017-01-25,武威,284.88,1.85,38.85,23.42,2713.5,529.48,35.23
2017-01-26,武威,317.56,0.81,21.62,33.97,1359.34,290.82,22.38
2017-01-27,武威,124.83,0.99,21.79,42.21,165.67,77.73,29.73
