time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,甘南州,77.47,0.94,29.41,30.41,90.35,55.76,24.59
2017-01-02,甘南州,62.1,0.84,20.85,46.05,68.05,43.7,25.3
2017-01-03,甘南州,88.04,1.2,30.71,36.33,101.38,63.5,23.96
2017-01-04,甘南州,80.83,1.33,29.58,36.25,101.32,57.71,23.29
2017-01-05,甘南州,85.0,1.14,33.75,33.38,100.83,59.54,30.96
2017-01-06,甘南州,87.75,1.04,25.29,48.58,102.58,63.33,18.12
2017-01-07,甘南州,99.09,0.79,18.83,76.35,112.83,72.74,15.83
2017-01-08,甘南州,98.42,0.95,23.92,51.88,111.33,71.58,20.71
2017-01-09,甘南州,113.26,0.67,15.35,73.39,111.14,85.3,12.04
2017-01-10,甘南州,87.79,0.57,12.58,71.5,90.04,64.79,14.75
2017-01-11,甘南州,83.96,0.77,17.17,69.67,90.71,61.92,19.67
2017-01-12,甘南州,91.04,0.89,28.25,48.54,100.12,65.0,32.25
2017-01-13,甘南州,66.83,0.96,22.08,55.54,78.54,44.21,25.04
2017-01-14,甘南州,81.0,1.11,29.25,43.92,93.96,59.04,38.08
2017-01-15,甘南州,115.75,1.16,33.67,45.96,135.0,80.88,38.75
2017-01-16,甘南州,92.62,1.03,30.08,35.42,122.04,66.83,34.79
2017-01-17,甘南州,99.25,0.86,17.79,60.67,114.79,72.96,23.0
2017-01-18,甘南州,93.67,0.94,22.46,64.75,116.04,65.62,37.88
2017-01-19,甘南州,101.88,0.91,24.54,64.0,133.62,68.71,24.67
2017-01-20,甘南州,91.42,0.78,20.17,61.88,122.46,60.54,30.83
2017-01-21,甘南州,88.83,0.9,23.04,55.21,125.21,50.0,27.08
2017-01-22,甘南州,77.79,1.02,22.04,42.17,106.92,45.71,40.25
2017-01-23,甘南州,68.42,0.85,17.29,53.29,83.79,43.71,21.62
2017-01-24,甘南州,61.08,0.75,16.71,60.88,62.64,39.67,18.96
2017-01-25,甘南州,71.58,0.98,22.38,94.08,83.62,44.58,36.12
2017-01-26,甘南州,112.24,0.85,20.94,98.88,157.12,60.88,25.18
2017-01-27,甘南州,123.83,1.07,22.1,84.71,185.75,68.12,46.58
2017-01-28,甘南州,257.08,1.1,21.17,64.79,399.12,233.71,40.17
2017-01-29,甘南州,94.13,0.79,11.74,79.3,136.39,59.04,23.26
2017-01-30,甘南州,89.04,0.94,14.54,63.88,118.5,57.17,23.12
2017-01-31,甘南州,88.62,0.81,12.71,97.0,123.92,61.42,16.21
2017-02-01,甘南州,83.42,0.78,15.21,70.42,102.17,57.21,26.42
2017-02-02,甘南州,78.92,0.95,13.42,100.21,91.67,55.5,15.88
2017-02-03,甘南州,73.67,1.11,13.83,72.96,89.25,41.5,20.42
2017-02-04,甘南州,76.87,1.18,16.7,70.61,99.17,44.87,20.39
2017-02-05,甘南州,84.33,1.38,24.42,47.33,114.54,50.0,45.0
2017-02-06,甘南州,126.25,1.54,23.04,59.62,175.29,86.08,32.21
2017-02-07,甘南州,87.3,0.86,9.09,83.57,88.5,64.57,7.35
2017-02-08,甘南州,87.88,0.88,11.17,80.92,109.21,62.62,15.42
2017-02-09,甘南州,86.96,1.08,14.75,67.46,113.04,62.12,22.67
2017-02-10,甘南州,98.62,0.92,10.17,98.17,107.54,73.62,8.67
2017-02-11,甘南州,112.0,1.04,17.83,80.88,118.25,84.25,33.21
2017-02-12,甘南州,74.42,1.35,17.5,64.83,87.04,48.5,22.75
2017-02-13,甘南州,78.46,1.11,23.38,68.04,96.67,55.46,34.88
2017-02-14,甘南州,82.62,1.1,22.79,72.08,98.96,58.62,28.25
2017-02-15,甘南州,77.08,1.2,23.75,62.46,90.83,48.88,23.12
2017-02-16,甘南州,92.92,1.27,22.75,73.21,128.96,57.79,33.12
2017-02-17,甘南州,100.83,0.99,21.83,73.88,149.25,55.21,22.54
2017-02-18,甘南州,92.0,1.34,27.71,59.54,131.46,59.58,33.25
2017-02-19,甘南州,79.96,1.32,23.92,70.12,101.26,52.54,21.92
2017-02-20,甘南州,92.33,1.27,21.58,92.92,130.83,63.75,22.38
2017-02-21,甘南州,101.0,0.87,12.12,109.67,124.83,69.83,5.88
2017-02-22,甘南州,74.17,0.68,5.71,125.54,95.29,45.29,6.92
2017-02-23,甘南州,82.21,1.01,15.08,113.46,107.12,56.67,27.58
2017-02-24,甘南州,86.96,0.91,15.08,111.46,118.96,60.33,15.08
2017-02-25,甘南州,80.08,0.99,13.0,116.17,101.92,54.62,13.79
2017-02-26,甘南州,73.21,0.98,16.21,109.79,86.46,47.46,16.92
2017-02-27,甘南州,64.0,1.03,19.33,95.33,72.42,42.21,13.08
2017-02-28,甘南州,86.67,0.84,20.79,112.5,89.0,61.33,40.75
2017-03-01,甘南州,65.46,0.72,10.88,104.17,76.58,32.78,10.54
2017-03-02,甘南州,67.96,1.52,19.65,90.0,87.82,26.83,19.26
2017-03-03,甘南州,76.71,1.46,23.5,94.96,102.88,35.08,12.33
2017-03-04,甘南州,76.46,1.2,14.08,141.33,99.5,47.67,15.33
2017-03-05,甘南州,51.46,0.98,7.0,146.71,47.79,28.88,8.83
2017-03-06,甘南州,53.67,1.07,11.25,132.58,57.62,27.29,17.83
2017-03-07,甘南州,63.0,0.67,17.29,110.08,71.96,41.21,9.21
2017-03-08,甘南州,54.09,0.8,20.45,85.41,59.41,32.32,18.5
2017-03-09,甘南州,70.0,0.97,27.79,68.67,85.08,41.58,18.22
2017-03-10,甘南州,66.17,1.55,22.7,91.61,71.14,47.55,12.35
2017-03-11,甘南州,50.96,0.54,21.17,98.04,47.22,35.12,5.67
2017-03-12,甘南州,58.79,0.77,18.88,120.88,52.46,41.58,10.5
2017-03-13,甘南州,58.5,0.89,21.42,114.92,54.04,41.33,18.29
2017-03-14,甘南州,56.67,0.81,19.75,133.5,56.43,34.29,14.5
2017-03-15,甘南州,63.7,0.96,20.48,120.39,76.22,20.43,15.17
2017-03-16,甘南州,63.14,1.01,22.23,94.09,75.27,30.27,25.64
2017-03-17,甘南州,79.04,0.56,18.35,110.78,94.78,52.52,12.13
2017-03-18,甘南州,48.5,0.65,15.33,105.21,48.33,25.83,7.88
2017-03-19,甘南州,47.67,0.85,17.38,102.54,48.96,27.04,17.33
2017-03-20,甘南州,67.92,0.95,22.88,80.38,86.42,33.21,12.83
2017-03-21,甘南州,54.33,0.71,15.67,110.04,59.08,34.75,10.46
2017-03-22,甘南州,73.79,1.11,24.12,64.83,97.33,33.29,23.08
2017-03-23,甘南州,97.96,1.23,32.33,54.42,142.75,46.83,16.33
2017-03-24,甘南州,68.71,0.55,14.96,85.75,86.92,31.5,6.58
