time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,白银,56.58,0.87,38.69,40.03,60.19,33.58,34.86
2017-01-02,白银,85.35,1.32,54.75,38.77,94.05,61.08,59.4
2017-01-03,白银,94.29,1.5,52.1,47.02,104.79,67.57,102.36
2017-01-04,白银,115.67,1.71,57.23,44.21,116.41,87.21,92.15
2017-01-05,白银,112.04,1.6,49.02,55.04,122.04,80.71,81.0
2017-01-06,白银,48.94,0.72,18.62,92.67,50.67,26.31,30.56
2017-01-07,白银,48.67,0.84,27.52,66.88,50.17,27.38,67.0
2017-01-08,白银,37.27,0.72,18.85,75.88,33.13,19.79,40.92
2017-01-09,白银,33.52,0.71,16.74,75.72,31.87,16.65,22.59
2017-01-10,白银,31.56,0.74,11.33,80.77,27.54,14.6,19.46
2017-01-11,白银,54.52,1.05,28.15,56.88,58.13,33.08,24.94
2017-01-12,白银,115.07,1.44,44.5,39.98,96.24,84.37,40.89
2017-01-13,白银,151.14,2.14,60.95,56.95,162.29,115.36,155.66
2017-01-14,白银,90.81,1.54,40.19,75.57,108.26,63.48,199.4
2017-01-15,白银,60.79,1.06,30.38,66.62,69.94,29.73,44.42
2017-01-16,白银,64.35,1.14,30.13,68.43,74.59,32.78,80.3
2017-01-17,白银,63.23,1.11,35.32,55.45,62.12,37.84,88.55
2017-01-18,白银,114.58,0.89,25.16,68.16,147.11,47.96,187.02
2017-01-19,白银,138.98,0.37,19.62,73.15,207.83,45.98,39.56
2017-01-20,白银,106.75,0.87,38.56,47.29,156.85,61.08,118.83
2017-01-21,白银,75.85,0.74,33.44,63.04,97.83,43.25,76.56
2017-01-22,白银,57.19,0.6,33.35,59.0,64.48,29.08,43.19
2017-01-23,白银,100.52,1.23,54.1,52.83,129.48,70.25,137.46
2017-01-24,白银,104.29,1.36,56.23,45.52,120.52,75.6,125.42
2017-01-25,白银,211.6,1.42,42.54,56.69,720.25,176.33,196.04
2017-01-26,白银,364.88,0.64,20.26,54.21,1589.59,313.94,53.06
2017-01-27,白银,141.8,0.77,25.33,53.46,231.17,73.96,86.5
2017-01-28,白银,112.92,0.53,10.81,77.73,174.81,43.4,26.08
2017-01-29,白银,76.39,0.6,12.89,71.2,98.59,27.61,55.8
2017-01-30,白银,83.44,0.99,19.5,53.08,115.6,37.19,151.06
2017-01-31,白银,75.92,0.95,23.29,52.42,101.15,38.42,75.19
2017-02-01,白银,76.88,1.15,26.65,53.27,95.35,47.08,111.06
2017-02-02,白银,86.3,1.31,26.11,47.83,107.48,58.83,105.43
