time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,酒泉,69.42,0.88,50.53,38.92,90.97,42.78,23.68
2017-01-02,酒泉,66.9,0.76,46.33,48.75,84.03,33.67,21.3
2017-01-03,酒泉,66.15,0.85,44.62,39.9,80.52,37.92,30.04
2017-01-04,酒泉,81.19,1.02,57.35,32.4,109.64,51.45,24.21
2017-01-05,酒泉,71.42,0.74,44.29,45.42,88.19,43.4,18.06
2017-01-06,酒泉,77.08,0.85,48.46,43.25,90.79,54.15,16.08
2017-01-07,酒泉,70.98,0.76,39.63,43.98,90.52,43.28,20.39
2017-01-08,酒泉,78.8,0.52,28.91,57.61,294.56,36.18,12.61
2017-01-09,酒泉,55.35,0.52,29.22,52.96,57.23,35.15,22.57
2017-01-10,酒泉,50.6,0.59,25.9,64.4,52.08,30.19,20.52
2017-01-11,酒泉,66.2,0.71,35.27,51.7,80.43,39.86,18.11
2017-01-12,酒泉,52.87,0.55,36.39,53.78,62.11,30.02,18.2
2017-01-13,酒泉,64.0,0.68,34.38,50.04,77.96,35.42,31.46
2017-01-14,酒泉,99.96,1.11,55.98,36.81,126.35,68.4,25.23
2017-01-15,酒泉,88.67,1.03,54.0,38.65,111.4,58.42,24.71
2017-01-16,酒泉,68.75,0.92,45.83,50.4,81.59,41.54,22.06
2017-01-17,酒泉,61.96,0.61,29.69,57.96,77.46,27.0,28.94
2017-01-18,酒泉,84.0,0.6,28.25,57.44,109.3,36.56,20.06
2017-01-19,酒泉,64.15,0.62,22.9,65.58,80.0,33.23,11.79
2017-01-20,酒泉,90.9,0.95,40.46,48.08,123.38,48.98,27.02
2017-01-21,酒泉,84.5,1.09,46.4,46.46,116.38,48.21,26.06
2017-01-22,酒泉,57.57,0.72,32.57,60.52,67.45,32.98,26.02
2017-01-23,酒泉,62.15,0.65,31.43,49.5,79.02,31.59,25.33
2017-01-24,酒泉,93.52,1.31,49.73,45.19,129.79,57.5,28.19
2017-01-25,酒泉,382.82,0.56,20.93,58.34,1219.4,144.16,12.59
2017-01-26,酒泉,125.32,0.67,20.38,65.29,198.5,36.85,13.03
