time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,金昌,71.11,1.43,27.96,45.98,83.44,44.91,31.64
2017-01-02,金昌,81.25,1.18,32.08,52.0,95.02,50.3,58.9
2017-01-03,金昌,69.51,1.25,27.53,48.29,87.12,35.86,31.64
2017-01-04,金昌,77.72,1.28,31.26,47.85,102.1,46.48,38.35
2017-01-05,金昌,69.08,1.18,18.64,54.56,85.83,35.7,15.45
2017-01-06,金昌,54.79,1.15,22.42,53.19,61.48,27.96,29.04
2017-01-07,金昌,64.29,1.09,26.88,48.67,74.79,38.42,39.0
2017-01-08,金昌,46.18,0.63,15.79,64.03,50.01,23.86,15.51
2017-01-09,金昌,42.87,0.63,11.46,61.7,44.39,20.07,8.35
2017-01-10,金昌,49.35,0.67,14.33,64.38,54.44,26.31,58.57
2017-01-11,金昌,66.06,0.9,18.96,62.06,81.14,31.75,54.51
2017-01-12,金昌,60.67,1.22,26.41,58.39,72.61,34.45,60.29
2017-01-13,金昌,54.65,0.98,21.62,53.1,61.79,26.96,24.52
2017-01-14,金昌,62.01,1.06,21.55,58.28,71.71,36.7,35.96
2017-01-15,金昌,53.65,0.76,11.97,69.42,60.83,21.38,23.04
2017-01-16,金昌,67.22,0.96,18.8,64.65,84.49,30.51,57.57
2017-01-17,金昌,77.67,1.0,22.47,52.01,103.99,36.38,41.58
2017-01-18,金昌,145.2,0.85,17.13,61.19,324.59,42.99,41.65
2017-01-19,金昌,67.4,0.48,12.54,71.11,86.08,24.97,42.21
2017-01-20,金昌,89.36,0.71,22.95,58.95,120.48,46.74,103.11
2017-01-21,金昌,72.44,0.87,24.08,55.55,94.05,38.09,98.82
2017-01-22,金昌,96.19,1.56,39.0,47.48,119.28,61.52,131.03
2017-01-23,金昌,96.22,1.66,39.94,40.42,116.55,65.92,85.71
2017-01-24,金昌,93.67,1.33,30.74,50.51,121.21,62.36,88.78
2017-01-25,金昌,275.23,0.95,16.21,56.74,1244.14,186.48,46.33
2017-01-26,金昌,154.61,0.48,12.0,71.35,227.92,46.43,42.82
2017-01-27,金昌,96.99,0.51,9.88,68.14,141.9,35.25,68.88
2017-01-28,金昌,135.67,0.53,13.35,62.29,201.0,57.76,133.46
2017-01-29,金昌,99.96,0.4,6.87,64.04,149.7,23.93,44.29
2017-01-30,金昌,62.1,0.55,7.52,55.28,78.88,19.65,29.58
2017-01-31,金昌,86.58,0.51,11.94,53.96,121.24,37.01,58.12
2017-02-01,金昌,78.1,0.68,14.16,60.72,104.29,37.25,72.64
2017-02-02,金昌,93.67,1.02,18.1,57.68,132.65,56.06,59.67
2017-02-03,金昌,88.31,0.87,21.57,64.65,122.11,46.07,79.19
2017-02-04,金昌,90.9,0.88,21.51,63.51,127.54,49.08,56.71
2017-02-05,金昌,88.97,0.74,14.32,69.62,127.85,41.02,37.39
2017-02-06,金昌,186.14,0.52,9.68,70.74,283.4,50.82,22.03
2017-02-07,金昌,60.86,0.58,11.36,73.17,73.51,19.27,33.99
2017-02-08,金昌,51.28,0.61,11.77,61.23,53.9,23.06,37.91
2017-02-09,金昌,45.43,0.6,11.19,57.53,47.12,21.67,21.46
2017-02-10,金昌,48.57,0.65,16.36,54.15,54.4,24.75,29.52
2017-02-11,金昌,87.76,0.88,25.61,55.7,111.69,51.83,53.42
2017-02-12,金昌,71.52,0.87,20.45,66.45,87.03,41.81,27.97
2017-02-13,金昌,67.74,0.95,20.33,62.23,79.87,36.99,20.32
2017-02-14,金昌,104.15,0.92,22.33,70.12,143.39,44.27,28.77
2017-02-15,金昌,194.58,0.6,13.16,75.58,272.16,42.46,28.71
2017-02-16,金昌,133.04,0.56,7.94,74.08,208.18,40.75,8.07
2017-02-17,金昌,75.42,0.61,15.49,80.14,100.17,28.18,23.74
2017-02-18,金昌,64.45,0.92,25.3,72.17,74.83,27.03,77.28
2017-02-19,金昌,172.31,0.72,16.6,73.89,291.07,68.1,69.08
2017-02-20,金昌,229.69,0.59,6.81,77.82,352.1,62.42,17.03
2017-02-21,金昌,144.28,0.6,7.4,83.86,218.11,46.26,15.61
2017-02-22,金昌,37.94,0.61,7.75,83.25,37.03,9.59,6.79
2017-02-23,金昌,37.64,0.64,13.02,72.59,38.02,14.59,15.83
2017-02-24,金昌,47.08,0.69,12.17,70.29,50.73,18.6,12.35
2017-02-25,金昌,60.17,0.69,11.39,83.43,73.13,24.11,39.46
2017-02-26,金昌,70.4,0.87,16.46,74.92,87.24,31.58,45.46
2017-02-27,金昌,58.08,0.97,16.32,76.62,67.89,25.01,13.29
2017-02-28,金昌,151.85,0.52,7.79,88.9,243.44,33.17,18.74
2017-03-01,金昌,55.0,0.45,10.41,89.3,62.54,19.03,34.65
2017-03-02,金昌,75.1,0.63,11.62,82.97,105.97,25.13,19.63
2017-03-03,金昌,67.75,0.86,17.0,86.29,83.83,28.32,19.58
