time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,陇南,92.53,1.81,55.84,13.33,107.92,68.55,39.5
2017-01-02,陇南,94.65,1.86,58.6,18.62,112.42,69.92,45.88
2017-01-03,陇南,77.83,1.69,43.1,21.77,85.6,56.48,38.96
2017-01-04,陇南,86.65,1.9,52.27,17.35,95.96,63.85,40.1
2017-01-05,陇南,92.48,1.96,51.04,19.48,104.9,67.23,47.48
2017-01-06,陇南,74.04,1.62,51.5,8.56,78.5,53.17,34.52
2017-01-07,陇南,68.93,1.93,40.46,44.37,71.0,49.65,33.76
2017-01-08,陇南,74.4,2.13,44.35,31.38,79.34,53.35,34.15
2017-01-09,陇南,68.5,1.12,24.65,64.13,68.26,48.17,27.59
2017-01-10,陇南,54.04,0.86,17.92,61.9,54.31,35.17,30.35
2017-01-11,陇南,44.02,0.78,19.5,62.1,41.89,28.73,30.27
2017-01-12,陇南,60.31,1.72,51.44,27.71,69.58,38.44,44.77
2017-01-13,陇南,58.02,1.19,44.46,33.42,64.68,36.59,45.46
2017-01-14,陇南,57.56,1.5,40.58,44.92,62.92,36.94,46.35
2017-01-15,陇南,59.12,1.42,34.15,45.33,60.74,41.23,32.5
2017-01-16,陇南,68.85,1.86,40.65,28.08,69.57,49.52,34.25
2017-01-17,陇南,63.79,1.24,31.52,47.35,61.35,44.77,56.58
2017-01-18,陇南,78.71,1.34,31.52,33.33,70.74,57.58,28.33
2017-01-19,陇南,82.48,1.43,41.73,29.15,84.94,60.0,34.5
2017-01-20,陇南,77.94,1.25,37.33,36.23,89.27,56.83,34.06
2017-01-21,陇南,95.57,2.28,55.02,26.0,125.33,68.17,44.37
2017-01-22,陇南,100.37,2.01,56.48,20.72,123.89,72.85,50.76
2017-01-23,陇南,86.25,1.2,43.12,29.98,99.23,63.08,45.81
2017-01-24,陇南,105.4,1.49,48.75,32.29,112.0,78.28,43.35
2017-01-25,陇南,107.02,1.2,34.79,43.25,106.79,80.27,38.27
2017-01-26,陇南,196.53,1.06,28.94,46.76,231.73,85.71,30.76
2017-01-27,陇南,291.44,0.8,23.76,42.42,397.91,90.62,37.71
2017-01-28,陇南,131.97,1.2,18.88,48.29,197.09,95.74,34.62
2017-01-29,陇南,81.67,0.78,14.59,60.43,112.04,33.28,27.3
2017-01-30,陇南,70.12,0.88,14.62,55.38,88.71,39.06,25.25
2017-01-31,陇南,69.19,1.08,19.04,42.38,84.67,47.42,22.65
2017-02-01,陇南,65.98,1.11,25.04,31.19,75.17,45.46,28.12
2017-02-02,陇南,36.79,1.07,15.52,46.1,34.15,23.75,30.67
2017-02-03,陇南,53.92,1.16,19.9,34.73,45.38,37.56,27.94
2017-02-04,陇南,57.91,1.29,24.48,33.59,53.67,40.0,27.02
2017-02-05,陇南,50.23,0.81,19.6,28.81,47.26,33.71,30.4
2017-02-06,陇南,51.44,0.87,22.94,39.0,47.53,35.92,30.15
2017-02-07,陇南,38.28,0.95,14.7,57.11,44.3,22.57,24.11
2017-02-08,陇南,49.19,0.65,18.1,63.92,50.69,26.42,26.5
2017-02-09,陇南,48.29,0.59,27.31,46.77,48.83,28.12,25.52
2017-02-10,陇南,51.46,0.64,31.65,39.08,51.5,33.12,26.42
2017-02-11,陇南,52.1,0.67,26.83,44.75,47.98,35.15,31.92
2017-02-12,陇南,55.35,0.7,25.29,49.0,51.6,38.1,31.94
2017-02-13,陇南,70.08,0.74,31.58,43.0,65.45,49.94,23.15
2017-02-14,陇南,71.37,1.13,39.65,31.04,70.72,50.65,29.46
2017-02-15,陇南,67.79,0.81,28.35,57.67,64.76,46.71,40.69
2017-02-16,陇南,81.0,0.9,34.46,50.04,80.34,58.33,26.18
2017-02-17,陇南,90.5,1.15,45.25,43.77,120.62,52.75,35.35
2017-02-18,陇南,87.8,0.97,40.76,52.35,107.27,58.54,32.5
2017-02-19,陇南,109.67,1.4,44.21,44.17,108.45,79.33,32.88
2017-02-20,陇南,107.69,1.33,50.75,21.96,108.66,80.54,32.23
2017-02-21,陇南,93.58,0.83,20.79,55.42,153.84,54.73,18.71
2017-02-22,陇南,75.33,0.57,15.2,75.98,96.38,40.54,18.28
2017-02-23,陇南,60.35,0.62,29.24,52.76,59.35,34.93,26.72
2017-02-24,陇南,45.17,0.83,38.46,35.75,45.42,27.06,26.92
2017-02-25,陇南,51.9,0.75,34.38,44.6,54.98,30.69,28.38
2017-02-26,陇南,61.77,0.67,26.25,57.75,63.38,39.31,23.25
2017-02-27,陇南,60.96,0.65,20.23,58.44,59.43,41.38,23.58
2017-02-28,陇南,64.48,0.69,28.35,61.19,66.94,44.44,20.23
2017-03-01,陇南,79.88,0.58,22.0,68.98,107.17,35.88,19.83
2017-03-02,陇南,82.35,0.65,28.87,59.54,112.26,41.04,27.11
2017-03-03,陇南,67.53,0.7,22.96,67.85,76.85,41.38,21.64
2017-03-04,陇南,65.27,0.66,31.25,59.15,79.38,40.44,24.35
2017-03-05,陇南,59.06,0.66,19.96,78.35,58.33,39.96,22.17
2017-03-06,陇南,52.98,0.62,29.17,60.62,52.36,33.56,20.33
2017-03-07,陇南,57.8,0.77,39.22,47.13,58.26,37.09,19.69
2017-03-08,陇南,54.96,0.64,34.46,49.3,53.85,36.63,26.74
2017-03-09,陇南,55.52,0.84,37.5,44.71,55.3,37.54,23.29
2017-03-10,陇南,46.42,0.76,28.94,51.35,42.58,30.79,21.73
2017-03-11,陇南,63.25,1.0,41.33,27.12,58.76,44.54,30.98
2017-03-12,陇南,43.08,0.96,28.69,60.69,39.32,29.6,11.42
2017-03-13,陇南,34.83,0.71,20.12,77.88,27.3,22.33,30.23
2017-03-14,陇南,39.31,0.8,22.98,70.88,34.68,25.88,14.6
2017-03-15,陇南,38.13,0.85,24.15,64.09,34.62,24.5,21.3
2017-03-16,陇南,42.17,0.78,25.85,47.96,39.96,24.27,19.65
2017-03-17,陇南,38.91,0.83,25.67,49.26,36.88,23.88,19.09
2017-03-18,陇南,56.52,0.89,39.1,30.42,58.54,38.33,22.33
2017-03-19,陇南,35.17,0.84,25.25,43.98,25.52,22.96,17.83
2017-03-20,陇南,42.02,0.85,27.71,40.4,44.08,24.25,23.73
2017-03-21,陇南,48.58,0.92,32.27,46.17,50.1,30.98,20.92
2017-03-22,陇南,38.96,0.85,28.42,39.75,34.69,21.44,18.35
2017-03-23,陇南,32.29,0.75,19.54,48.23,30.57,18.98,19.65
2017-03-24,陇南,73.83,0.45,16.96,71.35,101.15,31.15,14.81
2017-03-25,陇南,63.58,0.49,26.38,56.62,76.62,28.33,17.33
2017-03-26,陇南,63.31,0.55,29.27,46.52,75.71,29.31,18.0
2017-03-27,陇南,64.78,0.68,24.0,63.8,78.87,33.39,24.98
2017-03-28,陇南,76.9,0.6,26.92,69.35,96.04,43.42,17.19
2017-03-29,陇南,64.6,0.75,28.98,61.38,86.31,36.17,20.92
2017-03-30,陇南,34.9,0.56,20.56,62.5,32.45,18.15,16.58
2017-03-31,陇南,48.5,0.58,30.12,50.19,49.36,26.08,20.25
2017-04-01,陇南,39.82,0.46,16.51,70.24,37.56,19.6,18.73
2017-04-02,陇南,56.75,0.66,26.6,67.25,55.43,37.6,18.9
2017-04-03,陇南,42.2,0.57,15.78,70.41,32.08,27.96,20.59
2017-04-04,陇南,37.74,0.53,17.11,55.57,28.22,22.83,18.22
2017-04-05,陇南,37.04,0.56,12.48,69.35,33.14,21.12,16.96
2017-04-06,陇南,39.63,0.58,13.46,73.5,36.89,22.83,28.33
2017-04-07,陇南,38.23,0.7,17.02,63.04,32.96,23.28,21.46
