time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,三明,67.11,1.29,36.28,13.95,72.46,45.33,13.04
2017-01-01,南平,57.14,0.9,31.97,35.07,63.0,37.62,16.96
2017-01-01,厦门,44.42,0.65,38.17,54.29,45.18,25.07,11.01
2017-01-01,宁德,59.89,1.1,36.58,22.07,71.11,32.33,9.19
2017-01-01,泉州,40.03,0.63,24.12,52.92,41.86,19.7,9.55
2017-01-01,漳州,76.4,1.06,48.96,23.79,87.28,51.98,24.93
2017-01-01,福州,58.15,0.73,41.07,36.05,65.25,30.94,5.44
2017-01-01,莆田,35.73,0.62,18.27,66.23,35.83,18.42,7.06
2017-01-01,龙岩,64.5,0.91,39.88,22.09,75.67,39.04,15.09
2017-01-02,三明,65.09,1.67,40.84,23.13,76.05,40.45,20.71
2017-01-02,南平,55.15,0.91,26.52,51.86,53.04,35.25,20.25
2017-01-02,厦门,74.61,0.83,60.1,48.62,85.66,53.92,22.88
2017-01-02,宁德,46.55,0.81,26.32,34.5,50.46,25.95,7.88
2017-01-02,泉州,69.58,0.84,39.98,55.8,73.94,46.2,13.16
2017-01-02,漳州,81.88,1.02,51.4,36.72,91.19,56.8,25.05
2017-01-02,福州,63.09,0.8,42.67,39.2,76.57,36.86,6.98
2017-01-02,莆田,55.55,0.86,32.03,54.71,54.67,35.57,12.53
2017-01-02,龙岩,66.58,1.06,42.58,28.95,78.2,41.62,17.02
2017-01-03,三明,68.21,1.33,40.65,22.39,76.81,44.94,22.56
2017-01-03,南平,60.67,1.09,30.19,46.19,61.05,42.43,17.27
2017-01-03,厦门,74.06,0.78,45.53,62.47,86.11,52.5,15.8
2017-01-03,宁德,59.67,0.79,24.39,72.9,63.52,40.9,9.9
2017-01-03,泉州,60.58,0.77,34.18,63.84,63.12,39.17,13.83
2017-01-03,漳州,102.35,1.03,54.46,48.72,106.03,75.61,24.75
2017-01-03,福州,69.92,0.74,39.37,67.89,84.67,44.18,5.9
2017-01-03,莆田,61.13,0.8,29.07,69.04,58.74,41.23,8.93
2017-01-03,龙岩,68.15,1.14,44.47,26.53,81.18,43.85,17.35
2017-01-04,三明,69.45,1.48,40.04,24.93,76.43,45.82,18.02
2017-01-04,南平,54.34,1.07,30.09,54.97,56.58,36.42,11.66
2017-01-04,厦门,84.75,0.79,63.06,52.21,101.99,61.53,21.38
2017-01-04,宁德,64.36,0.89,28.26,57.5,71.64,44.33,7.22
2017-01-04,泉州,64.28,0.81,41.85,60.08,72.61,40.25,13.96
2017-01-04,漳州,94.67,1.01,62.6,42.48,107.21,68.94,23.72
2017-01-04,福州,76.01,0.74,50.31,51.38,86.65,51.06,5.75
2017-01-04,莆田,58.53,0.74,31.13,68.3,62.26,37.53,8.93
2017-01-04,龙岩,77.26,1.06,41.46,34.43,83.6,54.04,14.29
2017-01-05,三明,68.11,1.85,39.44,22.02,79.36,44.41,17.34
2017-01-05,南平,53.84,0.96,27.49,48.89,55.29,35.88,10.29
2017-01-05,厦门,85.66,0.77,55.65,46.48,95.07,62.22,20.29
2017-01-05,宁德,66.1,1.08,37.0,26.64,77.87,44.68,7.9
2017-01-05,泉州,83.42,0.95,48.89,39.47,91.27,59.18,14.58
2017-01-05,漳州,97.46,1.12,65.85,43.15,116.67,71.83,31.08
2017-01-05,福州,81.9,0.78,56.3,27.02,97.75,54.75,6.77
2017-01-05,莆田,71.17,0.83,38.33,36.82,70.49,50.63,9.18
2017-01-05,龙岩,72.78,1.26,49.09,18.31,88.62,44.77,16.67
2017-01-06,三明,72.11,1.4,39.69,18.39,80.74,49.58,18.38
2017-01-06,南平,53.68,0.89,24.59,36.55,55.47,36.43,8.29
2017-01-06,厦门,79.49,0.77,51.92,35.82,82.18,57.68,12.92
2017-01-06,宁德,56.18,1.09,29.87,18.1,58.69,39.3,8.08
2017-01-06,泉州,86.48,0.97,46.4,24.72,74.04,63.04,13.86
2017-01-06,漳州,110.65,1.21,61.93,25.59,124.7,82.36,20.01
2017-01-06,福州,82.35,0.98,53.49,12.88,96.54,57.8,5.65
2017-01-06,莆田,69.41,0.86,36.7,21.71,59.36,49.82,7.29
2017-01-06,龙岩,63.75,1.01,40.02,22.64,71.58,37.15,16.61
2017-01-07,三明,71.83,1.47,33.61,15.59,71.4,50.64,16.27
2017-01-07,南平,35.45,0.88,20.84,40.14,32.52,23.82,8.39
2017-01-07,厦门,70.29,0.84,59.79,33.43,78.03,49.88,16.32
2017-01-07,宁德,55.55,1.24,35.81,18.36,57.72,37.35,7.62
2017-01-07,泉州,70.22,1.03,49.98,28.19,68.31,50.39,13.94
2017-01-07,漳州,92.7,1.3,61.9,30.78,109.17,67.48,21.29
2017-01-07,福州,64.78,0.95,49.51,21.02,71.83,41.04,5.93
2017-01-07,莆田,60.06,1.01,41.09,24.66,51.88,42.87,8.71
2017-01-07,龙岩,71.27,0.98,32.52,29.48,59.37,48.46,14.89
2017-01-08,三明,35.48,1.15,26.89,33.88,33.97,21.02,12.84
2017-01-08,南平,22.92,0.93,14.13,50.05,19.52,12.72,5.68
2017-01-08,厦门,75.09,0.84,45.95,55.32,83.55,54.77,16.19
