time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,厦门,44.42,0.65,38.17,54.29,45.18,25.07,11.01
2017-01-02,厦门,74.61,0.83,60.1,48.62,85.66,53.92,22.88
2017-01-03,厦门,74.06,0.78,45.53,62.47,86.11,52.5,15.8
2017-01-04,厦门,84.75,0.79,63.06,52.21,101.99,61.53,21.38
2017-01-05,厦门,85.66,0.77,55.65,46.48,95.07,62.22,20.29
2017-01-06,厦门,79.49,0.77,51.92,35.82,82.18,57.68,12.92
2017-01-07,厦门,70.29,0.84,59.79,33.43,78.03,49.88,16.32
2017-01-08,厦门,75.09,0.84,45.95,55.32,83.55,54.77,16.19
2017-01-09,厦门,52.5,0.83,24.92,72.38,55.97,33.99,10.08
2017-01-10,厦门,60.33,0.82,23.57,79.65,60.82,42.62,9.23
2017-01-11,厦门,72.56,0.84,30.89,64.89,74.98,52.69,9.03
2017-01-12,厦门,58.15,0.82,39.8,41.14,59.67,40.21,12.12
2017-01-13,厦门,32.16,0.82,35.35,32.16,28.97,21.28,5.14
2017-01-14,厦门,48.04,0.73,24.77,70.41,48.77,32.6,8.53
2017-01-15,厦门,42.22,0.62,26.68,71.58,40.86,27.61,6.97
2017-01-16,厦门,30.98,0.57,21.4,62.94,30.54,17.88,5.23
2017-01-17,厦门,35.21,0.53,26.96,61.18,33.2,21.26,6.3
2017-01-18,厦门,53.71,0.62,49.21,32.54,55.98,36.78,9.58
2017-01-19,厦门,57.3,0.67,39.72,32.82,54.62,40.7,6.29
2017-01-20,厦门,35.75,0.68,23.17,43.69,35.99,23.9,4.9
2017-01-21,厦门,54.15,0.62,18.33,71.83,55.22,35.17,8.18
2017-01-22,厦门,57.18,0.67,22.7,70.75,59.1,38.51,8.47
2017-01-23,厦门,58.01,0.6,15.7,92.91,60.2,37.36,9.95
2017-01-24,厦门,38.6,0.44,14.64,82.49,38.25,21.48,6.77
2017-01-25,厦门,30.4,0.37,15.14,74.18,28.15,17.89,5.18
2017-01-26,厦门,39.43,0.41,14.6,76.82,37.25,26.22,5.43
2017-01-27,厦门,44.69,0.45,17.46,73.43,42.71,28.98,9.17
2017-01-28,厦门,62.7,0.43,16.39,72.09,58.64,44.43,10.72
2017-01-29,厦门,61.26,0.57,34.54,49.57,55.55,43.27,10.03
2017-01-30,厦门,35.79,0.75,20.96,39.35,30.77,24.16,6.25
2017-01-31,厦门,34.72,0.59,13.42,59.92,31.85,23.29,4.77
2017-02-01,厦门,31.8,0.52,14.25,61.01,28.41,19.81,5.59
2017-02-02,厦门,34.46,0.53,12.71,67.95,31.87,23.17,5.46
2017-02-03,厦门,34.57,0.51,25.49,57.12,31.4,21.19,5.77
2017-02-04,厦门,50.22,0.56,41.59,50.29,50.47,32.34,11.51
2017-02-05,厦门,60.21,0.54,29.44,47.57,60.4,42.5,9.27
2017-02-06,厦门,54.44,0.66,16.67,79.27,58.14,36.95,8.03
2017-02-07,厦门,50.26,0.47,16.28,87.57,50.22,28.75,5.76
2017-02-08,厦门,48.66,0.46,34.84,58.51,51.58,26.55,9.25
2017-02-09,厦门,35.99,0.75,22.75,62.56,34.21,23.15,6.72
2017-02-10,厦门,62.36,0.68,21.39,71.39,56.31,44.41,8.75
