time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宁德,59.89,1.1,36.58,22.07,71.11,32.33,9.19
2017-01-02,宁德,46.55,0.81,26.32,34.5,50.46,25.95,7.88
2017-01-03,宁德,59.67,0.79,24.39,72.9,63.52,40.9,9.9
2017-01-04,宁德,64.36,0.89,28.26,57.5,71.64,44.33,7.22
2017-01-05,宁德,66.1,1.08,37.0,26.64,77.87,44.68,7.9
2017-01-06,宁德,56.18,1.09,29.87,18.1,58.69,39.3,8.08
2017-01-07,宁德,55.55,1.24,35.81,18.36,57.72,37.35,7.62
2017-01-08,宁德,47.62,1.15,24.0,41.24,48.83,31.44,7.51
2017-01-09,宁德,49.96,1.0,18.83,63.45,52.04,32.72,7.35
2017-01-10,宁德,80.24,1.15,24.08,69.62,82.69,58.78,10.28
2017-01-11,宁德,107.54,1.22,32.53,49.92,109.13,80.69,11.35
2017-01-12,宁德,61.71,1.16,36.49,13.62,53.29,44.43,6.99
2017-01-13,宁德,22.76,0.88,23.78,28.88,25.13,13.79,5.65
2017-01-14,宁德,67.42,0.87,25.17,80.9,72.62,48.31,14.18
2017-01-15,宁德,66.88,0.77,27.71,61.65,69.81,46.94,11.61
2017-01-16,宁德,48.72,0.65,24.29,43.25,48.81,30.49,9.72
2017-01-17,宁德,54.93,0.79,34.26,26.51,56.11,35.62,8.26
2017-01-18,宁德,52.19,1.17,45.03,5.46,47.33,35.96,7.53
2017-01-19,宁德,27.0,0.8,27.01,29.9,23.68,17.6,5.53
2017-01-20,宁德,29.99,0.72,19.08,40.42,34.75,17.58,6.01
2017-01-21,宁德,57.82,0.77,21.18,55.01,66.91,31.84,12.06
2017-01-22,宁德,54.64,0.72,16.38,57.32,58.38,35.93,7.07
2017-01-23,宁德,67.97,0.77,18.93,83.39,78.1,47.25,11.1
2017-01-24,宁德,54.42,0.73,22.64,61.01,59.91,35.46,11.01
2017-01-25,宁德,56.65,0.85,33.94,28.35,68.12,36.54,8.03
2017-01-26,宁德,53.37,0.54,18.69,40.61,55.27,35.96,6.65
2017-01-27,宁德,40.42,0.41,11.72,70.01,40.27,24.11,6.68
2017-01-28,宁德,101.55,0.52,11.92,62.7,125.36,73.56,22.42
2017-01-29,宁德,56.42,0.84,19.25,44.93,56.21,39.23,7.04
2017-01-30,宁德,59.0,0.91,14.39,37.61,76.72,42.67,5.72
2017-01-31,宁德,60.47,0.73,12.93,53.68,66.41,40.76,6.5
2017-02-01,宁德,48.24,0.6,12.65,46.39,50.38,32.46,7.71
2017-02-02,宁德,42.33,0.65,10.46,60.12,41.05,27.67,6.12
2017-02-03,宁德,48.14,0.73,16.33,56.44,49.03,30.61,8.12
2017-02-04,宁德,38.72,0.74,17.17,48.07,38.88,23.41,7.96
2017-02-05,宁德,42.67,0.76,17.28,36.57,37.64,27.64,6.47
2017-02-06,宁德,65.82,0.92,15.46,79.54,68.92,46.28,7.86
2017-02-07,宁德,58.22,0.7,17.06,82.78,60.29,39.54,7.2
2017-02-08,宁德,35.54,0.53,20.49,56.03,34.67,19.4,7.03
2017-02-09,宁德,32.21,0.71,10.94,74.93,32.06,18.75,6.74
2017-02-10,宁德,59.31,0.65,13.17,80.65,55.97,41.18,8.74
2017-02-11,宁德,74.17,0.68,16.39,98.93,71.93,53.89,12.01
2017-02-12,宁德,59.17,0.63,18.92,89.31,59.87,40.8,8.42
2017-02-13,宁德,43.68,0.58,20.71,85.12,42.79,26.86,6.49
2017-02-14,宁德,44.25,0.57,20.72,91.79,43.06,28.33,6.72
2017-02-15,宁德,47.59,0.72,25.87,81.41,47.17,30.39,7.6
2017-02-16,宁德,50.03,0.77,29.22,59.56,50.29,31.68,6.32
2017-02-17,宁德,70.4,0.81,31.04,68.39,67.92,48.79,5.35
2017-02-18,宁德,105.17,0.7,22.39,87.79,91.85,77.78,4.79
2017-02-19,宁德,64.25,0.79,30.99,64.68,69.74,43.25,5.49
2017-02-20,宁德,67.18,1.13,36.47,42.83,73.18,46.11,4.97
2017-02-21,宁德,52.26,0.52,20.21,66.25,54.82,26.88,4.83
2017-02-22,宁德,46.43,0.83,34.64,32.19,44.62,30.67,4.51
2017-02-23,宁德,16.76,0.77,22.22,32.03,12.35,9.29,3.15
2017-02-24,宁德,28.33,0.65,20.67,55.06,24.84,16.65,3.24
2017-02-25,宁德,35.26,0.63,21.58,46.11,27.24,24.29,3.78
2017-02-26,宁德,39.92,0.67,21.5,71.35,31.9,26.35,5.03
2017-02-27,宁德,91.49,0.89,28.08,109.07,74.64,67.9,9.72
2017-02-28,宁德,92.22,0.99,35.72,90.83,87.54,68.39,10.78
2017-03-01,宁德,66.64,1.15,39.75,72.82,72.47,46.97,7.94
2017-03-02,宁德,58.35,0.62,23.72,101.39,66.32,31.06,7.62
2017-03-03,宁德,54.39,0.65,23.29,104.65,57.51,35.26,7.57
2017-03-04,宁德,47.22,0.73,30.99,55.82,50.1,27.93,6.65
2017-03-05,宁德,45.74,0.81,24.69,53.75,44.35,28.9,5.9
2017-03-06,宁德,30.81,0.65,17.49,82.83,32.16,16.07,3.38
2017-03-07,宁德,46.78,0.65,19.51,93.47,47.58,27.53,4.57
2017-03-08,宁德,53.77,0.81,26.88,70.3,55.2,33.83,7.33
2017-03-09,宁德,57.81,0.73,29.43,100.38,62.63,38.24,8.81
2017-03-10,宁德,38.94,0.62,25.51,89.62,37.08,24.7,4.22
2017-03-11,宁德,29.47,0.71,36.31,55.1,25.47,17.0,4.06
2017-03-12,宁德,37.38,0.97,49.5,17.7,33.74,22.76,4.53
2017-03-13,宁德,34.76,0.76,33.65,47.25,25.81,18.99,3.61
2017-03-14,宁德,33.35,0.56,17.44,105.14,20.45,10.92,3.64
2017-03-15,宁德,45.71,0.56,20.09,103.72,45.52,25.09,6.61
2017-03-16,宁德,37.16,0.58,30.03,66.64,36.85,20.7,5.86
2017-03-17,宁德,38.96,0.78,39.58,42.59,34.81,26.16,4.62
2017-03-18,宁德,41.5,0.87,43.31,26.24,37.85,26.75,5.32
2017-03-19,宁德,32.03,0.71,26.0,58.74,29.39,19.83,4.17
2017-03-20,宁德,43.35,1.09,32.67,55.12,43.83,25.69,5.86
2017-03-21,宁德,41.43,0.99,27.76,58.06,38.55,25.71,4.97
2017-03-22,宁德,45.53,0.79,34.93,70.74,43.84,28.72,4.26
2017-03-23,宁德,36.19,0.78,27.64,72.92,25.2,18.76,4.64
2017-03-24,宁德,35.08,0.69,21.78,97.83,32.94,17.82,4.44
2017-03-25,宁德,26.56,0.71,27.71,57.93,22.88,16.62,3.67
2017-03-26,宁德,39.39,0.83,26.64,41.72,41.44,17.18,5.18
2017-03-27,宁德,53.83,0.98,23.37,71.07,60.03,27.83,6.33
2017-03-28,宁德,77.64,1.06,46.93,52.43,97.26,50.57,7.76
2017-03-29,宁德,61.26,0.95,29.93,57.58,58.06,42.78,4.57
2017-03-30,宁德,58.21,0.85,25.46,82.18,55.99,39.21,5.15
2017-03-31,宁德,45.06,0.71,25.75,72.14,44.55,27.51,3.74
2017-04-01,宁德,44.14,0.67,20.96,96.74,44.15,27.0,4.75
2017-04-02,宁德,53.9,0.73,24.07,91.17,55.7,34.9,5.81
2017-04-03,宁德,58.71,0.68,22.1,113.52,56.23,36.65,6.43
2017-04-04,宁德,52.7,0.56,19.33,118.57,51.28,33.8,5.33
2017-04-05,宁德,57.26,0.69,23.56,98.75,60.19,37.53,6.64
2017-04-06,宁德,84.86,1.3,51.97,28.74,103.12,58.72,9.74
2017-04-07,宁德,65.62,1.29,38.86,19.72,70.29,45.04,7.12
2017-04-08,宁德,54.62,1.07,23.22,66.1,50.98,34.96,5.81
2017-04-09,宁德,53.31,1.07,33.72,34.71,54.24,33.79,4.62
2017-04-10,宁德,29.64,0.68,15.51,73.04,26.48,14.65,3.03
2017-04-11,宁德,24.24,0.76,19.64,69.92,17.35,8.67,3.08
2017-04-12,宁德,32.24,0.88,22.44,72.96,30.13,16.17,4.72
2017-04-13,宁德,43.99,0.68,20.04,83.44,41.42,18.04,5.24
2017-04-14,宁德,40.1,0.67,24.94,81.94,40.21,12.18,6.04
2017-04-15,宁德,56.65,1.12,35.19,57.14,63.79,32.11,7.65
2017-04-16,宁德,86.74,1.79,55.36,19.96,98.37,61.96,8.58
2017-04-17,宁德,79.32,1.72,41.52,24.81,100.03,55.72,9.48
2017-04-18,宁德,53.48,0.98,37.97,31.97,61.57,33.22,7.16
2017-04-19,宁德,54.57,0.8,30.61,64.89,60.69,26.86,6.15
2017-04-20,宁德,41.63,0.95,27.14,47.54,40.42,24.68,5.87
2017-04-21,宁德,39.74,0.81,21.31,75.93,40.88,23.5,4.76
2017-04-22,宁德,51.94,0.57,16.54,92.6,51.04,25.79,5.28
2017-04-23,宁德,62.49,0.6,17.08,136.14,60.14,31.51,5.74
2017-04-24,宁德,54.76,0.7,19.97,107.32,56.86,29.04,5.99
2017-04-25,宁德,57.91,1.01,38.02,43.29,56.96,37.66,6.33
2017-04-26,宁德,45.26,0.88,26.31,43.5,54.33,29.63,5.63
2017-04-27,宁德,33.02,0.56,19.16,98.6,24.82,12.42,3.7
2017-04-28,宁德,47.27,0.68,25.96,112.87,41.35,15.5,6.79
2017-04-29,宁德,44.57,0.7,24.32,106.64,44.07,19.55,6.87
2017-04-30,宁德,53.07,0.8,23.4,122.26,49.01,26.82,7.28
2017-05-01,宁德,56.47,0.98,22.47,105.42,57.58,36.35,7.47
2017-05-02,宁德,55.59,0.91,15.7,89.33,52.4,36.87,6.09
2017-05-03,宁德,36.04,0.65,16.01,65.51,33.89,22.34,4.09
2017-05-04,宁德,42.61,1.11,28.76,38.0,43.42,25.25,4.93
2017-05-05,宁德,41.58,0.93,23.6,37.39,41.51,25.94,5.1
2017-05-06,宁德,31.4,0.67,15.57,91.03,27.41,17.12,3.92
2017-05-07,宁德,32.68,0.56,14.56,73.43,31.3,14.32,5.14
2017-05-08,宁德,84.62,0.81,23.35,95.44,118.79,38.61,6.71
2017-05-09,宁德,63.18,0.91,19.71,68.92,75.59,37.99,5.57
2017-05-10,宁德,44.54,0.71,17.5,83.47,46.14,22.9,5.96
2017-05-11,宁德,43.86,0.82,17.5,77.67,45.3,22.78,5.51
2017-05-12,宁德,38.51,0.83,24.32,32.57,40.25,20.78,4.88
2017-05-13,宁德,31.18,0.75,14.99,73.79,28.8,13.11,4.43
2017-05-14,宁德,40.06,0.73,16.32,88.61,38.49,15.94,5.11
2017-05-15,宁德,37.17,0.68,19.62,79.5,38.02,14.84,5.06
2017-05-16,宁德,32.15,0.62,18.53,61.54,30.54,19.1,4.19
2017-05-17,宁德,39.45,0.58,12.2,80.81,33.88,22.93,4.58
2017-05-18,宁德,35.83,0.56,11.12,93.04,33.89,16.11,5.53
2017-05-19,宁德,44.58,0.74,21.07,66.44,46.55,18.76,7.82
2017-05-20,宁德,43.05,0.8,17.2,61.26,43.03,24.47,5.82
2017-05-21,宁德,31.5,0.68,11.2,70.76,29.56,16.42,5.32
2017-05-22,宁德,33.57,0.64,13.5,63.87,32.7,15.31,6.13
2017-05-23,宁德,42.74,0.87,15.57,85.83,42.74,20.69,6.67
2017-05-24,宁德,37.94,0.88,18.35,45.72,40.54,20.67,4.35
2017-05-25,宁德,41.54,0.94,15.08,72.96,30.03,23.92,5.25
2017-05-26,宁德,53.03,1.0,20.86,101.78,45.77,22.03,6.97
2017-05-27,宁德,70.28,0.91,19.76,160.79,59.06,32.42,9.14
2017-05-28,宁德,42.68,0.74,12.65,103.12,38.36,25.03,6.6
2017-05-29,宁德,29.76,0.6,11.47,80.04,26.09,11.12,4.54
2017-05-30,宁德,25.01,0.59,7.75,66.39,22.86,10.69,3.19
2017-05-31,宁德,48.39,0.89,31.25,22.36,57.39,22.0,4.53
2017-06-01,宁德,60.26,0.92,25.36,44.3,66.98,41.55,4.79
2017-06-02,宁德,22.83,0.68,13.92,69.6,13.24,9.18,2.88
2017-06-03,宁德,20.89,0.81,20.59,45.15,19.92,11.11,2.82
2017-06-04,宁德,21.74,0.65,13.47,65.39,15.4,7.88,2.81
2017-06-05,宁德,33.33,0.7,18.32,51.17,33.35,16.35,3.56
2017-06-06,宁德,42.88,1.03,20.61,65.31,42.06,23.72,3.96
2017-06-07,宁德,33.9,0.65,17.97,63.04,32.48,17.56,2.9
2017-06-08,宁德,41.12,0.75,10.06,112.22,38.12,24.88,2.74
2017-06-09,宁德,48.08,1.01,16.11,100.83,48.75,30.15,3.21
2017-06-10,宁德,56.54,0.94,14.97,91.35,60.1,36.1,3.25
2017-06-11,宁德,47.16,0.72,15.04,80.58,48.95,25.3,4.64
2017-06-12,宁德,37.38,0.63,10.89,72.92,39.85,19.08,2.89
2017-06-13,宁德,25.15,0.59,10.67,59.53,23.1,13.08,2.31
2017-06-14,宁德,23.81,0.57,12.93,69.74,12.57,6.65,2.38
2017-06-15,宁德,26.86,0.65,16.59,80.57,17.48,10.2,2.59
2017-06-16,宁德,27.54,0.7,20.71,84.79,12.07,7.44,2.76
2017-06-17,宁德,22.88,0.71,21.73,68.61,13.88,8.03,2.62
2017-06-18,宁德,28.72,0.76,26.49,69.08,18.17,10.86,2.51
2017-06-19,宁德,26.76,1.0,26.11,40.12,25.32,14.24,3.14
2017-06-20,宁德,33.06,1.23,28.07,11.74,35.17,18.07,3.86
2017-06-21,宁德,27.19,0.96,26.11,22.13,26.41,13.07,3.15
2017-06-22,宁德,39.08,1.34,31.68,17.72,41.42,20.22,3.35
2017-06-23,宁德,45.21,0.92,18.49,43.62,46.07,23.67,3.03
2017-06-24,宁德,42.04,0.75,23.4,32.26,44.52,21.79,3.5
2017-06-25,宁德,41.0,0.71,19.9,43.69,44.36,16.88,4.25
2017-06-26,宁德,31.35,0.62,19.93,43.78,27.19,12.12,3.68
2017-06-27,宁德,27.76,0.77,17.43,85.33,20.98,10.36,3.35
2017-06-28,宁德,33.68,1.02,17.95,73.69,34.02,17.83,3.16
2017-06-29,宁德,34.54,0.8,15.14,60.7,35.02,16.12,3.86
2017-06-30,宁德,40.71,0.77,14.79,73.74,41.6,16.24,4.52
2017-07-01,宁德,36.82,0.93,17.42,29.95,37.05,19.15,4.59
2017-07-02,宁德,33.49,0.96,15.53,39.76,33.16,15.9,4.49
2017-07-03,宁德,34.44,0.72,13.92,58.53,36.19,14.82,4.58
2017-07-04,宁德,35.35,0.76,17.5,49.27,35.28,13.98,5.09
2017-07-05,宁德,34.06,0.7,14.25,43.97,35.93,16.86,4.61
2017-07-06,宁德,32.35,0.73,12.42,54.56,31.87,11.78,4.9
2017-07-07,宁德,31.09,0.78,13.89,43.86,31.83,14.59,4.55
2017-07-08,宁德,34.59,0.8,15.35,47.11,37.98,13.48,5.06
2017-07-09,宁德,36.89,0.85,14.78,50.03,41.16,12.68,4.93
2017-07-10,宁德,44.65,0.94,17.22,65.62,45.66,20.47,5.67
2017-07-11,宁德,55.15,0.94,17.44,94.17,49.99,23.49,6.28
2017-07-12,宁德,47.62,0.7,15.97,86.68,46.05,20.96,5.6
2017-07-13,宁德,43.79,0.69,18.18,62.68,46.63,23.04,4.57
2017-07-14,宁德,55.63,0.79,17.02,76.08,48.66,33.06,5.48
2017-07-15,宁德,42.0,0.64,13.07,75.41,43.07,23.65,5.74
2017-07-16,宁德,29.3,0.55,9.33,54.35,28.81,15.26,5.24
2017-07-17,宁德,28.32,0.67,12.94,50.74,30.44,9.38,5.51
2017-07-18,宁德,38.86,0.76,17.72,66.76,38.92,16.57,7.62
2017-07-19,宁德,44.93,0.83,17.94,86.11,45.7,21.19,6.36
2017-07-20,宁德,47.15,0.75,17.81,95.58,45.09,21.78,5.96
2017-07-21,宁德,50.12,0.78,15.51,106.07,52.16,26.92,5.42
2017-07-22,宁德,34.31,0.66,9.22,60.81,32.74,20.97,5.44
2017-07-23,宁德,22.54,0.62,9.03,38.9,22.49,9.53,5.26
2017-07-24,宁德,29.82,0.65,12.4,63.03,30.81,11.6,4.83
2017-07-25,宁德,48.35,0.74,18.22,101.56,48.62,23.19,5.76
2017-07-26,宁德,59.04,0.7,16.42,118.82,56.9,33.69,6.36
2017-07-27,宁德,47.43,0.6,13.67,81.71,45.39,30.67,5.6
2017-07-28,宁德,34.08,0.55,9.76,53.06,31.16,21.19,5.68
2017-07-29,宁德,27.89,0.58,13.14,33.81,27.55,14.17,5.35
2017-07-30,宁德,20.5,0.59,7.46,36.01,22.36,6.29,3.38
2017-07-31,宁德,24.18,0.82,9.18,65.49,16.77,7.83,3.42
2017-08-01,宁德,32.85,1.02,17.55,60.73,23.22,16.02,3.69
2017-08-02,宁德,42.03,0.91,15.29,51.08,37.91,24.72,3.65
2017-08-03,宁德,45.42,0.73,15.25,57.22,46.49,24.51,3.39
2017-08-04,宁德,45.15,0.63,12.92,71.24,46.32,23.6,3.51
2017-08-05,宁德,40.54,0.61,13.93,50.58,40.7,22.28,3.83
2017-08-06,宁德,37.25,0.52,15.0,55.42,42.68,19.82,4.51
2017-08-07,宁德,34.53,0.58,18.97,43.2,36.08,14.15,4.76
2017-08-08,宁德,55.49,0.82,16.4,86.83,56.16,27.82,4.53
2017-08-09,宁德,45.76,0.66,12.64,65.26,45.82,27.19,4.75
2017-08-10,宁德,37.93,0.63,14.75,56.3,39.02,19.83,4.87
2017-08-11,宁德,35.64,0.9,17.14,59.72,34.86,13.25,5.51
2017-08-12,宁德,52.65,1.17,18.9,80.8,54.68,26.57,4.61
2017-08-13,宁德,59.58,0.99,17.58,87.39,62.09,34.86,3.67
2017-08-14,宁德,57.39,1.0,18.49,85.24,61.24,33.04,4.29
2017-08-15,宁德,58.3,0.96,17.29,97.23,61.73,33.08,5.28
2017-08-16,宁德,48.71,0.69,15.4,68.98,53.09,30.93,5.62
2017-08-17,宁德,37.33,0.65,13.64,70.15,35.2,17.32,5.39
2017-08-18,宁德,38.11,0.72,17.36,54.71,38.27,20.76,5.92
2017-08-19,宁德,47.36,0.81,15.4,79.47,49.72,23.75,5.62
2017-08-20,宁德,46.97,0.84,16.27,70.25,47.84,28.3,6.13
2017-08-21,宁德,38.96,0.63,11.05,72.05,37.46,23.87,5.23
2017-08-22,宁德,28.11,0.58,10.18,28.71,28.22,14.96,5.2
2017-08-23,宁德,22.64,0.6,12.03,27.82,24.27,8.21,3.76
2017-08-24,宁德,37.11,0.79,12.93,48.03,37.28,13.28,5.75
2017-08-25,宁德,30.87,0.57,9.28,39.45,30.85,17.32,4.98
2017-08-26,宁德,19.62,0.42,8.51,24.67,19.11,9.68,5.72
2017-08-27,宁德,15.64,0.45,7.71,22.86,15.46,7.21,4.68
2017-08-28,宁德,29.29,0.52,7.64,52.28,27.49,12.45,5.09
2017-08-29,宁德,31.57,0.53,8.97,51.81,30.92,17.57,5.3
2017-08-30,宁德,24.9,0.5,9.07,47.35,24.63,11.29,5.87
2017-08-31,宁德,33.49,0.58,10.76,74.51,32.9,15.93,5.25
2017-09-01,宁德,39.0,0.63,9.84,109.06,36.3,17.3,6.04
2017-09-02,宁德,37.4,0.6,10.89,101.36,36.06,15.29,6.68
2017-09-03,宁德,26.68,0.62,13.65,56.5,26.37,15.54,5.32
2017-09-04,宁德,32.22,0.73,15.41,39.65,33.37,12.49,5.1
2017-09-05,宁德,36.26,0.79,10.82,62.89,35.26,17.22,4.99
2017-09-06,宁德,30.84,0.57,8.75,43.36,32.78,15.38,4.61
2017-09-07,宁德,25.14,0.68,11.54,38.84,26.84,12.71,5.16
2017-09-08,宁德,25.48,0.73,10.33,23.78,25.65,10.48,4.52
2017-09-09,宁德,37.9,1.2,18.05,58.48,37.71,18.57,5.38
2017-09-10,宁德,38.11,1.05,15.06,58.18,38.81,20.26,5.55
2017-09-11,宁德,50.67,1.15,15.65,82.0,53.11,27.58,5.59
2017-09-12,宁德,34.99,0.77,14.46,62.3,30.61,21.72,5.25
2017-09-13,宁德,37.88,0.7,15.19,81.2,35.75,16.14,6.06
2017-09-14,宁德,33.12,0.55,15.78,74.54,32.45,14.69,6.17
2017-09-15,宁德,34.31,0.58,17.18,74.75,35.02,14.4,6.19
2017-09-16,宁德,29.44,0.6,13.41,70.66,28.97,12.61,6.15
2017-09-17,宁德,51.46,0.73,11.19,115.04,42.61,24.74,7.03
2017-09-18,宁德,59.87,0.69,12.25,158.75,47.75,30.51,6.91
2017-09-19,宁德,54.66,0.79,12.92,115.14,48.44,31.88,6.77
2017-09-20,宁德,43.73,0.67,12.2,78.0,42.78,27.04,5.9
2017-09-21,宁德,44.04,0.77,13.14,75.06,46.27,27.41,5.72
2017-09-22,宁德,30.07,0.79,11.15,80.67,26.52,17.71,4.94
2017-09-23,宁德,29.1,0.79,10.39,73.25,27.98,14.89,5.57
2017-09-24,宁德,20.48,0.74,10.52,34.48,18.9,11.76,5.48
2017-09-25,宁德,37.68,0.86,15.75,53.46,38.34,16.83,6.75
2017-09-26,宁德,43.4,0.91,18.01,76.53,44.59,19.75,8.06
2017-09-27,宁德,46.36,0.89,18.46,70.95,49.68,23.98,7.63
2017-09-28,宁德,42.64,0.71,10.42,96.92,43.24,26.83,5.5
2017-09-29,宁德,46.17,0.65,12.05,86.59,31.7,26.06,6.32
2017-09-30,宁德,40.92,0.71,13.75,67.26,40.49,21.94,6.65
2017-10-01,宁德,36.26,0.72,12.93,48.34,35.88,19.04,6.62
2017-10-02,宁德,41.78,1.08,14.0,63.51,43.23,23.22,7.54
2017-10-03,宁德,38.8,0.89,12.04,62.72,38.19,24.48,5.57
2017-10-04,宁德,38.36,0.65,11.67,81.51,37.68,15.23,7.96
2017-10-05,宁德,41.67,0.65,14.67,67.88,42.23,18.51,7.96
2017-10-06,宁德,40.11,0.66,12.24,83.65,39.65,21.0,6.94
2017-10-07,宁德,47.4,0.82,15.88,87.18,46.04,29.97,8.21
2017-10-08,宁德,45.5,0.82,16.15,80.86,43.3,29.97,9.88
2017-10-09,宁德,36.39,1.02,21.57,29.93,35.63,21.52,6.26
2017-10-10,宁德,27.75,0.7,13.09,22.72,26.21,15.54,6.28
2017-10-11,宁德,28.01,0.61,11.43,41.2,27.33,10.87,6.96
2017-10-12,宁德,29.01,0.72,12.7,74.93,27.07,12.2,7.41
2017-10-13,宁德,25.1,0.6,14.08,63.36,21.85,11.94,8.32
2017-10-14,宁德,20.54,0.62,14.63,52.31,17.95,9.85,5.93
2017-10-15,宁德,19.21,0.8,19.7,38.98,17.62,7.95,5.51
2017-10-16,宁德,21.25,0.8,17.01,24.3,21.28,9.11,6.11
2017-10-17,宁德,19.88,0.63,14.39,36.63,19.58,8.6,6.48
2017-10-18,宁德,32.52,0.5,14.09,74.87,31.26,11.46,7.96
2017-10-19,宁德,35.06,0.48,12.9,92.15,32.02,16.92,8.38
2017-10-20,宁德,24.18,0.46,11.55,62.95,22.23,14.02,6.28
2017-10-21,宁德,34.99,0.45,15.19,78.12,33.69,18.64,6.61
2017-10-22,宁德,40.62,0.6,20.02,84.03,40.34,23.68,7.11
2017-10-23,宁德,44.74,0.67,16.59,70.44,40.85,30.85,6.81
2017-10-24,宁德,57.59,0.73,20.23,104.88,58.36,38.7,9.03
2017-10-25,宁德,48.45,0.58,18.9,103.29,47.99,30.3,9.22
2017-10-26,宁德,40.55,0.52,17.66,84.11,39.38,22.98,7.38
2017-10-27,宁德,45.12,0.63,19.54,94.33,47.79,25.97,8.75
2017-10-28,宁德,59.96,0.79,24.44,97.88,60.34,40.32,8.26
2017-10-29,宁德,53.33,0.66,20.49,98.76,50.0,34.76,8.36
2017-10-30,宁德,60.86,0.7,19.59,93.44,67.32,39.61,9.54
2017-10-31,宁德,45.33,0.52,18.46,83.58,46.75,25.92,9.53
2017-11-01,宁德,36.67,0.58,20.92,58.17,38.62,20.32,8.49
2017-11-02,宁德,35.44,0.61,18.26,61.11,34.46,19.42,7.99
2017-11-03,宁德,49.18,0.71,21.71,91.89,51.83,29.53,9.35
2017-11-04,宁德,69.11,0.82,21.39,104.93,70.96,48.12,11.39
2017-11-05,宁德,46.71,0.47,18.81,73.69,47.57,23.19,10.64
2017-11-06,宁德,61.83,0.78,31.31,49.54,70.19,38.02,9.69
2017-11-07,宁德,52.88,0.88,30.13,21.15,52.48,35.55,7.46
2017-11-08,宁德,31.26,0.68,23.68,24.65,31.39,18.63,7.4
2017-11-09,宁德,71.88,0.61,18.87,84.6,74.63,48.06,10.05
2017-11-10,宁德,46.15,0.7,33.04,37.39,52.58,24.07,9.43
2017-11-11,宁德,70.38,0.74,28.83,44.04,72.73,49.72,9.31
2017-11-12,宁德,47.07,0.56,19.28,56.46,48.14,27.46,10.67
2017-11-13,宁德,41.46,0.43,18.91,56.23,41.03,25.07,8.1
2017-11-14,宁德,38.41,0.54,18.57,61.94,39.42,22.9,8.81
2017-11-15,宁德,40.55,0.64,20.6,50.2,38.31,25.17,8.74
2017-11-16,宁德,46.53,0.83,26.89,41.65,46.8,27.26,8.76
2017-11-17,宁德,48.1,0.91,24.33,56.1,50.57,28.32,8.82
2017-11-18,宁德,34.46,0.66,17.24,54.93,41.62,21.78,7.17
2017-11-19,宁德,27.79,0.42,18.0,39.14,27.18,15.33,9.15
2017-11-20,宁德,22.57,0.37,17.8,30.27,22.95,15.33,6.8
2017-11-21,宁德,18.76,0.5,24.24,25.29,17.9,9.25,7.26
2017-11-22,宁德,19.58,0.61,20.97,27.91,18.75,10.64,6.89
2017-11-23,宁德,47.6,0.61,18.38,75.1,51.56,29.01,10.18
2017-11-24,宁德,78.86,0.82,30.88,62.21,83.5,57.43,14.57
2017-11-25,宁德,47.42,0.76,34.0,32.89,46.42,32.42,8.42
2017-11-26,宁德,38.38,0.92,36.19,12.61,35.61,25.79,7.86
2017-11-27,宁德,36.9,0.9,26.53,39.61,43.82,19.86,9.03
2017-11-28,宁德,57.26,1.22,34.54,34.5,62.76,36.7,9.73
2017-11-29,宁德,43.67,1.2,29.84,16.14,46.96,27.04,7.97
2017-11-30,宁德,21.5,0.68,20.28,41.62,18.83,13.26,6.58
2017-12-01,宁德,20.46,0.54,15.35,42.01,19.49,10.7,7.33
2017-12-02,宁德,31.5,0.58,15.94,37.94,31.39,17.6,7.38
2017-12-03,宁德,37.99,0.69,20.75,26.81,37.71,22.18,7.61
2017-12-04,宁德,50.01,0.75,19.22,62.5,51.21,33.25,9.64
2017-12-05,宁德,100.8,0.92,26.63,99.5,92.83,75.19,14.73
2017-12-06,宁德,102.04,0.96,33.33,72.85,99.44,76.38,14.16
2017-12-07,宁德,77.56,0.94,28.39,51.89,71.63,56.72,9.15
2017-12-08,宁德,70.01,0.82,27.62,76.17,69.14,50.46,11.79
