time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,泉州,40.03,0.63,24.12,52.92,41.86,19.7,9.55
2017-01-02,泉州,69.58,0.84,39.98,55.8,73.94,46.2,13.16
2017-01-03,泉州,60.58,0.77,34.18,63.84,63.12,39.17,13.83
2017-01-04,泉州,64.28,0.81,41.85,60.08,72.61,40.25,13.96
2017-01-05,泉州,83.42,0.95,48.89,39.47,91.27,59.18,14.58
2017-01-06,泉州,86.48,0.97,46.4,24.72,74.04,63.04,13.86
2017-01-07,泉州,70.22,1.03,49.98,28.19,68.31,50.39,13.94
2017-01-08,泉州,81.28,1.09,45.67,47.34,75.8,58.08,16.0
2017-01-09,泉州,46.28,0.93,29.99,57.41,46.48,28.07,12.92
2017-01-10,泉州,60.58,0.9,27.0,75.56,59.72,41.69,12.28
2017-01-11,泉州,72.0,0.93,33.86,55.91,71.09,52.17,12.09
2017-01-12,泉州,56.72,0.98,42.78,23.34,52.96,39.07,12.79
2017-01-13,泉州,24.19,0.82,31.19,33.17,20.84,14.02,10.09
2017-01-14,泉州,46.05,0.68,27.67,83.9,46.3,30.46,14.4
2017-01-15,泉州,37.65,0.58,26.69,75.29,36.63,22.08,11.62
2017-01-16,泉州,27.61,0.54,23.06,63.8,26.78,15.61,10.01
2017-01-17,泉州,34.25,0.61,29.4,56.34,32.49,21.95,10.39
2017-01-18,泉州,42.93,0.68,34.02,33.46,34.93,28.99,10.59
2017-01-19,泉州,48.04,0.7,32.34,32.73,30.49,33.21,8.61
2017-01-20,泉州,32.9,0.73,24.65,46.27,31.35,20.5,8.31
2017-01-21,泉州,49.3,0.59,24.69,79.6,50.04,26.36,10.91
2017-01-22,泉州,52.65,0.69,26.51,77.92,52.47,32.05,11.3
2017-01-23,泉州,53.86,0.63,22.11,100.24,57.92,31.64,13.14
2017-01-24,泉州,33.96,0.47,18.24,83.3,33.18,17.01,8.7
2017-01-25,泉州,31.99,0.46,17.0,77.32,29.39,18.14,7.62
2017-01-26,泉州,38.38,0.52,16.91,80.76,35.15,24.25,7.82
2017-01-27,泉州,54.57,0.59,17.61,81.64,51.33,36.51,12.68
2017-01-28,泉州,98.38,0.56,16.57,77.5,84.76,74.88,15.88
2017-01-29,泉州,64.54,0.67,18.15,61.11,52.23,45.72,9.03
2017-01-30,泉州,33.95,0.86,17.79,38.53,21.08,23.18,6.89
2017-01-31,泉州,39.79,0.66,16.67,63.67,38.95,25.56,7.52
2017-02-01,泉州,27.45,0.57,14.88,64.53,24.72,16.68,7.61
2017-02-02,泉州,40.49,0.65,16.89,69.68,34.33,27.93,7.94
2017-02-03,泉州,37.82,0.68,19.8,64.19,34.56,24.77,8.11
2017-02-04,泉州,48.42,0.75,24.0,57.39,42.84,31.77,8.8
2017-02-05,泉州,68.35,0.76,24.97,50.66,48.36,49.47,11.55
2017-02-06,泉州,53.59,0.86,20.58,90.44,57.47,36.48,11.97
2017-02-07,泉州,45.74,0.55,18.78,95.54,44.65,23.74,8.82
2017-02-08,泉州,49.19,0.65,26.59,69.2,47.89,31.5,9.27
2017-02-09,泉州,35.81,0.74,20.73,68.44,28.25,21.11,8.3
2017-02-10,泉州,60.09,0.75,20.71,84.04,54.41,42.69,11.35
2017-02-11,泉州,60.4,0.65,21.27,112.53,59.72,40.17,14.58
