time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,漳州,76.4,1.06,48.96,23.79,87.28,51.98,24.93
2017-01-02,漳州,81.88,1.02,51.4,36.72,91.19,56.8,25.05
2017-01-03,漳州,102.35,1.03,54.46,48.72,106.03,75.61,24.75
2017-01-04,漳州,94.67,1.01,62.6,42.48,107.21,68.94,23.72
2017-01-05,漳州,97.46,1.12,65.85,43.15,116.67,71.83,31.08
2017-01-06,漳州,110.65,1.21,61.93,25.59,124.7,82.36,20.01
2017-01-07,漳州,92.7,1.3,61.9,30.78,109.17,67.48,21.29
2017-01-08,漳州,98.15,1.32,44.25,45.37,113.42,69.57,18.57
2017-01-09,漳州,56.35,1.08,42.59,57.49,63.13,34.03,10.03
2017-01-10,漳州,65.03,0.94,32.32,57.49,67.52,45.25,10.78
2017-01-11,漳州,86.69,1.03,45.69,36.64,93.42,63.71,14.96
2017-01-12,漳州,90.18,1.1,59.29,22.72,95.86,66.42,17.29
2017-01-13,漳州,35.57,1.13,36.94,13.71,34.17,21.49,9.32
2017-01-14,漳州,43.53,0.86,31.61,41.85,46.16,28.22,9.15
2017-01-15,漳州,58.19,0.8,34.72,44.07,57.35,39.33,12.68
2017-01-16,漳州,48.68,0.77,32.92,33.23,50.62,29.35,13.65
2017-01-17,漳州,52.43,0.74,37.79,35.61,51.83,34.1,17.46
2017-01-18,漳州,74.72,0.97,54.06,23.19,77.32,53.42,15.85
2017-01-19,漳州,65.78,1.04,53.35,24.7,67.8,46.49,9.11
2017-01-20,漳州,39.67,0.93,31.25,29.79,42.42,23.56,7.5
2017-01-21,漳州,55.43,0.71,28.07,57.94,57.51,34.21,7.62
2017-01-22,漳州,67.07,0.78,36.62,55.49,76.21,44.79,11.33
2017-01-23,漳州,63.44,0.69,28.31,69.1,71.88,39.36,12.5
2017-01-24,漳州,51.29,0.62,23.62,64.88,52.25,31.48,12.86
2017-01-25,漳州,35.91,0.57,15.59,56.01,33.21,20.62,9.3
2017-01-26,漳州,42.24,0.55,13.47,60.8,39.4,25.47,6.76
2017-01-27,漳州,47.43,0.62,13.38,65.36,46.25,29.59,9.88
2017-01-28,漳州,61.5,0.57,13.33,66.29,57.54,42.21,11.98
2017-01-29,漳州,52.35,0.71,14.06,52.58,48.22,33.3,9.01
2017-01-30,漳州,37.65,0.88,15.57,28.75,35.89,23.46,7.92
2017-01-31,漳州,30.92,0.72,11.49,58.72,28.78,16.72,8.42
2017-02-01,漳州,41.54,0.7,14.25,47.93,37.18,24.46,9.04
2017-02-02,漳州,36.56,0.56,12.35,61.64,35.12,20.32,5.61
2017-02-03,漳州,38.86,0.75,18.61,47.58,36.8,21.78,9.08
2017-02-04,漳州,52.39,0.78,24.05,47.35,53.77,32.0,10.55
2017-02-05,漳州,85.12,0.84,31.67,40.04,86.94,61.76,12.74
2017-02-06,漳州,49.71,0.85,15.83,68.19,56.5,30.69,6.15
2017-02-07,漳州,53.87,0.68,19.88,78.88,55.1,31.04,9.59
2017-02-08,漳州,49.47,0.65,26.61,51.53,52.0,26.08,10.68
2017-02-09,漳州,34.38,0.88,14.81,54.36,32.81,17.17,12.75
2017-02-10,漳州,59.26,0.76,20.47,53.42,58.59,39.03,9.21
2017-02-11,漳州,70.75,0.64,23.78,70.12,74.76,48.11,11.68
2017-02-12,漳州,65.23,0.64,27.31,64.37,68.6,40.77,15.63
2017-02-13,漳州,60.44,0.66,34.64,53.22,61.96,37.17,14.35
2017-02-14,漳州,60.35,0.69,37.73,58.64,66.38,36.3,15.41
2017-02-15,漳州,60.41,0.64,35.13,62.06,64.25,36.2,15.91
2017-02-16,漳州,76.42,0.66,44.44,54.97,84.13,52.65,16.25
2017-02-17,漳州,87.71,0.77,53.35,45.7,94.11,59.03,19.06
2017-02-18,漳州,120.1,0.72,43.57,75.93,112.1,90.28,11.03
2017-02-19,漳州,92.53,0.76,47.0,69.73,102.08,68.14,14.88
2017-02-20,漳州,121.25,1.0,54.16,49.1,108.32,93.76,13.72
2017-02-21,漳州,50.51,0.6,31.42,59.32,48.95,29.12,8.43
2017-02-22,漳州,53.16,0.9,44.89,33.38,51.83,31.89,11.33
2017-02-23,漳州,37.33,0.81,46.47,14.69,40.45,21.89,6.81
2017-02-24,漳州,39.17,0.69,41.76,14.9,35.65,24.0,5.76
2017-02-25,漳州,33.56,0.85,46.89,8.34,29.93,18.57,7.83
2017-02-26,漳州,43.24,0.73,37.32,25.81,43.49,25.24,8.58
2017-02-27,漳州,65.76,0.71,42.96,63.71,73.25,41.33,16.89
2017-02-28,漳州,88.18,0.82,47.78,63.22,99.55,63.56,24.0
2017-03-01,漳州,97.39,0.86,43.91,65.07,102.37,71.93,22.0
2017-03-02,漳州,89.9,0.75,43.96,71.07,102.81,54.36,12.9
2017-03-03,漳州,65.92,0.56,36.28,75.49,79.1,37.89,14.88
2017-03-04,漳州,82.62,0.76,69.33,38.57,99.78,58.15,27.28
2017-03-05,漳州,99.0,0.97,71.31,42.36,111.12,72.22,21.64
2017-03-06,漳州,59.62,0.76,49.47,38.07,67.06,37.18,11.29
2017-03-07,漳州,76.71,0.82,55.01,41.52,74.24,55.26,11.6
2017-03-08,漳州,72.42,0.79,50.36,46.9,74.16,51.97,14.54
2017-03-09,漳州,88.82,0.94,48.32,53.45,93.73,65.36,17.11
2017-03-10,漳州,51.76,0.9,42.44,42.82,42.67,34.43,9.47
2017-03-11,漳州,43.24,0.85,38.92,50.79,43.33,26.25,9.18
2017-03-12,漳州,64.19,0.91,51.35,35.23,72.15,43.94,11.67
2017-03-13,漳州,83.11,1.09,56.67,39.52,98.17,59.55,13.42
2017-03-14,漳州,40.78,0.67,35.61,53.97,42.74,24.74,7.47
2017-03-15,漳州,48.39,0.44,38.28,64.82,53.17,27.9,10.76
2017-03-16,漳州,58.38,0.71,47.73,31.71,54.75,37.94,9.59
2017-03-17,漳州,65.88,0.87,71.12,12.45,69.11,46.38,7.63
2017-03-18,漳州,86.86,1.12,71.57,16.39,90.72,63.51,11.88
2017-03-19,漳州,68.43,0.86,60.56,26.17,71.14,48.89,8.47
2017-03-20,漳州,73.53,1.12,64.43,35.03,87.71,50.31,13.9
2017-03-21,漳州,76.76,1.02,58.75,39.03,93.3,53.15,13.22
2017-03-22,漳州,61.92,0.9,43.12,35.89,63.12,41.81,8.78
2017-03-23,漳州,60.64,0.96,42.5,60.5,55.62,39.75,10.28
2017-03-24,漳州,51.11,0.66,30.56,96.75,49.91,28.28,10.01
2017-03-25,漳州,48.15,0.77,50.07,33.46,50.27,30.03,12.64
2017-03-26,漳州,43.58,0.9,42.27,36.05,48.4,21.32,12.45
2017-03-27,漳州,66.94,0.78,34.3,66.36,81.46,39.51,15.17
2017-03-28,漳州,80.47,0.79,58.51,74.73,99.99,53.38,20.08
2017-03-29,漳州,108.76,1.08,71.44,68.25,121.93,80.88,20.43
2017-03-30,漳州,101.25,1.0,66.82,65.44,122.68,75.04,19.97
2017-03-31,漳州,87.75,1.11,57.75,37.97,115.0,61.64,16.62
2017-04-01,漳州,48.61,0.63,24.0,95.0,49.38,31.74,7.97
2017-04-02,漳州,85.58,0.82,40.0,81.81,84.11,62.58,15.62
2017-04-03,漳州,84.55,0.77,42.09,95.38,81.48,57.84,16.83
2017-04-04,漳州,75.03,0.6,36.8,92.71,76.03,51.83,16.3
2017-04-05,漳州,74.99,0.68,35.35,63.21,77.43,51.94,15.29
2017-04-06,漳州,81.43,1.02,56.65,31.83,91.79,57.8,18.25
2017-04-07,漳州,69.93,0.9,34.22,37.97,68.81,49.07,15.0
2017-04-08,漳州,52.24,0.64,27.25,40.08,51.58,33.9,7.9
2017-04-09,漳州,55.57,0.74,30.17,38.44,57.55,35.1,13.62
2017-04-10,漳州,48.15,0.68,21.14,38.28,47.73,29.83,9.62
2017-04-11,漳州,48.54,0.81,21.51,45.22,49.46,30.28,9.47
2017-04-12,漳州,37.56,0.91,31.19,73.27,37.49,19.88,9.49
2017-04-13,漳州,59.38,0.91,53.19,47.07,64.62,38.83,13.9
2017-04-14,漳州,72.0,0.86,51.85,61.21,89.9,45.42,19.04
2017-04-15,漳州,95.69,1.22,70.14,48.03,121.18,67.76,18.29
2017-04-16,漳州,92.88,1.2,46.32,51.89,112.69,65.85,16.86
2017-04-17,漳州,43.5,0.7,25.01,51.37,44.37,20.78,12.75
2017-04-18,漳州,56.99,0.82,35.49,62.62,63.52,32.68,13.35
2017-04-19,漳州,82.17,0.94,52.54,66.93,100.67,58.87,18.81
2017-04-20,漳州,31.79,0.68,17.24,65.57,28.71,15.61,12.0
2017-04-21,漳州,40.65,0.74,31.28,51.21,40.11,23.38,14.01
2017-04-22,漳州,34.32,0.59,22.67,84.29,31.71,15.78,11.58
2017-04-23,漳州,67.49,0.68,28.32,98.31,73.1,40.49,11.29
2017-04-24,漳州,71.76,0.66,29.43,110.51,78.71,41.65,14.25
2017-04-25,漳州,76.07,0.85,38.24,73.14,76.81,52.04,13.2
2017-04-26,漳州,72.39,0.93,22.4,70.72,79.03,49.31,13.92
2017-04-27,漳州,30.06,0.63,29.83,76.18,25.58,13.67,11.81
2017-04-28,漳州,52.83,0.61,32.75,100.67,48.98,27.65,11.42
2017-04-29,漳州,64.1,0.68,49.67,101.99,68.59,35.41,14.93
2017-04-30,漳州,73.56,0.74,49.56,105.68,79.49,44.92,14.97
2017-05-01,漳州,75.12,0.8,46.35,87.45,85.39,49.84,13.77
2017-05-02,漳州,47.3,0.74,26.71,59.16,50.05,26.91,11.75
2017-05-03,漳州,60.57,0.61,25.56,59.81,63.05,41.14,12.28
2017-05-04,漳州,52.85,0.62,22.03,61.19,56.88,33.67,10.31
2017-05-05,漳州,61.31,0.75,26.6,58.88,67.9,40.35,10.53
2017-05-06,漳州,50.71,0.67,24.68,83.25,49.05,28.17,7.17
2017-05-07,漳州,44.54,0.63,22.74,91.62,45.19,22.49,7.21
2017-05-08,漳州,62.07,0.59,18.24,90.76,75.99,31.61,5.38
2017-05-09,漳州,35.62,0.55,17.49,84.12,32.35,14.28,5.4
2017-05-10,漳州,53.75,0.82,24.64,88.01,52.6,27.44,9.62
2017-05-11,漳州,63.26,0.77,24.65,72.41,59.0,40.23,9.02
2017-05-12,漳州,43.49,0.67,21.42,50.1,42.08,24.0,6.99
2017-05-13,漳州,36.76,0.68,26.72,61.5,35.73,18.41,8.89
2017-05-14,漳州,47.49,0.68,21.33,87.92,45.45,27.33,6.68
2017-05-15,漳州,42.48,0.69,22.32,81.17,42.07,24.3,8.06
2017-05-16,漳州,28.51,0.7,25.22,66.15,25.67,14.22,6.49
2017-05-17,漳州,51.22,0.68,24.96,90.12,47.1,26.87,8.49
2017-05-18,漳州,54.68,0.64,25.01,99.89,54.13,27.64,8.07
2017-05-19,漳州,51.14,0.67,23.67,83.74,53.46,26.99,8.71
2017-05-20,漳州,48.15,0.67,19.29,88.89,44.55,26.55,5.35
2017-05-21,漳州,40.61,0.59,19.8,86.08,37.43,15.71,6.41
2017-05-22,漳州,44.43,0.6,21.59,83.3,40.96,18.2,6.85
2017-05-23,漳州,43.81,0.63,19.12,88.62,44.15,22.86,6.07
2017-05-24,漳州,48.46,0.79,24.17,51.25,52.35,28.49,7.31
2017-05-25,漳州,39.72,0.76,19.82,94.58,32.56,22.54,4.89
2017-05-26,漳州,58.87,0.73,28.01,82.52,63.0,37.88,8.78
2017-05-27,漳州,67.85,0.77,28.14,100.4,70.22,34.42,12.83
2017-05-28,漳州,75.38,0.73,24.24,113.99,75.51,44.69,12.31
2017-05-29,漳州,52.3,0.68,23.2,90.42,49.17,24.01,10.55
2017-05-30,漳州,43.18,0.61,18.29,84.54,41.8,21.19,6.93
2017-05-31,漳州,51.19,0.7,18.72,76.65,53.15,28.65,8.67
2017-06-01,漳州,49.35,0.73,20.42,62.77,52.88,27.88,5.73
2017-06-02,漳州,36.89,0.71,23.26,43.96,36.62,18.99,4.9
2017-06-03,漳州,38.6,0.86,31.56,52.99,36.18,21.86,6.17
2017-06-04,漳州,37.92,0.78,23.62,62.17,31.56,22.03,5.07
2017-06-05,漳州,44.32,0.79,23.71,77.78,38.5,27.75,4.88
2017-06-06,漳州,63.72,0.67,27.42,60.44,60.67,43.39,6.32
2017-06-07,漳州,40.43,0.58,20.68,53.18,40.57,20.68,5.15
