time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,山南地区,31.18,0.31,6.16,82.63,21.68,8.08,4.53
2017-01-01,拉萨,51.66,0.63,26.43,51.59,62.22,19.72,5.94
2017-01-01,日喀则地区,41.11,0.54,16.08,52.76,38.51,21.34,12.21
2017-01-01,昌都地区,63.32,1.4,38.24,38.11,80.08,35.19,9.79
2017-01-01,林芝地区,48.23,0.52,11.77,76.2,53.82,9.79,4.17
2017-01-01,那曲地区,45.67,1.03,16.89,56.39,18.33,32.19,18.72
2017-01-01,阿里地区,40.87,0.96,22.29,60.71,39.43,21.63,28.61
2017-01-02,山南地区,32.85,0.34,9.05,85.12,25.32,6.97,4.17
2017-01-02,拉萨,54.75,0.71,30.57,47.68,64.1,24.25,6.17
2017-01-02,日喀则地区,28.53,0.38,5.08,75.03,17.63,9.44,10.94
2017-01-02,昌都地区,44.35,0.92,23.8,53.05,50.18,20.92,8.65
2017-01-02,林芝地区,37.1,0.5,8.1,79.33,35.08,9.57,3.95
2017-01-02,那曲地区,44.27,1.06,17.88,57.35,16.67,30.75,22.2
2017-01-02,阿里地区,37.3,0.85,21.16,62.12,31.67,21.37,22.97
2017-01-03,山南地区,33.02,0.38,7.77,94.25,17.73,9.67,4.6
2017-01-03,拉萨,41.17,0.52,15.0,70.29,43.59,16.29,5.75
2017-01-03,日喀则地区,28.02,0.51,10.69,62.6,23.15,10.73,11.02
2017-01-03,昌都地区,49.1,1.04,27.9,55.5,53.82,23.52,8.97
2017-01-03,林芝地区,39.6,0.53,12.4,81.55,35.5,13.6,4.0
2017-01-03,那曲地区,46.81,1.12,18.94,55.64,19.0,32.85,20.06
2017-01-03,阿里地区,39.83,1.01,31.0,53.43,37.8,21.24,37.35
2017-01-04,山南地区,37.02,0.46,9.98,87.06,23.97,19.27,4.98
2017-01-04,拉萨,41.79,0.45,19.87,59.34,43.3,19.59,5.64
2017-01-04,日喀则地区,52.04,0.69,21.33,45.37,42.21,32.74,13.24
2017-01-04,昌都地区,44.19,1.06,27.83,55.06,51.26,24.25,8.46
2017-01-04,林芝地区,35.09,0.5,9.93,84.02,31.2,11.32,3.98
2017-01-04,那曲地区,60.5,1.12,18.6,56.0,9.0,44.04,19.9
2017-01-04,阿里地区,38.73,1.01,29.54,57.02,38.63,10.22,31.67
2017-01-05,山南地区,33.73,0.5,9.78,76.33,26.64,16.38,4.82
2017-01-05,拉萨,48.94,0.47,23.62,52.21,55.32,22.6,5.63
2017-01-05,日喀则地区,40.79,0.68,13.5,54.19,38.21,21.39,11.92
2017-01-05,昌都地区,38.87,0.99,22.65,60.52,42.79,20.39,9.09
2017-01-05,林芝地区,34.25,0.5,8.65,77.69,32.09,9.94,4.04
2017-01-05,那曲地区,39.17,0.88,16.96,55.36,12.83,27.46,19.66
2017-01-05,阿里地区,33.15,0.77,8.09,86.65,24.86,13.64,14.33
2017-01-06,山南地区,35.75,0.55,14.25,81.71,32.39,15.75,5.33
2017-01-06,拉萨,52.34,0.55,29.71,55.04,62.41,24.31,6.89
2017-01-06,日喀则地区,34.61,0.61,11.86,60.52,29.88,13.91,11.98
2017-01-06,昌都地区,50.93,1.35,34.6,51.0,64.62,27.74,9.35
2017-01-06,林芝地区,34.52,0.53,7.94,82.88,28.47,9.9,4.02
2017-01-06,那曲地区,52.77,1.05,21.06,53.56,19.5,37.71,20.96
2017-01-06,阿里地区,33.65,0.8,12.54,81.26,25.51,13.67,19.76
