time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,山南地区,31.18,0.31,6.16,82.63,21.68,8.08,4.53
2017-01-02,山南地区,32.85,0.34,9.05,85.12,25.32,6.97,4.17
2017-01-03,山南地区,33.02,0.38,7.77,94.25,17.73,9.67,4.6
2017-01-04,山南地区,37.02,0.46,9.98,87.06,23.97,19.27,4.98
2017-01-05,山南地区,33.73,0.5,9.78,76.33,26.64,16.38,4.82
2017-01-06,山南地区,35.75,0.55,14.25,81.71,32.39,15.75,5.33
2017-01-07,山南地区,50.23,0.49,9.93,71.8,36.15,32.23,4.67
2017-01-08,山南地区,39.25,0.44,7.23,91.4,36.57,12.94,4.1
2017-01-09,山南地区,39.37,0.48,12.89,86.7,38.98,11.82,4.13
2017-01-10,山南地区,37.29,0.47,8.42,97.65,28.69,9.92,4.29
2017-01-11,山南地区,36.19,0.52,7.88,97.69,27.84,10.69,4.15
2017-01-12,山南地区,34.67,0.55,7.54,95.42,23.34,10.06,4.08
2017-01-13,山南地区,35.0,0.55,8.52,92.12,26.23,9.17,4.0
2017-01-14,山南地区,112.15,0.58,9.11,95.04,189.64,26.43,4.57
2017-01-15,山南地区,57.17,0.65,10.73,77.56,69.94,14.77,5.02
2017-01-16,山南地区,53.52,0.68,14.83,81.88,60.6,18.21,4.56
2017-01-17,山南地区,54.74,0.59,9.46,96.49,60.95,16.26,4.44
2017-01-18,山南地区,44.88,0.6,12.62,83.48,45.88,14.9,4.48
2017-01-19,山南地区,34.48,0.64,10.73,74.44,29.33,11.13,5.19
2017-01-20,山南地区,136.96,0.56,12.02,73.37,305.6,38.76,5.17
2017-01-21,山南地区,54.75,0.61,14.94,56.88,65.47,16.45,5.79
2017-01-22,山南地区,42.73,0.51,10.33,63.58,45.96,11.93,5.08
2017-01-23,山南地区,64.6,0.45,8.17,83.75,82.91,13.6,4.58
2017-01-24,山南地区,38.29,0.58,14.0,72.52,38.48,13.0,5.62
2017-01-25,山南地区,39.5,0.76,15.25,59.17,41.27,16.57,6.06
2017-01-26,山南地区,38.5,0.87,17.62,45.38,39.3,19.12,6.0
2017-01-27,山南地区,50.0,0.59,8.54,75.92,58.68,14.46,5.46
2017-01-28,山南地区,39.5,0.55,4.54,96.17,36.0,8.59,6.89
2017-01-29,山南地区,42.34,0.64,7.74,85.66,39.81,10.78,5.16
2017-01-30,山南地区,50.1,0.6,7.08,83.38,45.58,23.43,5.06
2017-01-31,山南地区,54.54,0.59,5.92,74.23,71.81,16.39,4.73
2017-02-01,山南地区,50.17,0.63,6.0,90.4,45.53,18.19,4.62
2017-02-02,山南地区,47.83,0.67,6.8,82.41,54.38,16.0,5.13
2017-02-03,山南地区,52.33,0.68,6.4,86.98,59.15,17.88,4.9
2017-02-04,山南地区,41.07,0.84,10.89,67.15,43.27,19.37,5.54
2017-02-05,山南地区,36.1,0.78,8.23,79.27,33.02,13.0,5.25
2017-02-06,山南地区,68.33,0.72,5.47,97.42,89.08,23.67,5.28
2017-02-07,山南地区,73.68,0.75,5.86,114.98,81.69,35.61,4.66
2017-02-08,山南地区,51.14,0.85,8.68,75.16,57.95,21.75,5.02
2017-02-09,山南地区,63.0,0.91,5.17,81.08,79.47,18.38,4.35
2017-02-10,山南地区,55.0,0.84,2.74,103.96,63.83,19.72,4.11
2017-02-11,山南地区,42.06,0.91,6.4,89.31,31.88,22.33,4.77
2017-02-12,山南地区,38.81,0.91,5.85,95.35,30.68,18.19,5.08
2017-02-13,山南地区,36.67,0.94,6.6,92.96,33.16,16.77,5.31
2017-02-14,山南地区,38.12,0.94,5.94,88.19,38.59,12.04,4.96
2017-02-15,山南地区,33.08,1.02,9.96,85.69,22.77,10.54,4.96
2017-02-16,山南地区,32.87,1.1,11.06,76.62,28.57,13.34,5.17
2017-02-17,山南地区,39.1,1.13,13.31,75.92,35.36,14.68,5.15
2017-02-18,山南地区,45.09,1.12,7.98,90.33,45.96,16.59,5.15
2017-02-19,山南地区,42.85,1.16,9.69,75.42,46.86,16.11,4.96
2017-02-20,山南地区,62.8,1.16,4.33,96.57,108.29,17.2,4.54
2017-02-21,山南地区,45.84,1.21,6.8,97.14,49.0,14.18,5.05
2017-02-22,山南地区,47.69,1.17,7.38,101.12,51.19,11.44,5.54
2017-02-23,山南地区,98.87,1.11,3.98,115.09,127.02,19.44,4.7
2017-02-24,山南地区,56.3,1.19,5.83,103.65,65.59,15.67,5.22
2017-02-25,山南地区,166.88,1.24,6.65,97.94,240.06,57.6,6.92
2017-02-26,山南地区,86.31,1.24,5.04,106.67,122.35,26.75,5.65
2017-02-27,山南地区,59.85,1.23,4.31,112.1,71.75,19.44,5.77
2017-02-28,山南地区,37.33,1.21,7.98,96.72,31.8,11.02,5.76
2017-03-01,山南地区,54.0,1.24,6.43,93.22,66.73,18.64,5.28
2017-03-02,山南地区,68.02,1.26,5.0,107.7,71.23,33.35,4.7
2017-03-03,山南地区,45.84,1.28,2.8,116.4,36.49,11.16,4.42
2017-03-04,山南地区,48.5,1.23,6.52,105.06,48.75,14.56,5.44
2017-03-05,山南地区,46.46,1.24,3.12,113.0,42.38,12.04,4.56
2017-03-06,山南地区,42.6,1.29,2.74,120.15,29.53,10.62,4.36
2017-03-07,山南地区,67.88,1.25,4.17,117.58,88.77,17.23,4.52
2017-03-08,山南地区,44.0,1.4,3.3,118.35,38.68,14.05,3.75
2017-03-09,山南地区,45.96,1.46,5.29,122.75,39.09,12.92,4.73
2017-03-10,山南地区,51.04,1.44,3.57,118.83,45.4,13.76,4.72
2017-03-11,山南地区,41.81,1.46,5.67,107.04,35.58,8.15,4.88
2017-03-12,山南地区,54.75,1.44,1.93,139.02,44.88,7.73,4.32
2017-03-13,山南地区,56.25,1.37,4.44,138.59,36.54,21.13,4.72
2017-03-14,山南地区,51.77,0.85,4.04,105.0,61.84,14.67,4.44
2017-03-15,山南地区,52.46,0.92,6.57,110.72,57.15,20.13,5.09
2017-03-16,山南地区,41.06,0.91,5.77,105.0,34.31,18.27,5.02
2017-03-17,山南地区,35.51,1.0,8.22,111.36,20.33,10.02,4.89
2017-03-18,山南地区,41.4,1.05,6.4,130.31,19.19,9.75,4.58
2017-03-19,山南地区,38.19,0.99,5.27,119.02,18.37,10.1,4.71
2017-03-20,山南地区,36.0,1.06,10.92,107.88,22.66,10.96,5.46
2017-03-21,山南地区,40.2,0.9,7.61,116.07,26.9,13.33,4.74
2017-03-22,山南地区,39.31,0.53,9.65,84.08,39.0,16.46,5.21
2017-03-23,山南地区,41.19,0.54,9.5,72.35,42.92,14.52,5.65
2017-03-24,山南地区,50.54,0.48,6.85,88.19,59.73,16.08,5.85
2017-03-25,山南地区,34.12,0.51,8.25,101.33,24.73,10.79,4.92
2017-03-26,山南地区,45.02,0.5,10.23,92.54,48.94,16.29,5.94
2017-03-27,山南地区,38.28,0.59,11.46,92.67,32.62,12.23,6.46
2017-03-28,山南地区,39.58,0.6,8.23,94.98,37.9,13.6,5.29
2017-03-29,山南地区,37.69,0.61,9.48,84.98,36.56,12.1,5.27
2017-03-30,山南地区,40.07,0.7,9.61,90.72,41.26,13.09,4.96
2017-03-31,山南地区,39.15,0.7,10.12,84.02,37.0,13.44,4.77
2017-04-01,山南地区,44.67,0.72,7.63,95.48,47.17,13.82,4.93
2017-04-02,山南地区,36.38,0.68,5.81,101.81,27.81,9.89,3.92
2017-04-03,山南地区,40.23,0.68,7.05,126.25,21.67,8.68,5.58
2017-04-04,山南地区,45.3,0.7,9.09,128.07,33.24,9.07,5.56
2017-04-05,山南地区,37.23,0.7,7.62,110.06,28.77,11.02,5.0
2017-04-06,山南地区,36.35,0.74,7.13,98.78,24.61,12.09,4.83
2017-04-07,山南地区,52.04,0.74,7.17,104.29,60.9,16.04,4.69
2017-04-08,山南地区,45.38,0.78,4.55,109.98,44.3,12.98,4.47
2017-04-09,山南地区,56.39,0.72,3.37,146.83,50.13,14.2,4.2
2017-04-10,山南地区,61.83,0.78,5.1,131.42,70.15,18.0,4.25
2017-04-11,山南地区,61.15,0.76,3.89,160.09,57.09,17.87,4.3
2017-04-12,山南地区,46.38,0.7,4.62,144.6,26.7,9.45,4.4
2017-04-13,山南地区,44.5,0.74,6.17,134.35,26.26,10.26,4.59
2017-04-14,山南地区,46.1,0.78,6.79,106.98,42.4,12.54,5.0
2017-04-15,山南地区,40.45,0.93,8.83,126.72,25.72,12.57,5.23
2017-04-16,山南地区,60.65,0.82,4.88,153.52,59.5,21.44,4.52
2017-04-17,山南地区,51.35,0.83,9.33,128.38,52.17,19.02,4.96
2017-04-18,山南地区,37.17,0.91,13.65,84.24,33.04,13.91,5.41
2017-04-19,山南地区,40.5,0.9,8.88,80.81,41.71,14.65,5.23
2017-04-20,山南地区,35.23,0.95,6.02,90.6,30.55,13.4,5.19
2017-04-21,山南地区,38.56,0.89,6.38,106.04,33.77,13.98,4.88
2017-04-22,山南地区,35.15,0.8,5.17,97.04,28.5,11.45,4.96
2017-04-23,山南地区,34.12,0.22,5.81,100.88,23.92,7.27,5.38
2017-04-24,山南地区,35.94,0.29,9.15,102.42,29.44,9.0,6.09
2017-04-25,山南地区,39.46,0.49,10.5,123.83,18.78,8.45,5.54
2017-04-26,山南地区,44.88,0.41,8.38,113.48,34.08,15.17,5.64
2017-04-27,山南地区,53.93,0.46,2.57,154.2,24.37,10.98,4.07
2017-04-28,山南地区,54.96,0.53,4.32,150.85,30.55,17.3,4.79
2017-04-29,山南地区,62.86,0.67,7.34,147.43,51.3,20.82,5.34
2017-04-30,山南地区,53.54,0.7,5.54,154.96,27.8,15.69,5.12
2017-05-01,山南地区,46.39,0.71,4.54,135.26,23.0,15.41,4.72
2017-05-02,山南地区,50.54,0.5,3.17,140.15,42.51,12.77,4.5
2017-05-03,山南地区,45.91,0.3,5.74,111.34,42.22,17.91,4.96
2017-05-04,山南地区,36.73,0.34,3.66,112.9,29.93,13.5,4.5
2017-05-05,山南地区,41.47,0.49,3.66,130.91,19.2,10.66,4.04
2017-05-06,山南地区,37.46,0.47,7.14,114.27,23.43,9.03,5.95
2017-05-07,山南地区,42.09,0.41,7.03,123.85,29.0,11.64,5.03
2017-05-08,山南地区,43.55,0.41,5.37,113.97,34.05,10.97,5.18
2017-05-09,山南地区,38.54,0.41,4.94,110.67,26.59,12.63,5.23
2017-05-10,山南地区,47.55,0.43,4.32,147.55,18.82,8.86,4.19
2017-05-11,山南地区,57.0,0.49,4.09,132.89,46.57,12.18,4.47
