time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,拉萨,51.66,0.63,26.43,51.59,62.22,19.72,5.94
2017-01-02,拉萨,54.75,0.71,30.57,47.68,64.1,24.25,6.17
2017-01-03,拉萨,41.17,0.52,15.0,70.29,43.59,16.29,5.75
2017-01-04,拉萨,41.79,0.45,19.87,59.34,43.3,19.59,5.64
2017-01-05,拉萨,48.94,0.47,23.62,52.21,55.32,22.6,5.63
2017-01-06,拉萨,52.34,0.55,29.71,55.04,62.41,24.31,6.89
2017-01-07,拉萨,79.29,0.75,34.06,47.56,105.22,38.33,7.33
2017-01-08,拉萨,84.0,0.88,37.45,51.9,113.36,37.98,8.22
2017-01-09,拉萨,67.72,0.54,19.0,66.91,86.04,27.99,6.07
2017-01-10,拉萨,45.55,0.44,14.09,79.91,50.57,16.75,5.58
2017-01-11,拉萨,46.68,0.37,11.05,81.58,50.88,15.65,5.0
2017-01-12,拉萨,50.8,0.5,18.56,72.39,58.48,22.37,5.62
2017-01-13,拉萨,52.65,0.55,20.66,69.91,61.46,23.28,5.47
2017-01-14,拉萨,51.11,0.5,17.28,77.12,59.11,19.01,4.94
2017-01-15,拉萨,68.85,0.77,34.59,50.1,88.86,30.89,6.72
2017-01-16,拉萨,85.57,1.09,39.49,56.28,115.12,49.0,7.66
2017-01-17,拉萨,60.18,0.58,18.05,78.43,71.49,25.69,4.49
2017-01-18,拉萨,67.31,0.88,28.4,56.95,81.64,35.62,6.23
2017-01-19,拉萨,52.46,0.94,33.68,39.34,61.08,28.11,5.86
2017-01-20,拉萨,40.84,0.62,17.38,61.74,44.47,17.22,5.36
2017-01-21,拉萨,52.57,0.75,24.47,46.93,62.28,23.69,5.96
2017-01-22,拉萨,56.47,0.83,28.24,41.37,68.85,29.51,6.59
2017-01-23,拉萨,47.77,0.63,17.04,66.48,54.54,16.99,5.24
2017-01-24,拉萨,39.22,0.76,23.94,61.77,41.55,18.64,5.92
2017-01-25,拉萨,44.82,0.76,23.67,53.29,49.58,23.12,5.66
2017-01-26,拉萨,72.66,1.18,40.8,28.32,88.22,47.28,9.33
2017-01-27,拉萨,69.34,0.76,21.44,56.29,77.75,41.84,6.89
2017-01-28,拉萨,45.0,0.48,8.6,77.95,45.17,16.88,6.1
2017-01-29,拉萨,53.07,0.61,16.9,63.52,59.12,18.19,6.62
2017-01-30,拉萨,49.56,0.79,28.47,48.94,55.96,26.67,8.9
2017-01-31,拉萨,36.52,0.58,13.35,60.07,38.13,14.75,7.67
2017-02-01,拉萨,82.86,0.52,7.68,77.58,112.69,21.77,7.56
2017-02-02,拉萨,35.44,0.55,9.6,72.18,35.78,11.66,6.83
2017-02-03,拉萨,43.88,0.65,16.78,64.62,46.42,19.45,7.18
2017-02-04,拉萨,53.69,0.8,23.66,58.25,62.43,29.86,8.09
2017-02-05,拉萨,48.83,0.81,25.15,59.48,54.38,26.87,7.87
2017-02-06,拉萨,78.06,0.65,15.13,77.69,104.21,25.99,6.78
2017-02-07,拉萨,56.14,0.62,12.19,100.01,64.57,18.59,6.33
2017-02-08,拉萨,50.17,0.78,23.55,60.7,55.13,27.79,7.01
2017-02-09,拉萨,63.64,0.72,21.4,59.41,73.21,30.66,6.67
2017-02-10,拉萨,52.28,0.55,10.8,86.2,63.52,18.69,5.24
2017-02-11,拉萨,37.64,0.57,14.78,84.37,35.22,12.83,5.43
2017-02-12,拉萨,42.81,0.68,22.58,62.65,45.27,20.41,6.42
2017-02-13,拉萨,49.67,0.79,27.06,56.02,55.45,24.58,7.01
2017-02-14,拉萨,41.95,0.63,15.19,70.41,44.35,13.28,5.62
2017-02-15,拉萨,43.06,0.81,25.18,66.99,45.19,21.16,5.49
2017-02-16,拉萨,47.26,0.8,23.91,59.81,50.08,24.34,5.42
2017-02-17,拉萨,51.07,0.97,30.23,52.61,59.79,24.45,7.01
2017-02-18,拉萨,83.76,1.15,40.66,47.62,112.33,44.19,7.81
2017-02-19,拉萨,61.89,0.95,27.21,53.97,74.19,27.56,6.74
2017-02-20,拉萨,63.78,0.91,22.09,62.98,77.9,23.22,6.46
2017-02-21,拉萨,78.66,0.84,16.64,70.88,105.36,24.82,6.52
2017-02-22,拉萨,74.71,0.68,9.45,90.38,101.71,26.14,5.93
2017-02-23,拉萨,61.26,0.65,16.04,97.49,76.75,23.35,6.01
2017-02-24,拉萨,79.08,0.62,10.93,91.56,103.96,26.32,5.17
2017-02-25,拉萨,197.12,0.7,16.35,79.29,306.76,72.87,10.03
2017-02-26,拉萨,75.2,0.72,18.54,73.04,98.34,35.39,5.73
2017-02-27,拉萨,53.42,0.67,10.35,102.25,59.1,22.13,5.2
2017-02-28,拉萨,39.4,0.73,14.88,74.98,39.9,15.46,4.87
2017-03-01,拉萨,45.94,0.78,22.49,65.56,50.52,18.59,4.94
2017-03-02,拉萨,53.09,0.65,19.87,77.17,59.45,20.56,4.8
2017-03-03,拉萨,57.1,0.5,10.9,98.25,68.03,16.89,4.54
2017-03-04,拉萨,63.39,0.62,24.88,72.88,76.7,23.1,4.97
2017-03-05,拉萨,57.1,0.5,7.51,91.18,68.88,20.23,4.26
2017-03-06,拉萨,52.67,0.61,12.63,93.23,49.64,22.6,4.72
2017-03-07,拉萨,69.8,0.6,12.6,93.67,91.18,18.53,5.24
2017-03-08,拉萨,49.47,0.63,13.46,90.88,51.77,19.94,6.2
2017-03-09,拉萨,51.17,0.73,21.53,87.6,56.03,20.56,5.51
2017-03-10,拉萨,73.63,0.72,14.8,89.75,97.89,26.79,5.76
