time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,日喀则地区,41.11,0.54,16.08,52.76,38.51,21.34,12.21
2017-01-02,日喀则地区,28.53,0.38,5.08,75.03,17.63,9.44,10.94
2017-01-03,日喀则地区,28.02,0.51,10.69,62.6,23.15,10.73,11.02
2017-01-04,日喀则地区,52.04,0.69,21.33,45.37,42.21,32.74,13.24
2017-01-05,日喀则地区,40.79,0.68,13.5,54.19,38.21,21.39,11.92
2017-01-06,日喀则地区,34.61,0.61,11.86,60.52,29.88,13.91,11.98
2017-01-07,日喀则地区,48.7,0.86,17.95,49.09,47.84,26.07,11.61
2017-01-08,日喀则地区,47.54,0.51,8.22,76.3,55.8,14.85,11.0
2017-01-09,日喀则地区,46.67,0.51,7.3,69.83,54.57,18.1,10.46
2017-01-10,日喀则地区,44.0,0.53,7.3,80.2,46.76,14.17,11.41
2017-01-11,日喀则地区,40.92,0.58,8.15,73.46,43.98,14.12,10.65
2017-01-12,日喀则地区,66.0,0.62,11.33,72.07,83.6,25.1,11.07
2017-01-13,日喀则地区,45.17,0.65,10.0,72.83,46.98,18.16,11.63
2017-01-14,日喀则地区,43.55,0.62,8.32,77.86,37.9,19.43,12.3
2017-01-15,日喀则地区,49.4,1.06,16.88,48.24,46.79,25.05,11.12
2017-01-16,日喀则地区,39.79,0.64,5.88,78.5,39.51,14.0,9.9
2017-01-17,日喀则地区,33.69,0.65,7.02,80.71,26.17,12.6,10.92
2017-01-18,日喀则地区,31.65,0.62,6.67,77.1,22.93,9.58,11.93
2017-01-19,日喀则地区,29.59,0.68,8.2,62.18,22.57,11.78,11.95
2017-01-20,日喀则地区,32.09,0.63,8.0,70.59,22.23,11.77,10.82
2017-01-21,日喀则地区,35.67,0.72,11.93,56.95,31.95,17.76,13.2
2017-01-22,日喀则地区,57.11,0.93,17.82,46.8,53.93,34.43,12.02
2017-01-23,日喀则地区,30.79,0.68,7.48,69.6,24.27,12.08,11.57
2017-01-24,日喀则地区,41.34,0.86,14.48,57.86,40.76,18.95,12.75
2017-01-25,日喀则地区,46.26,0.99,18.16,35.68,46.0,28.08,11.82
2017-01-26,日喀则地区,88.41,1.28,28.82,21.91,100.76,58.59,30.64
2017-01-27,日喀则地区,95.61,0.97,14.15,53.96,107.37,73.72,18.87
2017-01-28,日喀则地区,40.88,0.76,4.52,80.38,36.72,15.77,15.08
2017-01-29,日喀则地区,29.5,0.83,6.89,59.55,26.09,13.71,12.36
2017-01-30,日喀则地区,46.22,1.12,12.8,46.85,38.03,28.05,13.17
2017-01-31,日喀则地区,37.06,0.73,4.88,62.77,37.41,11.81,10.48
2017-02-01,日喀则地区,31.54,0.73,5.83,78.29,21.5,9.8,11.44
2017-02-02,日喀则地区,41.65,0.81,6.94,60.4,48.35,15.41,10.69
2017-02-03,日喀则地区,47.0,0.82,9.71,68.21,51.0,18.14,11.48
2017-02-04,日喀则地区,46.55,0.98,14.45,47.0,44.97,24.14,11.35
2017-02-05,日喀则地区,55.5,1.01,15.75,55.35,53.91,33.34,11.75
2017-02-06,日喀则地区,65.93,0.95,7.81,79.36,81.84,20.97,10.4
2017-02-07,日喀则地区,34.67,0.74,4.62,99.81,18.31,11.23,9.95
2017-02-08,日喀则地区,38.46,0.88,8.76,60.63,38.36,15.54,11.65
2017-02-09,日喀则地区,32.92,0.77,4.85,74.77,27.4,11.36,10.31
2017-02-10,日喀则地区,32.73,0.76,5.41,79.8,26.91,13.12,11.16
2017-02-11,日喀则地区,29.07,0.83,6.18,70.7,21.9,9.32,10.43
2017-02-12,日喀则地区,37.59,0.93,13.43,65.5,31.08,17.82,11.48
2017-02-13,日喀则地区,29.32,0.86,10.47,73.92,18.32,12.18,11.2
2017-02-14,日喀则地区,38.03,1.04,16.06,57.47,38.12,19.3,11.81
2017-02-15,日喀则地区,72.07,0.56,18.11,70.68,100.04,17.5,14.36
2017-02-16,日喀则地区,36.73,0.65,21.48,50.02,32.6,17.98,12.57
2017-02-17,日喀则地区,35.24,0.67,23.71,45.0,30.33,16.4,12.64
2017-02-18,日喀则地区,51.4,0.63,22.52,53.48,58.35,20.38,13.0
2017-02-19,日喀则地区,37.69,0.58,16.21,54.52,35.07,19.91,11.48
2017-02-20,日喀则地区,34.62,0.48,6.08,81.48,32.02,9.14,10.04
2017-02-21,日喀则地区,49.46,0.42,6.43,84.41,62.08,12.3,10.04
2017-02-22,日喀则地区,39.92,0.45,10.08,80.79,40.59,13.26,10.65
2017-02-23,日喀则地区,38.58,0.42,6.92,98.73,30.38,10.1,10.58
2017-02-24,日喀则地区,43.0,0.4,6.33,94.85,42.23,9.45,10.17
2017-02-25,日喀则地区,71.93,0.51,16.86,65.48,98.48,25.55,11.45
2017-02-26,日喀则地区,53.96,0.42,5.67,99.46,68.72,13.66,10.54
2017-02-27,日喀则地区,37.65,0.44,6.52,96.48,29.53,9.7,10.31
