time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,昌都地区,63.32,1.4,38.24,38.11,80.08,35.19,9.79
2017-01-02,昌都地区,44.35,0.92,23.8,53.05,50.18,20.92,8.65
2017-01-03,昌都地区,49.1,1.04,27.9,55.5,53.82,23.52,8.97
2017-01-04,昌都地区,44.19,1.06,27.83,55.06,51.26,24.25,8.46
2017-01-05,昌都地区,38.87,0.99,22.65,60.52,42.79,20.39,9.09
2017-01-06,昌都地区,50.93,1.35,34.6,51.0,64.62,27.74,9.35
2017-01-07,昌都地区,59.91,1.55,36.87,51.43,75.74,38.27,10.65
2017-01-08,昌都地区,42.25,1.15,24.85,58.83,47.4,21.94,8.98
2017-01-09,昌都地区,50.21,1.11,24.77,65.26,57.03,20.82,8.9
2017-01-10,昌都地区,49.11,1.17,28.17,64.24,55.57,25.13,10.7
2017-01-11,昌都地区,45.26,1.07,21.54,70.13,48.68,20.37,8.72
2017-01-12,昌都地区,40.5,1.03,18.25,76.33,42.56,19.83,8.73
2017-01-13,昌都地区,40.92,1.09,20.38,73.04,38.9,20.81,8.69
2017-01-14,昌都地区,44.98,1.12,22.52,67.58,49.91,22.75,8.81
2017-01-15,昌都地区,46.64,1.3,23.86,63.3,54.34,25.61,9.59
2017-01-16,昌都地区,56.56,1.32,30.56,56.54,69.2,33.3,9.56
2017-01-17,昌都地区,51.64,1.21,24.77,65.86,55.23,28.86,9.3
2017-01-18,昌都地区,58.44,1.46,30.69,57.0,71.98,36.55,10.85
2017-01-19,昌都地区,47.98,1.24,23.33,57.19,54.93,26.26,9.48
2017-01-20,昌都地区,53.58,1.4,27.4,52.42,69.0,34.27,10.02
2017-01-21,昌都地区,39.98,1.18,18.36,58.17,46.39,18.38,9.05
2017-01-22,昌都地区,58.25,1.71,28.62,50.06,72.95,38.85,10.79
2017-01-23,昌都地区,64.21,1.53,27.5,46.35,70.85,43.3,10.15
2017-01-24,昌都地区,40.62,1.21,18.48,61.42,42.52,23.25,9.54
2017-01-25,昌都地区,53.52,1.63,27.79,52.54,66.31,34.69,10.08
2017-01-26,昌都地区,66.53,1.83,29.94,39.38,83.93,45.26,10.26
2017-01-27,昌都地区,39.46,1.26,15.79,55.81,41.65,23.84,9.12
2017-01-28,昌都地区,59.57,1.23,15.3,62.91,64.28,39.81,14.07
2017-01-29,昌都地区,45.2,1.13,10.09,73.96,49.8,19.63,8.87
2017-01-30,昌都地区,37.67,1.2,10.81,66.4,34.2,19.88,8.77
2017-01-31,昌都地区,34.62,1.21,10.94,67.48,31.73,17.62,8.94
2017-02-01,昌都地区,32.52,1.18,8.24,65.69,31.13,15.12,9.05
2017-02-02,昌都地区,26.44,1.13,9.09,72.38,18.2,10.4,9.41
2017-02-03,昌都地区,35.12,1.23,12.08,71.17,32.54,17.61,9.17
2017-02-04,昌都地区,41.45,1.4,14.75,63.02,39.0,22.92,9.18
2017-02-05,昌都地区,37.21,1.67,14.0,64.0,32.53,15.81,12.79
2017-02-06,昌都地区,43.6,1.26,13.75,107.3,29.79,13.5,8.9
2017-02-07,昌都地区,48.46,1.3,15.49,83.32,51.71,18.83,9.51
2017-02-08,昌都地区,40.62,1.37,16.75,72.56,41.98,19.91,9.29
2017-02-09,昌都地区,39.8,1.39,15.35,59.65,44.0,18.53,9.4
2017-02-10,昌都地区,44.75,1.51,18.77,64.6,47.15,21.17,9.33
2017-02-11,昌都地区,39.48,1.32,12.96,90.37,31.95,18.07,9.78
2017-02-12,昌都地区,36.38,1.35,15.46,75.06,35.05,18.46,10.48
2017-02-13,昌都地区,34.64,1.03,13.1,66.1,32.13,19.49,9.12
2017-02-14,昌都地区,31.57,1.01,18.43,67.62,27.81,15.83,9.71
2017-02-15,昌都地区,39.43,1.05,18.28,70.39,34.15,22.04,10.41
