time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,林芝地区,48.23,0.52,11.77,76.2,53.82,9.79,4.17
2017-01-02,林芝地区,37.1,0.5,8.1,79.33,35.08,9.57,3.95
2017-01-03,林芝地区,39.6,0.53,12.4,81.55,35.5,13.6,4.0
2017-01-04,林芝地区,35.09,0.5,9.93,84.02,31.2,11.32,3.98
2017-01-05,林芝地区,34.25,0.5,8.65,77.69,32.09,9.94,4.04
2017-01-06,林芝地区,34.52,0.53,7.94,82.88,28.47,9.9,4.02
2017-01-07,林芝地区,36.65,0.44,7.93,78.78,34.51,10.72,4.0
2017-01-08,林芝地区,36.0,0.31,6.96,93.52,29.08,8.52,3.9
2017-01-09,林芝地区,36.61,0.36,7.11,86.7,32.8,10.85,3.89
2017-01-10,林芝地区,41.9,0.38,7.08,88.67,44.95,12.98,3.79
2017-01-11,林芝地区,36.58,0.41,7.88,86.21,35.08,9.77,3.79
2017-01-12,林芝地区,42.0,0.44,7.21,95.02,41.04,11.83,3.96
2017-01-13,林芝地区,35.21,0.45,8.9,87.0,31.31,11.42,4.08
2017-01-14,林芝地区,37.85,0.49,10.62,81.5,33.45,13.48,4.08
2017-01-15,林芝地区,40.31,0.5,11.06,73.08,42.79,12.85,4.5
2017-01-16,林芝地区,44.7,0.47,9.26,81.35,46.37,11.22,4.33
2017-01-17,林芝地区,40.9,0.47,6.48,89.17,38.15,12.42,4.02
2017-01-18,林芝地区,42.08,0.49,7.92,81.19,43.66,14.04,3.98
2017-01-19,林芝地区,43.15,0.47,9.04,73.46,46.73,14.06,4.19
2017-01-20,林芝地区,43.77,0.47,8.38,78.62,46.11,13.4,4.21
2017-01-21,林芝地区,48.9,0.51,16.5,56.83,57.44,19.38,4.42
2017-01-22,林芝地区,47.71,0.34,10.88,58.79,56.98,16.06,4.19
2017-01-23,林芝地区,40.23,0.25,8.06,77.83,40.43,15.4,4.15
2017-01-24,林芝地区,37.5,0.36,14.04,61.56,37.41,15.19,4.4
2017-01-25,林芝地区,35.17,0.38,13.0,61.85,33.98,11.75,4.52
2017-01-26,林芝地区,43.35,0.5,15.59,50.32,50.03,16.35,4.38
2017-01-27,林芝地区,47.81,0.33,8.42,67.17,55.32,12.52,4.73
2017-01-28,林芝地区,37.57,0.29,5.48,93.78,32.11,12.63,5.93
2017-01-29,林芝地区,35.24,0.34,6.15,80.24,34.71,11.15,4.11
2017-01-30,林芝地区,38.12,0.37,6.35,78.17,37.37,12.85,4.08
2017-01-31,林芝地区,40.35,0.38,6.08,85.52,37.89,16.1,3.96
2017-02-01,林芝地区,33.48,0.45,6.25,89.25,28.54,13.02,4.06
2017-02-02,林芝地区,34.77,0.44,6.42,88.1,28.64,11.12,4.06
2017-02-03,林芝地区,36.35,0.45,9.6,75.46,36.4,12.7,4.46
2017-02-04,林芝地区,37.54,0.47,15.48,63.72,35.35,16.2,4.85
2017-02-05,林芝地区,37.88,0.27,10.73,64.44,40.32,13.02,4.5
2017-02-06,林芝地区,63.69,0.26,7.9,74.54,80.91,16.25,4.48
2017-02-07,林芝地区,36.65,0.32,6.07,98.02,30.31,13.33,4.17
2017-02-08,林芝地区,37.67,0.33,7.15,85.96,36.5,13.04,4.38
2017-02-09,林芝地区,46.92,0.36,7.44,75.88,47.49,20.98,4.29
2017-02-10,林芝地区,42.6,0.46,6.04,101.98,35.07,15.1,4.15
2017-02-11,林芝地区,37.76,0.5,6.38,103.04,29.57,14.11,4.33
2017-02-12,林芝地区,34.19,0.51,6.75,88.21,28.41,14.88,4.25
2017-02-13,林芝地区,40.42,0.35,6.08,98.73,36.2,20.94,4.19
2017-02-14,林芝地区,37.81,0.27,6.9,91.69,34.33,16.1,4.29
2017-02-15,林芝地区,36.65,0.26,11.52,81.62,32.32,14.0,4.69
