time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,那曲地区,45.67,1.03,16.89,56.39,18.33,32.19,18.72
2017-01-02,那曲地区,44.27,1.06,17.88,57.35,16.67,30.75,22.2
2017-01-03,那曲地区,46.81,1.12,18.94,55.64,19.0,32.85,20.06
2017-01-04,那曲地区,60.5,1.12,18.6,56.0,9.0,44.04,19.9
2017-01-05,那曲地区,39.17,0.88,16.96,55.36,12.83,27.46,19.66
2017-01-06,那曲地区,52.77,1.05,21.06,53.56,19.5,37.71,20.96
2017-01-07,那曲地区,45.65,0.92,18.15,56.52,27.64,32.51,17.98
2017-01-08,那曲地区,47.75,0.95,16.33,58.21,35.31,32.92,19.35
2017-01-09,那曲地区,49.78,1.03,20.11,55.87,41.44,35.0,19.59
2017-01-10,那曲地区,40.29,0.85,13.73,60.21,34.18,27.46,18.4
2017-01-11,那曲地区,49.42,0.86,14.15,58.79,16.44,34.4,18.08
2017-01-12,那曲地区,45.1,0.86,14.98,57.52,31.27,31.85,19.08
2017-01-13,那曲地区,38.31,0.84,15.19,55.5,29.81,25.12,19.27
2017-01-14,那曲地区,45.21,0.98,18.9,53.4,51.29,28.91,20.19
2017-01-15,那曲地区,47.42,1.14,19.62,53.52,48.05,33.11,21.85
2017-01-16,那曲地区,54.27,1.27,21.58,51.85,61.94,37.35,21.42
2017-01-17,那曲地区,58.38,1.22,21.06,52.73,73.0,41.38,20.81
2017-01-18,那曲地区,50.79,1.08,19.33,51.67,59.83,34.66,20.12
2017-01-19,那曲地区,50.56,1.17,20.23,50.4,54.64,34.47,21.92
2017-01-20,那曲地区,46.96,1.24,21.0,50.85,51.32,32.59,20.9
2017-01-21,那曲地区,46.1,1.09,18.92,50.77,51.22,33.75,22.44
2017-01-22,那曲地区,44.85,0.98,15.94,52.47,50.68,30.0,19.6
2017-01-23,那曲地区,49.21,1.25,18.5,51.94,55.59,34.68,20.92
2017-01-24,那曲地区,46.4,1.21,20.17,53.58,50.29,31.49,22.75
2017-01-25,那曲地区,50.81,1.2,19.38,51.1,62.79,35.57,22.83
2017-01-26,那曲地区,57.5,1.58,25.15,43.71,73.47,42.03,21.47
2017-01-27,那曲地区,42.02,1.02,15.21,43.88,46.95,28.37,19.33
2017-01-28,那曲地区,44.17,0.96,14.33,45.04,48.62,26.3,18.54
2017-01-29,那曲地区,50.65,1.21,17.26,46.83,56.96,34.87,21.09
2017-01-30,那曲地区,36.4,1.05,17.38,41.93,32.95,23.45,20.67
2017-01-31,那曲地区,36.42,0.72,12.69,54.77,32.43,23.44,17.69
2017-02-01,那曲地区,35.42,0.77,15.08,55.25,29.83,24.2,18.83
2017-02-02,那曲地区,35.6,0.82,14.85,53.69,28.8,23.56,18.35
2017-02-03,那曲地区,45.15,0.94,16.5,55.04,45.61,32.0,21.19
2017-02-04,那曲地区,52.61,1.36,21.83,51.89,66.05,38.09,22.46
2017-02-05,那曲地区,46.62,1.19,19.12,53.56,57.0,30.63,21.25
2017-02-06,那曲地区,63.92,1.26,20.33,54.27,93.0,43.44,23.31
2017-02-07,那曲地区,38.5,0.73,12.13,63.09,36.64,23.3,17.65
2017-02-08,那曲地区,50.65,0.87,16.75,52.54,58.92,33.71,20.29
2017-02-09,那曲地区,46.21,0.95,16.73,54.65,52.62,30.58,19.92
2017-02-10,那曲地区,45.02,0.84,15.71,60.81,48.65,28.42,20.38
2017-02-11,那曲地区,39.9,0.83,16.08,60.73,38.62,27.26,20.25
2017-02-12,那曲地区,43.52,0.92,16.06,53.38,45.41,30.33,21.96
2017-02-13,那曲地区,38.85,0.87,16.88,53.79,32.95,25.3,20.21
2017-02-14,那曲地区,37.23,0.87,15.44,54.92,33.46,23.71,19.96
2017-02-15,那曲地区,50.08,1.18,21.52,52.42,59.21,34.81,22.67
2017-02-16,那曲地区,58.92,1.1,19.19,51.15,55.93,42.42,20.83
2017-02-17,那曲地区,53.5,1.14,19.44,50.56,59.37,37.06,21.46
2017-02-18,那曲地区,46.21,0.95,16.52,57.9,56.57,30.26,20.21
2017-02-19,那曲地区,59.38,1.23,19.46,49.25,77.17,41.44,21.12
2017-02-20,那曲地区,50.19,0.99,17.52,54.46,60.21,35.24,20.25
