time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,六盘水,94.37,1.11,29.25,43.57,106.9,66.36,23.48
2017-01-01,安顺,72.33,0.92,25.59,61.21,67.82,52.84,70.03
2017-01-01,毕节,125.71,1.14,34.13,28.53,110.95,94.84,20.03
2017-01-01,贵阳,99.58,1.24,48.3,36.36,127.61,70.88,42.46
2017-01-01,遵义,113.79,1.09,46.61,42.74,133.64,85.25,33.79
2017-01-01,铜仁地区,103.74,1.62,39.66,26.97,146.89,71.29,23.5
2017-01-01,黔东南州,113.26,1.28,48.24,18.47,113.21,85.24,25.05
2017-01-01,黔南州,99.58,0.54,30.37,32.42,116.42,72.05,30.16
2017-01-01,黔西南州,86.66,2.05,40.79,12.0,113.24,52.81,19.5
2017-01-02,六盘水,145.33,1.21,28.51,41.66,164.48,109.94,23.11
2017-01-02,安顺,87.79,0.94,26.16,45.56,78.03,64.78,38.94
2017-01-02,毕节,71.58,1.15,48.27,26.23,65.7,52.67,18.02
2017-01-02,贵阳,97.56,1.08,34.72,40.79,103.11,72.04,24.77
2017-01-02,遵义,92.01,1.1,44.62,30.24,102.51,67.54,26.49
2017-01-02,铜仁地区,118.28,1.51,30.73,33.75,161.4,87.7,26.52
2017-01-02,黔东南州,130.62,1.2,41.77,19.95,129.45,99.1,12.8
2017-01-02,黔南州,112.85,0.73,23.7,38.95,111.05,84.9,36.85
2017-01-02,黔西南州,77.2,1.91,31.57,20.73,102.75,38.85,21.85
2017-01-03,六盘水,108.17,1.23,32.87,36.75,121.42,80.4,23.59
2017-01-03,安顺,84.43,1.22,31.25,15.31,86.04,62.45,48.54
2017-01-03,毕节,123.65,1.48,44.06,18.1,115.5,92.79,18.27
2017-01-03,贵阳,103.01,1.3,40.02,10.31,105.17,77.03,18.91
2017-01-03,遵义,106.61,1.1,39.24,17.31,109.25,79.84,13.99
2017-01-03,铜仁地区,110.23,1.26,48.5,15.08,159.1,77.42,22.94
2017-01-03,黔东南州,145.98,1.39,42.19,14.88,145.21,110.73,14.21
2017-01-03,黔南州,111.83,0.95,28.96,20.29,107.92,84.25,36.21
2017-01-03,黔西南州,65.12,1.48,20.31,11.54,78.94,26.96,11.85
2017-01-04,六盘水,53.56,0.65,27.69,58.58,49.71,32.4,20.49
2017-01-04,安顺,24.78,0.61,19.44,35.29,20.16,15.44,36.01
2017-01-04,毕节,102.1,3.54,58.98,11.54,90.6,76.27,43.69
2017-01-04,贵阳,40.87,0.81,28.41,22.17,39.71,24.43,16.9
2017-01-04,遵义,94.35,1.36,39.57,10.57,109.25,69.01,28.49
2017-01-04,铜仁地区,119.67,1.37,43.48,15.38,172.45,86.6,21.83
2017-01-04,黔东南州,130.96,1.64,42.56,3.95,139.53,99.67,13.21
2017-01-04,黔南州,51.38,0.81,18.92,20.54,46.09,36.04,26.54
