time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,六盘水,94.37,1.11,29.25,43.57,106.9,66.36,23.48
2017-01-02,六盘水,145.33,1.21,28.51,41.66,164.48,109.94,23.11
2017-01-03,六盘水,108.17,1.23,32.87,36.75,121.42,80.4,23.59
2017-01-04,六盘水,53.56,0.65,27.69,58.58,49.71,32.4,20.49
2017-01-05,六盘水,62.17,0.73,25.7,53.93,66.15,39.25,21.51
2017-01-06,六盘水,55.71,0.97,26.93,53.92,58.23,31.45,24.42
2017-01-07,六盘水,82.99,1.18,30.97,54.93,94.69,56.54,26.56
2017-01-08,六盘水,93.64,0.93,21.7,60.91,103.12,68.38,17.79
2017-01-09,六盘水,84.33,0.94,27.99,57.26,97.87,59.06,17.7
2017-01-10,六盘水,96.43,1.11,30.77,53.88,113.16,68.97,22.14
2017-01-11,六盘水,56.61,1.24,22.67,43.68,61.92,36.72,15.59
2017-01-12,六盘水,46.85,0.78,21.44,58.08,52.42,27.57,15.15
2017-01-13,六盘水,80.41,0.89,26.98,53.2,88.79,57.02,16.0
2017-01-14,六盘水,61.81,0.95,30.22,53.59,62.87,42.78,17.73
2017-01-15,六盘水,60.08,0.91,24.47,51.18,68.06,38.32,15.56
2017-01-16,六盘水,50.57,1.01,25.51,33.03,51.31,32.35,20.62
2017-01-17,六盘水,44.17,0.98,21.89,39.92,44.74,26.41,21.31
2017-01-18,六盘水,59.06,1.1,26.08,36.9,64.07,40.28,24.58
2017-01-19,六盘水,55.84,1.14,26.71,42.04,59.48,37.91,24.53
2017-01-20,六盘水,43.51,0.89,19.38,57.68,39.06,26.71,16.49
2017-01-21,六盘水,59.42,1.18,26.02,66.13,61.67,40.37,23.8
2017-01-22,六盘水,93.69,1.03,23.88,65.75,90.57,69.61,24.23
2017-01-23,六盘水,63.19,1.08,28.12,55.27,55.47,44.33,25.85
2017-01-24,六盘水,52.3,1.16,25.61,46.87,50.23,35.26,26.91
2017-01-25,六盘水,65.92,1.02,22.28,52.28,62.4,46.91,22.57
2017-01-26,六盘水,73.14,0.86,20.06,51.46,68.15,52.93,19.72
2017-01-27,六盘水,59.5,1.01,17.75,70.15,55.56,40.72,20.37
2017-01-28,六盘水,81.71,0.97,23.14,60.78,84.25,58.79,29.84
2017-01-29,六盘水,70.32,0.98,20.73,59.0,72.13,49.46,25.16
2017-01-30,六盘水,94.78,0.87,15.27,57.54,91.1,70.46,19.37
2017-01-31,六盘水,73.75,0.69,16.56,53.22,72.85,52.84,17.44
2017-02-01,六盘水,48.9,0.88,15.37,51.71,46.06,32.14,15.83
2017-02-02,六盘水,51.85,0.96,17.88,48.01,52.05,34.27,18.23
2017-02-03,六盘水,63.22,0.81,15.39,56.05,61.6,44.28,15.75
2017-02-04,六盘水,100.6,1.36,28.96,67.7,110.42,72.72,27.64
2017-02-05,六盘水,92.22,1.01,24.0,72.5,100.02,67.86,21.68
2017-02-06,六盘水,80.38,0.52,13.78,79.06,79.87,58.52,12.97
2017-02-07,六盘水,73.75,0.7,14.21,78.51,75.84,51.87,14.09
2017-02-08,六盘水,48.41,0.99,15.3,74.99,50.1,28.22,17.53
2017-02-09,六盘水,78.75,0.75,16.95,86.53,86.66,55.46,17.54
2017-02-10,六盘水,50.12,0.74,18.26,72.95,44.88,31.68,13.64
2017-02-11,六盘水,62.29,0.64,16.27,78.6,62.33,43.23,14.57
