time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,安顺,72.33,0.92,25.59,61.21,67.82,52.84,70.03
2017-01-02,安顺,87.79,0.94,26.16,45.56,78.03,64.78,38.94
2017-01-03,安顺,84.43,1.22,31.25,15.31,86.04,62.45,48.54
2017-01-04,安顺,24.78,0.61,19.44,35.29,20.16,15.44,36.01
2017-01-05,安顺,24.0,0.49,17.96,38.28,21.15,15.67,36.4
2017-01-06,安顺,25.11,0.45,14.14,42.59,22.84,16.94,25.78
2017-01-07,安顺,70.42,0.78,22.06,34.58,54.09,51.68,23.43
2017-01-08,安顺,69.0,1.24,27.88,19.25,69.44,49.82,28.16
2017-01-09,安顺,36.32,1.18,21.69,20.94,28.87,23.99,23.32
2017-01-10,安顺,45.04,1.06,19.59,23.44,43.92,31.45,18.92
2017-01-11,安顺,18.79,1.12,15.87,30.94,11.54,12.83,17.67
2017-01-12,安顺,25.2,0.77,13.66,41.42,18.71,15.51,23.62
2017-01-13,安顺,45.67,0.63,20.35,48.95,40.79,31.91,41.18
2017-01-14,安顺,36.58,0.9,25.5,23.41,33.6,25.01,33.99
2017-01-15,安顺,36.99,0.72,16.07,34.08,37.26,26.35,30.11
2017-01-16,安顺,29.17,0.82,18.85,22.28,28.44,19.92,22.02
2017-01-17,安顺,33.21,0.84,17.42,32.22,26.25,23.02,25.26
2017-01-18,安顺,25.46,0.98,25.36,12.22,18.76,16.58,26.84
2017-01-19,安顺,31.97,0.82,16.41,34.21,32.43,19.69,22.53
2017-01-20,安顺,39.97,0.61,14.61,51.14,35.11,27.24,19.27
2017-01-21,安顺,48.78,0.65,18.77,52.41,40.11,34.59,28.51
2017-01-22,安顺,85.97,0.68,24.06,57.79,73.38,63.49,45.16
2017-01-23,安顺,88.27,0.61,22.7,50.44,78.27,65.24,32.8
2017-01-24,安顺,51.41,0.54,18.96,56.75,43.04,36.04,23.84
2017-01-25,安顺,98.12,0.73,23.39,41.91,85.06,73.22,42.36
2017-01-26,安顺,70.53,0.6,15.01,53.74,61.49,50.51,27.88
2017-01-27,安顺,47.96,0.66,11.88,50.29,43.05,33.02,24.91
2017-01-28,安顺,50.67,0.32,7.0,70.27,43.78,35.84,12.5
2017-01-29,安顺,57.75,0.6,13.61,58.71,50.26,41.28,33.86
2017-01-30,安顺,69.74,0.76,12.9,35.31,63.24,50.41,27.81
2017-01-31,安顺,42.65,0.59,9.54,42.3,37.37,28.86,10.79
2017-02-01,安顺,23.67,0.84,12.24,35.62,17.64,14.11,18.14
2017-02-02,安顺,19.64,1.1,13.86,12.16,17.08,12.59,22.97
2017-02-03,安顺,22.53,0.91,14.09,21.11,18.86,14.46,20.67
2017-02-04,安顺,46.73,1.14,23.76,34.24,40.81,32.98,67.75
2017-02-05,安顺,45.78,0.97,18.74,47.78,44.16,31.11,57.85
2017-02-06,安顺,37.93,0.5,9.76,48.15,32.13,26.26,15.41
2017-02-07,安顺,30.76,0.53,10.49,54.55,26.01,19.7,16.9
2017-02-08,安顺,21.08,0.82,9.22,52.92,16.48,11.91,17.58
2017-02-09,安顺,48.33,0.58,11.84,64.39,49.53,32.07,22.45
2017-02-10,安顺,61.16,0.66,13.2,57.12,56.78,43.56,25.67
2017-02-11,安顺,41.36,0.42,9.36,72.2,37.34,27.99,39.45
2017-02-12,安顺,57.75,0.51,18.32,71.74,56.56,40.89,51.67
2017-02-13,安顺,76.04,0.62,20.92,77.96,81.06,53.19,38.68
2017-02-14,安顺,82.21,0.61,19.76,78.97,89.43,59.62,32.75
2017-02-15,安顺,102.02,0.83,26.17,75.0,102.14,76.33,44.26
2017-02-16,安顺,63.01,0.64,19.12,86.62,57.11,45.09,31.17
2017-02-17,安顺,56.9,0.58,19.67,75.09,51.99,39.92,35.98
2017-02-18,安顺,91.75,0.62,17.92,78.55,82.16,66.94,26.02
2017-02-19,安顺,44.55,0.43,11.67,91.87,41.31,30.06,14.54
2017-02-20,安顺,44.55,0.46,12.12,88.73,43.22,29.47,15.79
2017-02-21,安顺,47.68,0.54,11.05,84.77,45.22,32.45,10.56
2017-02-22,安顺,35.55,0.7,12.6,51.29,33.97,21.45,12.01
2017-02-23,安顺,30.02,0.5,14.42,56.68,29.7,16.91,17.22
2017-02-24,安顺,28.9,0.53,16.44,45.98,24.27,19.71,26.21
2017-02-25,安顺,32.15,0.47,12.77,58.8,29.51,21.85,31.32
2017-02-26,安顺,39.11,0.56,17.2,57.62,35.76,26.9,39.12
2017-02-27,安顺,56.93,0.55,16.6,57.09,50.8,40.38,37.17
2017-02-28,安顺,62.45,0.67,26.76,49.96,61.98,44.04,62.42
2017-03-01,安顺,67.25,0.65,23.34,69.33,63.46,48.28,58.87
2017-03-02,安顺,71.86,0.62,29.12,62.66,76.37,51.87,71.66
2017-03-03,安顺,82.18,0.56,24.39,76.4,87.36,59.89,39.25
2017-03-04,安顺,80.22,0.65,23.96,51.52,84.22,58.08,36.07
2017-03-05,安顺,70.9,0.58,16.36,66.85,63.11,51.35,21.41
2017-03-06,安顺,38.63,0.5,21.72,63.52,36.21,26.05,31.17
2017-03-07,安顺,40.2,0.61,23.15,50.51,36.62,26.88,26.06
2017-03-08,安顺,36.59,0.7,18.43,58.08,29.92,23.21,29.04
2017-03-09,安顺,24.24,0.69,16.26,51.65,20.1,12.04,19.61
2017-03-10,安顺,38.64,0.76,22.3,29.86,34.98,26.72,30.34
2017-03-11,安顺,28.34,0.76,20.05,29.43,24.3,18.54,30.26
2017-03-12,安顺,22.57,0.91,23.46,32.87,18.49,13.35,41.08
2017-03-13,安顺,25.72,0.7,10.86,62.22,23.21,16.82,16.58
2017-03-14,安顺,34.4,0.72,14.99,65.4,30.74,20.57,22.51
2017-03-15,安顺,23.37,0.72,17.49,39.76,20.81,14.1,25.93
2017-03-16,安顺,43.88,0.61,21.62,44.55,39.77,29.42,23.68
2017-03-17,安顺,17.58,0.65,18.0,27.33,13.51,9.55,24.64
2017-03-18,安顺,20.81,0.63,16.8,46.6,17.28,13.5,28.0
2017-03-19,安顺,23.33,0.62,16.22,51.09,19.09,14.66,23.72
2017-03-20,安顺,38.95,0.69,18.97,49.26,31.87,26.33,23.95
2017-03-21,安顺,31.2,0.72,23.02,29.59,30.85,19.34,30.69
2017-03-22,安顺,26.06,0.69,16.59,47.78,23.25,16.23,29.86
2017-03-23,安顺,38.88,0.53,11.11,90.41,37.73,25.45,12.78
2017-03-24,安顺,31.03,0.72,11.6,58.33,28.24,16.42,14.85
2017-03-25,安顺,23.84,0.46,10.77,63.15,17.28,9.72,17.19
2017-03-26,安顺,42.96,0.44,15.69,81.08,42.52,22.3,32.79
2017-03-27,安顺,45.93,0.47,14.96,76.13,46.55,24.24,23.95
2017-03-28,安顺,57.83,0.6,15.99,72.94,57.7,39.66,20.04
2017-03-29,安顺,44.8,0.64,14.61,57.67,43.21,29.36,19.72
2017-03-30,安顺,35.2,0.69,16.28,73.35,32.76,21.98,26.91
