time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,毕节,125.71,1.14,34.13,28.53,110.95,94.84,20.03
2017-01-02,毕节,71.58,1.15,48.27,26.23,65.7,52.67,18.02
2017-01-03,毕节,123.65,1.48,44.06,18.1,115.5,92.79,18.27
2017-01-04,毕节,102.1,3.54,58.98,11.54,90.6,76.27,43.69
2017-01-05,毕节,78.21,1.51,35.12,20.04,69.94,57.29,26.35
2017-01-06,毕节,76.68,1.0,24.26,42.26,64.7,55.94,14.38
2017-01-07,毕节,96.89,1.16,29.8,50.85,82.11,76.27,16.96
2017-01-08,毕节,62.46,1.41,33.12,31.54,52.58,45.27,15.0
2017-01-09,毕节,28.46,1.46,27.04,20.35,22.5,18.47,11.3
2017-01-10,毕节,22.79,1.57,28.06,24.9,17.12,13.52,14.08
2017-01-11,毕节,16.1,0.97,17.9,25.65,12.31,9.5,9.02
2017-01-12,毕节,26.05,0.73,14.58,42.91,18.39,16.79,8.26
2017-01-13,毕节,46.08,0.63,17.83,55.0,42.33,32.21,11.92
2017-01-14,毕节,41.32,0.77,18.32,37.45,35.81,28.03,9.16
2017-01-15,毕节,49.81,0.97,29.02,37.19,41.65,35.25,14.23
2017-01-16,毕节,40.12,1.18,30.31,15.25,35.4,27.54,13.96
2017-01-17,毕节,44.62,1.27,31.98,17.19,39.42,31.58,25.73
2017-01-18,毕节,36.77,1.27,28.96,12.6,31.59,23.29,13.17
2017-01-19,毕节,31.25,1.16,24.21,30.17,25.51,18.85,10.23
2017-01-20,毕节,51.65,0.94,27.67,38.15,46.9,34.67,13.6
2017-01-21,毕节,44.67,1.13,26.38,38.19,43.44,31.58,13.15
2017-01-22,毕节,86.19,1.26,34.9,29.4,75.42,63.67,15.48
2017-01-23,毕节,72.56,1.19,28.06,36.79,54.0,52.71,12.71
2017-01-24,毕节,57.17,1.2,26.83,31.96,41.52,41.19,10.52
2017-01-25,毕节,93.85,1.33,27.79,31.75,75.0,69.81,16.52
2017-01-26,毕节,71.79,1.31,24.38,30.35,56.0,52.62,13.47
2017-01-27,毕节,42.96,1.19,17.65,45.65,31.98,30.43,10.6
2017-01-28,毕节,142.12,1.52,17.04,26.52,147.37,114.12,15.98
2017-01-29,毕节,57.41,1.06,11.17,48.8,46.53,41.0,5.43
2017-01-30,毕节,69.79,1.19,15.21,31.12,56.33,50.6,10.42
2017-01-31,毕节,27.67,1.07,13.27,33.73,20.67,18.62,5.19
2017-02-01,毕节,19.65,1.18,15.52,31.96,14.35,11.9,5.23
2017-02-02,毕节,23.19,1.53,17.54,15.0,13.97,14.0,9.6
2017-02-03,毕节,19.06,1.38,16.15,27.23,13.47,11.12,7.88
2017-02-04,毕节,60.5,1.67,31.57,36.37,50.07,43.65,17.0
2017-02-05,毕节,70.81,1.5,27.35,28.04,60.4,51.38,14.04
2017-02-06,毕节,35.62,1.31,16.38,32.54,29.19,24.62,10.0
2017-02-07,毕节,16.43,1.27,14.87,42.07,10.45,7.96,8.85
2017-02-08,毕节,21.26,1.22,11.89,48.09,13.42,11.55,7.28
2017-02-09,毕节,47.1,0.8,15.15,59.5,42.9,32.62,12.31
2017-02-10,毕节,30.56,0.86,14.9,47.38,23.92,21.0,7.92
2017-02-11,毕节,53.52,0.95,17.25,38.79,42.91,38.12,9.35
2017-02-12,毕节,80.02,1.25,27.48,27.38,64.96,58.71,15.21
2017-02-13,毕节,91.48,1.22,29.23,34.9,79.23,67.83,14.92
2017-02-14,毕节,43.19,1.14,23.29,39.88,35.02,30.48,11.6
2017-02-15,毕节,82.71,1.62,36.58,21.0,68.24,60.88,15.69
2017-02-16,毕节,73.62,2.22,40.27,29.04,70.21,52.21,20.58
2017-02-17,毕节,85.77,1.47,25.92,60.27,76.39,63.06,14.42
2017-02-18,毕节,87.33,1.42,39.19,39.54,76.77,64.56,22.33
2017-02-19,毕节,52.35,1.21,25.52,64.12,46.08,37.06,19.67
2017-02-20,毕节,97.69,1.13,24.12,65.31,86.21,72.9,15.96
2017-02-21,毕节,69.35,1.35,27.23,40.77,61.66,50.44,12.33
2017-02-22,毕节,30.29,0.85,16.79,46.83,27.29,16.02,7.46
2017-02-23,毕节,28.33,0.76,16.6,52.4,27.77,15.31,7.4
2017-02-24,毕节,25.5,0.85,17.77,43.94,22.25,16.1,11.25
2017-02-25,毕节,31.42,0.77,14.62,55.46,28.44,21.21,8.31
2017-02-26,毕节,55.56,1.12,32.08,28.33,52.0,39.29,30.96
2017-02-27,毕节,49.33,1.1,29.94,31.5,40.81,34.69,14.25
2017-02-28,毕节,37.27,1.13,25.58,32.54,31.54,25.88,15.94
2017-03-01,毕节,60.06,0.94,18.67,65.96,51.38,42.92,10.69
2017-03-02,毕节,84.15,1.19,29.24,46.7,75.7,61.98,21.78
2017-03-03,毕节,44.1,1.09,29.79,43.73,38.06,30.1,19.65
2017-03-04,毕节,51.25,0.94,24.1,57.3,42.69,35.62,13.77
2017-03-05,毕节,41.92,0.97,23.02,62.17,33.5,28.71,9.77
2017-03-06,毕节,17.6,0.89,22.19,48.1,11.71,8.02,12.27
2017-03-07,毕节,19.67,0.88,21.15,52.5,11.42,8.52,11.54
2017-03-08,毕节,29.66,0.95,24.02,45.86,22.89,19.3,15.84
2017-03-09,毕节,27.21,1.08,28.35,26.35,22.27,18.54,11.6
2017-03-10,毕节,24.02,1.11,25.62,24.15,20.92,15.25,12.81
2017-03-11,毕节,23.85,1.18,26.23,22.21,18.29,15.17,15.71
2017-03-12,毕节,22.98,1.21,21.17,23.46,19.27,14.83,17.06
2017-03-13,毕节,16.04,1.09,16.44,41.77,12.88,8.73,13.02
2017-03-14,毕节,25.81,1.13,23.25,42.7,18.56,15.17,18.38
2017-03-15,毕节,14.0,1.07,19.35,30.28,11.87,7.57,14.02
2017-03-16,毕节,21.15,1.16,23.54,37.06,18.85,13.42,15.51
2017-03-17,毕节,16.39,1.12,22.02,27.0,13.59,10.43,14.7
2017-03-18,毕节,27.77,1.14,21.27,38.06,21.49,17.04,39.27
2017-03-19,毕节,35.27,1.05,21.71,32.77,33.77,22.67,20.23
2017-03-20,毕节,37.92,1.14,21.33,57.25,33.67,24.88,15.92
2017-03-21,毕节,43.12,1.12,28.5,36.38,37.29,30.33,17.21
2017-03-22,毕节,38.29,1.17,27.29,42.73,35.5,24.96,19.56
2017-03-23,毕节,56.98,1.13,29.11,44.96,57.54,39.98,18.27
2017-03-24,毕节,17.0,1.04,15.62,49.98,10.54,5.88,10.46
2017-03-25,毕节,26.6,0.78,14.79,59.21,17.67,13.77,9.94
2017-03-26,毕节,35.6,0.95,23.35,48.54,29.77,23.06,14.23
2017-03-27,毕节,43.48,0.99,23.35,56.26,42.61,29.43,17.85
2017-03-28,毕节,66.44,1.16,28.46,42.71,65.58,47.69,19.5
2017-03-29,毕节,72.6,1.11,27.94,38.17,67.79,52.85,16.54
2017-03-30,毕节,29.56,0.98,15.85,69.58,24.52,18.0,15.79
2017-03-31,毕节,34.42,0.94,24.06,69.44,27.96,18.46,18.38
2017-04-01,毕节,62.93,1.23,37.96,43.33,70.91,42.17,28.7
2017-04-02,毕节,48.38,1.06,30.96,55.31,49.29,32.06,21.85
2017-04-03,毕节,64.54,1.05,20.46,66.43,61.3,46.5,17.3
2017-04-04,毕节,37.61,1.02,18.37,71.35,32.89,24.59,18.78
2017-04-05,毕节,58.9,0.97,14.58,72.44,55.6,41.67,8.79
2017-04-06,毕节,65.07,0.95,21.73,87.43,63.17,46.15,15.89
2017-04-07,毕节,50.7,1.01,27.67,68.41,52.13,31.96,21.63
2017-04-08,毕节,78.65,0.95,16.84,98.18,73.22,57.54,12.7
2017-04-09,毕节,51.19,0.95,15.0,92.62,48.08,35.21,9.96
2017-04-10,毕节,18.73,1.02,12.0,55.19,14.15,7.46,6.69
2017-04-11,毕节,26.4,1.09,13.56,78.81,15.58,9.96,6.79
2017-04-12,毕节,44.12,1.06,17.85,68.83,47.2,14.96,9.48
2017-04-13,毕节,65.6,1.36,29.6,65.77,77.04,36.9,31.67
2017-04-14,毕节,74.12,1.48,31.15,87.65,81.75,51.94,50.15
2017-04-15,毕节,96.77,1.77,41.46,74.35,105.4,72.04,53.6
2017-04-16,毕节,82.98,1.66,31.71,55.42,82.5,59.96,43.0
2017-04-17,毕节,41.15,1.07,14.83,85.19,39.44,17.9,10.73
2017-04-18,毕节,38.87,1.28,24.22,67.07,38.04,19.98,20.37
2017-04-19,毕节,38.29,1.37,19.0,75.12,31.62,22.21,19.67
2017-04-20,毕节,74.75,1.07,16.04,127.1,81.31,52.04,14.3
2017-04-21,毕节,25.56,0.71,16.09,78.27,12.56,5.56,9.23
2017-04-22,毕节,32.93,0.81,19.28,71.52,30.43,16.22,13.91
2017-04-23,毕节,53.12,0.93,28.94,61.15,58.5,31.25,16.5
2017-04-24,毕节,43.85,1.03,30.06,33.71,42.25,30.58,12.06
2017-04-25,毕节,22.23,0.97,20.29,64.38,10.52,8.44,12.29
2017-04-26,毕节,24.88,0.92,17.69,71.08,15.62,9.98,10.9
2017-04-27,毕节,31.42,0.8,14.75,93.94,12.15,7.83,10.9
2017-04-28,毕节,40.98,1.02,32.06,70.17,38.71,25.73,12.0
2017-04-29,毕节,50.17,1.16,36.46,54.26,52.26,31.37,25.04
2017-04-30,毕节,74.83,1.06,25.85,90.0,76.5,54.0,18.46
2017-05-01,毕节,56.57,0.9,18.46,127.85,46.61,35.13,15.48
2017-05-02,毕节,56.5,1.01,27.13,95.98,53.74,37.35,17.13
2017-05-03,毕节,56.35,0.93,22.56,76.29,49.31,31.29,12.33
2017-05-04,毕节,39.12,0.66,15.12,114.48,27.12,12.88,11.69
2017-05-05,毕节,47.77,0.8,22.92,78.25,45.15,29.69,13.15
2017-05-06,毕节,24.38,0.63,14.29,73.83,13.69,8.6,9.17
2017-05-07,毕节,32.75,0.7,17.85,58.21,32.21,19.12,13.71
2017-05-08,毕节,41.87,0.77,22.74,79.91,36.61,22.87,11.83
2017-05-09,毕节,57.02,0.9,27.22,79.3,62.72,35.26,14.91
2017-05-10,毕节,69.75,0.86,18.73,115.25,74.9,50.19,12.65
2017-05-11,毕节,46.96,0.83,14.38,95.71,34.19,23.94,7.52
2017-05-12,毕节,42.56,0.77,29.09,94.81,34.62,16.5,13.02
2017-05-13,毕节,53.75,0.86,28.58,93.0,48.48,24.81,16.88
2017-05-14,毕节,49.79,0.87,22.27,101.6,45.81,31.88,12.71
2017-05-15,毕节,39.89,0.72,12.41,118.23,30.32,19.48,8.05
2017-05-16,毕节,43.56,0.76,16.67,97.38,34.29,23.19,8.4
2017-05-17,毕节,40.43,0.84,20.7,82.04,36.89,22.76,11.04
2017-05-18,毕节,45.1,0.85,19.23,86.29,41.19,28.65,13.98
2017-05-19,毕节,58.83,0.87,19.33,97.19,54.48,40.08,11.21
2017-05-20,毕节,33.26,0.81,19.18,64.64,29.69,21.64,10.28
2017-05-21,毕节,28.59,0.91,14.68,77.18,20.31,13.57,8.5
2017-05-22,毕节,32.08,0.95,18.47,61.53,28.59,17.58,8.86
2017-05-23,毕节,37.79,0.72,12.57,91.61,34.96,8.82,7.86
2017-05-24,毕节,32.31,0.74,16.22,79.94,28.08,10.85,8.04
2017-05-25,毕节,38.6,0.74,15.81,80.83,36.37,16.0,7.56
2017-05-26,毕节,42.93,0.79,22.2,74.3,34.35,18.8,9.57
2017-05-27,毕节,51.92,0.88,29.48,81.44,50.17,27.19,10.83
2017-05-28,毕节,58.43,0.92,30.38,82.74,59.3,33.72,13.4
2017-05-29,毕节,62.23,0.95,29.38,99.21,64.39,38.5,14.9
2017-05-30,毕节,82.45,1.01,15.55,129.34,73.09,56.28,10.3
2017-05-31,毕节,54.85,1.08,17.54,85.98,53.86,36.04,9.5
2017-06-01,毕节,39.09,0.9,12.32,102.57,32.07,17.14,8.77
2017-06-02,毕节,48.3,0.94,20.61,88.09,47.72,26.43,9.68
2017-06-03,毕节,48.98,0.95,16.0,86.09,53.96,22.69,8.64
2017-06-04,毕节,38.71,1.04,14.79,59.42,37.35,16.9,8.48
2017-06-05,毕节,33.02,0.99,15.0,93.98,13.74,5.38,9.61
2017-06-06,毕节,42.39,1.09,32.31,66.07,40.24,16.15,12.18
2017-06-07,毕节,50.58,0.96,21.77,87.52,44.44,19.52,12.62
2017-06-08,毕节,42.81,0.82,20.58,90.25,38.48,20.48,8.9
2017-06-09,毕节,38.1,0.78,13.52,81.25,36.21,20.56,7.98
2017-06-10,毕节,28.26,0.87,10.78,81.04,13.2,9.0,5.83
2017-06-11,毕节,41.5,0.88,20.44,62.15,42.4,22.08,7.35
2017-06-12,毕节,33.85,0.87,15.71,78.0,31.92,18.21,5.58
2017-06-13,毕节,34.27,0.86,12.68,78.83,31.03,18.7,12.43
2017-06-14,毕节,49.0,0.96,21.27,34.06,50.29,30.44,6.12
2017-06-15,毕节,18.47,0.83,14.06,57.12,11.64,6.47,6.3
2017-06-16,毕节,28.98,0.8,15.74,66.49,19.79,10.04,7.2
2017-06-17,毕节,55.43,0.98,29.78,42.3,61.93,33.41,9.87
2017-06-18,毕节,40.62,0.9,17.77,71.44,30.95,23.04,7.98
2017-06-19,毕节,38.65,0.98,21.5,64.0,34.78,22.21,8.25
2017-06-20,毕节,42.46,0.96,22.27,55.23,40.62,22.29,9.42
2017-06-21,毕节,61.37,1.09,32.22,40.96,67.72,37.26,8.52
2017-06-22,毕节,23.27,0.89,16.12,63.79,14.61,9.44,6.94
2017-06-23,毕节,41.65,0.99,15.81,63.77,38.14,24.8,7.04
2017-06-24,毕节,23.98,0.87,13.02,75.0,9.23,4.79,6.9
