time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,贵阳,99.58,1.24,48.3,36.36,127.61,70.88,42.46
2017-01-02,贵阳,97.56,1.08,34.72,40.79,103.11,72.04,24.77
2017-01-03,贵阳,103.01,1.3,40.02,10.31,105.17,77.03,18.91
2017-01-04,贵阳,40.87,0.81,28.41,22.17,39.71,24.43,16.9
2017-01-05,贵阳,36.8,0.58,27.46,33.15,36.88,19.26,19.84
2017-01-06,贵阳,40.8,0.64,28.78,33.15,42.49,21.11,20.43
2017-01-07,贵阳,54.71,1.03,23.28,35.45,54.71,37.57,12.82
2017-01-08,贵阳,37.87,1.15,21.84,43.45,38.16,22.9,12.05
2017-01-09,贵阳,48.5,1.24,26.75,24.67,56.69,33.33,15.23
2017-01-10,贵阳,37.72,1.16,23.18,23.45,37.51,24.02,12.15
2017-01-11,贵阳,22.3,1.01,20.77,42.66,19.36,12.9,9.54
2017-01-12,贵阳,39.83,0.83,22.6,37.01,38.17,26.49,16.42
2017-01-13,贵阳,59.48,0.89,31.46,42.98,61.06,41.34,28.86
2017-01-14,贵阳,45.38,0.85,23.64,36.7,44.81,30.97,14.86
2017-01-15,贵阳,43.74,0.77,21.68,46.88,42.59,30.16,15.54
2017-01-16,贵阳,63.25,0.92,27.57,28.49,60.74,45.3,13.17
2017-01-17,贵阳,49.45,0.99,29.1,38.5,49.41,34.06,17.51
2017-01-18,贵阳,35.34,1.01,26.64,27.11,32.56,23.46,13.59
2017-01-19,贵阳,44.54,0.88,23.81,40.11,42.18,30.6,16.59
2017-01-20,贵阳,69.99,0.79,21.05,77.51,69.08,50.76,17.53
2017-01-21,贵阳,79.98,1.01,27.77,61.9,71.94,58.67,23.43
2017-01-22,贵阳,117.26,1.33,43.02,37.96,119.42,88.3,41.47
2017-01-23,贵阳,82.26,0.94,35.16,66.11,85.49,60.25,34.72
2017-01-24,贵阳,86.76,0.95,31.83,61.28,87.21,63.9,28.11
