time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,遵义,113.79,1.09,46.61,42.74,133.64,85.25,33.79
2017-01-02,遵义,92.01,1.1,44.62,30.24,102.51,67.54,26.49
2017-01-03,遵义,106.61,1.1,39.24,17.31,109.25,79.84,13.99
2017-01-04,遵义,94.35,1.36,39.57,10.57,109.25,69.01,28.49
2017-01-05,遵义,103.0,1.16,38.8,17.91,112.09,76.01,28.62
2017-01-06,遵义,89.19,1.11,27.03,17.76,92.71,65.25,12.6
2017-01-07,遵义,61.8,1.23,31.38,22.46,63.98,42.65,15.12
2017-01-08,遵义,43.0,1.12,23.76,33.42,41.3,25.99,9.16
2017-01-09,遵义,32.98,0.92,23.9,37.76,28.94,18.8,8.1
2017-01-10,遵义,33.6,0.96,24.16,33.41,32.44,20.26,8.96
2017-01-11,遵义,28.95,0.87,22.96,41.45,26.39,15.26,9.98
2017-01-12,遵义,32.6,0.69,19.34,36.59,28.56,19.94,9.25
2017-01-13,遵义,55.42,0.84,30.19,32.16,57.64,35.73,22.24
2017-01-14,遵义,41.38,0.8,24.09,31.72,37.51,25.38,10.35
2017-01-15,遵义,66.05,0.59,27.17,49.09,64.4,46.2,17.4
2017-01-16,遵义,73.14,0.76,26.77,51.33,69.76,52.11,11.9
2017-01-17,遵义,91.81,0.84,30.36,48.61,92.0,68.11,14.65
2017-01-18,遵义,44.57,0.8,30.77,42.15,37.22,29.03,11.16
2017-01-19,遵义,56.29,0.82,37.89,30.73,58.33,38.43,18.23
2017-01-20,遵义,92.63,0.75,26.76,69.23,90.6,68.62,16.84
2017-01-21,遵义,112.31,0.94,34.65,62.15,113.48,85.37,20.27
2017-01-22,遵义,112.46,1.27,48.2,27.39,122.45,84.49,38.89
2017-01-23,遵义,94.44,1.05,42.24,41.81,101.81,69.96,41.29
2017-01-24,遵义,76.25,0.7,25.23,72.55,82.52,54.58,25.94
2017-01-25,遵义,96.29,1.02,37.11,35.58,100.42,71.59,28.65
2017-01-26,遵义,95.82,0.94,29.74,49.37,95.76,71.37,22.65
2017-01-27,遵义,62.5,0.99,18.33,40.82,53.86,43.64,11.17
2017-01-28,遵义,126.4,0.96,19.5,54.89,123.26,95.99,20.15
2017-01-29,遵义,58.1,0.81,16.61,52.05,46.39,40.1,10.45
2017-01-30,遵义,70.11,0.79,18.33,54.62,73.87,48.69,14.19
2017-01-31,遵义,107.97,0.91,16.75,60.14,107.48,80.91,9.97
2017-02-01,遵义,63.75,1.01,14.11,38.03,54.69,45.41,8.06
2017-02-02,遵义,20.52,0.85,12.12,36.27,15.29,11.79,8.34
2017-02-03,遵义,31.52,1.06,18.3,22.25,29.26,19.32,14.36
2017-02-04,遵义,59.73,1.3,29.78,28.65,57.97,39.77,36.83
2017-02-05,遵义,69.92,1.12,28.09,35.6,69.55,48.68,26.83
2017-02-06,遵义,52.89,0.89,24.17,36.24,47.28,36.21,19.35
2017-02-07,遵义,20.55,1.0,21.53,22.37,16.48,11.35,8.42
2017-02-08,遵义,29.96,0.94,17.11,43.18,26.59,18.05,10.4
2017-02-09,遵义,51.75,0.95,20.17,43.38,48.3,33.52,12.73
2017-02-10,遵义,65.68,0.77,18.98,48.18,62.72,45.94,16.96
2017-02-11,遵义,64.69,0.66,26.95,59.65,61.49,45.24,25.38
2017-02-12,遵义,79.15,1.08,46.02,41.29,91.02,56.33,51.06
2017-02-13,遵义,93.41,1.05,48.21,33.88,107.77,67.18,44.09
2017-02-14,遵义,103.68,0.88,46.8,33.2,105.76,77.31,43.16
2017-02-15,遵义,127.2,1.0,55.75,20.75,140.81,95.11,32.79
2017-02-16,遵义,159.51,1.32,55.51,34.93,164.61,120.83,35.23
2017-02-17,遵义,159.41,1.22,47.84,31.17,168.05,121.03,35.69
2017-02-18,遵义,126.4,1.06,39.49,33.39,121.58,95.41,20.43
2017-02-19,遵义,116.3,0.98,35.14,60.6,121.09,86.75,23.41
2017-02-20,遵义,81.75,0.79,40.34,43.15,91.2,57.28,25.26
2017-02-21,遵义,56.12,0.77,25.27,43.02,55.29,37.19,10.2
2017-02-22,遵义,29.12,0.47,21.53,46.81,26.14,17.82,4.67
2017-02-23,遵义,31.75,0.48,24.69,51.55,31.22,18.38,7.42
2017-02-24,遵义,40.22,0.56,30.38,46.4,38.52,25.33,12.52
2017-02-25,遵义,40.06,0.62,29.52,36.68,37.95,25.89,13.66
2017-02-26,遵义,44.51,0.73,35.82,32.81,45.22,26.58,17.86
2017-02-27,遵义,51.02,0.65,35.47,39.28,50.88,33.56,15.92
2017-02-28,遵义,75.76,0.86,43.22,25.77,84.97,51.86,35.7
2017-03-01,遵义,81.49,0.64,36.75,49.68,94.19,57.53,25.76
2017-03-02,遵义,86.34,0.7,40.53,46.33,113.02,56.48,28.25
2017-03-03,遵义,76.02,0.58,35.58,71.52,97.68,45.85,25.93
2017-03-04,遵义,107.24,0.84,38.19,43.91,119.68,79.64,25.55
2017-03-05,遵义,97.65,0.74,45.15,19.16,108.62,72.01,18.32
2017-03-06,遵义,49.41,0.44,29.53,59.61,49.95,31.28,10.87
2017-03-07,遵义,69.11,0.66,36.7,43.84,68.14,48.88,10.91
2017-03-08,遵义,66.85,0.65,30.2,72.21,64.91,47.6,12.42
2017-03-09,遵义,60.71,0.73,38.41,43.44,62.07,40.47,16.15
2017-03-10,遵义,44.54,0.65,30.0,38.23,41.84,29.06,10.67
2017-03-11,遵义,57.51,0.77,31.88,42.73,56.72,38.5,11.22
