time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,铜仁地区,103.74,1.62,39.66,26.97,146.89,71.29,23.5
2017-01-02,铜仁地区,118.28,1.51,30.73,33.75,161.4,87.7,26.52
2017-01-03,铜仁地区,110.23,1.26,48.5,15.08,159.1,77.42,22.94
2017-01-04,铜仁地区,119.67,1.37,43.48,15.38,172.45,86.6,21.83
2017-01-05,铜仁地区,120.85,1.49,28.06,15.5,157.85,87.38,14.62
2017-01-06,铜仁地区,27.79,2.14,16.56,25.5,25.57,11.15,5.6
2017-01-07,铜仁地区,21.57,1.85,12.39,33.28,19.76,10.63,5.24
2017-01-08,铜仁地区,34.88,1.5,19.48,44.02,35.02,15.08,5.9
2017-01-09,铜仁地区,54.2,1.62,16.8,51.41,61.53,29.78,5.93
2017-01-10,铜仁地区,60.31,1.52,11.4,67.96,67.27,35.0,5.06
2017-01-11,铜仁地区,55.62,1.52,12.77,61.0,58.11,32.96,12.73
2017-01-12,铜仁地区,55.71,1.55,26.94,35.65,62.62,32.15,15.35
2017-01-13,铜仁地区,66.98,1.57,29.38,20.54,81.23,38.75,17.62
2017-01-14,铜仁地区,62.23,1.45,25.23,37.58,73.46,36.25,18.88
2017-01-15,铜仁地区,80.56,1.56,22.69,67.0,106.79,52.71,25.75
2017-01-16,铜仁地区,93.73,1.67,31.17,38.83,122.02,65.77,19.94
2017-01-17,铜仁地区,84.77,1.47,17.48,64.48,107.98,56.96,18.88
2017-01-18,铜仁地区,73.62,1.33,17.5,66.17,96.98,45.87,16.19
2017-01-19,铜仁地区,84.5,1.08,15.6,75.92,107.98,57.31,19.73
2017-01-20,铜仁地区,104.44,1.47,27.62,56.58,144.83,75.85,24.35
2017-01-21,铜仁地区,80.08,1.65,30.08,63.62,109.77,39.62,25.67
2017-01-22,铜仁地区,78.35,1.87,35.02,36.6,104.02,50.42,22.08
2017-01-23,铜仁地区,73.58,1.76,32.04,45.08,95.59,44.56,29.42
2017-01-24,铜仁地区,82.96,1.72,29.96,38.17,108.79,54.06,27.44
2017-01-25,铜仁地区,62.23,1.48,14.52,57.94,72.62,35.71,21.96
2017-01-26,铜仁地区,70.94,1.71,21.5,36.62,86.65,41.15,22.74
2017-01-27,铜仁地区,105.6,1.61,5.79,66.21,160.94,61.33,29.23
2017-01-28,铜仁地区,152.44,1.67,4.77,65.81,250.92,91.71,37.44
2017-01-29,铜仁地区,123.83,1.69,7.33,32.0,173.87,90.78,23.17
2017-01-30,铜仁地区,86.65,1.66,2.21,81.04,121.17,51.52,33.85
2017-01-31,铜仁地区,106.27,1.95,2.92,73.44,142.92,76.19,21.67
2017-02-01,铜仁地区,44.05,1.88,2.12,54.26,47.36,22.6,8.14
2017-02-02,铜仁地区,41.04,1.99,2.96,54.15,42.52,19.19,6.77
2017-02-03,铜仁地区,28.19,1.91,9.19,31.12,27.07,12.1,11.85
2017-02-04,铜仁地区,42.17,2.17,19.46,26.2,46.28,18.54,19.0
2017-02-05,铜仁地区,44.54,1.95,16.6,33.06,46.81,18.42,18.94
2017-02-06,铜仁地区,27.71,1.91,7.65,32.04,26.72,12.69,18.85
2017-02-07,铜仁地区,24.87,1.96,10.57,34.22,23.91,10.43,18.59
2017-02-08,铜仁地区,35.5,1.74,7.06,67.29,34.11,19.42,15.46
2017-02-09,铜仁地区,54.5,1.61,12.83,63.06,58.13,32.23,20.25
2017-02-10,铜仁地区,59.69,1.54,20.52,46.56,65.96,36.65,17.42
2017-02-11,铜仁地区,54.56,1.43,20.48,52.12,58.7,31.35,20.04
2017-02-12,铜仁地区,58.62,1.62,32.15,41.42,69.62,28.06,16.96
2017-02-13,铜仁地区,54.38,1.56,32.48,44.81,64.98,20.44,21.23
2017-02-14,铜仁地区,84.83,2.03,59.94,20.6,120.56,47.08,30.69
2017-02-15,铜仁地区,80.48,1.84,49.25,15.85,110.17,48.58,27.15
2017-02-16,铜仁地区,72.96,1.83,41.29,32.15,94.88,39.58,24.98
2017-02-17,铜仁地区,86.46,1.65,27.23,37.67,118.77,46.92,20.4
2017-02-18,铜仁地区,142.0,1.87,16.98,96.08,204.91,104.67,21.56
2017-02-19,铜仁地区,117.12,1.92,41.06,50.52,169.32,77.42,22.81
2017-02-20,铜仁地区,77.25,1.71,39.54,17.38,107.26,33.73,22.83
2017-02-21,铜仁地区,48.38,1.59,9.31,42.33,58.98,27.58,9.56
2017-02-22,铜仁地区,32.33,1.43,11.5,54.71,32.38,13.71,8.4
2017-02-23,铜仁地区,42.48,1.31,13.15,57.48,43.49,14.23,11.0
2017-02-24,铜仁地区,32.52,1.29,14.27,63.48,31.77,12.42,10.48
2017-02-25,铜仁地区,40.58,1.32,28.21,35.06,43.91,13.21,11.5
2017-02-26,铜仁地区,43.04,1.32,23.4,38.94,46.31,14.83,11.96
2017-02-27,铜仁地区,52.58,1.43,45.31,14.08,61.5,17.23,14.94
2017-02-28,铜仁地区,59.43,1.4,39.11,20.65,73.7,25.91,14.59
2017-03-01,铜仁地区,65.79,1.21,39.19,31.65,84.31,23.17,13.96
2017-03-02,铜仁地区,66.85,1.0,26.11,52.33,83.43,16.09,18.28
2017-03-03,铜仁地区,58.85,0.97,35.69,23.96,68.85,17.08,17.85
2017-03-04,铜仁地区,75.9,1.06,44.65,7.58,101.31,30.27,18.98
2017-03-05,铜仁地区,50.73,1.02,34.65,25.21,55.36,23.12,14.48
2017-03-06,铜仁地区,58.5,1.13,37.31,25.62,74.89,29.44,15.04
2017-03-07,铜仁地区,80.38,1.08,20.23,88.5,96.75,52.08,13.08
2017-03-08,铜仁地区,59.78,1.0,21.54,88.67,67.35,31.02,14.98
2017-03-09,铜仁地区,64.31,1.12,39.29,26.77,81.08,31.04,21.58
2017-03-10,铜仁地区,60.94,0.95,28.75,39.77,70.71,31.67,12.06
2017-03-11,铜仁地区,58.38,1.03,30.0,40.58,67.81,25.9,14.52
2017-03-12,铜仁地区,41.31,0.89,29.44,37.98,45.98,13.62,12.21
